Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
OTIS;44.8016;45.2500;46.00;40.00;40.00;2020-03-19;7000
OTIS;44.5541;45.0000;46.01;45.00;45.01;2020-03-20;3600
OTIS;39.6037;40.0000;42.00;39.98;42.00;2020-03-23;11900
OTIS;39.6037;40.0000;40.00;39.00;40.00;2020-03-24;77800
OTIS;40.6037;41.0100;44.80;38.00;40.00;2020-03-25;7000
OTIS;44.5541;45.0000;47.50;44.25;45.00;2020-03-26;29100
OTIS;44.7868;45.2350;47.50;44.99;45.00;2020-03-27;263200
OTIS;49.5046;50.0000;50.00;44.25;44.25;2020-03-30;118100
OTIS;49.5046;50.0000;50.00;44.78;46.50;2020-03-31;210300
OTIS;46.2373;46.7000;48.50;44.00;45.99;2020-04-01;1206100
OTIS;43.5640;44.0000;48.66;43.20;45.02;2020-04-02;9264200
OTIS;46.8511;47.3200;49.30;41.80;43.75;2020-04-03;22551600
OTIS;45.4848;45.9400;47.85;44.70;47.00;2020-04-06;10294200
OTIS;43.8413;44.2800;46.99;42.93;45.15;2020-04-07;12146500
OTIS;43.6531;44.0900;45.20;41.26;42.21;2020-04-08;22265800
OTIS;48.6531;49.1400;50.25;44.00;44.05;2020-04-09;17355600
OTIS;45.5442;46.0000;48.67;45.72;48.55;2020-04-13;8545100
OTIS;45.4353;45.8900;46.30;43.97;45.91;2020-04-14;10152100
OTIS;44.1086;44.5500;44.85;42.80;44.19;2020-04-15;7935500
OTIS;45.1680;45.6200;46.41;43.55;44.08;2020-04-16;8740200
OTIS;45.6927;46.1500;48.56;45.92;47.00;2020-04-17;7878100
OTIS;44.9403;45.3900;46.98;44.90;45.00;2020-04-20;5407500
OTIS;45.4452;45.9000;47.20;44.50;44.50;2020-04-21;6939700
OTIS;46.5838;47.0500;49.55;46.00;47.31;2020-04-22;6801900
OTIS;46.9997;47.4700;48.04;46.48;47.44;2020-04-23;5174800
OTIS;47.3759;47.8500;48.50;46.31;48.02;2020-04-24;6446900
OTIS;47.7422;48.2200;48.60;47.61;48.08;2020-04-27;5541100
OTIS;49.3660;49.8600;50.95;48.65;49.07;2020-04-28;5368200
OTIS;50.6432;51.1500;51.73;49.71;50.77;2020-04-29;4343900
OTIS;50.4056;50.9100;51.60;50.50;50.97;2020-04-30;6123800
OTIS;49.2175;49.7100;50.53;48.31;50.33;2020-05-01;3089700
OTIS;49.0392;49.5300;49.67;47.51;48.85;2020-05-04;5676600
OTIS;47.6135;48.0900;50.64;47.96;49.53;2020-05-05;4103600
OTIS;47.8313;48.3100;49.00;47.89;48.61;2020-05-06;2931800
OTIS;51.2966;51.8100;53.29;48.99;49.02;2020-05-07;4803200
OTIS;52.4254;52.9500;54.17;52.11;52.12;2020-05-08;4289400
OTIS;51.2966;51.8100;52.40;51.06;52.00;2020-05-11;3150600
OTIS;49.2274;49.7200;52.29;49.69;52.19;2020-05-12;3059800
OTIS;47.7323;48.2100;50.30;47.89;49.00;2020-05-13;4567000
OTIS;47.5244;48.0000;48.40;47.23;47.61;2020-05-14;4849900
OTIS;48.4056;48.8900;49.22;47.20;47.32;2020-05-15;2981400
OTIS;51.6135;52.1300;52.34;50.12;50.12;2020-05-18;4452600
OTIS;51.7917;52.3100;52.93;51.06;51.68;2020-05-19;2050300
OTIS;52.6531;53.1800;54.70;52.48;52.55;2020-05-20;4755100
OTIS;51.7089;52.0300;53.55;51.87;52.36;2020-05-21;3813100
OTIS;51.3909;51.7100;52.72;50.92;52.46;2020-05-22;2134300
OTIS;50.5760;50.8900;53.99;50.70;53.03;2020-05-26;6247000
OTIS;52.0568;52.3800;52.65;50.77;51.59;2020-05-27;5202300
OTIS;50.6455;50.9600;52.95;50.93;52.87;2020-05-28;4260700
OTIS;52.3251;52.6500;52.87;50.18;50.44;2020-05-29;7522700
OTIS;53.7463;54.0800;54.44;52.11;52.45;2020-06-01;3073300
OTIS;53.8159;54.1500;54.75;53.29;54.16;2020-06-02;2638100
OTIS;55.1277;55.4700;55.58;54.55;55.00;2020-06-03;4134500
OTIS;55.0581;55.4000;56.66;54.69;55.30;2020-06-04;3281300
OTIS;58.2086;58.5700;58.71;56.00;57.83;2020-06-05;4615100
OTIS;60.8820;61.2600;61.32;58.36;58.68;2020-06-08;5966500
OTIS;60.2757;60.6500;61.46;59.24;60.40;2020-06-09;4610200
OTIS;58.6657;59.0300;60.96;59.02;60.61;2020-06-10;2658300
OTIS;55.9029;56.2500;58.07;55.71;56.00;2020-06-11;3293900
OTIS;55.6942;56.0400;58.98;55.10;57.73;2020-06-12;4313000
