Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
PEAK;5.9462;16.3570;16.5938;16.1885;16.5938;2003-02-04;625860
PEAK;5.9925;16.4845;16.5665;16.3934;16.3934;2003-02-05;513425
PEAK;5.9760;16.4390;16.5528;16.3570;16.4390;2003-02-06;4209512
PEAK;5.9015;16.2341;16.4526;16.1885;16.4162;2003-02-07;438541
PEAK;5.9677;16.4162;16.4663;16.1885;16.1885;2003-02-10;543510
PEAK;5.8949;16.2158;16.5574;16.1658;16.4617;2003-02-11;293386
PEAK;5.8287;16.0337;16.2568;15.9608;16.2113;2003-02-12;312271
PEAK;5.8104;15.9836;16.0337;15.8197;16.0200;2003-02-13;440957
PEAK;5.7028;15.6876;16.0474;15.6876;15.9973;2003-02-14;539996
PEAK;5.7691;15.8698;15.9153;15.6876;15.6876;2003-02-18;699646
PEAK;5.8419;16.0701;16.0747;15.8743;15.9381;2003-02-19;652651
PEAK;5.7608;15.8470;15.9745;15.7650;15.9381;2003-02-20;620590
PEAK;5.7922;15.9335;16.0519;15.8060;16.0519;2003-02-21;624982
PEAK;5.8436;16.0747;16.1202;15.8379;16.0519;2003-02-24;446666
PEAK;5.8998;16.2295;16.2341;15.9062;16.0747;2003-02-25;487512
PEAK;5.8601;16.1202;16.2341;16.0474;16.2341;2003-02-26;410432
PEAK;5.9015;16.2341;16.2978;16.1157;16.1202;2003-02-27;375296
PEAK;5.8518;16.0975;16.2750;16.0519;16.2568;2003-02-28;448643
PEAK;5.8518;16.0975;16.1612;16.0291;16.1339;2003-03-03;654847
PEAK;5.7608;15.8470;16.1612;15.8470;16.1430;2003-03-04;802638
PEAK;5.8270;16.0291;16.1202;15.8242;15.8333;2003-03-05;428220
PEAK;5.7608;15.8470;16.0701;15.8470;16.0291;2003-03-06;429538
PEAK;5.7194;15.7332;15.9608;15.6557;15.8698;2003-03-07;521989
PEAK;5.6449;15.5282;15.7377;15.5282;15.7195;2003-03-10;369806
PEAK;5.6333;15.4964;15.6193;15.3233;15.5328;2003-03-11;428220
PEAK;5.5754;15.3370;15.5146;15.3324;15.4873;2003-03-12;360803
PEAK;5.6085;15.4281;15.4736;15.3233;15.3370;2003-03-13;431734
PEAK;5.6383;15.5100;15.5373;15.3689;15.4827;2003-03-14;357070
PEAK;5.7442;15.8015;15.8015;15.3461;15.4827;2003-03-17;435247
PEAK;5.7161;15.7240;15.8561;15.7104;15.8333;2003-03-18;375296
PEAK;5.6913;15.6557;15.7468;15.5829;15.7104;2003-03-19;609829
PEAK;5.6697;15.5965;15.6785;15.2869;15.4827;2003-03-20;1083506
PEAK;5.6780;15.6193;15.6239;15.4144;15.5282;2003-03-21;745542
PEAK;5.5787;15.3461;15.6193;15.1958;15.6193;2003-03-24;644965
PEAK;5.6201;15.4599;15.4736;15.3005;15.3233;2003-03-25;648698
PEAK;5.7194;15.7332;15.8060;15.4281;15.5282;2003-03-26;547243
PEAK;5.6284;15.4827;15.7149;15.4827;15.7104;2003-03-27;499370
PEAK;5.5456;15.2550;15.5100;15.1639;15.4873;2003-03-28;634864
PEAK;5.5208;15.1867;15.4098;15.0501;15.1412;2003-03-31;437882
PEAK;5.5671;15.3142;15.3461;15.1457;15.1639;2003-04-01;434369
PEAK;5.6035;15.4144;15.4326;15.3461;15.3916;2003-04-02;639475
PEAK;5.6002;15.4053;15.5237;15.3689;15.4372;2003-04-03;523087
PEAK;5.5870;15.3689;15.5419;15.3689;15.4827;2003-04-04;344772
PEAK;5.6101;15.4326;15.5464;15.3916;15.4144;2003-04-07;503543
PEAK;5.5472;15.2596;15.4645;15.2596;15.4554;2003-04-08;524185
PEAK;5.6118;15.4372;15.4372;15.2960;15.3142;2003-04-09;459842
PEAK;5.5969;15.3962;15.5328;15.3871;15.4736;2003-04-10;407358
PEAK;5.6615;15.5738;15.6102;15.4690;15.5009;2003-04-11;684054
PEAK;5.7360;15.7787;15.7969;15.5738;15.5738;2003-04-14;465113
PEAK;5.8667;16.1384;16.1566;15.7832;15.8925;2003-04-15;790560
PEAK;5.9098;16.2568;16.2568;16.1157;16.1658;2003-04-16;656604
PEAK;5.9594;16.3934;16.3934;16.1840;16.2568;2003-04-17;522648
PEAK;6.0819;16.7304;16.7304;16.4845;16.5528;2003-04-21;532750
PEAK;6.0339;16.5984;16.6667;16.2659;16.6667;2003-04-22;1023995
PEAK;6.2607;17.2222;17.5319;16.7577;16.8260;2003-04-23;1254794
PEAK;6.2011;17.0583;17.3406;17.0537;17.2814;2003-04-24;756742
PEAK;6.1415;16.8944;17.1676;16.8033;17.1676;2003-04-25;615539
PEAK;6.1746;16.9854;17.0219;16.8944;16.9854;2003-04-28;604339
PEAK;6.2077;17.0765;17.3770;17.0719;17.0993;2003-04-29;1136430
PEAK;6.1614;16.9490;17.1357;16.9353;17.1220;2003-04-30;1225368
PEAK;6.2647;16.8488;16.8488;16.4617;16.4617;2003-05-01;747958
PEAK;6.3663;17.1220;17.1448;16.8944;16.9854;2003-05-02;971071
PEAK;6.4763;17.4180;17.4180;17.1357;17.1448;2003-05-05;8410241
PEAK;6.5203;17.5364;17.5638;17.3725;17.4135;2003-05-06;648479
PEAK;6.4814;17.4317;17.5501;17.4180;17.5410;2003-05-07;383861
PEAK;6.4679;17.3953;17.4089;17.2814;17.3270;2003-05-08;533628
PEAK;6.5187;17.5319;17.5319;17.3270;17.4135;2003-05-09;404284
PEAK;6.5457;17.6047;17.6685;17.4909;17.5319;2003-05-12;386276
PEAK;6.5102;17.5091;17.6913;17.4727;17.6230;2003-05-13;381006
