Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
PEP;25.7499;41.20;41.28;40.43;40.73;2003-02-04;5194600
PEP;25.6749;41.08;41.90;40.85;41.75;2003-02-05;4682200
PEP;25.1374;40.22;40.80;39.40;40.75;2003-02-06;7814000
PEP;24.3811;39.01;40.32;38.96;40.22;2003-02-07;6692600
PEP;24.5311;39.25;39.45;38.80;38.80;2003-02-10;3870800
PEP;23.9937;38.39;39.75;38.08;39.35;2003-02-11;4239300
PEP;24.0061;38.41;39.23;38.30;38.61;2003-02-12;4003400
PEP;24.3124;38.90;39.11;38.02;38.29;2003-02-13;3632800
PEP;24.9124;39.86;39.92;39.27;39.52;2003-02-14;5009600
PEP;25.1499;40.24;40.50;39.86;40.21;2003-02-18;3619100
PEP;25.0311;40.05;40.24;39.87;40.24;2003-02-19;3726500
PEP;24.5999;39.36;40.15;39.35;40.05;2003-02-20;3374900
PEP;24.6249;39.40;39.92;39.19;39.60;2003-02-21;4724000
PEP;24.2687;38.83;39.42;38.59;39.40;2003-02-24;4781800
PEP;24.2749;38.84;38.98;37.85;38.25;2003-02-25;5224100
PEP;23.8999;38.24;38.94;38.03;38.84;2003-02-26;3466700
PEP;23.8874;38.22;38.58;37.90;38.40;2003-02-27;4505100
PEP;23.9499;38.32;38.49;38.10;38.35;2003-02-28;5098000
PEP;23.8187;38.11;38.65;38.02;38.47;2003-03-03;3584600
PEP;23.7812;38.05;38.30;37.80;37.80;2003-03-04;5080900
PEP;23.3124;37.30;38.05;36.24;38.05;2003-03-05;8254000
PEP;23.5312;37.65;37.86;37.02;37.05;2003-03-06;5528900
PEP;24.0624;38.50;38.50;37.02;37.05;2003-03-07;5699000
PEP;23.6062;37.77;38.40;37.61;38.40;2003-03-10;5061600
PEP;23.5624;37.70;38.43;37.60;37.62;2003-03-11;5157400
PEP;23.6754;37.73;37.86;37.10;37.25;2003-03-12;5072000
PEP;24.3844;38.86;38.99;37.97;38.23;2003-03-13;3756900
PEP;24.4723;39.00;39.65;38.76;39.02;2003-03-14;4982800
PEP;25.3507;40.40;40.55;38.75;38.75;2003-03-17;5259800
PEP;25.2315;40.21;40.40;39.52;40.40;2003-03-18;4336500
PEP;25.3884;40.46;40.52;39.81;40.07;2003-03-19;5882400
PEP;25.1939;40.15;40.45;39.69;39.95;2003-03-20;4963600
PEP;26.0410;41.50;41.50;40.15;40.81;2003-03-21;4842400
PEP;25.1500;40.08;41.06;39.89;40.84;2003-03-24;3438500
PEP;25.1625;40.10;40.25;39.73;40.00;2003-03-25;4301900
PEP;24.9868;39.82;40.23;39.68;40.07;2003-03-26;3406900
PEP;25.2817;40.29;40.74;39.50;39.50;2003-03-27;3197300
PEP;25.0370;39.90;40.23;39.62;39.85;2003-03-28;2969700
PEP;25.0998;40.00;40.48;39.14;39.65;2003-03-31;4621700
PEP;25.0872;39.98;40.34;39.86;40.00;2003-04-01;5131800
PEP;24.9115;39.70;40.24;39.70;40.15;2003-04-02;6608800
PEP;23.9515;38.17;39.55;38.07;39.51;2003-04-03;12744900
PEP;24.2464;38.64;38.70;38.06;38.50;2003-04-04;6397400
PEP;24.4221;38.92;39.58;38.80;39.08;2003-04-07;5524300
PEP;24.6166;39.23;39.40;38.95;39.10;2003-04-08;3349500
PEP;24.7170;39.39;40.32;39.22;40.06;2003-04-09;5458500
PEP;24.9680;39.79;39.95;39.44;39.75;2003-04-10;3400700
PEP;25.2692;40.27;40.58;40.11;40.15;2003-04-11;4603900
PEP;25.7084;40.97;41.00;40.00;40.00;2003-04-14;3733700
PEP;25.4574;40.57;41.00;40.11;41.00;2003-04-15;4032300
PEP;25.0370;39.90;40.75;39.39;40.75;2003-04-16;5201600
PEP;26.6936;42.54;42.58;40.75;40.75;2003-04-17;8825500
PEP;26.2544;41.84;42.69;41.70;42.50;2003-04-21;4065800
PEP;26.5430;42.30;42.72;41.40;41.96;2003-04-22;4428200
PEP;26.9823;43.00;43.00;42.61;42.88;2003-04-23;5135000
PEP;27.1893;43.33;43.58;42.75;42.80;2003-04-24;4517000
PEP;26.7626;42.65;43.48;42.39;43.23;2003-04-25;2913900
PEP;27.2646;43.45;43.53;42.80;42.94;2003-04-28;3623500
PEP;27.2583;43.44;43.61;42.79;43.25;2003-04-29;3680800
PEP;27.1579;43.28;43.62;42.78;42.95;2003-04-30;6415400
PEP;27.4591;43.76;43.86;42.62;43.17;2003-05-01;4313000
PEP;27.2521;43.43;43.69;43.20;43.28;2003-05-02;3991000
PEP;27.1579;43.28;43.50;42.82;43.30;2003-05-05;3950100
PEP;27.2270;43.39;43.89;43.06;43.16;2003-05-06;2849500
PEP;27.1768;43.31;43.85;43.16;43.45;2003-05-07;5565900
PEP;27.0450;43.10;43.58;42.88;43.47;2003-05-08;3204000
PEP;27.4152;43.69;43.79;43.00;43.18;2003-05-09;3395300
PEP;27.4089;43.68;44.01;43.52;43.60;2003-05-12;2532600
PEP;27.2772;43.47;43.73;43.10;43.40;2003-05-13;2718000
PEP;27.2144;43.37;43.54;42.96;43.45;2003-05-14;3128300
PEP;27.4654;43.77;43.96;43.41;43.49;2003-05-15;3052600
PEP;27.1705;43.30;44.23;43.30;43.77;2003-05-16;2953700
PEP;26.9697;42.98;43.38;42.71;43.31;2003-05-19;4236600
PEP;26.9823;43.00;43.10;42.38;42.98;2003-05-20;3670600
PEP;27.1705;43.30;43.44;42.91;43.00;2003-05-21;3397900
PEP;27.4403;43.73;44.03;43.00;43.00;2003-05-22;3616500
PEP;27.3336;43.56;43.80;43.35;43.62;2003-05-23;2387400
PEP;27.7227;44.18;44.25;43.30;43.50;2003-05-27;4224300
PEP;27.3274;43.55;44.31;43.40;44.22;2003-05-28;4290600
PEP;27.4466;43.74;44.22;43.52;43.65;2003-05-29;3555100
PEP;27.7352;44.20;44.60;43.87;43.97;2003-05-30;4278600
PEP;27.6725;44.10;44.79;43.75;44.72;2003-06-02;3839800
PEP;27.7541;44.23;44.48;43.95;44.24;2003-06-03;2805100
PEP;28.1557;44.87;45.11;44.00;44.20;2003-06-04;2917500
PEP;27.9360;44.52;44.85;44.22;44.57;2003-06-05;4085900
PEP;27.7980;44.30;44.63;44.03;44.52;2003-06-06;5096800
PEP;27.6223;44.02;44.45;43.81;44.17;2003-06-09;2207100
PEP;27.8482;44.38;44.48;43.87;44.02;2003-06-10;2414900
PEP;27.9804;44.43;44.43;44.00;44.06;2003-06-11;3191500
PEP;28.0875;44.60;44.70;43.96;44.49;2003-06-12;2548500
