Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
PHM;10.8057;12.5125;12.6350;12.4750;12.6200;2003-02-04;1713200
PHM;10.8964;12.6175;12.7975;12.5575;12.6250;2003-02-05;1959200
PHM;10.5768;12.2475;12.6750;12.2000;12.6000;2003-02-06;2110400
PHM;10.4408;12.0900;12.3925;12.0175;12.3100;2003-02-07;2695200
PHM;10.8402;12.5525;12.5525;12.1675;12.2250;2003-02-10;3302400
PHM;10.8230;12.5325;12.7300;12.5000;12.6125;2003-02-11;2298400
PHM;10.6848;12.3725;12.5875;12.3250;12.4875;2003-02-12;1748800
PHM;10.5229;12.1850;12.4125;12.0650;12.3725;2003-02-13;1741200
PHM;10.8122;12.5200;12.5475;12.2375;12.2500;2003-02-14;1731200
PHM;11.4296;13.2350;13.2350;12.5300;12.6250;2003-02-18;3522000
PHM;11.3023;13.0875;13.2925;13.0150;13.1125;2003-02-19;2249200
PHM;11.1468;12.9075;13.1200;12.8950;13.0900;2003-02-20;1779600
PHM;11.3174;13.1050;13.1375;12.8550;13.0000;2003-02-21;1626800
PHM;11.1015;12.8550;13.1300;12.8475;13.1025;2003-02-24;1428800
PHM;11.3886;13.1875;13.2125;12.7625;12.8275;2003-02-25;2117600
PHM;11.1641;12.9275;13.1550;12.9250;12.9375;2003-02-26;2649600
PHM;11.0367;12.7800;13.0500;12.6425;13.0500;2003-02-27;3944800
PHM;10.9741;12.7075;12.8400;12.5325;12.7800;2003-02-28;2773200
PHM;10.9460;12.6750;12.9775;12.6600;12.7625;2003-03-03;1519200
PHM;10.1040;11.7000;12.3900;11.6750;12.2525;2003-03-04;8797200
PHM;9.9270;11.4950;11.7075;11.3750;11.6750;2003-03-05;5480000
PHM;10.0004;11.5800;11.6025;11.4125;11.4950;2003-03-06;2524800
PHM;10.1407;11.7425;11.8725;11.4000;11.4000;2003-03-07;2630000
PHM;9.8816;11.4425;11.7450;11.4000;11.7425;2003-03-10;1944400
PHM;9.8234;11.3750;11.6600;11.3675;11.4600;2003-03-11;1686400
PHM;10.0263;11.6100;11.6225;11.3625;11.3750;2003-03-12;2916400
PHM;10.3631;12.0000;12.0600;11.5875;11.7500;2003-03-13;3537600
PHM;10.5424;12.1975;12.3375;12.0350;12.1125;2003-03-14;4167200
PHM;10.8125;12.5100;12.5525;12.0225;12.1600;2003-03-17;2586400
PHM;10.7283;12.4125;12.5000;12.2750;12.5000;2003-03-18;3064400
PHM;10.8449;12.5475;12.6500;12.4500;12.4950;2003-03-19;3733200
PHM;11.0718;12.8100;12.8650;12.3475;12.5475;2003-03-20;3620800
PHM;11.4132;13.2050;13.2900;12.8725;12.9325;2003-03-21;3152400
PHM;11.0524;12.7875;13.0025;12.7025;13.0000;2003-03-24;2962800
PHM;11.1777;12.9325;13.0025;12.5750;12.6675;2003-03-25;3005200
PHM;11.0848;12.8250;12.9500;12.6250;12.9250;2003-03-26;3000800
PHM;10.9919;12.7175;12.8725;12.5450;12.8275;2003-03-27;2470800
PHM;10.9660;12.6875;12.7875;12.6250;12.6875;2003-03-28;1380400
PHM;10.8363;12.5375;12.7475;12.3775;12.5375;2003-03-31;1732400
PHM;10.9919;12.7175;12.7375;12.3300;12.6250;2003-04-01;2454000
PHM;11.4348;13.2300;13.3725;12.9625;12.9625;2003-04-02;3290400
PHM;11.4413;13.2375;13.3725;13.1625;13.2325;2003-04-03;1562400
PHM;11.2901;13.0625;13.2450;13.0000;13.2375;2003-04-04;2215200
PHM;11.3873;13.1750;13.3750;13.0650;13.0650;2003-04-07;2319600
PHM;11.4737;13.2750;13.3350;13.0725;13.1775;2003-04-08;2931600
PHM;11.5364;13.3475;13.4975;13.2350;13.3125;2003-04-09;2276800
PHM;11.6596;13.4900;13.5625;13.2625;13.3975;2003-04-10;2140800
PHM;11.6725;13.5050;13.6300;13.4175;13.6000;2003-04-11;2134400
PHM;11.9016;13.7700;13.7925;13.4550;13.5300;2003-04-14;1736400
PHM;12.0247;13.9125;13.9575;13.7050;13.7725;2003-04-15;2771200
PHM;11.9729;13.8525;14.0325;13.8525;13.9500;2003-04-16;3346400
PHM;12.1090;14.0100;14.0550;13.8775;13.8775;2003-04-17;2088400
PHM;12.0507;13.9425;14.1225;13.8750;14.1100;2003-04-21;2339200
PHM;12.3121;14.2450;14.3100;13.8350;13.9425;2003-04-22;2408000
PHM;12.4893;14.4500;14.4975;14.2000;14.2575;2003-04-23;2668400
PHM;12.5217;14.4875;14.6300;14.4250;14.5125;2003-04-24;3281200
PHM;12.1501;14.0575;14.4250;14.0225;14.3750;2003-04-25;3429200
