Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
PLD;14.0726;27.17;27.43;27.02;27.43;2003-02-04;406900
PLD;14.1193;27.26;27.34;27.20;27.27;2003-02-05;290700
PLD;14.2177;27.45;27.61;27.20;27.26;2003-02-06;270700
PLD;14.1296;27.28;27.64;27.23;27.46;2003-02-07;209000
PLD;14.2436;27.50;27.50;27.21;27.30;2003-02-10;205000
PLD;14.0778;27.18;27.50;27.15;27.50;2003-02-11;153700
PLD;14.0364;27.10;27.42;27.01;27.35;2003-02-12;131900
PLD;14.0467;27.12;27.15;26.85;27.05;2003-02-13;183000
PLD;13.9380;26.91;27.18;26.91;27.00;2003-02-14;241400
PLD;14.0882;27.20;27.50;27.05;27.05;2003-02-18;324600
PLD;14.2177;27.45;27.50;27.00;27.21;2003-02-19;241100
PLD;14.3005;27.61;27.62;27.34;27.55;2003-02-20;211600
PLD;14.4766;27.95;28.14;27.60;27.61;2003-02-21;333300
PLD;14.2332;27.48;27.90;27.48;27.90;2003-02-24;156200
PLD;14.5025;28.00;28.00;27.40;27.40;2003-02-25;235000
PLD;14.3316;27.67;28.00;27.60;28.00;2003-02-26;205300
PLD;14.4715;27.94;27.99;27.70;27.73;2003-02-27;285400
PLD;14.5025;28.00;28.15;27.95;28.05;2003-02-28;230000
PLD;14.4922;27.98;28.07;27.91;28.00;2003-03-03;681700
PLD;14.3834;27.77;28.00;27.75;28.00;2003-03-04;168000
PLD;14.5025;28.00;28.00;27.65;27.65;2003-03-05;158500
PLD;14.3938;27.79;28.00;27.70;28.00;2003-03-06;143200
PLD;14.4766;27.95;28.01;27.67;27.70;2003-03-07;257600
PLD;14.2746;27.56;28.00;27.50;27.95;2003-03-10;197500
PLD;14.3316;27.67;27.80;27.57;27.70;2003-03-11;473100
PLD;14.1970;27.41;27.67;27.29;27.60;2003-03-12;281400
PLD;14.4507;27.90;27.93;27.51;27.60;2003-03-13;450400
PLD;14.4507;27.90;28.05;27.80;27.99;2003-03-14;476100
PLD;14.5802;28.15;28.24;27.70;27.75;2003-03-17;304600
PLD;14.5699;28.13;28.18;27.90;28.02;2003-03-18;346300
PLD;14.6994;28.38;28.38;27.90;28.13;2003-03-19;249500
PLD;14.6320;28.25;28.34;27.93;28.25;2003-03-20;396000
PLD;14.8910;28.75;28.80;28.33;28.35;2003-03-21;360900
PLD;14.5595;28.11;28.60;27.91;28.60;2003-03-24;356900
PLD;14.6994;28.38;28.38;28.03;28.11;2003-03-25;457300
PLD;14.7822;28.54;28.55;28.28;28.35;2003-03-26;220300
PLD;14.6320;28.25;28.50;28.25;28.50;2003-03-27;363300
PLD;14.6890;28.36;28.46;28.25;28.25;2003-03-28;183200
PLD;14.6320;28.25;28.62;28.01;28.36;2003-03-31;347900
