Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
PPG;15.7690;24.3850;24.4350;24.1000;24.4250;2003-02-04;985000
PPG;15.7787;24.4000;24.8950;24.3050;24.3900;2003-02-05;1075400
PPG;15.6008;24.1250;24.4400;24.0200;24.3250;2003-02-06;824000
PPG;15.4230;23.8500;24.3250;23.7600;24.2500;2003-02-07;936800
PPG;15.5458;24.0400;24.1000;23.6000;23.8500;2003-02-10;868600
PPG;15.3325;23.7100;24.1700;23.5300;24.0400;2003-02-11;969800
PPG;15.1967;23.5000;23.9300;23.4900;23.6900;2003-02-12;1028400
PPG;15.3304;23.4900;23.5750;23.2300;23.2900;2003-02-13;890000
PPG;15.4610;23.6900;23.8450;23.1850;23.4950;2003-02-14;1032600
PPG;15.8199;24.2400;24.4350;23.7450;23.7500;2003-02-18;1002600
PPG;15.6274;23.9450;24.2750;23.7900;24.2150;2003-02-19;754800
PPG;15.3663;23.5450;24.0000;23.5100;23.9450;2003-02-20;838400
PPG;15.6339;23.9550;24.0400;23.4100;23.5750;2003-02-21;1061600
PPG;15.2554;23.3750;23.9450;23.3650;23.9400;2003-02-24;1179000
PPG;15.1412;23.2000;23.2250;22.5000;23.1750;2003-02-25;2309600
PPG;15.2097;23.3050;23.6000;23.1850;23.2050;2003-02-26;1126400
PPG;15.2848;23.4200;23.6150;23.1750;23.3050;2003-02-27;1115200
PPG;15.1412;23.2000;23.7250;23.1150;23.4500;2003-02-28;1365600
PPG;15.0694;23.0900;23.6250;23.0750;23.3250;2003-03-03;1118600
PPG;14.5701;22.3250;23.0400;22.2900;23.0000;2003-03-04;1807200
PPG;14.4951;22.2100;22.3250;21.6600;22.3250;2003-03-05;1992400
PPG;14.1296;21.6500;22.1800;21.6450;22.1750;2003-03-06;1717200
PPG;14.2405;21.8200;22.1450;21.4000;21.6500;2003-03-07;1570000
PPG;13.9893;21.4350;21.9000;21.3850;21.8250;2003-03-10;1225200
PPG;13.9142;21.3200;21.6450;21.3050;21.4350;2003-03-11;1631800
PPG;14.1851;21.7350;21.8250;21.3050;21.6400;2003-03-12;2657200
PPG;14.6648;22.4700;22.4700;21.9200;21.9500;2003-03-13;2038200
PPG;14.7137;22.5450;22.7750;22.2500;22.4700;2003-03-14;1748200
PPG;15.1444;23.2050;23.2650;22.2400;22.4950;2003-03-17;1703600
PPG;15.4675;23.7000;23.8500;23.3100;23.3250;2003-03-18;1344800
PPG;15.4805;23.7200;23.8500;23.4300;23.8500;2003-03-19;1620000
PPG;15.4740;23.7100;23.8450;23.2650;23.7200;2003-03-20;1097600
PPG;16.3127;24.9950;25.0250;23.9400;23.9400;2003-03-21;1874000
PPG;15.5491;23.8250;25.0000;23.6950;25.0000;2003-03-24;1849000
PPG;15.5719;23.8600;24.0900;23.6550;23.8400;2003-03-25;1181000
PPG;15.4153;23.6200;23.9250;23.4250;23.8650;2003-03-26;1132800
PPG;15.2325;23.3400;23.5250;23.0750;23.4250;2003-03-27;1522600
PPG;15.1803;23.2600;23.3250;23.0400;23.2250;2003-03-28;1516600
PPG;14.7104;22.5400;23.0500;22.3300;22.3300;2003-03-31;2081600
PPG;15.0988;23.1350;23.3500;22.4250;22.6750;2003-04-01;1972000
PPG;15.5132;23.7700;23.9250;23.4650;23.5000;2003-04-02;1365200
PPG;15.0824;23.1100;23.7750;23.1050;23.7750;2003-04-03;3280000
PPG;15.0531;23.0650;23.3050;22.8350;23.2500;2003-04-04;3236000
PPG;15.2684;23.3950;23.7500;23.3500;23.5000;2003-04-07;2644400
PPG;14.9617;22.9250;23.4000;22.8000;23.3750;2003-04-08;1987400
PPG;14.6811;22.4950;23.0500;22.4500;22.9750;2003-04-09;2170800
PPG;14.9780;22.9500;22.9600;22.4500;22.5150;2003-04-10;1372000
PPG;14.8867;22.8100;23.4250;22.8100;23.1250;2003-04-11;1397600
PPG;14.9715;22.9400;23.0300;22.7000;22.8100;2003-04-14;1878600
PPG;15.1249;23.1750;23.1750;22.5500;22.8850;2003-04-15;1336000
PPG;14.8442;22.7450;23.3000;22.7050;23.2500;2003-04-16;1104400
PPG;15.0368;23.0400;23.0950;22.7100;22.7500;2003-04-17;1656200
PPG;15.0172;23.0100;23.3450;22.8900;23.1650;2003-04-21;1444800
PPG;15.4512;23.6750;23.7150;22.8400;22.9750;2003-04-22;1830200
PPG;15.6143;23.9250;24.0500;23.4500;23.5750;2003-04-23;1652800
PPG;15.4903;23.7350;23.9750;23.2600;23.9250;2003-04-24;1482600
PPG;15.0694;23.0900;23.7350;22.9250;23.7350;2003-04-25;1433800
PPG;15.5491;23.8250;23.8850;23.1800;23.2000;2003-04-28;1016800
PPG;15.6796;24.0250;24.1000;23.7000;23.9250;2003-04-29;1775200
PPG;15.8297;24.2550;24.4600;23.7250;23.9600;2003-04-30;2625800
PPG;15.8036;24.2150;24.2600;23.7450;24.1900;2003-05-01;2130800
PPG;15.9668;24.4650;24.4750;24.1650;24.2150;2003-05-02;1847800
PPG;15.8852;24.3400;24.5200;24.2300;24.4650;2003-05-05;1144600
PPG;15.9146;24.3850;24.5750;24.1700;24.4000;2003-05-06;1435800
PPG;15.6992;24.0550;24.3850;23.7250;24.2100;2003-05-07;2186800
PPG;15.4424;23.4500;23.8400;23.2750;23.7500;2003-05-08;1596800
PPG;15.6103;23.7050;23.8350;23.4500;23.6500;2003-05-09;1417800
PPG;15.8572;24.0800;24.1800;23.4250;23.6800;2003-05-12;1556000
PPG;15.8638;24.0900;24.2850;23.9050;24.0800;2003-05-13;1715800
PPG;15.6564;23.7750;24.2350;23.6100;24.2150;2003-05-14;1837800
PPG;15.8210;24.0250;24.2300;23.7850;23.8000;2003-05-15;2017600
PPG;15.8375;24.0500;24.1400;23.9500;24.0100;2003-05-16;1424400
PPG;15.5642;23.6350;24.0600;23.6000;24.0500;2003-05-19;1508000
PPG;15.5642;23.6350;24.2050;23.3500;23.6650;2003-05-20;1969800
PPG;15.6498;23.7650;23.7650;23.2900;23.5100;2003-05-21;2029000
PPG;15.7650;23.9400;24.0150;23.6200;23.7600;2003-05-22;1800600
PPG;15.7716;23.9500;24.1450;23.7500;24.0650;2003-05-23;1057600
PPG;16.0515;24.3750;24.4250;23.6800;23.8250;2003-05-27;1196200
PPG;16.0284;24.3400;24.3850;24.1200;24.3850;2003-05-28;1538600
PPG;15.8408;24.0550;24.5200;23.9350;24.3500;2003-05-29;2217800
PPG;16.0120;24.3150;24.4500;23.9800;24.0550;2003-05-30;1931000
PPG;16.1371;24.5050;24.8000;24.3050;24.4400;2003-06-02;1766800
PPG;16.2260;24.6400;24.6650;24.3500;24.5900;2003-06-03;2052800
PPG;16.6540;25.2900;25.3100;24.6650;24.6800;2003-06-04;1863400
PPG;16.4828;25.0300;25.5000;24.8000;25.1400;2003-06-05;2082800
PPG;16.3643;24.8500;25.3850;24.8300;25.1750;2003-06-06;1861800
PPG;16.0778;24.4150;24.8900;24.3800;24.8500;2003-06-09;1203400
PPG;16.1964;24.5950;24.7500;24.4550;24.5400;2003-06-10;1311400
PPG;16.4631;25.0000;25.0000;24.5000;24.6500;2003-06-11;1405200
PPG;16.8022;25.5150;25.6000;25.1200;25.2000;2003-06-12;2000400
PPG;16.6178;25.2350;25.6500;25.1000;25.5750;2003-06-13;1342600
PPG;16.9076;25.6750;25.6750;25.2800;25.3000;2003-06-16;1176000
PPG;17.0986;25.9650;26.0000;25.5250;25.7500;2003-06-17;1642800
PPG;16.8582;25.6000;25.9700;25.5200;25.9700;2003-06-18;1604400
PPG;16.8746;25.6250;25.7500;25.4750;25.6050;2003-06-19;1902200
PPG;16.9800;25.7850;26.0400;25.6250;26.0250;2003-06-20;2146200
PPG;16.7528;25.4400;25.7850;25.2500;25.7850;2003-06-23;2038800
PPG;16.7923;25.5000;25.5750;25.4000;25.4300;2003-06-24;2217800
PPG;16.7528;25.4400;25.6750;25.3750;25.5000;2003-06-25;2198200
PPG;17.0195;25.8450;25.9400;25.4000;25.4100;2003-06-26;1590600
PPG;16.7890;25.4950;25.8000;25.4050;25.8000;2003-06-27;1109400
PPG;16.7067;25.3700;25.6500;25.3100;25.4900;2003-06-30;1719400
PPG;16.3610;24.8450;25.3700;24.6000;25.3700;2003-07-01;2872800
PPG;16.4631;25.0000;25.0250;24.8000;24.8450;2003-07-02;2005800
