Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
PPL;7.3197;16.2762;16.4392;16.1644;16.3368;2003-02-04;1379858
PPL;7.1584;15.9176;16.2809;15.9130;16.2809;2003-02-05;840455
PPL;7.0956;15.7779;16.0201;15.7733;15.8711;2003-02-06;1135495
PPL;7.0327;15.6382;15.9921;15.5916;15.9735;2003-02-07;984110
PPL;7.0851;15.7546;15.8478;15.5916;15.6382;2003-02-10;557011
PPL;6.8777;15.2936;15.8105;15.2517;15.7872;2003-02-11;780545
PPL;6.7584;15.0281;15.3867;14.9769;15.3355;2003-02-12;1493021
PPL;6.8359;15.2004;15.3215;14.7394;14.9350;2003-02-13;1552072
PPL;6.8966;15.3355;15.3681;15.0281;15.2004;2003-02-14;1733519
PPL;7.0369;15.6475;15.7034;15.2284;15.3634;2003-02-18;796221
PPL;7.0474;15.6708;15.9502;15.5916;15.6382;2003-02-19;941593
PPL;7.0997;15.7872;15.9549;15.6708;15.6708;2003-02-20;741464
PPL;7.3092;16.2529;16.2995;15.9502;15.9502;2003-02-21;1243075
PPL;7.3029;16.2390;16.4020;16.1318;16.2995;2003-02-24;955336
PPL;7.3155;16.2669;16.3973;16.0899;16.1970;2003-02-25;1268198
PPL;7.1814;15.9689;16.2716;15.9456;16.2716;2003-02-26;1249087
PPL;7.2736;16.1738;16.4113;16.0387;16.0387;2003-02-27;1439339
PPL;7.3657;16.3787;16.4951;16.1644;16.2296;2003-02-28;1895212
PPL;7.3929;16.4392;16.7186;16.4020;16.4346;2003-03-03;735881
PPL;7.3427;16.3274;16.5882;16.1877;16.5324;2003-03-04;1255959
PPL;7.4621;16.5929;16.5929;16.2995;16.2995;2003-03-05;645909
PPL;7.4610;16.4113;16.4625;16.2064;16.3926;2003-03-06;804166
PPL;7.4271;16.3368;16.4858;16.2064;16.2064;2003-03-07;795362
PPL;7.2916;16.0387;16.3926;15.9595;16.2995;2003-03-10;621215
PPL;7.2429;15.9316;16.3042;15.9083;16.1598;2003-03-11;963711
PPL;7.2937;16.0434;16.0667;15.7965;15.9316;2003-03-12;1158901
PPL;7.4208;16.3228;16.3228;16.0667;16.1598;2003-03-13;1232983
PPL;7.4631;16.4159;16.4858;16.3228;16.3833;2003-03-14;1970797
PPL;7.5055;16.5091;16.5463;16.3740;16.4159;2003-03-17;1703242
PPL;7.5457;16.5975;16.6441;16.4299;16.6255;2003-03-18;1141937
PPL;7.6748;16.8816;16.9375;16.5789;16.6441;2003-03-19;994632
PPL;7.6537;16.8351;16.8630;16.6488;16.6488;2003-03-20;1066781
PPL;7.7384;17.0213;17.0213;16.7792;16.9282;2003-03-21;1096414
PPL;7.5902;16.6953;16.9748;16.5556;16.9748;2003-03-24;842603
PPL;7.4038;16.2855;16.8816;16.2064;16.6721;2003-03-25;4745330
PPL;7.4038;16.2855;16.4904;16.1132;16.2995;2003-03-26;1974662
PPL;7.4779;16.4485;16.5044;16.0573;16.2855;2003-03-27;1086751
PPL;7.4843;16.4625;16.5277;16.3833;16.4066;2003-03-28;683487
PPL;7.5393;16.5836;16.7605;16.2669;16.4578;2003-03-31;1852695
PPL;7.5817;16.6767;16.7605;16.4858;16.6721;2003-04-01;897144
PPL;7.5224;16.5463;16.8723;16.5463;16.8118;2003-04-02;1020614
PPL;7.4314;16.3461;16.6255;16.3228;16.5975;2003-04-03;960704
PPL;7.6198;16.7605;16.7652;16.3181;16.3228;2003-04-04;952974
PPL;7.5266;16.5556;17.1052;16.5370;16.9981;2003-04-07;923985
PPL;7.5245;16.5510;16.7373;16.4811;16.5789;2003-04-08;660082
PPL;7.5542;16.6162;16.8583;16.5324;16.5556;2003-04-09;940090
PPL;7.5796;16.6721;16.7838;16.5882;16.7419;2003-04-10;1052180
