Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
PRGO;10.7279;12.32;12.60;12.20;12.56;2003-02-04;176200
PRGO;10.7192;12.31;12.55;12.15;12.40;2003-02-05;415700
PRGO;10.6060;12.18;12.45;12.15;12.45;2003-02-06;299800
PRGO;10.2925;11.82;12.25;11.81;12.18;2003-02-07;238900
PRGO;10.5625;12.13;12.15;11.50;11.61;2003-02-10;336300
PRGO;10.3535;11.89;12.11;11.80;12.11;2003-02-11;262600
PRGO;10.0487;11.54;11.92;11.50;11.92;2003-02-12;193400
PRGO;9.9791;11.46;11.71;11.21;11.71;2003-02-13;216600
PRGO;9.8049;11.26;11.46;10.89;11.40;2003-02-14;387000
PRGO;10.1619;11.67;11.75;11.05;11.05;2003-02-18;220400
PRGO;10.2142;11.73;11.82;11.58;11.58;2003-02-19;162600
PRGO;10.0574;11.55;11.85;11.35;11.70;2003-02-20;156700
PRGO;10.3187;11.85;12.02;11.47;11.54;2003-02-21;225100
PRGO;10.2142;11.73;11.98;11.57;11.82;2003-02-24;278800
PRGO;10.3622;11.90;11.96;11.56;11.63;2003-02-25;132700
PRGO;10.1397;11.62;11.97;11.55;11.92;2003-02-26;167900
PRGO;10.3753;11.89;12.00;11.66;11.75;2003-02-27;147700
PRGO;10.2531;11.75;12.05;11.72;11.83;2003-02-28;102100
PRGO;10.0001;11.46;12.03;11.39;11.71;2003-03-03;194400
PRGO;9.9041;11.35;11.65;11.33;11.45;2003-03-04;261300
PRGO;9.7994;11.23;11.48;11.18;11.32;2003-03-05;208300
PRGO;9.7557;11.18;11.29;11.07;11.20;2003-03-06;306800
PRGO;9.9303;11.38;11.53;11.05;11.22;2003-03-07;228000
PRGO;9.5114;10.90;11.41;10.81;11.23;2003-03-10;174800
PRGO;9.4416;10.82;11.06;10.78;10.91;2003-03-11;322100
PRGO;9.6074;11.01;11.22;10.53;10.55;2003-03-12;194900
PRGO;9.9303;11.38;11.45;11.08;11.08;2003-03-13;170800
PRGO;9.9128;11.36;11.53;11.24;11.45;2003-03-14;128600
PRGO;10.3666;11.88;11.94;11.20;11.25;2003-03-17;208200
PRGO;10.4713;12.00;12.00;11.69;11.71;2003-03-18;191200
PRGO;10.5847;12.13;12.14;11.84;12.04;2003-03-19;173000
PRGO;10.6022;12.15;12.37;11.87;11.87;2003-03-20;108600
PRGO;10.7767;12.35;12.58;12.13;12.56;2003-03-21;309400
PRGO;10.4102;11.93;12.29;11.93;12.12;2003-03-24;182800
PRGO;10.5847;12.13;12.23;12.03;12.09;2003-03-25;175600
PRGO;10.5236;12.06;12.28;12.03;12.12;2003-03-26;165600
PRGO;10.5411;12.08;12.19;11.82;11.99;2003-03-27;245900
PRGO;10.5847;12.13;12.44;12.08;12.21;2003-03-28;158300
PRGO;10.3666;11.88;12.22;11.67;12.10;2003-03-31;239500
PRGO;10.8639;12.45;12.49;11.80;11.82;2003-04-01;264000
PRGO;10.9948;12.60;12.84;12.48;12.58;2003-04-02;288000
PRGO;11.0821;12.70;12.86;12.53;12.73;2003-04-03;159800
PRGO;11.2566;12.90;13.07;12.61;12.70;2003-04-04;362500
PRGO;11.1781;12.81;13.23;12.80;13.00;2003-04-07;502800
PRGO;11.3352;12.99;13.17;12.80;12.80;2003-04-08;235700
PRGO;11.0297;12.64;13.19;12.54;12.98;2003-04-09;150900
PRGO;11.1345;12.76;12.92;12.62;12.64;2003-04-10;80800
PRGO;10.9338;12.53;12.86;12.40;12.75;2003-04-11;118000
PRGO;11.2741;12.92;12.92;12.51;12.58;2003-04-14;101500
PRGO;11.2915;12.94;13.19;12.63;13.13;2003-04-15;175600
PRGO;10.7680;12.34;13.04;12.30;13.04;2003-04-16;113200
PRGO;11.0908;12.71;12.86;12.48;12.83;2003-04-17;164900
PRGO;11.0734;12.69;12.75;12.60;12.75;2003-04-21;111600
PRGO;11.2479;12.89;13.04;12.50;12.70;2003-04-22;148100
PRGO;11.7365;13.45;13.82;13.15;13.15;2003-04-23;396500
PRGO;12.2776;14.07;14.10;13.58;13.90;2003-04-24;319400
PRGO;12.1205;13.89;14.40;13.83;14.10;2003-04-25;388800
PRGO;12.2863;14.08;14.57;13.85;13.90;2003-04-28;454800
PRGO;12.6528;14.50;14.60;13.75;13.75;2003-04-29;517300
PRGO;13.4032;15.36;15.55;14.37;14.37;2003-04-30;507700
PRGO;13.0455;14.95;15.33;14.89;15.16;2003-05-01;716000
PRGO;12.8186;14.69;15.09;14.58;14.90;2003-05-02;684400
PRGO;12.6004;14.44;14.80;14.19;14.80;2003-05-05;639900
PRGO;12.5917;14.43;14.62;14.25;14.44;2003-05-06;476700
PRGO;12.3823;14.19;14.48;14.00;14.48;2003-05-07;501000
PRGO;12.1292;13.90;14.20;13.65;14.05;2003-05-08;511900
PRGO;12.3125;14.11;14.19;13.96;14.04;2003-05-09;399600
PRGO;12.4434;14.26;14.36;13.93;14.03;2003-05-12;423500
PRGO;12.6441;14.49;14.66;14.16;14.27;2003-05-13;781300
PRGO;12.5481;14.38;14.54;14.15;14.44;2003-05-14;231400
PRGO;12.8011;14.67;14.80;14.30;14.30;2003-05-15;287400
PRGO;12.3823;14.19;14.67;14.08;14.38;2003-05-16;377300
PRGO;12.1379;13.91;14.34;13.88;14.20;2003-05-19;475600
PRGO;12.2601;14.05;14.16;13.88;13.88;2003-05-20;181200
PRGO;12.4434;14.26;14.37;13.98;13.98;2003-05-21;339200
PRGO;12.6179;14.46;14.52;14.19;14.31;2003-05-22;275600
PRGO;12.6877;14.54;14.66;14.43;14.50;2003-05-23;142900
PRGO;12.6702;14.52;14.66;14.39;14.51;2003-05-27;243100
PRGO;12.8145;14.66;14.88;14.52;14.67;2003-05-28;230400
PRGO;12.9106;14.77;14.94;14.70;14.72;2003-05-29;228300
PRGO;12.7882;14.63;14.90;14.42;14.84;2003-05-30;686100
