Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
PRU;19.4140;31.30;32.18;30.63;32.18;2003-02-04;3168700
PRU;19.4885;31.42;32.01;31.13;31.30;2003-02-05;2273800
PRU;19.0109;30.65;31.51;30.49;31.49;2003-02-06;3101500
PRU;18.9799;30.60;31.00;30.39;30.99;2003-02-07;1954200
PRU;18.8558;30.40;31.00;29.98;30.80;2003-02-10;1958600
PRU;18.5457;29.90;30.81;29.70;30.52;2003-02-11;2330700
PRU;17.9875;29.00;29.50;28.71;29.00;2003-02-12;3422200
PRU;18.4154;29.69;29.90;29.05;29.09;2003-02-13;2699200
PRU;19.0543;30.72;30.72;29.68;29.68;2003-02-14;2367600
PRU;19.1784;30.92;31.03;30.66;30.90;2003-02-18;1201200
PRU;18.8000;30.31;30.85;30.11;30.75;2003-02-19;2451500
PRU;18.8930;30.46;30.83;30.29;30.56;2003-02-20;1528100
PRU;18.8868;30.45;30.50;30.25;30.46;2003-02-21;1981300
PRU;18.6201;30.02;30.47;29.95;30.46;2003-02-24;1099700
PRU;18.7752;30.27;30.39;29.60;29.82;2003-02-25;1361500
PRU;18.5953;29.98;30.40;29.79;30.30;2003-02-26;1180100
PRU;18.8310;30.36;30.50;29.93;30.10;2003-02-27;1186400
PRU;18.6263;30.03;30.50;29.65;30.41;2003-02-28;2375000
PRU;18.6139;30.01;30.48;29.96;30.22;2003-03-03;1362400
PRU;18.1983;29.34;30.11;29.30;30.01;2003-03-04;1736000
PRU;18.4154;29.69;29.97;29.11;29.19;2003-03-05;1846500
PRU;18.4092;29.68;29.77;29.25;29.64;2003-03-06;1667100
PRU;18.5209;29.86;29.86;29.15;29.43;2003-03-07;1925900
PRU;17.6773;28.50;29.78;28.50;29.77;2003-03-10;1750500
PRU;17.3610;27.99;28.90;27.96;28.65;2003-03-11;2044300
PRU;17.0943;27.56;28.05;27.03;27.80;2003-03-12;1922100
PRU;18.0867;29.16;29.40;27.84;27.84;2003-03-13;3522700
PRU;18.2604;29.44;30.06;29.24;29.50;2003-03-14;1994600
PRU;18.8558;30.40;30.40;29.04;29.28;2003-03-17;1871000
PRU;18.6387;30.05;30.56;29.73;30.50;2003-03-18;1950200
PRU;18.8930;30.46;30.71;30.10;30.20;2003-03-19;2312700
PRU;18.7876;30.29;30.72;29.62;30.39;2003-03-20;2036500
PRU;19.3520;31.20;31.50;30.52;30.94;2003-03-21;2828500
PRU;18.6263;30.03;30.73;29.65;30.70;2003-03-24;1430400
PRU;18.9861;30.61;30.72;29.78;30.00;2003-03-25;1562000
PRU;18.8496;30.39;30.80;30.23;30.39;2003-03-26;1534900
PRU;18.7318;30.20;30.23;29.56;30.16;2003-03-27;1373500
PRU;18.5457;29.90;30.37;29.79;30.09;2003-03-28;993900
PRU;18.1425;29.25;29.86;29.06;29.65;2003-03-31;2101800
PRU;18.5085;29.84;30.25;29.28;29.29;2003-04-01;1519000
PRU;19.0977;30.79;31.24;30.36;30.45;2003-04-02;1796500
PRU;18.7194;30.18;30.89;30.17;30.89;2003-04-03;1445400
PRU;19.0543;30.72;30.80;30.40;30.45;2003-04-04;1245600
PRU;19.3458;31.19;31.89;31.14;31.43;2003-04-07;1845100
PRU;19.3086;31.13;31.45;30.86;31.17;2003-04-08;989800
PRU;18.7008;30.15;31.53;30.15;30.60;2003-04-09;1910500
PRU;18.6573;30.08;30.29;29.70;30.25;2003-04-10;1791000
PRU;18.5891;29.97;30.50;29.82;30.13;2003-04-11;1376300
PRU;19.0605;30.73;30.73;30.04;30.05;2003-04-14;1234600
PRU;19.2032;30.96;31.06;30.60;30.73;2003-04-15;1640100
PRU;18.9365;30.53;31.35;30.44;31.18;2003-04-16;1287100
PRU;19.2280;31.00;31.05;30.55;30.62;2003-04-17;971800
PRU;19.1473;30.87;31.29;30.77;31.10;2003-04-21;754500
PRU;19.8420;31.99;32.05;30.71;30.83;2003-04-22;1857500
PRU;19.8792;32.05;32.29;31.88;32.24;2003-04-23;2017000
PRU;19.6125;31.62;32.10;31.23;32.05;2003-04-24;1441700
PRU;19.5381;31.50;31.97;31.36;31.76;2003-04-25;1331200
PRU;19.8172;31.95;32.14;31.55;31.56;2003-04-28;1417800
PRU;19.7924;31.91;32.05;31.70;31.92;2003-04-29;1889300
PRU;19.8296;31.97;32.16;31.62;31.99;2003-04-30;2371900
PRU;19.6373;31.66;31.97;31.28;31.97;2003-05-01;1615200
PRU;20.0839;32.38;32.47;31.44;31.58;2003-05-02;1444200
PRU;20.0715;32.36;32.47;32.15;32.31;2003-05-05;1329100
PRU;20.0095;32.26;32.64;32.20;32.30;2003-05-06;1952400
PRU;19.8482;32.00;32.45;31.75;31.92;2003-05-07;2473400
PRU;19.8792;32.05;32.40;31.75;31.85;2003-05-08;1791800
PRU;20.1335;32.46;32.50;32.26;32.40;2003-05-09;1996900
PRU;20.4065;32.90;32.91;31.50;32.55;2003-05-12;2370000
PRU;20.3196;32.76;32.92;32.58;32.70;2003-05-13;1893600
PRU;20.2328;32.62;33.00;32.53;32.88;2003-05-14;1779900
PRU;20.3568;32.82;32.90;32.50;32.75;2003-05-15;1789500
PRU;20.4127;32.91;33.25;32.76;32.82;2003-05-16;1881900
PRU;19.8234;31.96;32.62;31.94;32.40;2003-05-19;1579300
PRU;19.6622;31.70;32.29;31.53;32.20;2003-05-20;2338700
PRU;20.0157;32.27;32.30;31.60;31.72;2003-05-21;1799800
PRU;20.3134;32.75;32.82;31.28;32.15;2003-05-22;1786800
PRU;20.3941;32.88;33.12;32.75;32.75;2003-05-23;2164500
PRU;20.5429;33.12;33.36;32.50;32.89;2003-05-27;1971400
PRU;20.5925;33.20;33.36;32.95;33.02;2003-05-28;2453400
PRU;20.2266;32.61;33.42;32.53;33.30;2003-05-29;1971200
PRU;20.7910;33.52;33.55;32.56;32.60;2003-05-30;2289700
PRU;20.6918;33.36;33.84;33.20;33.70;2003-06-02;1794500
PRU;20.8468;33.61;33.78;33.20;33.50;2003-06-03;1527600
PRU;20.7538;33.46;33.70;33.25;33.61;2003-06-04;1660400
PRU;20.7166;33.40;33.57;33.05;33.46;2003-06-05;2029100
PRU;20.5119;33.07;34.00;32.96;33.50;2003-06-06;2460400
PRU;20.3630;32.83;33.09;32.60;32.95;2003-06-09;1435300
PRU;20.4933;33.04;33.05;32.62;32.83;2003-06-10;1119100
PRU;20.8903;33.68;33.68;32.83;32.87;2003-06-11;1420500
PRU;21.0267;33.90;34.20;33.68;33.80;2003-06-12;1675100
PRU;20.8655;33.64;34.12;33.22;34.00;2003-06-13;993300
PRU;21.3989;34.50;34.63;33.68;33.68;2003-06-16;1499400
PRU;21.3120;34.36;34.73;34.29;34.46;2003-06-17;1404300
PRU;21.1942;34.17;34.55;33.97;34.30;2003-06-18;1305700
PRU;20.3010;32.73;34.17;32.73;34.17;2003-06-19;1560600
PRU;20.3754;32.85;33.35;32.71;32.74;2003-06-20;3024300
PRU;20.3320;32.78;33.18;32.62;32.75;2003-06-23;2005700
PRU;20.6174;33.24;33.41;32.75;32.88;2003-06-24;1829400
PRU;20.4561;32.98;33.50;32.91;32.95;2003-06-25;1730300
PRU;20.8531;33.62;33.90;33.10;33.15;2003-06-26;2274500
PRU;20.9647;33.80;34.10;33.66;33.80;2003-06-27;1669000
PRU;20.8717;33.65;34.12;33.52;33.80;2003-06-30;2675200
PRU;21.0887;34.00;34.06;33.51;33.65;2003-07-01;2815000
PRU;21.6470;34.90;34.95;33.98;34.07;2003-07-02;2746500
PRU;21.6036;34.83;35.00;34.41;34.76;2003-07-03;1218600
PRU;21.8951;35.30;35.50;34.87;35.00;2003-07-07;1970600
PRU;21.9881;35.45;35.49;34.89;35.08;2003-07-08;2287200
PRU;21.9881;35.45;35.85;35.29;35.50;2003-07-09;2109300
PRU;21.6656;34.93;35.39;34.81;35.30;2003-07-10;1507200
PRU;21.8269;35.19;35.35;34.87;34.98;2003-07-11;1316400
PRU;22.2362;35.85;36.05;35.32;35.42;2003-07-14;2520900
PRU;21.9881;35.45;36.47;35.30;36.45;2003-07-15;1626700
PRU;21.7090;35.00;35.80;34.72;35.55;2003-07-16;2797600
PRU;21.8020;35.15;35.40;34.99;35.00;2003-07-17;1654500
PRU;22.4719;36.23;36.30;35.30;35.48;2003-07-18;1797400
PRU;22.0874;35.61;36.35;35.25;36.35;2003-07-21;1355200
PRU;21.8951;35.30;35.58;34.99;35.50;2003-07-22;1876500
PRU;21.9075;35.32;35.50;35.22;35.30;2003-07-23;1078200
PRU;21.9385;35.37;36.10;35.27;35.80;2003-07-24;1374700
PRU;22.4223;36.15;36.15;35.20;35.27;2003-07-25;1428600
PRU;22.7634;36.70;36.93;35.85;36.08;2003-07-28;1776900
PRU;22.4533;36.20;36.58;35.91;36.50;2003-07-29;1400300
PRU;22.3479;36.03;36.25;35.73;36.05;2003-07-30;1606700
PRU;22.0688;35.58;36.15;35.46;36.07;2003-07-31;1693800
PRU;21.8951;35.30;35.69;35.04;35.60;2003-08-01;1586800
PRU;21.4919;34.65;35.12;34.35;35.08;2003-08-04;1634600
PRU;21.4733;34.62;35.42;34.56;34.75;2003-08-05;1259600
PRU;22.0501;35.55;35.96;35.14;35.21;2003-08-06;2270700
PRU;22.2672;35.90;35.99;35.22;35.35;2003-08-07;1158900
PRU;22.5463;36.35;36.50;35.99;36.00;2003-08-08;1298000
PRU;22.2734;35.91;36.70;35.77;36.49;2003-08-11;1767100
PRU;22.6828;36.57;36.60;35.76;36.05;2003-08-12;1231500
PRU;22.3106;35.97;36.70;35.82;36.65;2003-08-13;1095700
PRU;22.5401;36.34;36.46;35.71;36.10;2003-08-14;1079900
PRU;22.6704;36.55;36.74;35.95;36.34;2003-08-15;626600
PRU;22.8689;36.87;36.95;36.53;36.54;2003-08-18;985600
PRU;22.9371;36.98;37.12;36.64;37.12;2003-08-19;1301700
PRU;23.0798;37.21;37.37;36.87;36.95;2003-08-20;2423400
PRU;22.6146;36.46;37.23;36.44;37.21;2003-08-21;1564000
PRU;22.2486;35.87;36.69;35.75;36.65;2003-08-22;1271400
PRU;22.2796;35.92;36.08;35.73;35.87;2003-08-25;1323300
PRU;22.5153;36.30;36.49;35.46;35.86;2003-08-26;1145000
PRU;22.1680;35.74;36.41;35.70;36.10;2003-08-27;931000
PRU;22.2548;35.88;35.95;35.65;35.85;2003-08-28;1335000
PRU;22.5836;36.41;36.58;35.81;35.82;2003-08-29;1077300
PRU;23.0488;37.16;37.51;36.32;36.55;2003-09-02;1471900
PRU;23.2286;37.45;37.50;37.00;37.10;2003-09-03;1502100
