Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
PSX;26.1211;34.00;34.21;32.00;33.25;2012-04-12;654700
PSX;28.4259;37.00;37.45;33.91;34.00;2012-04-13;1685000
PSX;28.0802;36.55;37.00;35.99;37.00;2012-04-16;550200
PSX;27.6577;36.00;36.75;36.00;36.40;2012-04-17;179600
PSX;27.6577;36.00;36.44;34.50;36.00;2012-04-18;207100
PSX;27.6577;36.00;37.22;35.80;36.00;2012-04-19;598100
PSX;27.9035;36.32;37.00;36.10;36.10;2012-04-20;149700
PSX;27.4118;35.68;36.24;35.42;36.24;2012-04-23;95700
PSX;26.6973;34.75;36.00;34.68;36.00;2012-04-24;124500
PSX;26.6973;34.75;35.50;34.50;34.80;2012-04-25;266200
PSX;26.8510;34.95;34.99;34.44;34.61;2012-04-26;183900
PSX;26.2056;34.11;35.25;33.97;35.25;2012-04-27;536000
PSX;26.1595;34.05;34.90;34.00;34.34;2012-04-30;4105700
PSX;25.1685;32.76;34.10;32.58;33.74;2012-05-01;6878600
PSX;24.5846;32.00;32.67;31.63;32.60;2012-05-02;11287600
PSX;24.1159;31.39;31.98;31.05;31.93;2012-05-03;11800000
PSX;23.1710;30.16;31.09;30.12;30.85;2012-05-04;10881000
PSX;22.5487;29.35;30.55;29.25;30.10;2012-05-07;12257200
PSX;23.1249;30.10;30.41;28.75;29.09;2012-05-08;14601300
PSX;24.9610;32.49;32.89;29.73;29.81;2012-05-09;13990000
PSX;24.9534;32.48;33.35;31.52;33.05;2012-05-10;8862000
PSX;24.4540;31.83;32.15;31.40;31.73;2012-05-11;4460100
PSX;24.0622;31.32;31.58;30.77;31.19;2012-05-14;6398200
PSX;24.3311;31.67;32.32;31.06;31.35;2012-05-15;6362800
PSX;24.6614;32.10;32.39;31.25;31.46;2012-05-16;6118600
PSX;24.0161;31.26;32.00;31.20;31.89;2012-05-17;5850500
PSX;24.1083;31.38;31.69;30.99;31.43;2012-05-18;7940800
PSX;24.7306;32.19;32.34;30.95;31.23;2012-05-21;5480100
PSX;24.3003;31.63;32.27;31.33;31.88;2012-05-22;5415000
PSX;24.1313;31.41;31.49;30.88;31.35;2012-05-23;5268900
PSX;23.9162;31.13;31.44;30.75;31.42;2012-05-24;4210400
PSX;24.0468;31.30;31.41;30.83;31.01;2012-05-25;3217900
PSX;23.8240;31.01;31.72;30.86;31.28;2012-05-29;3979600
PSX;23.3861;30.44;30.83;30.18;30.79;2012-05-30;6000600
PSX;23.0711;30.03;30.35;29.72;30.26;2012-05-31;8098000
PSX;22.9866;29.92;30.17;29.38;29.50;2012-06-01;5701700
PSX;22.6870;29.53;30.19;29.25;29.30;2012-06-04;4844900
PSX;22.9712;29.90;30.10;29.32;29.37;2012-06-05;4046500
PSX;24.2235;31.53;32.00;29.82;30.03;2012-06-06;8609400
PSX;24.4540;31.83;32.75;31.74;32.07;2012-06-07;7694300
PSX;24.6768;32.12;32.35;31.51;31.66;2012-06-08;4302100
PSX;25.0455;32.60;33.05;32.23;32.45;2012-06-11;5999000
PSX;25.7293;33.49;33.74;32.49;32.56;2012-06-12;6809900
PSX;25.1762;32.77;33.49;32.54;33.27;2012-06-13;2876200
PSX;25.7600;33.53;33.64;32.31;32.77;2012-06-14;4460000
PSX;26.8126;34.90;34.91;33.38;33.60;2012-06-15;9892400
PSX;26.0136;33.86;34.50;33.83;34.38;2012-06-18;4254400
PSX;26.0136;33.86;34.53;33.73;34.06;2012-06-19;4873500
PSX;26.6282;34.66;34.85;33.48;33.79;2012-06-20;4628400
PSX;25.7216;33.48;34.76;33.06;34.70;2012-06-21;3489900
PSX;26.2441;34.16;34.71;33.03;33.65;2012-06-22;4359500
PSX;25.2530;32.87;33.69;32.76;33.69;2012-06-25;3518600
PSX;25.0302;32.58;33.98;32.40;32.81;2012-06-26;3274700
PSX;24.5001;31.89;33.40;31.42;32.61;2012-06-27;3615600
PSX;24.8228;32.31;32.40;31.29;31.54;2012-06-28;3115900
