Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
PWR;3.2659;3.30;3.50;3.26;3.50;2003-02-04;332100
PWR;3.3351;3.37;3.39;3.27;3.35;2003-02-05;349900
PWR;3.1669;3.20;3.42;3.20;3.35;2003-02-06;258900
PWR;3.1570;3.19;3.23;3.18;3.20;2003-02-07;130700
PWR;3.4638;3.50;3.60;3.19;3.20;2003-02-10;379500
PWR;3.3252;3.36;3.51;3.34;3.50;2003-02-11;80900
PWR;3.2956;3.33;3.43;3.30;3.34;2003-02-12;265100
PWR;3.2956;3.33;3.39;3.30;3.35;2003-02-13;253500
PWR;3.1174;3.15;3.40;3.15;3.28;2003-02-14;100300
PWR;3.2065;3.24;3.32;3.15;3.16;2003-02-18;60800
PWR;3.2065;3.24;3.25;3.18;3.22;2003-02-19;48700
PWR;3.2164;3.25;3.31;3.22;3.22;2003-02-20;98900
PWR;3.2263;3.26;3.42;3.18;3.24;2003-02-21;308500
PWR;3.1174;3.15;3.34;3.15;3.26;2003-02-24;354500
PWR;3.0185;3.05;3.15;2.99;3.15;2003-02-25;224600
PWR;3.0382;3.07;3.19;2.95;3.06;2003-02-26;12323400
PWR;3.0976;3.13;3.23;2.96;3.20;2003-02-27;981200
PWR;3.2659;3.30;3.30;3.15;3.15;2003-02-28;443500
PWR;3.2758;3.31;3.32;3.21;3.30;2003-03-03;318800
PWR;3.1471;3.18;3.30;3.18;3.28;2003-03-04;279400
PWR;3.1966;3.23;3.27;3.19;3.19;2003-03-05;125500
PWR;3.0778;3.11;3.24;3.11;3.21;2003-03-06;153700
PWR;3.0185;3.05;3.13;3.03;3.12;2003-03-07;88600
PWR;2.9195;2.95;3.08;2.86;3.03;2003-03-10;168500
PWR;2.8700;2.90;3.00;2.80;3.00;2003-03-11;281300
PWR;2.8898;2.92;3.00;2.82;2.86;2003-03-12;189200
PWR;3.1471;3.18;3.18;2.91;2.96;2003-03-13;235600
PWR;3.0679;3.10;3.15;3.02;3.15;2003-03-14;208500
PWR;3.1075;3.14;3.15;3.07;3.10;2003-03-17;264600
PWR;3.1471;3.18;3.19;3.11;3.15;2003-03-18;219800
PWR;3.1471;3.18;3.22;3.12;3.19;2003-03-19;264000
PWR;3.1669;3.20;3.40;3.15;3.17;2003-03-20;125700
PWR;3.2659;3.30;3.30;3.21;3.25;2003-03-21;280600
PWR;3.2263;3.26;3.30;3.22;3.30;2003-03-24;169000
PWR;3.2164;3.25;3.30;3.25;3.25;2003-03-25;726000
PWR;3.2065;3.24;3.28;3.21;3.25;2003-03-26;295400
PWR;3.1669;3.20;3.25;3.16;3.20;2003-03-27;51900
PWR;3.1471;3.18;3.24;3.17;3.18;2003-03-28;102200
PWR;3.1669;3.20;3.26;3.16;3.18;2003-03-31;104300
PWR;3.2065;3.24;3.25;3.18;3.20;2003-04-01;253500
PWR;3.4737;3.51;3.53;3.24;3.25;2003-04-02;420500
PWR;3.5133;3.55;3.61;3.45;3.55;2003-04-03;2031800
PWR;3.8597;3.90;3.93;3.59;3.60;2003-04-04;673600
PWR;3.7112;3.75;3.93;3.67;3.90;2003-04-07;461200
PWR;3.5430;3.58;3.78;3.58;3.74;2003-04-08;141900
PWR;3.5430;3.58;3.62;3.56;3.57;2003-04-09;186700
PWR;3.5331;3.57;3.60;3.37;3.57;2003-04-10;93100
PWR;3.2758;3.31;3.58;3.21;3.56;2003-04-11;91400
PWR;3.4242;3.46;3.63;3.30;3.31;2003-04-14;119000
PWR;3.4836;3.52;3.59;3.34;3.44;2003-04-15;92500
PWR;3.3153;3.35;3.58;3.35;3.56;2003-04-16;47300
PWR;3.3648;3.40;3.47;3.36;3.36;2003-04-17;62500
PWR;3.4638;3.50;3.56;3.35;3.39;2003-04-21;274200
PWR;3.4341;3.47;3.55;3.35;3.45;2003-04-22;1381900
PWR;3.5034;3.54;3.54;3.40;3.45;2003-04-23;114600
PWR;3.5331;3.57;3.60;3.50;3.53;2003-04-24;387100
PWR;3.4836;3.52;3.60;3.52;3.59;2003-04-25;94700
PWR;3.5133;3.55;3.60;3.54;3.56;2003-04-28;190000
PWR;3.5133;3.55;3.70;3.53;3.60;2003-04-29;391700
PWR;3.4143;3.45;3.57;3.35;3.52;2003-04-30;672300
PWR;3.3648;3.40;3.50;3.40;3.45;2003-05-01;384200
PWR;3.4143;3.45;3.50;3.40;3.40;2003-05-02;481100
PWR;3.4638;3.50;3.52;3.44;3.48;2003-05-05;2784600
PWR;4.4040;4.45;4.60;3.57;3.57;2003-05-06;2116900
PWR;4.8592;4.91;5.07;4.40;4.50;2003-05-07;1164400
PWR;4.8493;4.90;4.90;4.74;4.81;2003-05-08;385800
PWR;4.9285;4.98;4.99;4.78;4.88;2003-05-09;702800
PWR;5.1462;5.20;5.33;4.96;4.98;2003-05-12;1082100
PWR;5.0571;5.11;5.23;5.03;5.17;2003-05-13;472600
PWR;5.2650;5.32;5.44;5.12;5.12;2003-05-14;857800
PWR;5.0472;5.10;5.40;5.00;5.40;2003-05-15;714700
PWR;4.8196;4.87;5.10;4.87;5.10;2003-05-16;537200
PWR;4.6316;4.68;4.85;4.50;4.84;2003-05-19;861700
PWR;4.7207;4.77;5.00;4.65;4.82;2003-05-20;654400
PWR;4.7800;4.83;4.83;4.61;4.78;2003-05-21;355100
PWR;4.8493;4.90;5.07;4.77;4.82;2003-05-22;321900
PWR;5.0176;5.07;5.10;4.90;4.90;2003-05-23;250400
PWR;5.3837;5.44;5.52;5.12;5.12;2003-05-27;812200
PWR;5.3738;5.43;5.71;5.38;5.46;2003-05-28;432400
PWR;5.9577;6.02;6.08;5.40;5.40;2003-05-29;1269600
PWR;5.9478;6.01;6.10;5.85;6.01;2003-05-30;393800
PWR;6.1755;6.24;6.43;6.02;6.04;2003-06-02;638500
PWR;7.0464;7.12;7.23;6.25;6.30;2003-06-03;2243200
PWR;8.0657;8.15;8.20;7.60;8.00;2003-06-04;6331600
PWR;8.1152;8.20;8.32;7.99;8.10;2003-06-05;892900
PWR;8.1152;8.20;8.70;8.10;8.15;2003-06-06;684300
PWR;7.6105;7.69;8.15;7.69;8.15;2003-06-09;908100
PWR;7.6006;7.68;7.73;7.43;7.60;2003-06-10;563300
PWR;7.8678;7.95;8.03;7.54;7.69;2003-06-11;243100
PWR;7.7886;7.87;7.96;7.75;7.93;2003-06-12;160700
PWR;7.3630;7.44;7.86;7.27;7.85;2003-06-13;436700
PWR;7.5214;7.60;7.60;7.50;7.50;2003-06-16;689400
PWR;7.2542;7.33;7.60;6.99;7.60;2003-06-17;493600
PWR;7.3235;7.40;7.48;7.23;7.37;2003-06-18;475800
PWR;7.1453;7.22;7.40;7.19;7.38;2003-06-19;217200
PWR;7.3235;7.40;7.40;7.35;7.35;2003-06-20;518900
PWR;7.2839;7.36;7.40;7.22;7.40;2003-06-23;285300
PWR;6.9870;7.06;7.40;6.95;7.36;2003-06-24;305500
PWR;6.9276;7.00;7.25;6.86;7.08;2003-06-25;405000
PWR;7.0266;7.10;7.19;6.97;6.97;2003-06-26;312200
PWR;7.0167;7.09;7.10;7.01;7.10;2003-06-27;619200
PWR;7.0266;7.10;7.10;6.88;7.08;2003-06-30;1182800
PWR;7.0464;7.12;7.12;7.05;7.10;2003-07-01;762100
PWR;7.0365;7.11;7.12;7.05;7.08;2003-07-02;476200
PWR;6.9672;7.04;7.10;6.95;7.05;2003-07-03;124500
PWR;7.5016;7.58;7.58;7.05;7.07;2003-07-07;710000
PWR;7.8183;7.90;8.05;7.58;7.58;2003-07-08;600400
PWR;7.8678;7.95;7.99;7.66;7.90;2003-07-09;428400
PWR;7.7193;7.80;7.95;7.45;7.95;2003-07-10;446700
PWR;7.6599;7.74;7.83;7.58;7.78;2003-07-11;280800
PWR;7.7193;7.80;7.94;7.75;7.84;2003-07-14;319000
PWR;7.5412;7.62;7.84;7.60;7.81;2003-07-15;328400
PWR;7.4224;7.50;7.64;7.32;7.64;2003-07-16;346800
PWR;7.0859;7.16;7.44;7.16;7.42;2003-07-17;280200
PWR;7.2245;7.30;7.30;6.97;7.16;2003-07-18;277200
PWR;6.9375;7.01;7.22;7.00;7.21;2003-07-21;185300
PWR;7.2443;7.32;7.39;6.85;7.00;2003-07-22;311900
PWR;7.1651;7.24;7.36;7.02;7.25;2003-07-23;134300
PWR;7.0266;7.10;7.33;7.05;7.26;2003-07-24;213600
PWR;7.0859;7.16;7.23;7.00;7.10;2003-07-25;231400
PWR;7.3729;7.45;7.45;7.15;7.15;2003-07-28;181000
PWR;7.2047;7.28;7.44;7.17;7.42;2003-07-29;231100
PWR;7.3531;7.43;7.45;7.14;7.25;2003-07-30;228700
PWR;7.4719;7.55;7.75;7.42;7.43;2003-07-31;287500
PWR;6.9375;7.01;7.45;6.95;7.45;2003-08-01;281300
PWR;6.8484;6.92;7.06;6.79;7.01;2003-08-04;238700
PWR;6.6604;6.73;6.97;6.65;6.95;2003-08-05;284900
PWR;4.6118;4.66;6.40;4.48;6.40;2003-08-06;3481300
PWR;4.8493;4.90;5.05;4.70;4.70;2003-08-07;1724100
PWR;4.8988;4.95;5.08;4.83;4.91;2003-08-08;512000
PWR;5.1363;5.19;5.19;4.86;4.86;2003-08-11;265900
PWR;5.4827;5.54;5.59;5.24;5.30;2003-08-12;365800
PWR;5.2650;5.32;5.73;5.30;5.62;2003-08-13;305500
PWR;5.3244;5.38;5.57;5.32;5.38;2003-08-14;153700
PWR;6.8286;6.90;7.32;6.50;7.00;2003-08-15;3881400
PWR;7.4224;7.50;7.75;7.40;7.50;2003-08-18;2355400
PWR;7.3235;7.40;7.60;7.40;7.50;2003-08-19;1052000
PWR;7.7490;7.83;7.83;7.25;7.35;2003-08-20;1181500
PWR;8.1350;8.22;8.50;7.91;7.91;2003-08-21;1012400
PWR;8.2339;8.32;8.33;8.12;8.15;2003-08-22;1096100
PWR;8.3032;8.39;8.46;8.20;8.40;2003-08-25;978900
PWR;8.8277;8.92;8.92;8.43;8.45;2003-08-26;1042000
PWR;9.0554;9.15;9.25;8.83;8.95;2003-08-27;1193300
PWR;9.0652;9.16;9.35;9.00;9.13;2003-08-28;937500
PWR;9.4116;9.51;9.51;9.00;9.12;2003-08-29;594700
PWR;9.5007;9.60;9.63;9.22;9.50;2003-09-02;655000
PWR;9.6195;9.72;9.80;9.56;9.60;2003-09-03;515700
PWR;9.5997;9.70;9.87;9.48;9.72;2003-09-04;456000
PWR;9.0850;9.18;9.55;8.95;9.55;2003-09-05;1234000
PWR;9.1048;9.20;9.45;9.01;9.18;2003-09-08;602300
PWR;9.1246;9.22;9.22;9.02;9.12;2003-09-09;468200
PWR;8.4913;8.58;9.15;8.55;9.15;2003-09-10;635300
PWR;8.8376;8.93;9.04;8.58;8.59;2003-09-11;650000
PWR;8.9069;9.00;9.13;8.77;8.85;2003-09-12;418500
PWR;8.8673;8.96;9.31;8.90;8.96;2003-09-15;337000
PWR;9.0949;9.19;9.22;8.84;8.88;2003-09-16;408100
PWR;9.1642;9.26;9.28;9.07;9.19;2003-09-17;171300
PWR;9.2533;9.35;9.35;9.01;9.25;2003-09-18;252400
PWR;9.6788;9.78;9.78;9.45;9.45;2003-09-19;832200
PWR;9.0554;9.15;9.51;9.11;9.50;2003-09-22;471400
PWR;9.4017;9.50;9.50;9.08;9.11;2003-09-23;230900
PWR;8.7486;8.84;9.50;8.83;9.50;2003-09-24;360500
PWR;8.5407;8.63;8.99;8.50;8.82;2003-09-25;310100
PWR;7.8678;7.95;8.56;7.90;8.55;2003-09-26;646700
PWR;8.5209;8.61;8.65;8.05;8.05;2003-09-29;460000
PWR;8.1845;8.27;8.74;8.12;8.57;2003-09-30;391700
PWR;8.6100;8.70;8.80;8.33;8.35;2003-10-01;343800
PWR;8.5308;8.62;8.87;8.35;8.73;2003-10-02;324800
PWR;8.6100;8.70;8.90;8.61;8.69;2003-10-03;370900
PWR;9.0059;9.10;9.10;8.67;8.67;2003-10-06;272600
PWR;9.0059;9.10;9.10;8.82;9.03;2003-10-07;191100
PWR;8.8574;8.95;9.06;8.85;9.01;2003-10-08;175200
PWR;7.6006;7.68;8.32;7.55;8.32;2003-10-09;6081500
PWR;7.2839;7.36;7.60;7.28;7.60;2003-10-10;7608400
PWR;7.5313;7.61;7.61;7.39;7.46;2003-10-13;3349600
PWR;7.6006;7.68;7.73;7.54;7.61;2003-10-14;1417400
PWR;7.4620;7.54;7.74;7.54;7.72;2003-10-15;1737600
PWR;7.6105;7.69;7.83;7.54;7.54;2003-10-16;2499500
PWR;7.2641;7.34;7.80;7.30;7.79;2003-10-17;1514000
PWR;7.3136;7.39;7.45;7.34;7.35;2003-10-20;1290900
PWR;7.7589;7.84;7.86;7.48;7.50;2003-10-21;3295200
PWR;7.4917;7.57;7.80;7.51;7.80;2003-10-22;820300
PWR;7.5412;7.62;7.74;7.45;7.50;2003-10-23;780000
PWR;7.4818;7.56;7.80;7.48;7.79;2003-10-24;520000
PWR;7.8975;7.98;8.02;7.72;7.72;2003-10-27;1605600
PWR;8.2438;8.33;8.34;7.95;8.00;2003-10-28;1633200
PWR;8.1647;8.25;8.33;8.11;8.33;2003-10-29;661400
PWR;8.0855;8.17;8.60;8.00;8.60;2003-10-30;785600
PWR;8.0954;8.18;8.39;8.12;8.22;2003-10-31;399300
PWR;8.3032;8.39;8.42;8.20;8.28;2003-11-03;813600
PWR;8.2141;8.30;8.48;8.20;8.35;2003-11-04;705000
PWR;8.3230;8.41;8.49;8.26;8.33;2003-11-05;1216800
PWR;8.3824;8.47;8.48;8.26;8.40;2003-11-06;1057800
PWR;8.1449;8.23;8.54;8.14;8.50;2003-11-07;590200
PWR;7.9172;8.00;8.38;7.98;8.35;2003-11-10;1264700
PWR;7.9370;8.02;8.05;7.78;7.92;2003-11-11;1350400
PWR;8.1647;8.25;8.25;8.01;8.01;2003-11-12;1802200
PWR;7.5412;7.62;7.97;7.55;7.80;2003-11-13;2633000
PWR;7.5115;7.59;7.97;7.50;7.61;2003-11-14;1116500
PWR;7.6204;7.70;7.80;7.53;7.56;2003-11-17;907300
PWR;7.3037;7.38;7.78;7.36;7.68;2003-11-18;598700
PWR;7.5907;7.67;7.75;7.30;7.41;2003-11-19;879600
PWR;7.4026;7.48;7.65;7.37;7.53;2003-11-20;467900
PWR;7.4323;7.51;7.52;7.37;7.52;2003-11-21;467400
PWR;7.7886;7.87;7.90;7.46;7.50;2003-11-24;924400
PWR;7.6401;7.72;7.84;7.64;7.78;2003-11-25;528900
PWR;7.7094;7.79;7.88;7.57;7.72;2003-11-26;809400
PWR;7.5709;7.65;7.80;7.65;7.73;2003-11-28;157400
PWR;7.9074;7.99;8.00;7.60;7.65;2003-12-01;1186000
PWR;7.7094;7.79;7.94;7.76;7.89;2003-12-02;424400
PWR;7.5214;7.60;7.86;7.54;7.79;2003-12-03;391300
PWR;7.4224;7.50;7.69;7.32;7.60;2003-12-04;490800
PWR;7.5313;7.61;7.65;7.40;7.50;2003-12-05;552000
PWR;7.5115;7.59;7.73;7.50;7.55;2003-12-08;1209000
PWR;7.2740;7.35;7.66;7.33;7.56;2003-12-09;624100
PWR;7.0464;7.12;7.50;6.95;7.40;2003-12-10;782600
PWR;7.4224;7.50;7.50;7.08;7.12;2003-12-11;1422900
PWR;7.4719;7.55;7.59;7.34;7.50;2003-12-12;504900
PWR;7.3927;7.47;7.83;7.44;7.75;2003-12-15;514900
PWR;7.4125;7.49;7.58;7.35;7.45;2003-12-16;345500
PWR;7.3927;7.47;7.53;7.34;7.43;2003-12-17;379900
PWR;7.6500;7.73;7.77;7.41;7.51;2003-12-18;507500
PWR;7.6204;7.70;7.75;7.42;7.69;2003-12-19;569400
PWR;7.6599;7.74;7.75;7.46;7.61;2003-12-22;535500
PWR;7.8084;7.89;7.91;7.55;7.72;2003-12-23;493300
PWR;7.6105;7.69;7.95;7.65;7.89;2003-12-24;168400
PWR;7.7193;7.80;7.95;7.73;7.75;2003-12-26;112600
PWR;7.7193;7.80;7.95;7.74;7.82;2003-12-29;572400
PWR;7.6500;7.73;7.81;7.66;7.80;2003-12-30;739000
PWR;7.2245;7.30;7.75;7.30;7.75;2003-12-31;944700
PWR;7.2047;7.28;7.61;7.28;7.38;2004-01-02;629400
PWR;7.4818;7.56;7.59;7.32;7.33;2004-01-05;1207100
PWR;7.3927;7.47;7.63;7.46;7.55;2004-01-06;591100
PWR;7.6006;7.68;7.71;7.52;7.54;2004-01-07;1081600
PWR;7.6105;7.69;7.83;7.61;7.75;2004-01-08;236100
PWR;7.3927;7.47;7.75;7.47;7.60;2004-01-09;694900
PWR;7.5610;7.64;7.65;7.46;7.57;2004-01-12;531900
PWR;8.1251;8.21;8.24;7.60;7.62;2004-01-13;1537700
PWR;8.1746;8.26;8.33;8.05;8.30;2004-01-14;824700
PWR;8.2339;8.32;8.36;8.02;8.16;2004-01-15;478400
PWR;8.4517;8.54;8.60;8.23;8.34;2004-01-16;498800
PWR;9.0059;9.10;9.20;8.42;8.80;2004-01-20;2750100
PWR;8.9267;9.02;9.25;8.80;8.95;2004-01-21;2163300
