Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
RCL;11.6369;15.20;15.38;15.02;15.28;2003-02-04;786400
RCL;11.4837;15.00;15.35;15.00;15.20;2003-02-05;1643200
RCL;11.1392;14.55;14.94;14.53;14.82;2003-02-06;1299100
RCL;11.0550;14.44;14.80;14.36;14.68;2003-02-07;871200
RCL;10.9325;14.28;14.52;14.05;14.52;2003-02-10;1259900
RCL;10.8942;14.23;14.56;14.20;14.34;2003-02-11;565300
RCL;10.3890;13.57;14.19;13.57;14.15;2003-02-12;1165700
RCL;10.1440;13.25;13.93;13.22;13.70;2003-02-13;1661500
RCL;10.4655;13.67;13.72;13.26;13.26;2003-02-14;1355600
RCL;10.6033;13.85;14.12;13.67;13.67;2003-02-18;883800
RCL;10.4425;13.64;13.85;13.44;13.85;2003-02-19;1680600
RCL;10.4119;13.60;14.00;13.50;13.55;2003-02-20;757800
RCL;10.6875;13.96;14.08;13.59;13.70;2003-02-21;1178900
RCL;10.2435;13.38;13.87;13.38;13.87;2003-02-24;803700
RCL;10.1669;13.28;13.30;12.72;12.99;2003-02-25;1494300
RCL;10.1057;13.20;13.44;13.05;13.21;2003-02-26;875900
RCL;10.3067;13.33;13.48;13.14;13.14;2003-02-27;978600
RCL;10.4768;13.55;13.78;13.44;13.44;2003-02-28;825800
RCL;10.6701;13.80;14.10;13.65;13.65;2003-03-03;1046200
RCL;10.1134;13.08;13.67;13.00;13.62;2003-03-04;1872900
RCL;9.8969;12.80;13.10;12.65;13.05;2003-03-05;1328100
RCL;9.8196;12.70;12.86;12.47;12.81;2003-03-06;628200
RCL;10.1212;13.09;13.24;12.42;12.52;2003-03-07;884700
RCL;9.8583;12.75;12.88;12.60;12.88;2003-03-10;911700
RCL;9.8351;12.72;13.06;12.63;12.85;2003-03-11;883900
RCL;10.0129;12.95;13.12;12.80;12.86;2003-03-12;1542400
RCL;10.7242;13.87;13.87;13.06;13.10;2003-03-13;1338400
RCL;10.8248;14.00;14.18;13.53;13.82;2003-03-14;1375700
RCL;11.1340;14.40;14.44;13.39;14.00;2003-03-17;1272800
RCL;11.4974;14.87;14.87;14.45;14.58;2003-03-18;1037700
RCL;11.7526;15.20;15.66;15.03;15.20;2003-03-19;1645600
RCL;11.8763;15.36;15.36;14.62;15.20;2003-03-20;1029000
RCL;12.8737;16.65;17.00;15.35;15.48;2003-03-21;2248700
RCL;12.0232;15.55;16.40;15.20;16.40;2003-03-24;1923600
RCL;12.2474;15.84;15.97;15.55;15.59;2003-03-25;715100
RCL;11.9459;15.45;15.79;15.38;15.72;2003-03-26;541900
RCL;11.9072;15.40;15.51;15.08;15.29;2003-03-27;1166500
RCL;11.8377;15.31;15.50;15.23;15.40;2003-03-28;403300
RCL;11.6212;15.03;15.08;14.75;15.08;2003-03-31;1205900
RCL;11.3428;14.67;14.85;14.60;14.83;2003-04-01;1494700
RCL;12.1701;15.74;15.91;14.67;15.68;2003-04-02;1645500
RCL;12.2552;15.85;16.05;15.52;15.98;2003-04-03;907500
RCL;12.3712;16.00;16.21;15.76;16.01;2003-04-04;799600
RCL;12.7655;16.51;16.98;16.40;16.65;2003-04-07;1500600
RCL;12.8428;16.61;16.74;16.27;16.50;2003-04-08;836300
