Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
RE;35.8257;49.45;49.72;48.58;49.00;2003-02-04;935900
RE;35.8475;49.48;50.32;49.46;50.15;2003-02-05;381500
RE;34.8766;48.14;49.65;48.10;49.50;2003-02-06;513700
RE;34.9563;48.25;48.90;47.90;48.39;2003-02-07;441600
RE;35.2824;48.70;49.14;48.07;48.25;2003-02-10;419500
RE;35.9489;49.62;50.30;48.40;48.50;2003-02-11;1217900
RE;35.7243;49.31;50.30;49.31;49.70;2003-02-12;1023400
RE;36.7023;50.66;50.80;49.51;49.56;2003-02-13;1284300
RE;37.3833;51.60;51.85;50.53;50.85;2003-02-14;710800
RE;37.6297;51.94;52.47;51.70;51.75;2003-02-18;588000
RE;37.6369;51.95;52.10;51.20;51.94;2003-02-19;362000
RE;37.6949;52.03;52.16;51.60;51.90;2003-02-20;341700
RE;39.0424;53.89;53.89;51.60;52.00;2003-02-21;819400
RE;38.2455;52.79;53.75;52.63;53.75;2003-02-24;380200
RE;38.1513;52.66;53.15;52.01;52.54;2003-02-25;353700
RE;37.4848;51.74;52.67;51.65;52.67;2003-02-26;351100
RE;38.5299;53.09;53.20;51.64;51.90;2003-02-27;550600
RE;38.7548;53.40;53.91;53.08;53.08;2003-02-28;465700
RE;38.7693;53.42;53.85;53.00;53.65;2003-03-03;464300
RE;38.3629;52.86;53.42;52.68;53.41;2003-03-04;255500
RE;38.5226;53.08;53.75;52.70;52.90;2003-03-05;348400
RE;38.1815;52.61;52.97;52.34;52.95;2003-03-06;232500
RE;38.3920;52.90;53.07;52.09;52.25;2003-03-07;344500
RE;37.3687;51.49;52.95;51.43;52.91;2003-03-10;198900
RE;36.2655;49.97;51.68;49.84;51.09;2003-03-11;425600
RE;36.1639;49.83;50.19;49.02;49.90;2003-03-12;522400
RE;37.9347;52.27;52.40;50.33;50.43;2003-03-13;304400
RE;38.7403;53.38;53.95;52.06;52.42;2003-03-14;668200
RE;40.0321;55.16;55.16;52.74;52.88;2003-03-17;804900
RE;39.6910;54.69;55.75;54.51;55.16;2003-03-18;424400
RE;40.1918;55.38;55.65;54.68;54.68;2003-03-19;319600
RE;40.7144;56.10;56.25;54.25;55.38;2003-03-20;343000
RE;41.6723;57.42;57.65;55.57;56.65;2003-03-21;383700
RE;40.7216;56.11;57.42;55.75;57.42;2003-03-24;435600
RE;40.6853;56.06;56.60;55.80;56.20;2003-03-25;277800
RE;40.5184;55.83;56.36;55.35;55.66;2003-03-26;240000
RE;40.7869;56.20;56.55;55.24;55.58;2003-03-27;174800
RE;41.5127;57.20;57.42;55.95;56.08;2003-03-28;527100
RE;41.5199;57.21;57.90;56.25;56.85;2003-03-31;446600
RE;41.6215;57.35;57.70;56.70;57.30;2003-04-01;323500
RE;42.1441;58.07;59.00;58.04;58.10;2003-04-02;407700
RE;42.6738;58.80;59.34;57.82;58.33;2003-04-03;539300
RE;43.2835;59.64;60.09;59.03;59.05;2003-04-04;520900
RE;42.3836;58.40;61.10;58.40;61.00;2003-04-07;948800
RE;42.5795;58.67;58.80;58.06;58.40;2003-04-08;535400
RE;42.9351;59.16;59.81;58.48;58.70;2003-04-09;569000
RE;42.4924;58.55;59.45;58.30;59.15;2003-04-10;387900
RE;43.0367;59.30;59.53;58.75;59.20;2003-04-11;289700
RE;43.6972;60.21;60.35;59.35;59.35;2003-04-14;269800
RE;43.5375;59.99;60.80;59.94;60.21;2003-04-15;700100
RE;43.7843;60.33;60.45;60.05;60.12;2003-04-16;351100
RE;44.0455;60.69;60.75;60.08;60.08;2003-04-17;336200
RE;44.5971;61.45;61.55;60.75;60.78;2003-04-21;419600
RE;52.0360;71.70;71.70;66.00;66.00;2003-04-22;3871300
RE;52.9867;73.01;73.09;70.50;70.70;2003-04-23;1525200
RE;50.1853;69.15;70.36;68.70;69.01;2003-04-24;2390700
RE;50.2506;69.24;69.73;68.92;69.00;2003-04-25;823500
RE;50.8820;70.11;70.70;68.50;68.50;2003-04-28;725600
RE;50.6934;69.85;70.16;69.48;70.10;2003-04-29;688900
RE;50.5482;69.65;70.15;69.51;69.86;2003-04-30;758500
RE;50.7950;69.99;70.25;69.00;69.65;2003-05-01;660500
RE;50.8748;70.10;70.30;69.56;69.70;2003-05-02;597400
RE;50.8095;70.01;70.60;69.69;70.35;2003-05-05;414100
RE;50.2942;69.30;70.35;69.10;70.02;2003-05-06;648700
RE;49.5249;68.24;69.30;68.24;69.30;2003-05-07;459400
RE;49.5684;68.30;68.55;67.25;67.50;2003-05-08;1173500
RE;50.2071;69.18;69.23;68.25;68.39;2003-05-09;531900
RE;51.6151;71.12;71.15;68.56;69.18;2003-05-12;705700
RE;50.8385;70.05;71.00;69.88;70.94;2003-05-13;402200
RE;51.4554;70.90;71.00;70.16;70.30;2003-05-14;371500
RE;51.2232;70.58;71.10;70.26;71.08;2003-05-15;349500
RE;51.2014;70.55;70.95;70.21;70.45;2003-05-16;457100
RE;50.3305;69.35;71.15;69.35;71.15;2003-05-19;486600
RE;50.4829;69.56;70.03;68.94;69.47;2003-05-20;263100
RE;51.0925;70.40;70.42;69.16;69.56;2003-05-21;523600
RE;51.5860;71.08;71.19;70.45;70.85;2003-05-22;481900
RE;51.4481;70.89;71.15;70.63;71.15;2003-05-23;312400
RE;51.7820;71.35;71.82;70.50;70.89;2003-05-27;345600
RE;51.9271;71.55;72.45;71.55;71.90;2003-05-28;540700
RE;52.2469;71.90;73.50;71.60;71.60;2003-05-29;524400
RE;53.0462;73.00;73.40;72.04;72.04;2003-05-30;768700
RE;53.9981;74.31;75.43;73.30;73.30;2003-06-02;653400
RE;53.0462;73.00;74.82;72.70;74.31;2003-06-03;587300
RE;53.1697;73.17;73.72;72.80;73.00;2003-06-04;529900
RE;53.9691;74.27;74.35;73.36;73.50;2003-06-05;602500
RE;54.6884;75.26;75.85;75.02;75.50;2003-06-06;752100
RE;53.3732;73.45;75.40;73.16;75.26;2003-06-09;578400
RE;53.7728;74.00;74.10;73.41;73.70;2003-06-10;1000800
RE;55.0736;75.79;75.85;74.00;74.10;2003-06-11;431400
RE;55.8148;76.81;77.00;75.97;76.80;2003-06-12;668700
RE;54.8919;75.54;77.00;75.43;76.96;2003-06-13;582700
RE;56.0981;77.20;77.53;75.76;76.00;2003-06-16;502400
RE;56.7303;78.07;78.49;76.50;78.20;2003-06-17;677700
RE;56.7158;78.05;78.59;77.42;78.07;2003-06-18;302300
RE;55.4660;76.33;78.05;76.20;78.05;2003-06-19;449100
RE;55.1535;75.90;76.54;75.90;76.36;2003-06-20;474900
RE;54.5213;75.03;76.00;75.03;75.89;2003-06-23;473300
RE;55.9092;76.94;77.51;75.05;75.05;2003-06-24;665400
RE;55.8438;76.85;78.16;76.85;77.40;2003-06-25;489000
RE;55.9455;76.99;77.60;75.50;76.85;2003-06-26;1002600
RE;55.7493;76.72;77.70;76.61;77.00;2003-06-27;369400
RE;55.5895;76.50;77.20;76.35;76.92;2003-06-30;240600
RE;55.7348;76.70;76.80;76.10;76.51;2003-07-01;699300
RE;56.3162;77.50;77.60;76.61;76.90;2003-07-02;332900
RE;56.3961;77.61;78.04;77.25;77.40;2003-07-03;190200
RE;56.3670;77.57;78.12;77.46;77.66;2003-07-07;433100
RE;56.5850;77.87;78.00;77.41;77.50;2003-07-08;301200
RE;56.0255;77.10;78.00;76.94;77.80;2003-07-09;425600
RE;55.4151;76.26;77.00;75.25;76.95;2003-07-10;557600
RE;55.3279;76.14;76.50;75.53;76.40;2003-07-11;340600
RE;55.9528;77.00;77.40;76.82;77.00;2003-07-14;310000
RE;56.4542;77.69;78.70;77.57;78.25;2003-07-15;360900
RE;54.8992;75.55;77.80;75.50;77.80;2003-07-16;463000
RE;54.2088;74.60;75.95;74.59;75.50;2003-07-17;479700
RE;55.2988;76.10;76.31;74.64;74.85;2003-07-18;355200
RE;56.3525;77.55;78.07;75.80;76.10;2003-07-21;811800
RE;56.4687;77.71;78.75;76.10;78.00;2003-07-22;1078900
RE;55.3352;76.15;77.62;74.35;77.62;2003-07-23;1563200
RE;54.7684;75.37;77.16;75.31;76.30;2003-07-24;556900
RE;55.0518;75.76;75.94;75.00;75.62;2003-07-25;330500
RE;55.6839;76.63;77.00;75.55;75.61;2003-07-28;405000
RE;55.2116;75.98;76.60;75.10;76.60;2003-07-29;448700
RE;54.8628;75.50;76.30;75.10;76.23;2003-07-30;245800
RE;54.9137;75.57;76.40;75.37;76.00;2003-07-31;366000
RE;54.2597;74.67;75.57;74.10;75.57;2003-08-01;545900
RE;53.6275;73.80;74.34;72.72;74.25;2003-08-04;615700
RE;53.3950;73.48;74.92;73.02;74.00;2003-08-05;719000
RE;53.7220;73.93;74.45;73.28;73.48;2003-08-06;438600
RE;53.6202;73.79;73.87;72.85;73.87;2003-08-07;485400
RE;53.8455;74.10;74.70;73.65;73.99;2003-08-08;205700
RE;53.4894;73.61;74.50;73.10;74.20;2003-08-11;405200
RE;53.7874;74.02;74.30;73.67;73.86;2003-08-12;165800
RE;53.2860;73.33;74.35;73.30;74.15;2003-08-13;283600
RE;53.3441;73.41;73.66;73.20;73.45;2003-08-14;341700
RE;53.3223;73.38;73.61;73.03;73.51;2003-08-15;115300
RE;53.2351;73.26;73.50;73.16;73.23;2003-08-18;425600
RE;53.0462;73.00;73.50;72.72;73.36;2003-08-19;401000
RE;52.6901;72.51;72.90;72.25;72.30;2003-08-20;464400
RE;53.0389;72.99;73.43;72.60;72.60;2003-08-21;237300
RE;52.6974;72.52;73.30;72.50;73.20;2003-08-22;355300
RE;52.5375;72.30;72.59;72.02;72.41;2003-08-25;118900
RE;52.7918;72.65;72.99;72.00;72.27;2003-08-26;208200
RE;52.7337;72.48;72.56;71.90;72.46;2003-08-27;283100
RE;53.0392;72.90;73.00;71.66;72.55;2003-08-28;336200
RE;53.3302;73.30;73.60;72.30;72.85;2003-08-29;179300
RE;53.5485;73.60;73.76;72.73;73.35;2003-09-02;313200
RE;53.6140;73.69;73.99;73.53;73.90;2003-09-03;418500
RE;53.5485;73.60;73.90;73.55;73.89;2003-09-04;190800
RE;53.6940;73.80;74.35;73.46;73.60;2003-09-05;380300
RE;53.5631;73.62;74.02;73.36;73.95;2003-09-08;344900
RE;53.0247;72.88;73.57;72.79;73.40;2003-09-09;287600
RE;52.6827;72.41;73.10;72.35;72.89;2003-09-10;293800
RE;52.6973;72.43;72.90;72.09;72.66;2003-09-11;260100
RE;52.1953;71.74;72.42;71.04;72.41;2003-09-12;441300
RE;52.2535;71.82;71.87;70.13;71.74;2003-09-15;661400
RE;53.4539;73.47;73.92;72.75;72.75;2003-09-16;581400
RE;53.0902;72.97;73.72;72.76;73.72;2003-09-17;338600
RE;54.1087;74.37;74.43;72.80;72.80;2003-09-18;288900
RE;54.3852;74.75;74.98;74.45;74.62;2003-09-19;318800
RE;54.3488;74.70;74.75;74.25;74.75;2003-09-22;242800
RE;54.8654;75.41;75.50;74.25;74.72;2003-09-23;181300
RE;54.0578;74.30;76.00;74.11;75.90;2003-09-24;291500
RE;53.7304;73.85;74.79;73.77;74.40;2003-09-25;242700
RE;53.6213;73.70;74.65;73.50;73.85;2003-09-26;306500
RE;54.3852;74.75;74.86;73.83;73.85;2003-09-29;212300
RE;54.6835;75.16;75.68;74.10;74.55;2003-09-30;419600
RE;56.1677;77.20;77.26;75.05;75.41;2003-10-01;421800
RE;56.1750;77.21;77.70;76.76;77.60;2003-10-02;209200
RE;56.8662;78.16;78.50;77.75;77.75;2003-10-03;337000
RE;57.3246;78.79;78.92;77.73;78.16;2003-10-06;239400
RE;57.2445;78.68;79.00;78.35;78.74;2003-10-07;245400
RE;58.0667;79.81;79.92;78.55;78.68;2003-10-08;347800
RE;57.8047;79.45;80.00;78.77;78.93;2003-10-09;551000
RE;57.4846;79.01;79.49;78.45;79.45;2003-10-10;219700
RE;57.8339;79.49;79.87;79.15;79.20;2003-10-13;206400
RE;57.9866;79.70;79.75;79.22;79.50;2003-10-14;351800
RE;58.2049;80.00;80.40;79.36;79.86;2003-10-15;177300
RE;58.5905;80.53;80.74;79.99;80.00;2003-10-16;271300
RE;56.6624;77.88;79.01;77.39;79.00;2003-10-17;1396200
RE;55.6657;76.51;77.88;75.74;77.88;2003-10-20;1282500
RE;60.1330;82.65;84.09;78.24;78.25;2003-10-21;3072700
RE;60.2566;82.82;84.60;82.10;82.65;2003-10-22;894200
RE;61.0642;83.93;84.35;82.30;82.70;2003-10-23;590200
RE;60.4240;83.05;83.90;82.27;83.90;2003-10-24;411500
RE;60.1184;82.63;83.42;82.59;83.05;2003-10-27;348300
RE;60.0166;82.49;82.96;81.65;82.85;2003-10-28;470100
RE;60.7878;83.55;84.70;82.18;82.50;2003-10-29;522400
RE;60.6058;83.30;83.98;82.80;83.55;2003-10-30;226700
RE;60.3512;82.95;83.71;82.66;83.45;2003-10-31;245100
RE;61.1152;84.00;84.00;83.48;84.00;2003-11-03;404000
RE;60.4894;83.14;84.00;82.84;84.00;2003-11-04;311700
RE;60.4603;83.10;83.30;81.99;82.69;2003-11-05;259600
RE;60.7150;83.45;83.45;82.30;83.35;2003-11-06;289400
RE;59.6600;82.00;83.60;81.54;83.60;2003-11-07;475700
RE;59.0707;81.19;82.44;80.80;82.00;2003-11-10;238100
RE;58.5614;80.49;81.31;80.34;81.20;2003-11-11;518400
RE;58.3431;80.19;80.90;80.07;80.40;2003-11-12;365200
RE;59.2672;81.46;81.65;80.40;80.40;2003-11-13;446300
RE;58.7724;80.78;81.68;80.68;81.66;2003-11-14;341300
RE;58.5687;80.50;80.72;79.83;80.53;2003-11-17;242900
RE;58.2631;80.08;81.09;79.99;80.40;2003-11-18;237800
RE;57.8266;79.48;80.15;78.55;80.15;2003-11-19;408400
RE;57.3318;78.80;79.50;78.22;79.28;2003-11-20;382800
RE;57.0772;78.45;79.09;78.29;79.05;2003-11-21;149600
RE;58.6360;80.50;80.55;78.50;78.60;2003-11-24;366600
RE;59.2187;81.30;81.50;80.50;80.50;2003-11-25;370200
RE;59.5319;81.73;81.90;80.83;81.65;2003-11-26;242500
RE;59.8669;82.19;82.19;81.43;81.70;2003-11-28;89800
RE;60.4133;82.94;83.13;82.32;82.60;2003-12-01;257400
RE;60.0199;82.40;82.94;81.96;82.84;2003-12-02;294000
RE;59.2915;81.40;82.85;81.00;82.70;2003-12-03;279100
RE;59.8669;82.19;82.25;81.21;81.39;2003-12-04;272200
RE;60.1365;82.56;83.14;81.75;81.75;2003-12-05;381600
RE;60.3113;82.80;82.80;81.95;82.31;2003-12-08;155900
RE;60.0636;82.46;83.07;82.35;82.80;2003-12-09;276800
RE;58.7015;80.59;82.60;80.00;82.60;2003-12-10;527800
RE;59.1094;81.15;81.33;80.27;80.39;2003-12-11;215000
