Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
REGN;18.84;18.84;18.91;18.10;18.86;2003-02-04;374000
REGN;18.44;18.44;18.91;18.10;18.71;2003-02-05;364200
REGN;17.74;17.74;18.49;17.71;18.45;2003-02-06;627700
REGN;17.89;17.89;18.13;17.35;17.72;2003-02-07;464100
REGN;17.40;17.40;18.25;17.29;18.02;2003-02-10;396400
REGN;17.39;17.39;17.89;17.39;17.40;2003-02-11;443100
REGN;17.00;17.00;17.66;17.00;17.46;2003-02-12;416700
REGN;17.04;17.04;17.43;16.37;16.77;2003-02-13;552500
REGN;17.25;17.25;17.63;16.90;17.20;2003-02-14;380500
REGN;17.56;17.56;17.67;17.09;17.55;2003-02-18;309200
REGN;17.52;17.52;17.73;17.29;17.55;2003-02-19;251800
REGN;17.27;17.27;17.74;17.07;17.59;2003-02-20;300900
REGN;17.50;17.50;17.59;17.24;17.29;2003-02-21;328300
REGN;17.31;17.31;17.50;17.17;17.50;2003-02-24;261900
REGN;17.67;17.67;17.68;16.66;17.20;2003-02-25;354300
REGN;18.15;18.15;18.52;17.80;18.14;2003-02-26;593500
REGN;18.50;18.50;18.50;17.60;18.25;2003-02-27;531800
REGN;18.34;18.34;18.60;18.10;18.47;2003-02-28;455800
REGN;17.75;17.75;18.89;17.71;18.20;2003-03-03;434400
REGN;18.36;18.36;18.60;17.68;17.75;2003-03-04;397900
REGN;18.10;18.10;18.45;17.97;18.34;2003-03-05;224800
REGN;17.31;17.31;18.18;17.10;18.18;2003-03-06;604000
REGN;17.75;17.75;17.85;17.00;17.03;2003-03-07;529800
REGN;18.97;18.97;19.39;17.42;17.62;2003-03-10;1712900
REGN;18.30;18.30;19.10;18.05;19.09;2003-03-11;956000
REGN;18.81;18.81;18.94;17.88;18.28;2003-03-12;640600
REGN;19.81;19.81;19.90;18.87;18.92;2003-03-13;733400
REGN;19.83;19.83;20.71;19.30;19.96;2003-03-14;841200
REGN;20.38;20.38;20.45;19.52;20.00;2003-03-17;696200
REGN;20.69;20.69;20.77;20.11;20.71;2003-03-18;864000
REGN;20.66;20.66;20.85;20.11;20.65;2003-03-19;459000
REGN;20.20;20.20;20.69;20.00;20.57;2003-03-20;391600
REGN;20.46;20.46;20.80;20.20;20.30;2003-03-21;657000
REGN;19.29;19.29;20.35;19.00;20.33;2003-03-24;891100
REGN;19.71;19.71;20.04;19.23;19.34;2003-03-25;567600
REGN;19.86;19.86;20.69;19.68;19.82;2003-03-26;614300
REGN;19.35;19.35;19.83;19.22;19.83;2003-03-27;678600
REGN;17.31;17.31;20.22;16.88;20.13;2003-03-28;4518900
REGN;7.52;7.52;8.81;7.40;8.65;2003-03-31;28330500
REGN;6.89;6.89;7.66;6.80;7.53;2003-04-01;6709700
REGN;6.60;6.60;7.15;5.99;6.92;2003-04-02;3973200
REGN;6.80;6.80;7.05;6.55;6.63;2003-04-03;2467400
REGN;6.71;6.71;7.05;6.66;7.03;2003-04-04;1152800
REGN;6.46;6.46;7.02;6.39;6.98;2003-04-07;1422700
REGN;6.64;6.64;6.70;6.26;6.46;2003-04-08;1217500
REGN;6.46;6.46;6.74;6.41;6.60;2003-04-09;727600
REGN;6.40;6.40;6.57;6.37;6.46;2003-04-10;528400
REGN;6.15;6.15;6.49;6.08;6.39;2003-04-11;728800
REGN;6.37;6.37;6.69;6.18;6.50;2003-04-14;1262400
REGN;6.34;6.34;6.48;6.20;6.38;2003-04-15;567500
REGN;6.12;6.12;6.46;6.10;6.45;2003-04-16;502900
REGN;6.04;6.04;6.16;6.00;6.15;2003-04-17;586900
REGN;6.01;6.01;6.16;5.95;6.04;2003-04-21;881700
REGN;5.88;5.88;6.00;5.77;5.90;2003-04-22;1086300
REGN;6.22;6.22;6.34;5.87;5.87;2003-04-23;745100
REGN;6.61;6.61;6.67;6.25;6.25;2003-04-24;1217400
REGN;6.44;6.44;6.80;6.36;6.57;2003-04-25;783600
REGN;6.32;6.32;6.60;6.20;6.49;2003-04-28;489900
REGN;6.33;6.33;6.50;6.20;6.27;2003-04-29;608300
REGN;6.33;6.33;6.48;6.22;6.40;2003-04-30;421400
REGN;6.33;6.33;6.46;6.27;6.40;2003-05-01;364900
REGN;6.56;6.56;6.76;6.33;6.40;2003-05-02;720600
REGN;6.53;6.53;6.68;6.45;6.50;2003-05-05;536800
REGN;6.80;6.80;6.84;6.42;6.49;2003-05-06;999600
REGN;6.62;6.62;6.90;6.55;6.85;2003-05-07;673100
REGN;6.54;6.54;6.65;6.49;6.60;2003-05-08;336400
REGN;6.57;6.57;6.67;6.30;6.60;2003-05-09;587400
REGN;6.58;6.58;6.65;6.30;6.30;2003-05-12;456500
REGN;6.66;6.66;6.76;6.55;6.58;2003-05-13;549700
REGN;7.17;7.17;7.22;6.70;6.78;2003-05-14;779900
REGN;7.25;7.25;7.30;7.05;7.30;2003-05-15;954000
REGN;7.06;7.06;7.26;7.05;7.25;2003-05-16;627300
REGN;9.99;9.99;9.99;8.40;9.00;2003-05-19;7222100
REGN;9.99;9.99;10.90;9.56;10.90;2003-05-20;6910300
REGN;10.21;10.21;10.25;9.50;9.87;2003-05-21;1491900
REGN;10.51;10.51;10.83;10.00;10.29;2003-05-22;1771500
REGN;11.22;11.22;11.24;10.52;10.63;2003-05-23;1339600
REGN;13.62;13.62;13.89;11.20;11.25;2003-05-27;3609000
REGN;13.38;13.38;14.30;12.73;13.78;2003-05-28;2215600
REGN;13.08;13.08;13.85;12.67;13.42;2003-05-29;1479200
REGN;13.74;13.74;14.00;13.38;13.49;2003-05-30;1242200
REGN;14.90;14.90;15.50;14.55;14.96;2003-06-02;2615200
REGN;13.75;13.75;14.74;13.66;14.69;2003-06-03;2482500
REGN;14.61;14.61;14.65;13.14;13.74;2003-06-04;1663900
REGN;15.52;15.52;15.56;14.32;14.57;2003-06-05;1695300
REGN;15.86;15.86;16.85;15.52;16.10;2003-06-06;2022700
