Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
RF;15.1707;26.1704;26.5754;26.0813;26.5754;2003-02-04;601497
RF;15.0768;26.0084;26.6321;25.9355;26.3243;2003-02-05;388405
RF;15.0627;25.9841;26.2838;25.7249;25.9679;2003-02-06;624090
RF;14.8843;25.6763;26.3243;25.6196;26.1218;2003-02-07;521125
RF;15.1049;26.0570;26.0570;25.5224;25.7897;2003-02-10;401368
RF;14.8702;25.6520;26.2109;25.5305;26.1218;2003-02-11;454950
RF;14.6213;25.2227;25.8302;25.2146;25.6601;2003-02-12;564459
RF;14.6448;25.2632;25.3847;24.9555;25.1093;2003-02-13;668412
RF;14.8561;25.6277;25.6277;25.0526;25.2632;2003-02-14;723105
RF;14.9688;25.8221;25.8950;25.6601;25.6601;2003-02-18;494210
RF;14.9077;25.7168;25.8221;25.4900;25.8140;2003-02-19;547051
RF;14.8091;25.5467;25.8545;25.5386;25.8545;2003-02-20;391615
RF;15.0439;25.9517;26.0894;25.4090;25.6682;2003-02-21;580139
RF;14.6871;25.3361;25.9598;25.3037;25.9598;2003-02-24;421739
RF;14.9829;25.8464;25.9031;25.1012;25.3442;2003-02-25;642980
RF;14.7434;25.4333;25.8788;25.3604;25.8626;2003-02-26;543347
RF;15.1237;26.0894;26.1056;25.4576;25.6115;2003-02-27;725451
RF;15.2035;26.2271;26.5025;26.0408;26.0489;2003-02-28;628411
RF;14.9829;25.8464;26.6483;25.8464;26.4296;2003-03-03;399023
RF;14.7622;25.4657;25.8626;25.4657;25.8545;2003-03-04;405196
RF;15.1284;26.0975;26.0975;25.4333;25.5143;2003-03-05;594583
RF;15.0580;25.9760;26.1299;25.7735;25.9598;2003-03-06;858664
RF;15.0909;26.0327;26.1785;25.6520;25.6520;2003-03-07;568286
RF;14.5697;25.1336;26.0327;25.1093;25.9355;2003-03-10;453222
RF;14.4006;24.8421;25.3199;24.8178;25.0202;2003-03-11;593843
RF;14.4575;24.6963;24.7206;24.1617;24.6072;2003-03-12;957926
RF;14.8274;25.3280;25.3280;24.7449;25.0688;2003-03-13;672116
RF;14.8416;25.3523;25.5629;25.1174;25.3766;2003-03-14;665696
RF;15.2352;26.0246;26.0246;25.0283;25.3523;2003-03-17;984717
RF;15.1166;25.8221;26.2109;25.6358;26.0813;2003-03-18;914468
RF;15.2921;26.1218;26.1218;25.8302;25.9193;2003-03-19;649400
RF;15.4391;26.3729;26.5106;25.7168;26.0408;2003-03-20;748291
RF;15.8564;27.0857;27.0857;26.3405;26.5106;2003-03-21;952864
RF;15.4770;26.4377;26.9399;26.2838;26.9318;2003-03-24;1010273
RF;15.5434;26.5511;26.6564;26.3162;26.3729;2003-03-25;758909
RF;15.4391;26.3729;26.5349;26.2676;26.4701;2003-03-26;638659
RF;15.4486;26.3891;26.5511;26.1056;26.3729;2003-03-27;590880
RF;15.4723;26.4296;26.4620;26.0975;26.3081;2003-03-28;387417
RF;15.3632;26.2433;26.4539;26.0165;26.4296;2003-03-31;678783
RF;15.5861;26.6240;26.6564;26.1704;26.4134;2003-04-01;969038
RF;15.9133;27.1829;27.2882;26.8427;27.1100;2003-04-02;783971
RF;15.5055;26.4863;27.2396;26.4458;27.2396;2003-04-03;837059
RF;15.5719;26.5997;26.7374;26.4377;26.5268;2003-04-04;670264
RF;15.3063;26.1461;26.9885;26.1299;26.7698;2003-04-07;1055336
RF;15.3253;26.1785;26.2919;26.0246;26.2028;2003-04-08;567546
RF;14.9696;25.5710;26.3324;25.5305;26.3162;2003-04-09;705944
RF;15.2826;26.1056;26.1380;25.5953;25.6925;2003-04-10;674709
RF;15.3158;26.1623;26.5268;26.0327;26.2433;2003-04-11;573966
RF;15.6098;26.6645;26.6807;26.2838;26.2838;2003-04-14;542607
RF;15.8990;27.1586;27.1829;26.5430;26.6645;2003-04-15;621745
RF;15.4960;26.4701;27.3287;26.4134;27.1667;2003-04-16;450876
RF;15.6430;26.7212;26.7293;26.4053;26.4296;2003-04-17;433592
RF;15.6667;26.7617;26.9561;26.5673;26.7293;2003-04-21;475444
RF;16.0508;27.4178;27.4340;26.4539;26.6483;2003-04-22;806441
RF;16.0508;27.4178;27.4502;27.0695;27.1748;2003-04-23;648535
RF;15.9417;27.2315;27.3935;27.0695;27.3368;2003-04-24;557052
RF;15.8184;27.0209;27.3773;26.9966;27.2315;2003-04-25;601991
RF;16.0460;27.4097;27.4421;27.0290;27.0533;2003-04-28;561249
RF;16.0081;27.3449;27.4907;27.1019;27.4907;2003-04-29;755822
RF;15.9844;27.3044;27.3935;26.9966;27.3368;2003-04-30;1662389
RF;15.9180;27.1910;27.3206;26.5916;27.2153;2003-05-01;572854
RF;16.0982;27.4988;27.5393;27.0857;27.1910;2003-05-02;826071
RF;15.9227;27.1991;27.5393;27.1343;27.5231;2003-05-05;691623
RF;15.9939;27.3206;27.3368;27.0371;27.2315;2003-05-06;750760
RF;15.9464;27.2396;27.3206;27.0047;27.2558;2003-05-07;598904
RF;15.7900;26.9723;27.2801;26.8670;27.0938;2003-05-08;482235
RF;15.8990;27.1586;27.1586;26.7536;26.9804;2003-05-09;463963
RF;15.9654;27.2720;27.3611;26.8913;27.0776;2003-05-12;407665
RF;15.9607;27.2639;27.3773;27.1262;27.2639;2003-05-13;358034
RF;15.9464;27.2396;27.3692;27.1505;27.3449;2003-05-14;361861
RF;16.0982;27.4988;27.5150;27.2477;27.3773;2003-05-15;660511
RF;16.0745;27.4583;27.5474;27.2801;27.4583;2003-05-16;595077
RF;15.7473;26.8994;27.3449;26.8508;27.3206;2003-05-19;449394
RF;15.8990;27.1586;27.2396;26.8913;26.9156;2003-05-20;601991
RF;15.9844;27.3044;27.4421;27.1262;27.2396;2003-05-21;510137
RF;15.8279;27.0371;27.3368;26.8751;27.3125;2003-05-22;493223
RF;15.9085;27.1748;27.1910;26.8994;26.9723;2003-05-23;245932
RF;16.2357;27.7337;27.7337;26.8994;27.0533;2003-05-27;595324
RF;16.2784;27.8066;27.9119;27.5960;27.7418;2003-05-28;631621
RF;16.1598;27.6041;27.9038;27.4097;27.8147;2003-05-29;612238
RF;16.6150;28.3817;28.4465;27.6122;27.6122;2003-05-30;743847
RF;16.5818;28.3250;28.6409;28.2845;28.3493;2003-06-02;763847
RF;16.7004;28.5275;28.5437;28.2359;28.2440;2003-06-03;645943
RF;17.0276;29.0863;29.1025;28.4060;28.4222;2003-06-04;648535
RF;17.0702;29.1592;29.1997;28.9081;29.0944;2003-06-05;784959
RF;17.0465;29.1187;29.5156;29.0215;29.2807;2003-06-06;776316
RF;16.7620;28.6328;29.1997;28.5437;29.0782;2003-06-09;460259
RF;16.8995;28.8676;28.8676;28.5518;28.8110;2003-06-10;337046
RF;17.0717;28.9162;28.9162;28.4708;28.8272;2003-06-11;407171
RF;17.0239;28.8353;28.9405;28.5761;28.9405;2003-06-12;463469
RF;16.9234;28.6652;28.9324;28.4627;28.9162;2003-06-13;414455
RF;17.2056;29.1430;29.2321;28.7138;28.7705;2003-06-16;434085
RF;16.9904;28.7786;29.1430;28.7381;29.1430;2003-06-17;434826
RF;17.0573;28.8919;29.0215;28.6085;28.7462;2003-06-18;541249
RF;16.7035;28.2926;28.9729;28.1792;28.9567;2003-06-19;443098
RF;16.7178;28.3169;28.6247;28.2278;28.4708;2003-06-20;895085
RF;16.4452;27.8552;28.3250;27.7580;28.2764;2003-06-23;309020
RF;16.4978;27.9443;28.1225;27.8147;27.8552;2003-06-24;396554
RF;16.4213;27.8147;28.2683;27.8147;27.9605;2003-06-25;464580
RF;16.4692;27.8957;27.9200;27.4178;27.8309;2003-06-26;674339
RF;16.2874;27.5879;27.8390;27.5393;27.8147;2003-06-27;612362
RF;16.1535;27.3611;27.8066;27.3611;27.5474;2003-06-30;710018
RF;16.3879;27.7580;27.8147;26.9723;27.3611;2003-07-01;701129
RF;16.4070;27.7904;27.9686;27.6203;27.8471;2003-07-02;466185
RF;16.3161;27.6365;27.9848;27.5555;27.7904;2003-07-03;326922
RF;16.5887;28.0982;28.2197;27.8066;27.9038;2003-07-07;316305
RF;16.6987;28.2845;28.3007;27.9362;27.9443;2003-07-08;401615
RF;16.7513;28.3736;28.5032;28.2278;28.3250;2003-07-09;898912
RF;16.5265;27.9929;28.2683;27.7823;28.0658;2003-07-10;449641
RF;16.7035;28.2926;28.3817;28.1063;28.1144;2003-07-11;505198
RF;17.0717;28.9162;29.1592;28.4141;28.5275;2003-07-14;833478
RF;17.0956;28.9567;29.1754;28.8272;28.9162;2003-07-15;954840
RF;17.2056;29.1430;29.1430;28.7705;28.9162;2003-07-16;916937
RF;17.2008;29.1349;29.1592;28.8353;28.9567;2003-07-17;753723
RF;17.2773;29.2645;29.3374;29.0377;29.3374;2003-07-18;599398
RF;17.2199;29.1673;29.3617;29.0458;29.1592;2003-07-21;721624
RF;17.3538;29.3941;29.4751;29.0620;29.1754;2003-07-22;645572
RF;17.4016;29.4751;29.5399;29.1916;29.4832;2003-07-23;585077
RF;17.2295;29.1835;29.7667;29.1835;29.4994;2003-07-24;841380
RF;17.5212;29.6776;29.6857;29.1835;29.1835;2003-07-25;806688
RF;17.4016;29.4751;29.7505;29.3212;29.7505;2003-07-28;655326
RF;17.3108;29.3212;29.6128;29.1592;29.5642;2003-07-29;452357
RF;17.2869;29.2807;29.4427;29.1106;29.3617;2003-07-30;595077
RF;17.2630;29.2402;29.7343;29.1592;29.6695;2003-07-31;926444
RF;16.9952;28.7867;29.1592;28.6328;29.0944;2003-08-01;733970
RF;17.0669;28.9081;28.9891;28.3250;28.6814;2003-08-04;669030
RF;16.7561;28.3817;28.9162;28.3412;28.7462;2003-08-05;551002
RF;16.9043;28.6328;28.7948;28.2440;28.3493;2003-08-06;672857
RF;17.0047;28.8029;28.8110;28.3898;28.7138;2003-08-07;704833
RF;16.9904;28.7786;28.8596;28.6328;28.8272;2003-08-08;443345
RF;16.8517;28.5437;28.9243;28.4789;28.7300;2003-08-11;491741
RF;17.0239;28.8353;28.8353;28.4465;28.5518;2003-08-12;367911
RF;16.9330;28.6814;28.8514;28.5113;28.8514;2003-08-13;474333
RF;17.1817;29.1025;29.1025;28.6166;28.6814;2003-08-14;353466
RF;17.1195;28.9972;29.1025;28.8514;29.1025;2003-08-15;226549
RF;17.2056;29.1430;29.2240;28.9891;28.9972;2003-08-18;300995
RF;16.9952;28.7867;29.1430;28.5599;29.1430;2003-08-19;661746
RF;17.0334;28.8514;28.8514;28.5842;28.7381;2003-08-20;518655
RF;16.9187;28.6571;28.9405;28.6166;28.8514;2003-08-21;522730
RF;16.6556;28.2116;28.7624;28.0901;28.6490;2003-08-22;469025
RF;16.7083;28.3007;28.3331;28.0253;28.2683;2003-08-25;349145
RF;16.7609;28.3898;28.4870;27.9200;28.1387;2003-08-26;484704
RF;16.7035;28.2926;28.3898;28.1954;28.3493;2003-08-27;294699
RF;16.7848;28.4303;28.4789;28.0658;28.2602;2003-08-28;333589
RF;16.8613;28.5599;28.5599;28.2278;28.3088;2003-08-29;386924
RF;17.0095;28.8110;28.8596;28.4546;28.7624;2003-09-02;776563
RF;17.0573;28.8919;28.9810;28.6895;28.8191;2003-09-03;485074
RF;17.1195;28.9972;29.0053;28.7624;28.8353;2003-09-04;421863
RF;17.1052;28.9729;29.0620;28.7543;28.7543;2003-09-05;394084
RF;17.2343;29.1916;29.1997;28.8433;28.8433;2003-09-08;416678
RF;17.0573;28.8919;29.1106;28.7867;29.1106;2003-09-09;357417
RF;16.5504;28.0334;28.8919;28.0091;28.8919;2003-09-10;824960
RF;16.7194;28.0577;28.1549;27.9281;27.9281;2003-09-11;550385
RF;16.7001;28.0253;28.1225;27.7337;28.0577;2003-09-12;626930
RF;16.6470;27.9362;28.0334;27.7418;28.0334;2003-09-15;464457
RF;16.8111;28.2116;28.2278;27.9443;27.9443;2003-09-16;411616
RF;16.6711;27.9767;28.2197;27.9443;28.2116;2003-09-17;331490
RF;16.9269;28.4060;28.4303;28.0658;28.0820;2003-09-18;753600
RF;16.8931;28.3493;28.3655;28.2359;28.2683;2003-09-19;503346
RF;16.7339;28.0820;28.2683;27.9038;28.2683;2003-09-22;519767
RF;16.8304;28.2440;28.3493;28.1711;28.2278;2003-09-23;840886
RF;16.7339;28.0820;28.2845;27.9443;28.2845;2003-09-24;702240
RF;16.6373;27.9200;28.2602;27.9119;28.1225;2003-09-25;912246
RF;16.5553;27.7823;27.9038;27.7013;27.9038;2003-09-26;1070151
RF;16.5987;27.8552;27.9119;27.6608;27.7418;2003-09-29;772613
RF;16.5311;27.7418;28.0091;27.6365;27.8471;2003-09-30;754094
RF;17.0186;28.5599;28.5599;27.7418;27.7823;2003-10-01;716809
RF;16.9993;28.5275;28.6085;28.3007;28.6085;2003-10-02;415813
RF;17.0090;28.5437;28.9081;28.4546;28.5275;2003-10-03;568163
RF;17.2503;28.9486;28.9486;28.5599;28.5923;2003-10-06;331984
RF;17.4434;29.2726;29.2726;28.8029;28.8757;2003-10-07;819157
RF;17.4385;29.2645;29.2645;29.0782;29.2402;2003-10-08;486309
RF;17.5061;29.3779;29.5480;29.2564;29.2645;2003-10-09;613596
RF;17.4916;29.3536;29.5156;29.2159;29.3617;2003-10-10;328033
RF;17.6123;29.5561;29.5642;29.4427;29.5156;2003-10-13;318403
RF;17.6895;29.6857;29.6857;29.4427;29.5561;2003-10-14;457543
RF;17.5447;29.4427;29.6857;29.4103;29.6452;2003-10-15;434579
RF;17.6268;29.5804;29.6452;29.4022;29.4508;2003-10-16;597176
RF;17.6220;29.5723;29.6047;29.4184;29.5642;2003-10-17;718414
RF;17.4868;29.3455;29.5804;29.1430;29.5642;2003-10-20;632115
RF;17.4096;29.2159;29.2888;29.0782;29.2807;2003-10-21;496309
RF;17.2407;28.9324;29.1187;28.8029;29.0944;2003-10-22;392479
RF;17.3468;29.1106;29.1430;28.7786;28.8757;2003-10-23;393097
