Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
RHI;11.0274;14.79;15.04;14.56;15.04;2003-02-04;544800
RHI;11.0498;14.82;15.14;14.70;14.89;2003-02-05;600700
RHI;10.9603;14.70;14.95;14.35;14.65;2003-02-06;725000
RHI;10.7292;14.39;14.94;14.39;14.80;2003-02-07;621700
RHI;10.5950;14.21;14.38;13.95;14.15;2003-02-10;961600
RHI;10.3266;13.85;14.38;13.75;14.22;2003-02-11;989300
RHI;9.8196;13.17;13.99;13.14;13.90;2003-02-12;1034000
RHI;9.8047;13.15;13.35;12.75;13.21;2003-02-13;1390100
RHI;10.0134;13.43;13.45;13.00;13.19;2003-02-14;645700
RHI;10.2147;13.70;13.80;13.33;13.53;2003-02-18;437800
RHI;10.1551;13.62;13.75;13.51;13.71;2003-02-19;701400
RHI;10.1551;13.62;13.71;13.43;13.62;2003-02-20;589600
RHI;10.5950;14.21;14.40;13.60;13.70;2003-02-21;776500
RHI;10.0731;13.51;14.22;13.35;14.22;2003-02-24;644200
RHI;10.1924;13.67;13.75;13.18;13.36;2003-02-25;704300
RHI;10.2073;13.69;13.72;13.40;13.67;2003-02-26;409100
RHI;10.0209;13.44;13.80;13.23;13.69;2003-02-27;667300
RHI;9.9836;13.39;13.63;13.31;13.60;2003-02-28;518300
RHI;10.2073;13.69;13.73;13.40;13.48;2003-03-03;591800
RHI;9.7972;13.14;13.85;13.02;13.75;2003-03-04;887100
RHI;9.5810;12.85;13.14;12.73;13.14;2003-03-05;881500
RHI;9.2977;12.47;12.86;12.45;12.86;2003-03-06;733800
RHI;9.3648;12.56;12.71;12.29;12.37;2003-03-07;1049300
RHI;8.8503;11.87;12.54;11.87;12.48;2003-03-10;1392300
RHI;8.9025;11.94;12.20;11.78;11.93;2003-03-11;1124100
RHI;8.7534;11.74;11.95;11.44;11.95;2003-03-12;2153300
RHI;8.9472;12.00;12.24;11.74;12.00;2003-03-13;976300
RHI;9.3275;12.51;12.66;11.97;12.05;2003-03-14;1152400
RHI;9.9761;13.38;13.43;12.50;12.52;2003-03-17;1327200
RHI;10.1849;13.66;13.98;13.50;13.53;2003-03-18;1072100
RHI;10.4533;14.02;14.55;14.00;14.55;2003-03-19;1280700
RHI;10.6099;14.23;14.34;13.63;13.90;2003-03-20;711200
RHI;10.9082;14.63;14.80;14.40;14.80;2003-03-21;815200
RHI;10.2147;13.70;14.64;13.63;14.64;2003-03-24;640500
RHI;10.4906;14.07;14.20;13.43;13.60;2003-03-25;640300
RHI;10.3117;13.83;14.09;13.61;14.07;2003-03-26;440500
RHI;10.2669;13.77;13.89;13.36;13.75;2003-03-27;639900
RHI;10.1476;13.61;13.86;13.55;13.67;2003-03-28;469000
RHI;9.9240;13.31;13.60;13.07;13.40;2003-03-31;916200
RHI;9.9836;13.39;13.58;13.17;13.32;2003-04-01;595200
RHI;10.3490;13.88;14.00;13.63;13.75;2003-04-02;594300
RHI;10.2595;13.76;13.98;13.51;13.81;2003-04-03;783600
RHI;10.1775;13.65;13.80;13.43;13.70;2003-04-04;779900
RHI;10.3639;13.90;14.55;13.85;14.40;2003-04-07;713900
RHI;10.1998;13.68;14.05;13.58;14.05;2003-04-08;420100
RHI;9.9836;13.39;13.91;13.18;13.68;2003-04-09;593100
RHI;10.1998;13.68;13.71;13.29;13.42;2003-04-10;383000
RHI;10.1626;13.63;13.99;13.55;13.70;2003-04-11;420900
RHI;10.5354;14.13;14.14;13.52;13.60;2003-04-14;426000
RHI;10.6397;14.27;14.27;13.53;13.90;2003-04-15;769200
RHI;10.4832;14.06;14.35;13.85;14.35;2003-04-16;1406300
RHI;10.7143;14.37;14.42;13.87;13.96;2003-04-17;438000
RHI;10.5279;14.12;14.26;13.95;14.20;2003-04-21;578400
RHI;11.0498;14.82;15.02;14.00;14.00;2003-04-22;1163900
RHI;11.1840;15.00;15.20;14.65;14.82;2003-04-23;628800
RHI;10.9082;14.63;14.94;14.43;14.90;2003-04-24;373500
RHI;10.8560;14.56;14.64;14.50;14.57;2003-04-25;459500
RHI;11.2884;15.14;15.16;14.53;14.53;2003-04-28;614300
RHI;11.6910;15.68;15.76;14.91;15.05;2003-04-29;1197700
RHI;12.1384;16.28;16.45;15.31;15.37;2003-04-30;2079800
RHI;12.1980;16.36;16.38;15.82;16.15;2003-05-01;971200
RHI;12.4441;16.69;16.80;16.15;16.35;2003-05-02;693000
RHI;12.7200;17.06;17.09;16.55;16.64;2003-05-05;755300
RHI;12.8094;17.18;17.28;16.96;17.10;2003-05-06;719500
RHI;12.6752;17.00;17.16;16.73;17.15;2003-05-07;1366700
RHI;12.7200;17.06;17.09;16.85;17.00;2003-05-08;1173900
RHI;13.0928;17.56;17.59;17.06;17.12;2003-05-09;950200
RHI;13.3537;17.91;17.99;17.46;17.50;2003-05-12;561500
RHI;13.2344;17.75;17.91;17.64;17.91;2003-05-13;579500
RHI;12.6976;17.03;17.10;16.30;16.65;2003-05-14;1359700
RHI;13.1450;17.63;17.65;17.10;17.10;2003-05-15;851100
RHI;12.9735;17.40;17.80;17.32;17.80;2003-05-16;1578100
RHI;12.4143;16.65;17.34;16.63;17.30;2003-05-19;1125700
RHI;12.0489;16.16;16.73;15.85;16.66;2003-05-20;1039800
RHI;11.9595;16.04;16.06;15.50;15.55;2003-05-21;868900
RHI;12.1533;16.30;16.37;15.97;16.10;2003-05-22;486600
RHI;12.3397;16.55;16.57;16.32;16.35;2003-05-23;560300
RHI;12.6305;16.94;16.97;16.29;16.45;2003-05-27;486500
RHI;12.6379;16.95;17.19;16.93;17.00;2003-05-28;524000
RHI;12.4963;16.76;17.20;16.62;16.95;2003-05-29;787500
RHI;12.6379;16.95;17.15;16.80;16.81;2003-05-30;610000
RHI;12.9138;17.32;17.59;17.02;17.02;2003-06-02;511700
RHI;12.9287;17.34;17.45;17.00;17.26;2003-06-03;480000
RHI;13.1002;17.57;17.59;17.22;17.34;2003-06-04;619800
RHI;13.0331;17.48;17.52;17.15;17.51;2003-06-05;471600
RHI;13.3910;17.96;18.03;17.48;17.48;2003-06-06;1000800
RHI;14.1292;18.95;19.20;18.62;19.20;2003-06-09;1538300
RHI;14.2186;19.07;19.12;18.80;18.82;2003-06-10;731300
RHI;14.5019;19.45;19.52;18.93;18.95;2003-06-11;790400
RHI;14.3603;19.26;19.69;19.15;19.65;2003-06-12;710700
RHI;14.3230;19.21;19.37;18.92;19.30;2003-06-13;680700
RHI;14.9195;20.01;20.01;19.45;19.46;2003-06-16;612900
RHI;14.6436;19.64;20.09;19.43;20.09;2003-06-17;1207000
RHI;14.4870;19.43;19.65;19.22;19.55;2003-06-18;532500
RHI;14.2857;19.16;19.97;19.15;19.60;2003-06-19;945200
RHI;14.3006;19.18;19.52;19.08;19.45;2003-06-20;1195200
RHI;13.9204;18.67;19.13;18.41;19.00;2003-06-23;994100
RHI;13.5178;18.13;18.68;17.47;18.68;2003-06-24;1631500
RHI;13.6072;18.25;18.48;18.20;18.45;2003-06-25;1080000
RHI;13.8384;18.56;18.62;18.09;18.22;2003-06-26;392400
RHI;13.8533;18.58;18.64;18.28;18.50;2003-06-27;481900
RHI;14.1217;18.94;19.00;18.45;18.58;2003-06-30;672500
RHI;13.9428;18.70;18.84;18.10;18.84;2003-07-01;926400
RHI;14.1515;18.98;19.00;18.66;18.70;2003-07-02;637000
RHI;13.9278;18.68;18.95;18.66;18.93;2003-07-03;457300
RHI;14.6809;19.69;19.70;18.81;18.85;2003-07-07;785500
RHI;15.2476;20.45;20.68;19.58;19.70;2003-07-08;939100
RHI;15.2848;20.50;20.54;19.98;20.20;2003-07-09;821000
RHI;14.5392;19.50;20.50;19.30;20.50;2003-07-10;610100
RHI;15.1655;20.34;20.43;19.57;19.70;2003-07-11;574100
RHI;15.5533;20.86;21.00;20.48;20.65;2003-07-14;780000
RHI;15.1283;20.29;20.94;20.00;20.90;2003-07-15;494700
RHI;14.9046;19.99;20.55;19.77;20.50;2003-07-16;669600
RHI;13.8235;18.54;19.25;18.18;19.25;2003-07-17;2094100
RHI;15.6576;21.00;21.24;19.04;20.06;2003-07-18;2543600
RHI;15.0462;20.18;20.92;20.05;20.85;2003-07-21;1387500
RHI;15.0984;20.25;20.29;19.68;20.10;2003-07-22;1095300
RHI;15.0984;20.25;20.32;20.02;20.25;2003-07-23;683100
RHI;15.5085;20.80;21.16;20.40;20.40;2003-07-24;1566700
RHI;15.5831;20.90;20.98;20.35;20.70;2003-07-25;595600
RHI;16.1050;21.60;21.78;21.00;21.00;2003-07-28;1284900
RHI;15.8813;21.30;21.85;21.03;21.85;2003-07-29;1653300
RHI;15.6502;20.99;21.35;20.90;21.33;2003-07-30;709900
RHI;16.1870;21.71;21.90;21.00;21.24;2003-07-31;1066700
RHI;16.5524;22.20;22.23;21.66;21.75;2003-08-01;1159000
RHI;16.3510;21.93;22.16;21.45;22.15;2003-08-04;739900
RHI;15.5160;20.81;22.00;20.76;22.00;2003-08-05;1328300
RHI;15.3967;20.65;21.25;20.51;21.25;2003-08-06;1216600
RHI;15.2625;20.47;20.72;20.06;20.40;2003-08-07;927400
RHI;15.2699;20.48;20.50;20.22;20.48;2003-08-08;745500
RHI;15.3445;20.58;20.98;20.10;20.15;2003-08-11;389300
RHI;15.5607;20.87;20.87;20.39;20.65;2003-08-12;381400
RHI;15.5085;20.80;20.96;20.41;20.85;2003-08-13;390000
RHI;15.8440;21.25;21.32;20.68;20.80;2003-08-14;590600
RHI;16.0975;21.59;21.62;21.20;21.25;2003-08-15;312100
RHI;16.4629;22.08;22.25;21.74;21.90;2003-08-18;576900
RHI;16.6567;22.34;22.35;21.93;22.20;2003-08-19;564200
RHI;16.5673;22.22;22.31;21.92;22.30;2003-08-20;321400
RHI;16.6269;22.30;22.73;22.10;22.22;2003-08-21;369400
RHI;16.2094;21.74;22.57;21.56;22.50;2003-08-22;544200
RHI;16.1274;21.63;21.78;21.30;21.74;2003-08-25;337400
RHI;15.9484;21.39;21.61;20.94;21.40;2003-08-26;448400
RHI;15.8739;21.29;21.39;21.03;21.39;2003-08-27;448300
RHI;16.0901;21.58;21.68;21.02;21.40;2003-08-28;625600
RHI;16.5822;22.24;22.31;21.40;21.58;2003-08-29;428900
RHI;16.8879;22.65;22.68;22.06;22.25;2003-09-02;616500
RHI;16.7462;22.46;22.93;22.36;22.66;2003-09-03;499600
RHI;16.5971;22.26;22.46;21.97;22.46;2003-09-04;754900
RHI;16.2765;21.83;22.32;21.74;22.26;2003-09-05;1064600
RHI;16.3510;21.93;22.30;21.73;21.75;2003-09-08;678600
RHI;16.2765;21.83;22.05;21.62;21.78;2003-09-09;852100
RHI;15.8142;21.21;21.83;21.10;21.83;2003-09-10;788000
RHI;15.6502;20.99;21.58;20.99;21.35;2003-09-11;733800
RHI;15.8813;21.30;21.41;20.63;20.99;2003-09-12;663000
RHI;15.6576;21.00;21.29;20.80;21.29;2003-09-15;573100
RHI;16.2243;21.76;21.77;21.05;21.05;2003-09-16;880000
RHI;16.2168;21.75;21.91;21.49;21.55;2003-09-17;430400
RHI;16.3063;21.87;22.10;21.68;21.90;2003-09-18;421000
RHI;16.2989;21.86;21.95;21.54;21.85;2003-09-19;684400
RHI;16.0155;21.48;21.80;21.21;21.80;2003-09-22;288600
RHI;15.9559;21.40;21.64;21.20;21.55;2003-09-23;310400
RHI;15.5458;20.85;21.47;20.70;21.43;2003-09-24;771600
RHI;14.8449;19.91;20.85;19.89;20.85;2003-09-25;1220800
RHI;14.4572;19.39;19.98;19.34;19.80;2003-09-26;1245800
RHI;14.4647;19.40;19.45;19.26;19.40;2003-09-29;887500
RHI;14.5392;19.50;19.65;18.91;19.40;2003-09-30;818900
RHI;14.7033;19.72;19.88;19.47;19.50;2003-10-01;1272700
RHI;14.5094;19.46;19.70;19.18;19.70;2003-10-02;944800
RHI;16.1050;21.60;22.20;20.95;21.00;2003-10-03;2138000
RHI;15.8068;21.20;21.71;21.06;21.35;2003-10-06;984600
RHI;15.6502;20.99;20.99;20.47;20.95;2003-10-07;1246200
RHI;15.7919;21.18;21.27;20.70;20.84;2003-10-08;716700
RHI;16.5896;22.25;22.25;21.40;21.40;2003-10-09;1226300
RHI;17.1936;23.06;23.15;22.25;22.25;2003-10-10;1647500
RHI;17.7006;23.74;24.10;23.08;23.08;2003-10-13;1311900
RHI;18.3269;24.58;24.58;23.28;23.75;2003-10-14;1278600
RHI;18.1927;24.40;24.72;24.30;24.60;2003-10-15;1228600
RHI;18.2449;24.47;25.18;24.47;24.80;2003-10-16;1973700
RHI;17.4098;23.35;24.37;23.25;24.37;2003-10-17;1112900
RHI;17.8423;23.93;24.02;23.30;23.42;2003-10-20;977200
RHI;17.5216;23.50;23.90;23.25;23.80;2003-10-21;907400
RHI;17.0370;22.85;23.35;22.77;23.25;2003-10-22;716900
RHI;17.2234;23.10;23.36;22.62;22.77;2003-10-23;839100
RHI;17.5365;23.52;23.55;22.70;23.00;2003-10-24;847900
RHI;17.4694;23.43;23.57;23.24;23.50;2003-10-27;563000
RHI;17.6335;23.65;23.69;23.25;23.47;2003-10-28;779500
RHI;17.5440;23.53;23.65;23.37;23.44;2003-10-29;624300
RHI;17.7080;23.75;23.87;23.47;23.50;2003-10-30;1039200
RHI;17.6037;23.61;24.12;23.52;23.65;2003-10-31;489000
RHI;17.6335;23.65;23.78;23.38;23.61;2003-11-03;676000
RHI;17.5440;23.53;23.70;23.33;23.60;2003-11-04;551700
RHI;17.6335;23.65;23.72;23.19;23.50;2003-11-05;475400
RHI;17.9019;24.01;24.05;23.57;23.75;2003-11-06;1222000
