Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
RL;17.4915;21.09;21.50;20.15;21.13;2003-02-04;658800
RL;17.1681;20.70;21.10;20.38;21.10;2003-02-05;190700
RL;17.4998;21.10;21.75;20.50;20.50;2003-02-06;860500
RL;17.1681;20.70;21.25;20.64;21.25;2003-02-07;421200
RL;16.8861;20.36;20.60;19.81;20.60;2003-02-10;489500
RL;16.6041;20.02;20.70;19.97;20.70;2003-02-11;205500
RL;16.4963;19.89;20.02;19.50;20.02;2003-02-12;301700
RL;16.3802;19.75;20.07;19.30;20.07;2003-02-13;254500
RL;16.5958;20.01;20.59;19.75;19.75;2003-02-14;204300
RL;16.5460;19.95;20.35;19.95;20.16;2003-02-18;397000
RL;16.5958;20.01;20.25;19.99;20.07;2003-02-19;169600
RL;16.7700;20.22;20.28;20.04;20.08;2003-02-20;115100
RL;16.8778;20.35;20.42;20.01;20.42;2003-02-21;271400
RL;16.6207;20.04;20.35;19.99;20.35;2003-02-24;307800
RL;16.9441;20.43;20.62;20.00;20.00;2003-02-25;201400
RL;16.8363;20.30;20.45;20.02;20.45;2003-02-26;101300
RL;16.7285;20.17;20.37;20.16;20.32;2003-02-27;94400
RL;16.7451;20.19;20.34;20.00;20.34;2003-02-28;121900
RL;16.7534;20.20;20.43;19.99;20.05;2003-03-03;229800
RL;16.6704;20.10;20.33;19.85;20.05;2003-03-04;318500
RL;16.4714;19.86;20.10;19.72;20.10;2003-03-05;182300
RL;16.5875;20.00;20.08;19.67;19.81;2003-03-06;363500
RL;16.9773;20.47;20.49;19.91;20.00;2003-03-07;140300
RL;16.5875;20.00;20.35;19.90;20.35;2003-03-10;188500
RL;16.5792;19.99;20.15;19.91;20.00;2003-03-11;174600
RL;17.0768;20.59;20.59;20.00;20.10;2003-03-12;276000
RL;17.2842;20.84;21.07;20.25;20.59;2003-03-13;554800
RL;17.1100;20.63;21.05;20.58;20.74;2003-03-14;206300
RL;17.3920;20.97;20.97;20.10;20.50;2003-03-17;334300
RL;17.5662;21.18;21.21;20.70;21.00;2003-03-18;262100
RL;17.5828;21.20;21.34;20.85;21.22;2003-03-19;221900
RL;17.3339;20.90;21.30;20.77;21.20;2003-03-20;357400
RL;17.7901;21.45;21.51;20.80;20.99;2003-03-21;536500
RL;17.1183;20.64;21.15;20.63;20.85;2003-03-24;238400
RL;16.9441;20.43;20.64;20.38;20.64;2003-03-25;712600
RL;17.4501;21.04;21.25;20.50;20.60;2003-03-26;382700
RL;18.4536;22.25;22.40;21.24;21.24;2003-03-27;959700
RL;18.5365;22.35;23.00;21.53;21.85;2003-03-28;918500
RL;18.9927;22.90;23.24;21.82;22.00;2003-03-31;1014000
RL;18.7024;22.55;23.14;22.54;23.00;2003-04-01;526300
RL;19.0093;22.92;23.20;22.75;22.75;2003-04-02;217700
RL;19.5069;23.52;23.60;22.93;22.93;2003-04-03;373200
RL;19.3244;23.30;23.75;23.20;23.52;2003-04-04;197200
RL;19.0507;22.97;23.76;22.85;23.55;2003-04-07;315500
RL;18.8600;22.74;22.94;22.59;22.60;2003-04-08;209300
RL;18.5863;22.41;23.00;22.40;22.60;2003-04-09;125400
RL;19.0756;23.00;23.00;22.28;22.41;2003-04-10;183900
RL;18.8185;22.69;23.00;22.50;23.00;2003-04-11;88800
RL;19.1917;23.14;23.15;22.56;22.69;2003-04-14;229400
RL;19.1834;23.13;23.31;22.82;23.08;2003-04-15;175400
RL;18.6609;22.50;23.44;22.50;23.44;2003-04-16;120700
RL;18.9429;22.84;22.86;21.50;22.50;2003-04-17;568300
RL;18.8268;22.70;22.88;22.50;22.88;2003-04-21;135000
RL;19.0010;22.91;23.10;22.51;22.71;2003-04-22;226600
RL;19.0590;22.98;23.09;22.64;22.97;2003-04-23;204600
RL;18.8102;22.68;22.81;22.51;22.73;2003-04-24;90600
RL;18.7273;22.58;22.77;22.50;22.68;2003-04-25;123800
RL;19.2332;23.19;23.28;22.44;22.58;2003-04-28;304900
RL;19.4074;23.40;24.00;23.19;23.19;2003-04-29;247600
RL;19.4488;23.45;23.55;23.20;23.47;2003-04-30;169800
RL;19.1752;23.12;23.35;23.00;23.35;2003-05-01;187700
RL;19.0673;22.99;23.23;22.50;23.00;2003-05-02;326700
RL;19.0839;23.01;23.19;23.00;23.00;2003-05-05;307400
RL;19.2830;23.25;23.33;22.91;22.91;2003-05-06;301700
RL;19.2083;23.16;23.28;23.08;23.21;2003-05-07;213900
RL;18.9927;22.90;23.02;22.70;22.70;2003-05-08;160300
RL;18.9595;22.86;23.05;22.82;22.84;2003-05-09;156400
RL;19.1752;23.12;23.16;22.91;22.92;2003-05-12;237700
RL;19.1586;23.10;23.10;22.90;22.90;2003-05-13;192800
RL;19.4074;23.40;23.51;23.00;23.15;2003-05-14;660700
RL;19.5069;23.52;23.61;23.31;23.35;2003-05-15;383800
RL;19.4986;23.51;23.64;23.40;23.59;2003-05-16;284300
RL;18.9595;22.86;23.80;22.75;23.57;2003-05-19;388200
RL;19.3659;23.35;23.42;23.00;23.00;2003-05-20;171100
RL;19.0839;23.01;23.73;21.25;23.35;2003-05-21;710600
RL;20.0294;24.15;24.53;23.05;23.05;2003-05-22;1023800
RL;20.9334;25.24;25.34;24.00;24.15;2003-05-23;872300
RL;21.7296;26.20;26.20;25.01;25.15;2003-05-27;687600
RL;21.5057;25.93;26.38;25.44;26.20;2003-05-28;547500
RL;21.3232;25.71;26.00;25.60;25.72;2003-05-29;248600
RL;21.9536;26.47;26.49;25.90;25.94;2003-05-30;240500
RL;22.4595;27.08;27.93;26.46;26.46;2003-06-02;376200
RL;21.5638;26.00;27.40;24.66;27.40;2003-06-03;2473300
RL;22.2521;26.83;27.05;25.70;26.00;2003-06-04;1559900
RL;22.1194;26.67;26.75;26.25;26.75;2003-06-05;454200
RL;21.6799;26.14;27.00;25.90;26.95;2003-06-06;369000
RL;21.0413;25.37;26.17;25.31;26.10;2003-06-09;333600
RL;21.6799;26.14;26.19;25.50;25.50;2003-06-10;468500
RL;21.8126;26.30;26.50;26.02;26.13;2003-06-11;272400
RL;21.8126;26.30;26.44;26.15;26.30;2003-06-12;312600
RL;21.5057;25.93;26.20;25.50;26.20;2003-06-13;356700
RL;22.1941;26.76;26.76;25.89;26.13;2003-06-16;180200
RL;22.0448;26.58;27.00;26.15;26.76;2003-06-17;182200
RL;21.7296;26.20;26.58;25.95;26.58;2003-06-18;169200
RL;21.5555;25.99;26.38;25.65;26.20;2003-06-19;133600
RL;21.4062;25.81;26.00;25.49;25.99;2003-06-20;355900
RL;20.8588;25.15;25.75;24.90;25.75;2003-06-23;308900
RL;20.9832;25.30;25.44;24.92;25.25;2003-06-24;344800
RL;21.0247;25.30;25.64;25.26;25.60;2003-06-25;395700
RL;21.2907;25.62;25.67;25.00;25.55;2003-06-26;279700
RL;21.1078;25.40;25.79;25.39;25.62;2003-06-27;204300
RL;21.4319;25.79;25.99;25.41;25.50;2003-06-30;432700
RL;21.6480;26.05;26.05;25.40;25.99;2003-07-01;379600
RL;21.7311;26.15;26.16;25.68;26.09;2003-07-02;265500
RL;21.6065;26.00;26.12;25.78;25.98;2003-07-03;82800
RL;22.1715;26.68;26.91;26.25;26.25;2003-07-07;421400
RL;22.1466;26.65;26.75;26.35;26.63;2003-07-08;391700
RL;21.8558;26.30;26.61;26.24;26.60;2003-07-09;252100
RL;21.6979;26.11;26.41;25.86;26.41;2003-07-10;156100
