Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
RMD;7.2983;8.4150;8.4725;8.3025;8.3375;2003-02-04;1461600
RMD;7.2506;8.3600;8.3750;8.2475;8.3375;2003-02-05;783600
RMD;7.1573;8.2525;8.2750;8.0925;8.1925;2003-02-06;1105200
RMD;7.0793;8.1625;8.2450;8.1125;8.2000;2003-02-07;1191600
RMD;7.0684;8.1500;8.1825;8.0625;8.1625;2003-02-10;1349600
RMD;7.0316;8.1075;8.1425;8.0625;8.0875;2003-02-11;1438400
RMD;7.0251;8.1000;8.1625;8.0750;8.0875;2003-02-12;1170000
RMD;6.9232;7.9825;8.0575;7.9100;8.0250;2003-02-13;1301600
RMD;6.8885;7.9425;7.9425;7.6875;7.8250;2003-02-14;947600
RMD;6.8711;7.9225;7.9950;7.9050;7.9425;2003-02-18;1612000
RMD;6.7952;7.8350;7.9250;7.8350;7.9250;2003-02-19;925600
RMD;6.8126;7.8550;7.8800;7.8125;7.8375;2003-02-20;537200
RMD;6.8299;7.8750;7.9150;7.7825;7.8250;2003-02-21;620800
RMD;6.7584;7.7925;7.8750;7.7775;7.8750;2003-02-24;475200
RMD;6.8473;7.8950;7.9000;7.6025;7.7375;2003-02-25;694400
RMD;6.8516;7.9000;7.9275;7.8275;7.8625;2003-02-26;842400
RMD;6.8516;7.9000;7.9450;7.8725;7.9000;2003-02-27;757200
RMD;6.8104;7.8525;7.9000;7.8125;7.9000;2003-02-28;444400
RMD;6.7324;7.7625;7.9300;7.6650;7.8700;2003-03-03;461600
RMD;6.6131;7.6250;7.7350;7.6100;7.6125;2003-03-04;541600
RMD;6.5958;7.6050;7.6250;7.3900;7.4000;2003-03-05;988000
RMD;6.5806;7.5875;7.6525;7.5000;7.5500;2003-03-06;606000
RMD;6.7150;7.7425;7.7450;7.6125;7.6250;2003-03-07;944800
RMD;6.6651;7.6850;7.7425;7.6525;7.7000;2003-03-10;624800
RMD;6.5958;7.6050;7.7025;7.5925;7.6875;2003-03-11;761200
RMD;6.4396;7.4250;7.5500;7.3475;7.5500;2003-03-12;638000
RMD;6.4483;7.4350;7.4500;7.3325;7.4250;2003-03-13;791600
RMD;6.4331;7.4175;7.4875;7.3500;7.4125;2003-03-14;446400
RMD;6.5155;7.5125;7.5625;7.3750;7.4175;2003-03-17;841600
RMD;6.5264;7.5250;7.5250;7.4500;7.5125;2003-03-18;767200
RMD;6.5134;7.5100;7.5375;7.4500;7.5375;2003-03-19;353200
RMD;6.4722;7.4625;7.4625;7.3750;7.4500;2003-03-20;725200
RMD;6.6586;7.6775;7.7350;7.4900;7.5000;2003-03-21;930400
RMD;6.5155;7.5125;7.5750;7.4850;7.5650;2003-03-24;500800
RMD;6.5914;7.6000;7.6000;7.5175;7.5250;2003-03-25;513200
RMD;6.5307;7.5300;7.5475;7.4475;7.5150;2003-03-26;2218800
RMD;6.8408;7.8875;7.9000;7.5500;7.5500;2003-03-27;1557200
RMD;6.9297;7.9900;8.0100;7.8100;7.8100;2003-03-28;857200
RMD;6.9340;7.9950;8.0250;7.8075;7.9900;2003-03-31;823600
RMD;7.0142;8.0875;8.1000;7.9400;7.9775;2003-04-01;626400
RMD;7.0294;8.1050;8.1625;8.0150;8.0900;2003-04-02;724800
RMD;6.9383;8.0000;8.0625;7.9250;8.0625;2003-04-03;585200
RMD;7.0272;8.1025;8.1125;8.0175;8.0250;2003-04-04;1134800
RMD;7.1595;8.2550;8.3050;8.1725;8.1750;2003-04-07;1444000
RMD;7.3611;8.4875;8.5000;8.2525;8.2875;2003-04-08;1730000
RMD;7.3741;8.5025;8.6250;8.4750;8.5000;2003-04-09;2034400
