Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
ROK;15.4894;23.03;23.30;22.89;23.30;2003-02-04;610200
ROK;15.3078;22.76;23.60;22.70;23.28;2003-02-05;1150800
ROK;15.1666;22.55;22.97;22.31;22.77;2003-02-06;862200
ROK;14.8774;22.12;22.85;22.03;22.57;2003-02-07;649500
ROK;15.1397;22.51;22.60;21.73;22.25;2003-02-10;1045200
ROK;14.9984;22.30;22.72;22.03;22.55;2003-02-11;548900
ROK;14.6420;21.77;22.40;21.73;22.21;2003-02-12;625700
ROK;14.4624;21.34;21.72;21.05;21.51;2003-02-13;643100
ROK;15.1130;22.30;22.30;21.53;21.58;2003-02-14;432800
ROK;15.3299;22.62;22.75;22.23;22.25;2003-02-18;565300
ROK;15.5399;22.93;23.00;22.59;22.66;2003-02-19;655700
ROK;15.5264;22.91;23.02;22.47;22.88;2003-02-20;675700
ROK;15.9059;23.47;23.60;22.80;22.90;2003-02-21;905500
ROK;15.7229;23.20;23.25;23.00;23.20;2003-02-24;916000
ROK;15.4315;22.77;23.15;22.40;23.11;2003-02-25;929200
ROK;15.2621;22.52;23.07;22.47;22.81;2003-02-26;716500
ROK;15.6348;23.07;23.07;22.42;22.42;2003-02-27;769600
ROK;15.5942;23.01;23.22;22.80;22.95;2003-02-28;719000
ROK;15.4112;22.74;23.30;22.74;23.09;2003-03-03;557100
ROK;15.1198;22.31;23.00;22.25;22.79;2003-03-04;515600
ROK;15.3841;22.70;22.71;22.13;22.37;2003-03-05;581600
ROK;15.1807;22.40;22.79;22.34;22.79;2003-03-06;778800
ROK;14.5911;21.53;22.23;21.45;21.97;2003-03-07;1746100
ROK;14.1845;20.93;21.50;20.78;21.48;2003-03-10;1251900
ROK;13.3170;19.65;21.15;19.27;20.98;2003-03-11;2811300
ROK;12.9917;19.17;19.65;18.75;19.45;2003-03-12;1613900
ROK;13.9744;20.62;20.62;19.40;19.40;2003-03-13;1287800
ROK;13.9744;20.62;21.15;20.36;20.50;2003-03-14;888000
ROK;14.5369;21.45;21.49;20.27;20.62;2003-03-17;1020200
ROK;14.8283;21.88;22.06;21.32;21.45;2003-03-18;870900
ROK;14.7538;21.77;21.88;21.39;21.75;2003-03-19;782900
ROK;15.0452;22.20;22.22;21.52;21.77;2003-03-20;716100
ROK;15.2350;22.48;22.55;21.85;22.38;2003-03-21;1139400
ROK;14.6115;21.56;22.48;21.48;22.48;2003-03-24;809900
ROK;14.9910;22.12;22.12;21.36;21.63;2003-03-25;862000
ROK;14.4827;21.37;21.95;21.20;21.88;2003-03-26;1094500
ROK;14.3675;21.20;21.45;20.59;21.25;2003-03-27;634100
ROK;14.0286;20.70;21.14;20.49;21.14;2003-03-28;1046400
ROK;14.0286;20.70;20.95;19.75;20.65;2003-03-31;794700
ROK;14.0490;20.73;20.93;20.52;20.64;2003-04-01;619100
ROK;14.3675;21.20;21.45;20.80;20.90;2003-04-02;978900
ROK;14.1777;20.92;21.25;20.61;21.19;2003-04-03;707400
ROK;14.0761;20.77;21.14;20.72;21.12;2003-04-04;888100
ROK;14.3675;21.20;21.82;21.09;21.47;2003-04-07;766700
ROK;14.1845;20.93;21.06;20.80;20.95;2003-04-08;1142800
ROK;14.1303;20.85;21.11;20.75;20.93;2003-04-09;1195400
ROK;14.3675;21.20;21.34;20.88;20.96;2003-04-10;943300
ROK;14.1710;20.91;21.58;20.75;21.45;2003-04-11;869700
ROK;14.4014;21.25;21.25;20.70;20.91;2003-04-14;647800
ROK;14.3201;21.13;21.30;20.90;21.30;2003-04-15;736700
ROK;14.1032;20.81;21.35;20.70;21.25;2003-04-16;550500
ROK;14.4488;21.32;21.43;20.92;21.00;2003-04-17;874000
ROK;14.6250;21.58;21.69;21.01;21.42;2003-04-21;584100
ROK;15.4112;22.74;22.90;20.63;20.80;2003-04-22;1424700
ROK;15.2146;22.45;22.65;22.15;22.65;2003-04-23;513800
ROK;14.8690;21.94;22.55;21.65;22.45;2003-04-24;757500
ROK;14.6860;21.67;22.00;21.53;21.94;2003-04-25;846200
ROK;15.1536;22.36;22.53;21.69;21.74;2003-04-28;705700
ROK;15.3163;22.60;22.63;22.15;22.36;2003-04-29;783100
ROK;15.4518;22.80;22.94;22.11;22.42;2003-04-30;966300
ROK;15.2146;22.45;22.72;22.05;22.72;2003-05-01;429300
ROK;15.5128;22.89;22.95;22.50;22.50;2003-05-02;831700
ROK;15.3163;22.60;22.98;22.42;22.77;2003-05-05;670800
ROK;15.4112;22.74;22.94;22.36;22.60;2003-05-06;808700
ROK;15.1130;22.30;22.78;22.01;22.39;2003-05-07;765800
ROK;15.1096;22.13;22.30;21.89;22.00;2003-05-08;436700
ROK;15.4646;22.65;22.69;22.14;22.22;2003-05-09;430400
ROK;15.5260;22.74;22.96;22.24;22.43;2003-05-12;817000
ROK;15.4919;22.69;22.88;22.46;22.77;2003-05-13;780500
ROK;15.1915;22.25;22.79;22.25;22.77;2003-05-14;688000
ROK;15.3963;22.55;22.57;22.26;22.40;2003-05-15;521300
ROK;15.5260;22.74;22.74;22.07;22.30;2003-05-16;849700
ROK;14.8433;21.74;22.74;21.70;22.74;2003-05-19;537500
ROK;14.7340;21.58;22.07;21.00;21.78;2003-05-20;905000
ROK;14.8433;21.74;21.79;21.35;21.49;2003-05-21;426300
ROK;15.0003;21.97;22.05;21.58;21.71;2003-05-22;432000
ROK;15.0413;22.03;22.22;21.62;21.97;2003-05-23;413100
ROK;15.7650;23.09;23.13;22.02;22.03;2003-05-27;739700
ROK;15.5192;22.73;23.24;22.50;23.24;2003-05-28;1068300
ROK;15.7036;23.00;23.58;22.61;22.79;2003-05-29;692500
ROK;16.1474;23.65;23.78;23.00;23.00;2003-05-30;819900
ROK;16.3795;23.99;24.24;23.57;23.90;2003-06-02;876700
ROK;16.6526;24.39;24.74;24.01;24.45;2003-06-03;1216100
ROK;17.0076;24.91;25.00;24.30;24.39;2003-06-04;844000
ROK;17.3217;25.37;25.43;24.51;24.60;2003-06-05;1030000
ROK;17.2534;25.27;25.85;25.09;25.40;2003-06-06;1093600
ROK;16.7072;24.47;25.01;24.24;25.01;2003-06-09;645600
ROK;16.7482;24.53;24.65;24.12;24.55;2003-06-10;532400
ROK;17.0350;24.95;24.99;24.00;24.40;2003-06-11;1059200
ROK;17.0759;25.01;25.14;24.59;24.99;2003-06-12;780200
ROK;16.7892;24.59;25.07;24.32;24.90;2003-06-13;527600
ROK;17.0350;24.95;24.95;24.42;24.65;2003-06-16;539000
ROK;16.8574;24.69;24.91;24.52;24.90;2003-06-17;585500
