Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
SHW;20.6014;27.20;27.21;26.49;27.21;2003-02-04;507300
SHW;20.5862;27.18;27.65;27.00;27.26;2003-02-05;702400
SHW;19.9803;26.38;27.19;26.25;27.19;2003-02-06;1049700
SHW;19.7909;26.13;26.68;26.12;26.50;2003-02-07;762100
SHW;20.1621;26.62;26.75;26.13;26.21;2003-02-10;516900
SHW;20.0485;26.47;27.01;26.40;26.61;2003-02-11;501300
SHW;19.6622;25.96;26.47;25.87;26.47;2003-02-12;464100
SHW;19.6925;26.00;26.23;25.60;25.97;2003-02-13;530300
SHW;20.4120;26.95;26.95;26.17;26.20;2003-02-14;680700
SHW;20.7756;27.43;27.70;27.05;27.05;2003-02-18;602900
SHW;20.4499;27.00;27.46;26.88;27.43;2003-02-19;359500
SHW;20.3166;26.67;26.99;26.64;26.94;2003-02-20;268400
SHW;20.6746;27.14;27.33;26.54;26.86;2003-02-21;347200
SHW;20.3090;26.66;27.09;26.54;27.00;2003-02-24;502000
SHW;20.4308;26.82;26.82;26.08;26.58;2003-02-25;450700
SHW;20.0881;26.37;26.82;26.28;26.82;2003-02-26;417600
SHW;20.1109;26.40;26.83;26.20;26.35;2003-02-27;675000
SHW;20.3394;26.70;27.00;26.39;26.49;2003-02-28;706200
SHW;20.2556;26.59;27.05;26.51;27.00;2003-03-03;381100
SHW;19.7986;25.99;26.59;25.96;26.59;2003-03-04;366000
SHW;20.0195;26.28;26.28;25.91;26.05;2003-03-05;570500
SHW;19.4710;25.56;26.21;25.42;26.21;2003-03-06;751800
SHW;19.9662;26.21;26.26;25.39;25.56;2003-03-07;559500
SHW;19.5015;25.60;26.14;25.53;26.00;2003-03-10;556200
SHW;18.9073;24.82;25.64;24.49;24.70;2003-03-11;1546200
SHW;18.9302;24.85;24.94;24.42;24.70;2003-03-12;783100
SHW;19.8291;26.03;26.07;25.10;25.10;2003-03-13;644500
SHW;19.9890;26.24;26.35;25.91;26.28;2003-03-14;535100
SHW;20.1795;26.49;26.65;25.70;25.95;2003-03-17;985200
SHW;20.4689;26.87;26.98;26.53;26.65;2003-03-18;422500
SHW;20.6518;27.11;27.11;26.76;26.97;2003-03-19;458400
SHW;20.5375;26.96;27.21;26.67;27.10;2003-03-20;783200
SHW;21.3374;28.01;28.12;27.05;27.30;2003-03-21;722900
SHW;20.3623;26.73;27.56;26.62;27.40;2003-03-24;596400
SHW;20.3775;26.75;27.05;26.55;26.78;2003-03-25;732200
SHW;20.1718;26.48;26.84;26.39;26.76;2003-03-26;600900
SHW;20.4766;26.88;27.07;26.39;26.48;2003-03-27;586800
SHW;20.4385;26.83;27.16;26.56;26.70;2003-03-28;263800
SHW;20.1338;26.43;26.79;26.15;26.58;2003-03-31;452100
SHW;20.4385;26.83;26.91;26.16;26.58;2003-04-01;482100
SHW;21.0479;27.63;27.95;27.36;27.50;2003-04-02;452800
SHW;20.9184;27.46;27.91;27.43;27.80;2003-04-03;468400
SHW;21.0174;27.59;27.92;27.32;27.71;2003-04-04;467800
SHW;21.0250;27.60;28.55;27.55;28.10;2003-04-07;897700
SHW;20.8117;27.32;27.60;26.79;27.60;2003-04-08;1012000
SHW;20.3699;26.74;27.55;26.74;27.40;2003-04-09;481700
SHW;20.7432;27.23;27.25;26.74;26.85;2003-04-10;682900
SHW;20.5756;27.01;27.75;26.88;27.48;2003-04-11;809100
SHW;21.0479;27.63;27.67;27.00;27.02;2003-04-14;352000
SHW;21.0860;27.68;27.78;27.16;27.39;2003-04-15;308700
SHW;20.9870;27.55;27.99;27.31;27.93;2003-04-16;520700
SHW;21.0631;27.65;27.87;27.50;27.55;2003-04-17;449500
SHW;21.3602;28.04;28.15;27.60;27.63;2003-04-21;597100
SHW;21.6040;28.36;28.54;27.31;27.50;2003-04-22;690300
SHW;21.4212;28.12;28.45;27.91;28.14;2003-04-23;583600
SHW;21.2688;27.92;28.11;27.72;27.87;2003-04-24;482300
SHW;20.7584;27.25;27.79;27.17;27.55;2003-04-25;523000
SHW;21.2231;27.86;28.09;27.38;27.40;2003-04-28;608300
SHW;21.1774;27.80;28.24;27.62;27.94;2003-04-29;440700
SHW;21.2383;27.88;28.08;27.55;27.83;2003-04-30;812600
SHW;20.9946;27.56;27.79;27.05;27.79;2003-05-01;583600
SHW;21.1088;27.71;27.82;27.40;27.40;2003-05-02;377000
SHW;20.7965;27.30;27.71;27.25;27.71;2003-05-05;682100
SHW;21.1698;27.79;27.87;27.37;27.37;2003-05-06;678100
SHW;20.9870;27.55;27.93;27.50;27.79;2003-05-07;424100
SHW;20.7660;27.26;27.76;27.09;27.40;2003-05-08;386600
SHW;21.0555;27.64;27.80;27.34;27.65;2003-05-09;432700
SHW;21.4364;28.14;28.35;27.52;27.65;2003-05-12;734100
SHW;21.2383;27.88;28.24;27.82;28.10;2003-05-13;569700
SHW;21.2993;27.96;28.10;27.62;27.98;2003-05-14;561300
SHW;21.4440;28.15;28.21;27.90;28.10;2003-05-15;653500
SHW;21.4821;28.20;28.25;27.90;28.10;2003-05-16;478700
SHW;20.7584;27.25;27.96;27.18;27.90;2003-05-19;547700
SHW;20.8117;27.32;27.68;27.20;27.33;2003-05-20;681700
SHW;20.7696;27.11;27.24;26.85;27.17;2003-05-21;697700
SHW;20.6011;26.89;27.10;26.69;27.05;2003-05-22;731700
SHW;20.3789;26.60;26.80;26.49;26.75;2003-05-23;550700
SHW;20.9611;27.36;27.36;26.40;26.55;2003-05-27;775100
SHW;21.1144;27.56;27.64;27.17;27.41;2003-05-28;811900
SHW;20.9458;27.34;27.84;27.25;27.60;2003-05-29;643600
SHW;20.9765;27.38;27.72;26.70;27.30;2003-05-30;1275000
SHW;21.0224;27.44;27.87;27.35;27.50;2003-06-02;994600
SHW;21.1833;27.65;27.65;27.28;27.45;2003-06-03;826000
SHW;21.1297;27.58;27.64;27.36;27.55;2003-06-04;899100
SHW;20.9765;27.38;27.55;27.35;27.45;2003-06-05;788900
