Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
SJM;23.4689;40.50;40.80;39.60;40.13;2003-02-04;182600
SJM;23.2487;40.12;40.79;40.05;40.50;2003-02-05;154600
SJM;22.9937;39.68;40.37;39.50;40.00;2003-02-06;128700
SJM;23.0343;39.75;40.31;39.75;39.83;2003-02-07;222800
SJM;23.3414;40.28;40.28;39.64;39.81;2003-02-10;138200
SJM;22.4258;38.70;40.28;38.22;40.28;2003-02-11;660900
SJM;22.4317;38.51;38.89;38.21;38.30;2003-02-12;217400
SJM;22.7229;39.01;39.11;38.36;38.50;2003-02-13;232100
SJM;22.5948;38.79;39.90;38.26;39.50;2003-02-14;743300
SJM;22.7404;39.04;39.11;38.59;38.80;2003-02-18;254400
SJM;20.3988;35.02;39.05;34.16;39.05;2003-02-19;2780900
SJM;19.7464;33.90;35.34;33.89;34.97;2003-02-20;767600
SJM;19.8804;34.13;34.35;33.00;33.80;2003-02-21;708500
SJM;20.1308;34.56;34.57;33.76;34.20;2003-02-24;421100
SJM;20.6551;35.46;35.46;34.40;34.56;2003-02-25;448300
SJM;20.2415;34.75;35.60;34.25;35.60;2003-02-26;332500
SJM;20.2473;34.76;35.75;34.50;34.85;2003-02-27;303600
SJM;19.9503;34.25;35.00;34.25;34.65;2003-02-28;282800
SJM;20.4454;35.10;35.23;34.21;34.50;2003-03-03;300200
SJM;20.5502;35.28;35.53;35.01;35.25;2003-03-04;336100
SJM;20.0493;34.42;35.20;34.42;35.20;2003-03-05;349300
SJM;19.9794;34.30;34.45;34.00;34.30;2003-03-06;210000
SJM;19.9503;34.25;34.52;33.91;34.20;2003-03-07;198400
SJM;19.7988;33.99;34.24;33.42;34.20;2003-03-10;152300
SJM;19.9095;34.18;34.52;33.73;33.90;2003-03-11;210200
SJM;19.8046;34.00;34.34;33.86;34.19;2003-03-12;208100
SJM;19.7464;33.90;34.48;33.70;34.05;2003-03-13;290100
SJM;19.6881;33.80;34.15;33.47;33.90;2003-03-14;189500
SJM;20.3230;34.89;34.90;33.23;33.80;2003-03-17;259100
SJM;19.8338;34.05;34.89;33.70;34.89;2003-03-18;275600
SJM;20.3172;34.88;34.89;34.20;34.20;2003-03-19;161800
SJM;20.2531;34.77;35.00;34.01;35.00;2003-03-20;170300
SJM;20.6667;35.48;35.50;34.70;34.95;2003-03-21;198300
SJM;20.4104;35.04;35.35;34.10;35.35;2003-03-24;272000
SJM;20.5619;35.30;35.72;34.90;35.24;2003-03-25;199000
SJM;20.3929;35.01;35.34;34.75;35.30;2003-03-26;221700
SJM;20.5910;35.35;35.79;34.48;35.10;2003-03-27;144300
SJM;20.5852;35.34;35.55;34.64;35.50;2003-03-28;228000
SJM;20.3696;34.97;35.59;34.70;35.20;2003-03-31;141900
SJM;20.6259;35.41;35.58;34.80;35.15;2003-04-01;190500
SJM;20.8881;35.86;36.15;35.50;35.80;2003-04-02;197500
SJM;20.7366;35.60;36.08;35.44;35.65;2003-04-03;126400
SJM;20.8822;35.85;36.35;35.65;35.70;2003-04-04;163700
SJM;21.1152;36.25;36.90;36.00;36.00;2003-04-07;202100
SJM;21.0570;36.15;36.65;36.06;36.35;2003-04-08;122300
SJM;20.9114;35.90;37.00;35.72;36.30;2003-04-09;175500
SJM;20.8997;35.88;36.25;35.72;35.90;2003-04-10;107500
SJM;20.7949;35.70;36.44;35.60;36.10;2003-04-11;178600
SJM;21.0978;36.22;36.23;35.78;35.85;2003-04-14;237100
SJM;21.0919;36.21;36.37;35.98;36.30;2003-04-15;172900
SJM;20.7949;35.70;36.73;35.55;36.70;2003-04-16;151300
SJM;20.9987;36.05;36.15;35.76;35.90;2003-04-17;178500
SJM;21.1618;36.33;36.38;35.66;36.15;2003-04-21;181700
SJM;21.4472;36.82;37.00;36.00;36.33;2003-04-22;185000
SJM;21.4065;36.75;36.88;36.38;36.83;2003-04-23;100000
SJM;21.2026;36.40;36.90;36.05;36.75;2003-04-24;144800
SJM;21.0628;36.16;36.53;36.05;36.41;2003-04-25;99100
SJM;21.2317;36.45;36.60;36.25;36.35;2003-04-28;161700
SJM;21.2900;36.55;37.00;36.40;36.45;2003-04-29;147300
SJM;21.1327;36.28;36.56;36.20;36.56;2003-04-30;332900
SJM;21.3191;36.60;36.76;35.75;36.45;2003-05-01;171400
SJM;21.5637;37.02;37.11;36.50;36.50;2003-05-02;270500
SJM;21.7560;37.35;37.56;36.87;37.02;2003-05-05;194800
SJM;21.6395;37.15;37.50;36.83;37.20;2003-05-06;303700
SJM;21.6686;37.20;37.44;36.90;37.05;2003-05-07;131700
SJM;21.4705;36.86;37.01;36.74;37.00;2003-05-08;98500
SJM;21.5230;36.95;37.15;36.55;37.00;2003-05-09;255600
SJM;21.5521;37.00;37.16;36.67;36.80;2003-05-12;150600
SJM;21.3599;36.67;36.92;36.50;36.80;2003-05-13;221600
SJM;21.3482;36.65;36.73;36.40;36.70;2003-05-14;148000
SJM;21.2603;36.27;36.60;36.19;36.50;2003-05-15;218900
SJM;21.0727;35.95;36.32;35.94;36.00;2003-05-16;253200
SJM;21.1606;36.10;36.33;35.64;35.75;2003-05-19;215100
SJM;21.1841;36.14;36.41;35.95;36.06;2003-05-20;253700
SJM;21.3013;36.34;36.35;35.81;36.20;2003-05-21;186100
SJM;21.3775;36.47;36.85;36.11;36.34;2003-05-22;309300
SJM;21.4655;36.62;36.65;36.03;36.60;2003-05-23;92000
SJM;21.6706;36.97;37.09;36.30;36.50;2003-05-27;226900
SJM;21.8054;37.20;37.32;36.80;36.97;2003-05-28;305700
SJM;21.6296;36.90;37.47;36.80;37.20;2003-05-29;176200
SJM;22.0692;37.65;37.68;36.90;37.05;2003-05-30;214900
SJM;22.3213;38.08;38.40;37.54;37.90;2003-06-02;177000
SJM;22.4385;38.28;38.37;37.80;38.08;2003-06-03;94400
SJM;22.5675;38.50;38.99;38.13;38.19;2003-06-04;168300
SJM;22.6202;38.59;38.90;38.17;38.51;2003-06-05;118600
SJM;22.3682;38.16;39.10;38.10;38.84;2003-06-06;192100
SJM;22.2920;38.03;38.33;37.96;38.17;2003-06-09;117600
SJM;22.3271;38.09;38.33;37.70;38.12;2003-06-10;154100
SJM;22.5088;38.40;38.58;37.80;38.00;2003-06-11;164700
SJM;23.0657;39.35;39.41;38.35;39.00;2003-06-12;169800
SJM;22.6905;38.71;39.44;38.20;39.36;2003-06-13;202800
SJM;23.1888;39.56;39.56;38.80;38.96;2003-06-16;214100
SJM;24.5077;41.81;42.01;40.07;41.45;2003-06-17;812100
SJM;24.3260;41.50;41.88;41.25;41.81;2003-06-18;403900
SJM;24.1677;41.23;41.68;40.83;41.25;2003-06-19;243700
SJM;24.2673;41.40;41.49;41.25;41.45;2003-06-20;211100
SJM;23.7515;40.52;41.54;40.47;41.40;2003-06-23;233500
SJM;24.1501;41.20;41.45;40.50;40.60;2003-06-24;309400
SJM;24.3318;41.51;41.66;41.22;41.25;2003-06-25;194000
SJM;24.0622;41.05;41.52;40.76;41.52;2003-06-26;331000
SJM;23.6812;40.40;41.09;40.26;41.08;2003-06-27;322200
SJM;23.3822;39.89;40.43;38.81;40.43;2003-06-30;900500
SJM;23.7457;40.51;40.55;39.75;39.90;2003-07-01;271700
SJM;24.1794;41.25;41.26;40.29;40.40;2003-07-02;175500
SJM;23.9684;40.89;41.31;40.75;41.00;2003-07-03;82000
SJM;24.1208;41.15;41.49;40.93;41.00;2003-07-07;191100
SJM;24.1325;41.17;41.25;41.05;41.20;2003-07-08;142200
SJM;23.6519;40.35;41.00;40.04;41.00;2003-07-09;274300
SJM;23.4877;40.07;40.30;39.90;39.90;2003-07-10;198100
SJM;24.0622;41.05;41.13;40.27;40.30;2003-07-11;207000
SJM;23.6988;40.43;41.15;40.25;41.11;2003-07-14;111300
SJM;23.6753;40.39;40.50;40.07;40.30;2003-07-15;106800
SJM;23.6636;40.37;40.56;40.07;40.34;2003-07-16;129400
SJM;23.4233;39.96;40.56;39.92;40.15;2003-07-17;115900
SJM;23.6225;40.30;40.30;39.90;40.05;2003-07-18;116900
SJM;23.2591;39.68;40.32;39.56;40.32;2003-07-21;130200
SJM;23.2591;39.68;39.93;39.55;39.93;2003-07-22;128800
SJM;23.3998;39.92;40.00;39.35;39.80;2003-07-23;126000
