Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
SLG;17.5314;31.1535;31.2770;30.8651;30.9784;2003-02-04;110403
SLG;17.5140;31.1226;31.4006;30.9887;31.2564;2003-02-05;73893
SLG;17.5198;31.1329;31.2564;30.9990;31.1226;2003-02-06;124094
SLG;17.3865;30.8960;31.2255;30.7415;31.1535;2003-02-07;196142
SLG;17.5604;31.2049;31.2049;30.8960;30.8960;2003-02-10;646589
SLG;17.3865;30.8960;31.4109;30.7415;31.4109;2003-02-11;196725
SLG;17.3286;30.7930;30.9990;30.6385;30.8960;2003-02-12;218087
SLG;17.2996;30.7415;30.7415;30.4840;30.6385;2003-02-13;410442
SLG;17.0736;30.3399;30.8548;30.3399;30.8445;2003-02-14;306253
SLG;17.4677;31.0402;31.1535;30.3708;30.3811;2003-02-18;211095
SLG;17.3749;30.8754;30.9990;30.7621;30.8960;2003-02-19;53696
SLG;17.3517;30.8342;30.9784;30.7312;30.9372;2003-02-20;147495
SLG;17.4155;30.9475;31.1020;30.6694;30.7415;2003-02-21;178761
SLG;17.1257;30.4325;30.8445;30.4325;30.8445;2003-02-24;106130
SLG;17.1547;30.4840;30.5046;30.0309;30.2781;2003-02-25;310817
SLG;17.0562;30.3090;30.5252;30.2266;30.3399;2003-02-26;77680
SLG;17.0852;30.3605;30.5973;30.1854;30.4222;2003-02-27;858655
SLG;17.0678;30.3296;30.5664;30.2678;30.4325;2003-02-28;344025
SLG;17.2416;30.6385;30.7724;30.3708;30.5767;2003-03-03;230321
SLG;17.1547;30.4840;30.7415;30.4428;30.7415;2003-03-04;753884
SLG;17.3633;30.8548;30.8651;30.2472;30.2472;2003-03-05;283726
SLG;17.1257;30.4325;30.8960;30.4119;30.8960;2003-03-06;102441
SLG;17.1199;30.4222;30.4943;30.2884;30.3913;2003-03-07;179441
SLG;16.8417;29.9279;30.6900;29.7116;30.5046;2003-03-10;182257
SLG;16.8359;29.9176;30.3193;29.6807;30.1545;2003-03-11;97488
SLG;16.9229;30.0721;30.1648;29.6395;30.0515;2003-03-12;436659
SLG;17.0098;30.2266;30.3090;29.9279;30.1236;2003-03-13;198764
SLG;17.0504;30.2987;30.4634;30.0206;30.4634;2003-03-14;253237
SLG;17.4271;30.9681;30.9887;30.1236;30.2987;2003-03-17;230418
SLG;17.5488;31.1843;31.3285;30.8960;30.8960;2003-03-18;360532
SLG;17.7400;31.5242;31.6375;31.0299;31.1843;2003-03-19;84671
SLG;18.0704;32.1112;32.2554;31.1020;31.5242;2003-03-20;195948
SLG;18.4587;32.8012;32.8012;32.1833;32.3481;2003-03-21;179538
SLG;18.1399;32.2348;32.6982;31.5139;32.6982;2003-03-24;287222
SLG;18.2037;32.3481;32.4923;32.1524;32.2348;2003-03-25;262073
SLG;18.4935;32.8630;32.9557;32.2760;32.5438;2003-03-26;729707
SLG;18.3905;32.2039;32.5026;32.0906;32.4923;2003-03-27;529583
SLG;18.3788;32.1833;32.5335;32.1421;32.2863;2003-03-28;108267
SLG;17.9730;31.4727;32.4923;31.4727;32.1421;2003-03-31;239060
SLG;18.6552;32.6674;32.6674;31.6993;31.6993;2003-04-01;201580
SLG;18.8199;32.9557;33.4809;32.7600;32.9042;2003-04-02;117103
SLG;18.8022;32.9248;32.9557;32.4305;32.9557;2003-04-03;114287
SLG;18.5082;32.4099;32.9557;32.4099;32.9351;2003-04-04;71854
SLG;18.7022;32.7497;32.9557;32.5541;32.6468;2003-04-07;101081
SLG;18.7316;32.8012;32.9454;32.6777;32.7806;2003-04-08;158273
SLG;18.7552;32.8424;33.0484;32.5644;32.8733;2003-04-09;223427
SLG;18.7669;32.8630;33.0793;32.8630;32.9351;2003-04-10;169342
SLG;18.7611;32.8527;33.0587;32.8527;33.0278;2003-04-11;152933
SLG;18.9081;33.1102;33.2132;32.9557;32.9557;2003-04-14;137785
SLG;19.0610;33.3780;33.3780;33.0072;33.1411;2003-04-15;118365
SLG;19.0433;33.3471;33.5427;33.0793;33.5221;2003-04-16;102441
SLG;19.1551;33.5427;33.6457;33.2750;33.3471;2003-04-17;38840
SLG;19.4080;33.9856;34.0165;33.6251;33.6251;2003-04-21;109238
SLG;19.3433;33.8723;34.1401;33.8620;34.0371;2003-04-22;250712
SLG;19.3492;33.8826;33.9856;33.7281;33.8826;2003-04-23;292077
SLG;19.2315;33.6766;33.8105;33.5118;33.6457;2003-04-24;288873
SLG;19.0551;33.3677;33.7693;33.1617;33.6766;2003-04-25;72922
SLG;19.0551;33.3677;33.6766;33.2647;33.5736;2003-04-28;149340
SLG;19.0257;33.3162;33.5736;32.9866;33.4192;2003-04-29;174974
SLG;18.9551;33.1926;33.4192;33.1102;33.4192;2003-04-30;144485
SLG;18.9787;33.2338;33.5015;32.8012;33.2441;2003-05-01;173809
SLG;19.2315;33.6766;33.7281;33.2338;33.2338;2003-05-02;132444
SLG;19.3315;33.8517;34.0577;33.5839;33.9238;2003-05-05;75350
SLG;19.6079;34.3357;34.3460;33.9341;34.0062;2003-05-06;154972
SLG;19.6726;34.4490;34.4490;33.9341;34.1916;2003-05-07;148466
SLG;19.5903;34.3048;34.4696;34.0474;34.4696;2003-05-08;107393
SLG;19.8138;34.6962;34.7065;34.1401;34.5005;2003-05-09;95935
SLG;19.9667;34.9640;34.9640;34.5623;34.6962;2003-05-12;63309
SLG;19.9961;35.0154;35.1081;34.8404;35.0154;2003-05-13;92925
SLG;19.5962;34.3151;34.9434;34.3151;34.8816;2003-05-14;153224
SLG;19.7373;34.5623;34.6962;34.2945;34.5005;2003-05-15;193715
SLG;19.9491;34.9331;34.9846;34.5623;34.6550;2003-05-16;76612
SLG;19.9314;34.9022;34.9949;34.6756;34.9949;2003-05-19;83021
SLG;20.0079;35.0360;35.1184;34.9022;34.9846;2003-05-20;120695
SLG;20.1431;35.2729;35.3244;35.1493;35.2214;2003-05-21;153127
SLG;20.4078;35.7364;35.7467;35.1802;35.3759;2003-05-22;96226
SLG;20.6489;36.1586;36.1792;35.5304;35.7364;2003-05-23;121666
SLG;20.6901;36.2307;36.2719;35.9423;36.2719;2003-05-27;132347
SLG;20.3666;35.6643;36.4573;35.6231;36.1483;2003-05-28;128560
SLG;19.8138;34.6962;35.9938;34.2739;35.7364;2003-05-29;212261
SLG;20.3137;35.5716;35.7775;34.8095;34.9125;2003-05-30;128463
SLG;20.4490;35.8084;36.0041;35.4480;35.6746;2003-06-02;136426
SLG;20.2314;35.4274;35.6128;35.3450;35.5613;2003-06-03;218961
SLG;20.5489;35.9835;36.0556;35.5201;35.5201;2003-06-04;214882
SLG;20.5195;35.9320;36.0453;35.7673;36.0247;2003-06-05;98459
SLG;20.5548;35.9938;36.0556;35.7364;35.9938;2003-06-06;280522
SLG;20.5254;35.9423;36.0762;35.8805;35.9938;2003-06-09;151185
SLG;21.1724;37.0752;37.0752;35.9423;35.9423;2003-06-10;171867
SLG;21.1724;37.0752;37.2091;36.5911;37.0752;2003-06-11;131862
SLG;20.7313;36.3028;37.3841;36.3028;37.0134;2003-06-12;222165
SLG;20.5136;35.9217;36.5808;35.8290;36.4779;2003-06-13;108946
SLG;20.7901;36.4058;36.8383;35.9423;35.9423;2003-06-16;114287
SLG;20.5254;35.9423;36.1998;35.8805;36.1586;2003-06-17;113995
SLG;20.2902;35.5304;35.9320;35.1081;35.8908;2003-06-18;163614
SLG;20.1314;35.2523;35.7981;34.8610;35.5304;2003-06-19;154486
SLG;20.1725;35.3244;35.4583;35.2420;35.2626;2003-06-20;135455
SLG;19.9961;35.0154;35.2214;35.0154;35.1287;2003-06-23;135260
SLG;20.4196;35.7570;35.8805;34.7580;35.0154;2003-06-24;207503
SLG;20.5842;36.0453;36.3543;35.5819;35.7570;2003-06-25;404713
SLG;20.9806;36.2513;36.2513;35.4789;35.5819;2003-06-26;412481
SLG;20.9985;36.2822;36.7353;36.1483;36.2513;2003-06-27;78651
SLG;20.7958;35.9320;36.3028;35.4892;36.3028;2003-06-30;211872
SLG;21.2369;36.6941;36.7044;35.5098;35.9320;2003-07-01;207891
SLG;21.5051;37.1576;37.3944;36.8692;36.8692;2003-07-02;224689
SLG;21.6958;37.4871;37.4871;37.0649;37.0649;2003-07-03;55444
SLG;22.1727;38.3110;38.3110;37.4871;37.4871;2003-07-07;160021
SLG;22.3038;38.5376;38.8671;37.8991;38.1050;2003-07-08;172450
SLG;22.0773;38.1462;38.4346;37.8785;38.4346;2003-07-09;237992
SLG;21.3978;36.9722;38.1462;36.9619;38.1462;2003-07-10;189345
SLG;21.5766;37.2812;37.5489;36.9722;36.9722;2003-07-11;185558
SLG;21.7733;37.6210;37.9403;37.4356;37.4871;2003-07-14;114772
SLG;21.7793;37.6313;37.7446;37.4768;37.6004;2003-07-15;76903
