Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
SNA;16.2999;25.15;25.53;25.08;25.53;2003-02-04;258500
SNA;16.4424;25.37;25.83;25.16;25.16;2003-02-05;169700
SNA;16.2675;25.10;25.55;24.96;25.37;2003-02-06;244100
SNA;16.0730;24.80;25.45;24.75;25.30;2003-02-07;159800
SNA;16.2156;25.02;25.14;24.74;24.85;2003-02-10;193300
SNA;16.1184;24.87;25.35;24.86;25.05;2003-02-11;141600
SNA;16.2166;24.77;24.97;24.74;24.77;2003-02-12;202300
SNA;16.1118;24.61;24.77;24.24;24.77;2003-02-13;223400
SNA;16.3803;25.02;25.08;24.43;24.61;2003-02-14;169700
SNA;16.7731;25.62;25.85;25.07;25.07;2003-02-18;187800
SNA;16.5636;25.30;25.68;25.12;25.62;2003-02-19;138700
SNA;16.4916;25.19;25.35;25.00;25.29;2003-02-20;125900
SNA;16.5832;25.33;25.50;24.78;25.19;2003-02-21;208900
SNA;16.3082;24.91;25.60;24.90;25.43;2003-02-24;180000
SNA;16.5308;25.25;25.25;24.57;24.91;2003-02-25;242200
SNA;16.3344;24.95;25.31;24.88;25.25;2003-02-26;118800
SNA;16.4065;25.06;25.35;24.96;25.06;2003-02-27;391600
SNA;16.3606;24.99;25.29;24.85;25.05;2003-02-28;268000
SNA;16.2035;24.75;25.24;24.62;25.05;2003-03-03;298700
SNA;15.5881;23.81;24.75;23.74;24.75;2003-03-04;387300
SNA;15.3851;23.50;24.01;23.39;23.81;2003-03-05;418300
SNA;15.2738;23.33;23.53;23.16;23.50;2003-03-06;427200
SNA;15.3786;23.49;23.55;22.60;23.20;2003-03-07;445900
SNA;15.1887;23.20;23.57;23.12;23.48;2003-03-10;503700
SNA;14.9923;22.90;23.42;22.84;23.20;2003-03-11;342000
SNA;15.2280;23.26;23.80;23.03;23.24;2003-03-12;590200
SNA;15.9940;24.43;24.50;23.51;23.51;2003-03-13;400200
SNA;16.0333;24.49;24.75;24.19;24.53;2003-03-14;289500
SNA;16.7272;25.55;25.55;24.26;24.50;2003-03-17;198000
SNA;17.0153;25.99;26.20;25.42;25.65;2003-03-18;579600
SNA;16.9629;25.91;26.16;25.57;25.99;2003-03-19;224600
SNA;17.0873;26.10;26.24;25.31;25.88;2003-03-20;202000
SNA;17.6962;27.03;27.08;25.85;25.85;2003-03-21;247700
SNA;16.9236;25.85;26.68;25.74;26.65;2003-03-24;405700
SNA;16.8713;25.77;26.04;25.54;25.86;2003-03-25;324900
SNA;16.7272;25.55;25.85;25.28;25.85;2003-03-26;175200
SNA;16.7403;25.57;25.75;25.13;25.50;2003-03-27;124400
SNA;16.4392;25.11;25.43;25.02;25.39;2003-03-28;200000
SNA;16.2100;24.76;25.10;24.54;24.75;2003-03-31;237000
SNA;16.5374;25.26;25.29;24.70;24.93;2003-04-01;231800
SNA;17.1266;26.16;26.28;25.35;25.52;2003-04-02;534400
SNA;17.0808;26.09;26.32;25.88;26.15;2003-04-03;180900
SNA;17.3426;26.49;26.53;26.12;26.17;2003-04-04;243000
SNA;17.5980;26.88;27.60;26.88;27.04;2003-04-07;373400
SNA;17.5587;26.82;26.99;26.76;26.89;2003-04-08;225400
SNA;17.4867;26.71;26.95;26.49;26.83;2003-04-09;406500
SNA;17.5914;26.87;26.98;26.71;26.72;2003-04-10;165600
SNA;17.7158;27.06;27.50;27.04;27.07;2003-04-11;213100
SNA;18.0890;27.63;27.63;27.20;27.20;2003-04-14;163700
SNA;18.2199;27.83;27.91;27.44;27.63;2003-04-15;147700
SNA;17.9908;27.48;28.10;27.48;27.98;2003-04-16;184100
SNA;18.4229;28.14;28.24;27.58;27.58;2003-04-17;184600
SNA;18.4818;28.23;28.50;28.04;28.22;2003-04-21;151900
SNA;18.6389;28.47;28.55;27.89;28.24;2003-04-22;332500
SNA;18.5407;28.32;28.44;27.77;28.19;2003-04-23;582900
SNA;18.6127;28.43;28.74;28.12;28.17;2003-04-24;210900
SNA;18.3181;27.98;28.48;27.91;28.43;2003-04-25;190200
SNA;18.9859;29.00;29.11;27.98;27.98;2003-04-28;243200
SNA;18.9990;29.02;29.43;28.68;29.00;2003-04-29;289700
SNA;19.2151;29.35;29.57;28.63;29.02;2003-04-30;395200
SNA;19.1823;29.30;29.57;28.69;29.57;2003-05-01;227200
SNA;19.3525;29.56;29.85;29.35;29.35;2003-05-02;182200
SNA;19.3722;29.59;29.68;29.35;29.38;2003-05-05;142000
SNA;19.5162;29.81;30.00;29.55;29.59;2003-05-06;151700
SNA;19.5948;29.93;30.10;29.66;29.82;2003-05-07;189400
SNA;19.5948;29.93;29.96;29.61;29.89;2003-05-08;217700
SNA;19.7388;30.15;30.23;29.82;29.98;2003-05-09;187000
