Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
SO;12.4434;28.45;28.76;28.35;28.70;2003-02-04;1758900
SO;12.2641;28.04;28.69;28.00;28.65;2003-02-05;1735500
SO;12.4653;28.50;28.65;28.11;28.11;2003-02-06;1643200
SO;12.4040;28.36;28.80;28.16;28.75;2003-02-07;1418400
SO;12.6840;29.00;29.00;28.58;28.70;2003-02-10;2591600
SO;12.5440;28.68;29.08;28.52;29.00;2003-02-11;2086300
SO;12.1197;27.71;28.83;27.67;28.77;2003-02-12;2800700
SO;12.1504;27.78;28.10;27.00;27.72;2003-02-13;3433400
SO;12.3559;28.25;28.26;27.69;27.78;2003-02-14;1598300
SO;12.3953;28.34;28.50;28.05;28.28;2003-02-18;1249200
SO;12.3691;28.28;28.55;28.13;28.34;2003-02-19;1024800
SO;12.3253;28.18;28.55;28.09;28.47;2003-02-20;1291400
SO;12.3647;28.27;28.71;28.11;28.47;2003-02-21;1428300
SO;12.3122;28.15;28.39;28.01;28.24;2003-02-24;1634900
SO;12.4128;28.38;28.45;28.00;28.15;2003-02-25;1535700
SO;12.3253;28.18;28.39;28.02;28.39;2003-02-26;1882200
SO;12.3559;28.25;28.50;28.06;28.17;2003-02-27;1744400
SO;12.3384;28.21;28.49;28.01;28.35;2003-02-28;1541200
SO;12.4215;28.40;28.67;28.25;28.38;2003-03-03;1420900
SO;12.3384;28.21;28.60;28.21;28.50;2003-03-04;1314700
SO;12.5003;28.58;28.58;28.09;28.35;2003-03-05;1924500
SO;12.4915;28.56;28.69;28.33;28.58;2003-03-06;1487900
SO;12.4347;28.43;28.80;28.21;28.25;2003-03-07;1605500
SO;12.2510;28.01;28.22;27.86;28.06;2003-03-10;2041700
SO;12.2991;28.12;28.42;28.03;28.16;2003-03-11;1851500
SO;12.3865;28.32;28.35;27.89;28.12;2003-03-12;1996000
SO;12.4303;28.42;28.59;28.06;28.50;2003-03-13;1902100
SO;12.4040;28.36;28.57;28.11;28.50;2003-03-14;1742700
SO;12.6184;28.85;28.85;28.25;28.37;2003-03-17;2270400
SO;12.6708;28.97;28.98;28.46;28.53;2003-03-18;1690900
SO;12.5965;28.80;29.15;28.70;29.00;2003-03-19;1829200
SO;12.6227;28.86;29.10;28.71;28.75;2003-03-20;1626900
SO;12.7889;29.24;29.30;28.79;29.00;2003-03-21;1831000
SO;12.6490;28.92;29.28;28.80;29.24;2003-03-24;1293700
SO;12.7714;29.20;29.35;28.88;29.07;2003-03-25;1534000
SO;12.5046;28.59;29.20;28.58;29.20;2003-03-26;2308400
SO;12.4565;28.48;28.63;28.33;28.50;2003-03-27;2141600
SO;12.5178;28.62;28.67;28.30;28.48;2003-03-28;1256700
SO;12.4390;28.44;28.66;28.20;28.60;2003-03-31;1633700
SO;12.4871;28.55;28.65;28.19;28.60;2003-04-01;1951200
SO;12.4390;28.44;28.80;27.92;28.60;2003-04-02;1553600
SO;12.3297;28.19;28.44;28.11;28.44;2003-04-03;2170300
SO;12.4303;28.42;28.49;28.12;28.12;2003-04-04;1570900
SO;12.3559;28.25;28.79;28.20;28.67;2003-04-07;1510800
SO;12.3253;28.18;28.42;28.18;28.25;2003-04-08;1600600
SO;12.2466;28.00;28.35;28.00;28.23;2003-04-09;2521700
SO;12.2728;28.06;28.19;27.92;28.02;2003-04-10;1894500
SO;12.2203;27.94;28.33;27.94;28.15;2003-04-11;2394800
SO;12.4609;28.49;28.54;28.00;28.00;2003-04-14;1737700
SO;12.5746;28.75;28.75;28.35;28.63;2003-04-15;2224700
SO;12.4915;28.56;28.80;28.46;28.75;2003-04-16;2034800
SO;12.5703;28.74;28.75;28.53;28.56;2003-04-17;1073700
SO;12.4697;28.51;28.79;28.49;28.74;2003-04-21;1193900
SO;12.6009;28.81;28.92;28.50;28.54;2003-04-22;1478700
SO;12.5265;28.64;28.79;28.49;28.76;2003-04-23;2288800
SO;12.5921;28.79;29.05;28.60;28.64;2003-04-24;2097700
SO;12.6096;28.83;29.04;28.66;29.04;2003-04-25;1543800
SO;12.7277;29.10;29.24;28.86;28.93;2003-04-28;1478800
SO;12.6052;28.82;29.17;28.65;29.15;2003-04-29;2676700
SO;12.7233;29.09;29.20;28.91;29.15;2003-04-30;4864400
SO;12.6180;28.51;28.93;28.32;28.81;2003-05-01;1996400
SO;12.6711;28.63;28.63;28.44;28.51;2003-05-02;1871400
SO;12.7375;28.78;28.78;28.51;28.68;2003-05-05;1504100
SO;12.6446;28.57;28.82;28.55;28.68;2003-05-06;1599500
SO;12.6844;28.66;28.69;28.47;28.57;2003-05-07;1392000
SO;12.7021;28.70;28.77;28.52;28.65;2003-05-08;1095800
SO;12.8614;29.06;29.09;28.60;28.70;2003-05-09;2008600
SO;12.9278;29.21;29.25;28.87;29.06;2003-05-12;1882200
SO;12.8703;29.08;29.28;29.05;29.21;2003-05-13;1426200
SO;12.8304;28.99;29.21;28.77;29.08;2003-05-14;1521800
SO;12.8570;29.05;29.13;28.88;29.00;2003-05-15;2923500
SO;13.1137;29.63;29.75;28.99;29.07;2003-05-16;2892000
SO;12.9942;29.36;29.54;29.11;29.50;2003-05-19;2066000
SO;13.1624;29.74;29.78;29.40;29.40;2003-05-20;2582100
SO;13.0340;29.45;29.67;29.25;29.54;2003-05-21;1571600
SO;13.1668;29.75;29.80;29.39;29.49;2003-05-22;3304000
SO;13.8307;31.25;31.49;29.67;29.67;2003-05-23;7241100
SO;13.9325;31.48;31.53;30.60;31.00;2003-05-27;6709500
SO;13.9723;31.57;31.57;31.23;31.47;2003-05-28;3854500
SO;13.6448;30.83;31.81;30.60;31.49;2003-05-29;3296700
SO;13.9325;31.48;31.48;30.93;31.08;2003-05-30;2793500
SO;13.8971;31.40;31.85;31.23;31.48;2003-06-02;2345400
SO;13.9723;31.57;31.65;31.28;31.49;2003-06-03;2311700
SO;14.0785;31.81;31.85;31.45;31.70;2003-06-04;1994100
SO;13.7023;30.96;31.81;30.79;31.81;2003-06-05;4709500
SO;13.6315;30.80;31.39;30.77;31.25;2003-06-06;3033500
SO;13.6359;30.81;31.15;30.70;30.80;2003-06-09;1618300
SO;13.5386;30.59;30.80;30.20;30.62;2003-06-10;1859000
SO;13.7687;31.11;31.17;30.40;30.75;2003-06-11;2456100
SO;13.9103;31.43;31.43;30.77;31.25;2003-06-12;1675500
SO;13.7377;31.04;31.50;30.90;31.43;2003-06-13;1739000
SO;13.9369;31.49;31.50;31.09;31.13;2003-06-16;1704000
SO;13.9192;31.45;31.68;31.24;31.55;2003-06-17;1834300
SO;13.9546;31.53;31.53;31.13;31.41;2003-06-18;1313000
SO;13.9811;31.59;31.75;31.36;31.60;2003-06-19;1604100
SO;13.9944;31.62;32.00;31.37;31.82;2003-06-20;2961700
SO;13.9413;31.50;31.62;31.21;31.31;2003-06-23;1567500
SO;13.8661;31.33;31.62;31.23;31.55;2003-06-24;1450100
SO;13.7156;30.99;31.43;30.99;31.25;2003-06-25;1676000
SO;13.9457;31.51;31.60;30.95;31.09;2003-06-26;1166400
SO;13.8218;31.23;31.44;31.01;31.40;2003-06-27;2527000
SO;13.7908;31.16;31.25;31.00;31.20;2003-06-30;1626800
SO;13.5120;30.53;30.69;30.11;30.52;2003-07-01;3292600
SO;13.4191;30.32;30.51;30.02;30.51;2003-07-02;2733400
SO;13.3261;30.11;30.32;30.00;30.32;2003-07-03;1339800
SO;13.4146;30.31;30.58;30.27;30.38;2003-07-07;1614100
SO;13.3571;30.18;30.39;30.03;30.28;2003-07-08;1678800
SO;13.1358;29.68;30.19;29.59;30.18;2003-07-09;2653400
SO;12.7463;28.80;29.53;28.69;29.50;2003-07-10;3794000
SO;12.9676;29.30;29.31;28.57;28.57;2003-07-11;3123700
SO;12.7950;28.91;29.45;28.90;29.41;2003-07-14;2528800
SO;12.5959;28.46;28.91;28.35;28.91;2003-07-15;3282800
SO;12.3790;27.97;28.65;27.78;28.65;2003-07-16;2793500
SO;12.5073;28.26;28.48;27.96;28.10;2003-07-17;2412900
SO;12.8658;29.07;29.17;28.37;28.49;2003-07-18;3238700
SO;12.5295;28.31;29.15;28.23;29.00;2003-07-21;2394600
SO;12.8127;28.95;29.10;28.33;28.55;2003-07-22;2246900
SO;12.8349;29.00;29.20;28.87;29.08;2003-07-23;1557600
SO;12.8437;29.02;29.23;28.92;29.19;2003-07-24;1795700
SO;12.8127;28.95;29.35;28.94;29.35;2003-07-25;1817200
SO;12.6711;28.63;29.10;28.60;29.10;2003-07-28;1496100
SO;12.6091;28.49;29.25;28.40;29.10;2003-07-29;2922500
SO;12.7021;28.70;28.94;28.47;28.66;2003-07-30;4595100
SO;12.7424;28.44;28.75;28.21;28.70;2003-07-31;2789300
SO;12.6035;28.13;28.55;28.00;28.55;2003-08-01;2166500
SO;12.6483;28.23;28.28;27.60;28.11;2003-08-04;2347500
SO;12.4377;27.76;28.48;27.71;28.30;2003-08-05;2154600
SO;12.6438;28.22;28.34;27.62;27.77;2003-08-06;2685500
SO;12.6797;28.30;28.30;27.91;28.00;2003-08-07;1574700
SO;12.6842;28.31;28.44;28.14;28.40;2003-08-08;2108600
SO;12.5990;28.12;28.45;28.06;28.38;2003-08-11;1236000
SO;12.7245;28.40;28.45;28.02;28.25;2003-08-12;1640900
