Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
STE;17.9012;23.55;23.58;23.15;23.50;2003-02-04;308800
STE;17.9620;23.63;24.00;23.44;23.60;2003-02-05;522800
STE;18.1369;23.86;23.95;23.61;23.70;2003-02-06;633400
STE;18.1141;23.83;23.99;23.69;23.75;2003-02-07;415800
STE;18.1141;23.83;23.92;23.48;23.90;2003-02-10;346200
STE;18.3649;24.16;24.62;23.88;23.88;2003-02-11;631000
STE;18.3193;24.10;24.50;23.90;24.22;2003-02-12;540700
STE;18.0152;23.70;23.99;23.45;23.98;2003-02-13;560000
STE;18.0685;23.77;24.24;23.55;23.55;2003-02-14;352200
STE;18.2433;24.00;24.20;23.59;23.60;2003-02-18;417600
STE;18.2433;24.00;24.15;23.89;24.00;2003-02-19;393600
STE;18.2053;23.95;24.15;23.80;23.90;2003-02-20;500800
STE;18.2433;24.00;24.16;23.88;23.97;2003-02-21;719600
STE;18.2433;24.00;24.21;23.91;24.00;2003-02-24;499700
STE;18.7374;24.65;24.70;23.91;24.00;2003-02-25;328700
STE;18.8134;24.75;24.95;24.45;24.60;2003-02-26;327400
STE;18.9654;24.95;25.05;24.70;24.80;2003-02-27;290100
STE;19.1935;25.25;25.40;24.85;24.97;2003-02-28;462800
STE;19.3379;25.44;25.62;25.23;25.23;2003-03-03;491000
STE;19.2467;25.32;25.69;25.29;25.40;2003-03-04;331400
STE;19.6571;25.86;26.00;25.32;25.32;2003-03-05;333600
STE;19.3835;25.50;26.04;25.44;26.00;2003-03-06;584400
STE;19.5583;25.73;25.73;25.25;25.35;2003-03-07;325000
STE;19.0794;25.10;25.70;25.03;25.65;2003-03-10;292700
STE;18.7678;24.69;24.99;24.60;24.90;2003-03-11;296600
STE;18.6918;24.59;24.82;24.43;24.55;2003-03-12;178200
STE;19.3075;25.40;25.40;24.67;24.72;2003-03-13;311800
STE;19.1326;25.17;25.51;25.05;25.40;2003-03-14;338200
STE;19.5659;25.74;25.74;25.06;25.12;2003-03-17;381500
STE;19.5051;25.66;26.40;25.35;25.94;2003-03-18;394600
STE;19.2619;25.34;25.60;24.85;25.50;2003-03-19;350400
STE;19.7407;25.97;26.00;24.95;25.25;2003-03-20;317500
STE;20.0980;26.44;27.00;26.02;26.20;2003-03-21;531100
STE;19.5203;25.68;26.44;25.65;26.44;2003-03-24;259700
STE;20.3185;26.73;26.91;25.75;25.75;2003-03-25;329500
STE;20.1816;26.55;26.95;26.40;26.75;2003-03-26;396500
STE;20.2881;26.69;26.90;26.13;26.47;2003-03-27;278100
STE;19.8016;26.05;26.70;25.88;26.70;2003-03-28;587700
STE;19.8852;26.16;26.41;25.59;26.00;2003-03-31;462500
STE;20.6225;27.13;27.16;25.98;26.16;2003-04-01;523000
STE;20.6833;27.21;28.24;27.06;28.00;2003-04-02;414900
STE;20.0296;26.35;27.16;26.25;27.15;2003-04-03;885700
STE;18.1673;23.90;26.35;23.50;26.35;2003-04-04;2205200
STE;18.2661;24.03;24.33;23.72;24.25;2003-04-07;845800
STE;18.6081;24.48;24.75;23.95;24.00;2003-04-08;933700
STE;18.4105;24.22;24.94;24.20;24.58;2003-04-09;417300
STE;18.4105;24.22;24.45;24.07;24.25;2003-04-10;394500
STE;18.2281;23.98;24.45;23.86;24.30;2003-04-11;273400
STE;18.2433;24.00;24.12;23.85;24.05;2003-04-14;263200
STE;17.5972;23.15;24.00;20.60;24.00;2003-04-15;4245000
STE;16.5406;21.76;23.90;21.65;23.90;2003-04-16;1466600
STE;16.8826;22.21;22.57;21.67;21.70;2003-04-17;729000
STE;16.5406;21.76;22.60;21.68;22.60;2003-04-21;745500
STE;16.1681;21.27;21.90;21.15;21.90;2003-04-22;1224000
STE;17.1639;22.58;22.67;21.35;21.40;2003-04-23;732600
STE;15.9097;20.93;21.91;19.40;21.90;2003-04-24;2567300
STE;16.7990;22.10;22.40;21.50;21.75;2003-04-25;842300
STE;16.8750;22.20;22.29;21.86;22.08;2003-04-28;665100
STE;16.9359;22.28;22.60;22.07;22.20;2003-04-29;747700
STE;17.2551;22.70;22.99;22.17;22.26;2003-04-30;1063200
STE;16.9511;22.30;22.64;22.03;22.55;2003-05-01;694100
STE;17.1791;22.60;22.62;22.20;22.35;2003-05-02;611000
STE;17.9772;23.65;23.73;23.00;23.05;2003-05-05;1056100
STE;17.9316;23.59;23.80;23.05;23.55;2003-05-06;666700
STE;17.5516;23.09;23.60;23.05;23.60;2003-05-07;281500
STE;17.4071;22.90;23.23;22.84;23.15;2003-05-08;542700
STE;17.6048;23.16;23.33;22.95;22.95;2003-05-09;399000
STE;17.7796;23.39;23.42;22.96;23.15;2003-05-12;370200
STE;17.5136;23.04;23.46;22.90;23.40;2003-05-13;460000
STE;16.9206;22.26;23.09;21.80;22.85;2003-05-14;1116700
STE;17.2095;22.64;22.76;22.18;22.20;2003-05-15;645900
STE;17.1487;22.56;22.75;22.48;22.68;2003-05-16;158200
STE;16.8446;22.16;22.47;22.07;22.46;2003-05-19;278400
STE;16.7838;22.08;22.15;21.97;22.10;2003-05-20;633400
STE;16.8446;22.16;22.24;22.07;22.15;2003-05-21;400100
STE;17.1031;22.50;22.75;22.14;22.19;2003-05-22;559100
STE;17.1183;22.52;22.72;22.32;22.50;2003-05-23;304500
STE;16.8750;22.20;22.57;22.10;22.55;2003-05-27;516500
STE;17.0195;22.39;22.47;22.14;22.25;2003-05-28;483800
STE;17.1183;22.52;22.90;22.46;22.50;2003-05-29;439100
