Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
STX;4.8947;9.05;9.18;8.95;9.18;2003-02-04;1087700
STX;4.8947;9.05;9.21;8.98;9.12;2003-02-05;1233500
STX;4.8947;9.05;9.34;9.03;9.10;2003-02-06;923500
STX;4.8677;9.00;9.17;8.96;9.15;2003-02-07;1069500
STX;4.7054;8.70;8.75;7.78;8.75;2003-02-10;10046400
STX;4.8298;8.93;8.93;8.23;8.70;2003-02-11;2238900
STX;4.5259;8.34;8.95;8.18;8.95;2003-02-12;1726000
STX;4.3740;8.06;8.45;8.00;8.35;2003-02-13;2111000
STX;4.5585;8.40;8.40;8.06;8.06;2003-02-14;881000
STX;4.7430;8.74;8.74;8.39;8.40;2003-02-18;2049100
STX;4.8787;8.99;9.00;8.74;8.81;2003-02-19;1506300
STX;4.8895;9.01;9.15;8.87;8.89;2003-02-20;760000
STX;4.9926;9.20;9.36;9.03;9.03;2003-02-21;1519300
STX;4.8841;9.00;9.40;8.88;9.25;2003-02-24;1055600
STX;5.2531;9.68;9.75;8.97;9.00;2003-02-25;3049400
STX;5.1663;9.52;9.74;9.42;9.65;2003-02-26;782300
STX;5.1283;9.45;9.69;9.32;9.42;2003-02-27;387000
STX;5.0306;9.27;9.50;9.18;9.50;2003-02-28;808500
STX;5.0469;9.30;9.52;9.22;9.25;2003-03-03;575800
STX;5.0306;9.27;9.39;9.20;9.33;2003-03-04;517600
STX;5.0415;9.29;9.42;9.14;9.23;2003-03-05;1017700
STX;5.1989;9.58;9.75;9.19;9.19;2003-03-06;1481100
STX;5.2640;9.70;9.84;9.39;9.48;2003-03-07;898800
STX;5.2965;9.76;9.76;9.45;9.45;2003-03-10;1837100
STX;5.1826;9.55;9.75;9.45;9.70;2003-03-11;1960400
STX;4.9004;9.03;9.40;8.95;9.35;2003-03-12;4556400
STX;4.9112;9.05;9.15;8.88;9.03;2003-03-13;4223600
STX;4.8624;8.96;9.10;8.75;9.02;2003-03-14;2401400
STX;5.0740;9.35;9.43;8.85;8.96;2003-03-17;994400
STX;5.1772;9.54;9.56;9.35;9.35;2003-03-18;782500
STX;5.0686;9.34;9.51;9.18;9.45;2003-03-19;874000
STX;5.1229;9.44;9.45;9.20;9.25;2003-03-20;1609600
STX;5.3182;9.80;9.99;9.40;9.50;2003-03-21;2559900
STX;5.1826;9.55;9.76;9.43;9.45;2003-03-24;1945600
STX;5.4268;10.00;10.22;9.45;9.50;2003-03-25;4664700
STX;5.4811;10.10;10.19;9.75;9.85;2003-03-26;2908700
STX;5.9043;10.88;10.89;9.94;9.95;2003-03-27;4410700
STX;5.6167;10.35;10.80;10.35;10.69;2003-03-28;2628000
STX;5.6004;10.32;10.44;9.98;10.00;2003-03-31;1127600
STX;5.7361;10.57;10.68;10.33;10.42;2003-04-01;1558200
STX;5.8284;10.74;10.95;10.56;10.75;2003-04-02;4117900
STX;5.8175;10.72;10.85;10.41;10.84;2003-04-03;1517100
STX;5.5733;10.27;10.63;10.15;10.62;2003-04-04;4553400
STX;5.5950;10.31;10.48;10.20;10.30;2003-04-07;3600200
