Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
SWK;16.7662;25.88;26.29;25.61;26.20;2003-02-04;597600
SWK;16.8828;26.06;26.37;25.85;26.00;2003-02-05;701600
SWK;16.5330;25.52;26.16;25.35;25.75;2003-02-06;518700
SWK;16.2609;25.10;26.04;25.10;25.95;2003-02-07;351300
SWK;16.0925;24.84;25.38;24.58;25.34;2003-02-10;1163600
SWK;15.9435;24.61;25.30;24.36;25.04;2003-02-11;471900
SWK;15.6195;24.11;24.90;23.84;24.77;2003-02-12;821800
SWK;15.8787;24.51;24.56;24.00;24.36;2003-02-13;412000
SWK;16.0147;24.72;24.86;24.19;24.55;2003-02-14;422500
SWK;16.2998;25.16;25.75;24.89;24.97;2003-02-18;487200
SWK;16.2674;25.11;25.29;24.94;25.21;2003-02-19;224100
SWK;16.4099;25.33;25.50;25.00;25.36;2003-02-20;458500
SWK;16.4293;25.36;25.66;25.11;25.45;2003-02-21;416900
SWK;16.1961;25.00;25.57;24.83;25.56;2003-02-24;472300
SWK;16.2480;25.08;25.30;24.70;25.00;2003-02-25;650800
SWK;16.2156;25.03;25.28;25.00;25.10;2003-02-26;252100
SWK;16.5913;25.61;25.75;25.02;25.20;2003-02-27;609300
SWK;16.7209;25.81;26.53;25.75;26.13;2003-02-28;733200
SWK;17.1809;26.52;26.88;26.31;26.65;2003-03-03;847100
SWK;16.4229;25.35;26.32;25.34;26.27;2003-03-04;467900
SWK;16.2674;25.11;25.75;24.84;25.35;2003-03-05;749000
SWK;16.1790;24.72;25.05;24.50;25.00;2003-03-06;450600
SWK;16.5914;25.35;25.47;24.39;24.60;2003-03-07;459700
SWK;16.2379;24.81;25.20;24.70;25.02;2003-03-10;457800
SWK;15.6882;23.97;25.08;23.87;24.92;2003-03-11;495700
SWK;15.7078;24.00;24.00;23.40;23.97;2003-03-12;381500
SWK;16.1659;24.70;24.87;24.30;24.50;2003-03-13;527000
SWK;16.0285;24.49;24.85;24.38;24.65;2003-03-14;538100
