Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
SYY;17.6474;28.98;29.09;28.44;29.02;2003-02-04;1622800
SYY;17.7753;29.19;29.70;29.01;29.35;2003-02-05;2244900
SYY;17.8605;29.33;29.46;28.95;29.15;2003-02-06;1816000
SYY;17.6717;29.02;29.47;28.93;29.30;2003-02-07;2010400
SYY;17.7753;29.19;29.23;28.76;29.02;2003-02-10;1638900
SYY;17.4160;28.60;29.40;28.41;29.26;2003-02-11;2168000
SYY;17.2637;28.35;29.05;28.35;28.79;2003-02-12;1474100
SYY;17.2942;28.40;28.71;28.03;28.50;2003-02-13;1729100
SYY;17.7813;29.20;29.20;28.31;28.60;2003-02-14;1620800
SYY;17.7874;29.21;29.65;28.85;29.27;2003-02-18;2226700
SYY;17.5804;28.87;29.44;28.73;29.25;2003-02-19;1529000
SYY;17.0628;28.02;28.85;28.01;28.85;2003-02-20;2693600
SYY;17.1541;28.17;28.42;27.72;28.27;2003-02-21;3229600
SYY;16.7948;27.58;28.18;27.19;28.18;2003-02-24;4113000
SYY;17.1907;28.23;28.30;27.29;27.59;2003-02-25;2513800
SYY;17.0263;27.96;28.36;27.80;28.23;2003-02-26;2956800
SYY;16.9654;27.86;28.15;27.46;27.96;2003-02-27;3474200
SYY;16.5147;27.12;27.87;26.83;27.87;2003-02-28;4852100
SYY;16.3199;26.80;27.55;26.60;27.50;2003-03-03;4620600
SYY;16.0154;26.30;27.01;26.15;26.80;2003-03-04;4396700
SYY;14.8097;24.32;25.90;24.10;25.51;2003-03-05;9820700
SYY;14.9802;24.60;24.70;22.90;24.32;2003-03-06;17622300
SYY;14.8888;24.45;24.45;23.61;23.70;2003-03-07;8328000
SYY;14.3834;23.62;24.40;23.39;24.20;2003-03-10;6446200
SYY;14.3651;23.59;23.75;22.90;23.55;2003-03-11;6310000
SYY;14.6879;24.12;24.12;23.35;23.51;2003-03-12;5434600
SYY;15.3699;25.24;25.40;24.52;24.60;2003-03-13;4985700
SYY;15.7109;25.80;25.95;25.25;25.47;2003-03-14;4831900
SYY;16.3138;26.79;26.79;25.56;25.80;2003-03-17;4086600
SYY;16.3625;26.87;26.92;26.25;26.79;2003-03-18;3884700
SYY;16.4173;26.96;27.47;26.23;27.35;2003-03-19;4981600
SYY;16.0519;26.36;26.91;26.10;26.90;2003-03-20;3855100
SYY;16.7766;27.55;27.56;26.65;26.97;2003-03-21;3442100
SYY;15.9301;26.16;27.15;26.00;27.15;2003-03-24;3910500
SYY;16.2651;26.71;26.83;26.00;26.10;2003-03-25;2741100
SYY;16.0702;26.39;26.85;26.05;26.51;2003-03-26;2225700
SYY;16.0885;26.42;26.59;26.03;26.33;2003-03-27;1516400
SYY;15.6866;25.76;26.03;25.41;26.02;2003-03-28;3456500
SYY;15.4917;25.44;25.68;24.83;25.38;2003-03-31;2425200
SYY;15.8327;26.00;26.00;25.24;25.44;2003-04-01;3805600
SYY;16.4137;26.84;26.95;26.42;26.75;2003-04-02;3463500
SYY;16.2975;26.65;26.99;26.49;26.93;2003-04-03;2457700
SYY;16.6338;27.20;27.32;26.57;26.90;2003-04-04;2726700
SYY;16.6827;27.28;28.25;27.15;27.90;2003-04-07;2818700
SYY;16.6827;27.28;27.50;27.04;27.26;2003-04-08;1699600
SYY;16.3709;26.77;27.49;26.55;27.38;2003-04-09;3040300
SYY;16.4932;26.97;26.99;26.53;26.90;2003-04-10;1583200
SYY;16.3036;26.66;27.42;26.56;27.07;2003-04-11;1697300
SYY;16.5910;27.13;27.22;26.79;26.90;2003-04-14;1464500
SYY;16.3709;26.77;27.20;26.42;27.20;2003-04-15;2926500
SYY;16.2669;26.60;26.80;26.47;26.78;2003-04-16;2599700
SYY;16.6889;27.29;27.34;26.63;26.66;2003-04-17;1689700
SYY;16.6766;27.27;27.68;27.19;27.39;2003-04-21;1923200
SYY;17.0007;27.80;27.88;26.91;27.27;2003-04-22;1875500
SYY;16.9396;27.70;27.95;27.50;27.87;2003-04-23;2943400
SYY;16.5360;27.04;27.65;26.90;27.52;2003-04-24;2349900
SYY;16.8968;27.63;27.73;27.00;27.40;2003-04-25;2561000
SYY;17.3432;28.36;28.62;26.92;28.30;2003-04-28;5002000
SYY;17.5695;28.73;29.22;28.50;28.85;2003-04-29;3139800
SYY;17.5695;28.73;29.02;28.53;28.71;2003-04-30;4018600
SYY;17.4288;28.50;28.82;28.10;28.73;2003-05-01;2481300
SYY;17.6673;28.89;29.10;28.26;28.50;2003-05-02;3464900
SYY;17.6918;28.93;29.12;28.71;28.85;2003-05-05;2477900
SYY;17.6429;28.85;29.13;28.72;28.85;2003-05-06;1920100
SYY;17.4227;28.49;28.88;28.35;28.80;2003-05-07;2392100
SYY;17.0802;27.93;28.33;27.83;28.00;2003-05-08;2741800
SYY;17.6612;28.88;28.88;28.02;28.18;2003-05-09;2395100
SYY;17.7346;29.00;29.30;28.80;28.80;2003-05-12;2535400
SYY;17.7529;29.03;29.60;28.85;29.04;2003-05-13;2561600
SYY;17.6734;28.90;29.35;28.84;29.20;2003-05-14;1870900
SYY;18.1137;29.62;29.63;28.94;29.10;2003-05-15;1930800
SYY;18.1382;29.66;29.93;29.45;29.59;2003-05-16;2142000
SYY;18.0404;29.50;29.68;29.32;29.55;2003-05-19;1780700
SYY;18.1627;29.70;29.90;29.41;29.55;2003-05-20;2126500
SYY;18.2055;29.77;30.05;29.60;29.71;2003-05-21;2142700
SYY;18.3400;29.99;30.12;29.70;29.77;2003-05-22;1519500
SYY;18.3461;30.00;30.00;29.76;29.99;2003-05-23;1031100
SYY;18.4501;30.17;30.18;29.76;29.85;2003-05-27;1993100
SYY;18.4990;30.25;30.63;30.01;30.23;2003-05-28;1838700
SYY;18.6519;30.50;30.64;30.30;30.35;2003-05-29;2001700
SYY;18.9210;30.94;30.99;30.50;30.50;2003-05-30;1742300
SYY;19.0861;31.21;31.50;30.80;30.97;2003-06-02;1865600
SYY;18.7864;30.72;31.21;30.52;31.21;2003-06-03;1769800
SYY;18.9515;30.99;31.07;30.60;30.95;2003-06-04;1847500
SYY;18.9515;30.99;31.08;30.71;30.90;2003-06-05;1864300
SYY;18.9944;31.06;31.34;30.93;31.05;2003-06-06;1572000
SYY;18.8843;30.88;31.05;30.74;31.00;2003-06-09;1219700
SYY;18.6886;30.56;31.00;30.43;30.95;2003-06-10;1902500
SYY;18.7314;30.63;30.65;30.38;30.38;2003-06-11;2439700
SYY;18.7987;30.74;30.80;30.23;30.67;2003-06-12;1407900
SYY;18.7742;30.70;30.92;30.66;30.84;2003-06-13;1354600
SYY;19.0861;31.21;31.21;30.85;30.90;2003-06-16;1207900
SYY;18.8354;30.80;31.20;30.58;31.20;2003-06-17;1443400
