Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
TDG;10.5324;24.10;24.69;23.45;23.95;2006-03-15;7251200
TDG;10.6067;24.27;24.35;23.89;24.10;2006-03-16;649100
TDG;10.9301;25.01;25.12;24.15;24.25;2006-03-17;287000
TDG;10.8820;24.90;25.61;24.75;25.17;2006-03-20;282800
TDG;10.5761;24.20;24.89;24.00;24.89;2006-03-21;274700
TDG;10.5586;24.16;24.30;24.00;24.05;2006-03-22;103000
TDG;10.5324;24.10;24.20;23.99;24.09;2006-03-23;106200
TDG;10.7072;24.50;24.99;24.24;24.30;2006-03-24;101300
TDG;10.8165;24.75;25.75;24.45;24.65;2006-03-27;111700
TDG;10.7946;24.70;24.86;24.55;24.73;2006-03-28;115400
TDG;10.8820;24.90;25.05;24.75;24.95;2006-03-29;81900
TDG;11.1224;25.45;25.45;24.95;24.95;2006-03-30;132400
TDG;11.2535;25.75;25.96;25.50;25.50;2006-03-31;100100
TDG;10.8820;24.90;25.80;24.80;25.80;2006-04-03;291800
TDG;10.8383;24.80;24.90;24.70;24.89;2006-04-04;220200
TDG;10.7859;24.68;24.76;24.63;24.75;2006-04-05;122200
TDG;10.5980;24.25;24.68;24.05;24.50;2006-04-06;130100
TDG;10.5368;24.11;24.25;23.90;24.25;2006-04-07;33700
TDG;10.6242;24.31;24.35;24.01;24.05;2006-04-10;43800
TDG;10.5324;24.10;24.28;23.95;24.28;2006-04-11;163800
TDG;10.5324;24.10;25.35;24.07;25.35;2006-04-12;664800
TDG;10.6548;24.38;24.45;24.01;24.15;2006-04-13;214700
TDG;10.7509;24.60;24.70;24.39;24.39;2006-04-17;203100
TDG;10.5980;24.25;24.58;23.98;24.52;2006-04-18;186400
TDG;10.8165;24.75;25.00;24.25;24.25;2006-04-19;241600
TDG;11.1880;25.60;25.94;24.73;24.80;2006-04-20;166400
TDG;11.1224;25.45;26.10;25.21;25.70;2006-04-21;401800
TDG;11.1486;25.51;25.90;25.30;25.45;2006-04-24;92400
TDG;11.2754;25.80;26.20;25.48;25.48;2006-04-25;232500
TDG;11.2535;25.75;26.00;25.50;25.65;2006-04-26;145000
TDG;11.0962;25.39;25.85;25.26;25.76;2006-04-27;52300
TDG;10.8077;24.73;25.40;24.13;25.39;2006-04-28;232200
TDG;10.9869;25.14;25.17;24.73;24.73;2006-05-01;151000
TDG;10.8165;24.75;25.20;24.74;25.15;2006-05-02;124000
TDG;10.7597;24.62;24.76;24.56;24.75;2006-05-03;110100
TDG;10.7422;24.58;24.61;24.11;24.52;2006-05-04;95500
TDG;10.7291;24.55;24.64;24.22;24.50;2006-05-05;104900
TDG;10.8646;24.86;25.00;24.46;24.50;2006-05-08;106200
TDG;10.8908;24.92;25.00;24.65;24.88;2006-05-09;85400
TDG;10.9214;24.99;25.10;24.78;25.05;2006-05-10;74200
