Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
TER;9.5618;10.18;10.41;10.04;10.38;2003-02-04;2407900
TER;9.5899;10.21;10.74;10.21;10.35;2003-02-05;2600800
TER;9.3457;9.95;10.39;9.80;10.27;2003-02-06;2888700
TER;9.0452;9.63;10.13;9.54;10.10;2003-02-07;1413000
TER;9.1485;9.74;9.88;9.50;9.73;2003-02-10;1202100
TER;9.0076;9.59;10.01;9.53;9.75;2003-02-11;1746000
TER;8.9982;9.58;9.78;9.45;9.59;2003-02-12;1734000
TER;9.1297;9.72;9.89;9.54;9.58;2003-02-13;2007700
TER;9.6933;10.32;10.35;9.78;9.78;2003-02-14;1985300
TER;10.2756;10.94;11.20;10.60;10.60;2003-02-18;2903000
TER;10.1723;10.83;11.06;10.63;10.94;2003-02-19;1707800
TER;10.3883;11.06;11.17;10.77;10.92;2003-02-20;3182700
TER;10.8955;11.60;11.65;11.03;11.60;2003-02-21;4008800
TER;10.9049;11.61;11.76;11.44;11.50;2003-02-24;2175700
TER;10.8204;11.52;11.61;10.93;11.61;2003-02-25;2375600
TER;10.3977;11.07;11.52;11.00;11.52;2003-02-26;2247800
TER;10.7171;11.41;11.49;10.95;11.20;2003-02-27;2331800
TER;10.8861;11.59;11.79;11.18;11.41;2003-02-28;1987600
TER;10.4541;11.13;11.90;11.01;11.69;2003-03-03;1787100
TER;10.1723;10.83;11.15;10.75;11.14;2003-03-04;2905200
TER;10.2005;10.86;11.06;10.58;10.85;2003-03-05;1678600
TER;10.0502;10.70;10.99;10.53;10.81;2003-03-06;2519300
TER;9.8248;10.46;10.56;10.16;10.40;2003-03-07;4110200
TER;9.9563;10.60;10.69;10.30;10.40;2003-03-10;2070100
TER;10.0878;10.74;10.77;10.55;10.56;2003-03-11;2352600
TER;10.5010;11.18;11.22;10.70;10.74;2003-03-12;3232600
TER;11.7409;12.50;12.64;11.45;11.70;2003-03-13;5370000
TER;11.5154;12.26;12.70;12.15;12.24;2003-03-14;5142100
TER;12.0227;12.80;13.25;12.06;12.10;2003-03-17;3513400
TER;12.3420;13.14;13.50;12.50;12.80;2003-03-18;2299100
TER;12.1635;12.95;13.23;12.64;13.14;2003-03-19;3030600
TER;12.4641;13.27;13.50;12.65;12.95;2003-03-20;3329700
TER;12.8022;13.63;13.74;13.30;13.57;2003-03-21;2714400
TER;12.2011;12.99;13.24;12.83;13.20;2003-03-24;2123800
TER;12.1448;12.93;13.25;12.72;13.07;2003-03-25;2739200
TER;11.8818;12.65;13.26;12.50;12.94;2003-03-26;3670200
TER;11.5906;12.34;12.55;11.90;12.55;2003-03-27;5522600
TER;11.2806;12.01;12.40;11.99;12.20;2003-03-28;1843100
TER;10.9331;11.64;11.96;11.00;11.00;2003-03-31;2774400
TER;11.2525;11.98;12.15;11.71;11.78;2003-04-01;2054300
TER;12.0508;12.83;12.85;12.33;12.33;2003-04-02;2327600
TER;12.0320;12.81;13.00;12.65;12.83;2003-04-03;2002300
TER;11.7221;12.48;12.84;12.10;12.81;2003-04-04;2515200
TER;12.0696;12.85;13.22;12.72;13.08;2003-04-07;2251700
TER;11.6188;12.37;12.85;12.34;12.75;2003-04-08;1719900
TER;11.1491;11.87;12.65;11.80;12.36;2003-04-09;2118400
TER;11.2149;11.94;12.24;11.88;12.07;2003-04-10;2055800
TER;11.1491;11.87;12.40;11.82;12.16;2003-04-11;1931200
TER;11.5718;12.32;12.32;11.60;11.87;2003-04-14;2639800
TER;11.6282;12.38;12.55;11.22;12.32;2003-04-15;2685500
TER;11.0270;11.74;12.74;11.55;12.71;2003-04-16;4812700
TER;11.6000;12.35;12.57;11.69;11.74;2003-04-17;4041800
TER;11.4027;12.14;12.36;11.97;12.35;2003-04-21;2147400
TER;11.8536;12.62;12.62;11.89;12.14;2003-04-22;1974700
TER;11.6939;12.45;12.73;12.28;12.62;2003-04-23;2163500
TER;11.3839;12.12;12.49;12.09;12.45;2003-04-24;1237100
TER;10.7452;11.44;12.12;11.29;12.12;2003-04-25;2681800
TER;10.9895;11.70;11.84;11.45;11.47;2003-04-28;2532400
TER;11.0176;11.73;12.10;11.56;11.75;2003-04-29;3793500
TER;10.8955;11.60;11.92;11.60;11.76;2003-04-30;5528900
TER;10.9895;11.70;11.80;11.51;11.67;2003-05-01;1839000
TER;11.9757;12.75;12.82;11.72;11.76;2003-05-02;4988000
TER;12.3138;13.11;13.36;12.64;12.75;2003-05-05;3702100
TER;12.3702;13.17;13.39;12.78;13.02;2003-05-06;2616600
TER;11.8442;12.61;13.05;12.52;12.97;2003-05-07;1962200
TER;11.4591;12.20;12.61;12.00;12.00;2003-05-08;3145900
TER;12.2669;13.06;13.15;12.39;12.45;2003-05-09;2508500
TER;13.1592;14.01;14.23;12.87;13.06;2003-05-12;4741900
TER;13.4222;14.29;14.40;13.49;14.01;2003-05-13;4241000
TER;13.2249;14.08;14.28;13.65;14.27;2003-05-14;2231000
TER;13.2907;14.15;14.29;13.89;14.16;2003-05-15;1785500
TER;13.4409;14.31;14.35;13.76;14.15;2003-05-16;2978000
TER;12.9619;13.80;14.16;13.77;14.03;2003-05-19;2781300
TER;13.1122;13.96;14.54;13.81;13.81;2003-05-20;3132500
TER;13.6382;14.52;14.75;14.06;14.06;2003-05-21;2975100
TER;14.2675;15.19;15.50;14.40;14.47;2003-05-22;5150200
TER;14.3896;15.32;15.55;14.95;15.19;2003-05-23;2952700
TER;15.1222;16.10;16.32;15.03;15.08;2003-05-27;4776000
TER;15.4040;16.40;16.41;15.99;16.11;2003-05-28;4549100
TER;15.4698;16.47;16.74;16.30;16.40;2003-05-29;3950300
TER;16.1085;17.15;17.24;16.75;16.87;2003-05-30;3443100
TER;15.8737;16.90;17.80;16.85;17.37;2003-06-02;4280200
TER;15.8549;16.88;17.06;16.68;16.89;2003-06-03;2987400
TER;16.5499;17.62;17.90;16.75;16.90;2003-06-04;2125700
TER;17.0008;18.10;18.15;17.20;17.62;2003-06-05;3922700
TER;16.5499;17.62;19.00;17.58;18.80;2003-06-06;3447600
TER;16.2118;17.26;17.66;17.15;17.61;2003-06-09;2953500
TER;16.2588;17.31;17.50;16.85;17.35;2003-06-10;3686600
TER;16.3715;17.43;17.69;16.80;17.31;2003-06-11;4735900
TER;16.3057;17.36;17.50;16.98;17.43;2003-06-12;2135400
TER;15.5261;16.53;17.30;16.40;17.17;2003-06-13;2027400
TER;16.0709;17.11;17.11;16.33;16.76;2003-06-16;1636500
TER;16.8035;17.89;17.99;16.82;17.29;2003-06-17;2547200
TER;17.8367;18.99;19.22;17.61;17.75;2003-06-18;5189800
TER;16.9914;18.09;19.20;17.93;19.04;2003-06-19;3255700
TER;16.8223;17.91;18.24;17.69;18.24;2003-06-20;2507400
TER;16.2306;17.28;18.04;17.15;17.90;2003-06-23;1225400
TER;15.8549;16.88;17.50;16.30;16.98;2003-06-24;2009000
TER;15.6107;16.62;17.20;16.43;16.74;2003-06-25;2532200
TER;16.1366;17.18;17.29;16.69;16.69;2003-06-26;2986100
TER;16.2681;17.32;17.85;17.18;17.23;2003-06-27;2134300
TER;16.2588;17.31;17.87;17.05;17.57;2003-06-30;2503800
TER;16.6157;17.69;17.72;16.75;17.31;2003-07-01;2160400
TER;16.7660;17.85;17.87;17.54;17.69;2003-07-02;2532100
TER;16.4654;17.53;17.84;17.46;17.47;2003-07-03;1026900
TER;17.8743;19.03;19.17;17.94;18.40;2003-07-07;3392700
TER;17.9870;19.15;19.25;18.70;19.03;2003-07-08;3437700
TER;18.1561;19.33;19.64;18.75;19.15;2003-07-09;4316600
TER;17.8273;18.98;19.18;16.76;16.96;2003-07-10;3165400
TER;17.4704;18.60;19.04;18.31;18.99;2003-07-11;2883400
TER;17.9588;19.12;19.55;19.01;19.18;2003-07-14;2793900
