Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
TFC;17.6025;33.05;33.60;33.00;33.60;2003-02-04;1307500
TFC;17.3788;32.63;33.42;32.62;33.18;2003-02-05;1319800
TFC;17.3256;32.53;32.78;32.37;32.64;2003-02-06;1699100
TFC;17.1711;32.24;32.75;32.20;32.70;2003-02-07;997300
TFC;17.3469;32.57;32.57;31.97;32.29;2003-02-10;1084500
TFC;17.0326;31.98;32.72;31.87;32.57;2003-02-11;964100
TFC;16.9155;31.76;32.39;31.74;31.99;2003-02-12;906000
TFC;16.9261;31.78;31.97;31.43;31.80;2003-02-13;1472600
TFC;17.3469;32.57;32.57;31.72;31.98;2003-02-14;1078100
TFC;17.5226;32.90;32.90;32.60;32.68;2003-02-18;1235100
TFC;17.4214;32.71;32.90;32.41;32.90;2003-02-19;884400
TFC;17.3362;32.55;32.84;32.51;32.82;2003-02-20;1084800
TFC;17.5013;32.86;33.08;32.41;32.68;2003-02-21;1365000
TFC;17.1232;32.15;32.77;32.08;32.77;2003-02-24;872000
TFC;17.3948;32.66;32.71;31.75;32.16;2003-02-25;1571400
TFC;17.2031;32.30;32.66;32.15;32.66;2003-02-26;1103200
TFC;17.5120;32.88;33.08;32.39;32.50;2003-02-27;1259800
TFC;17.4853;32.83;33.24;32.66;32.98;2003-02-28;1050200
TFC;17.3202;32.52;33.35;32.46;33.19;2003-03-03;955200
TFC;17.0699;32.05;32.53;32.03;32.34;2003-03-04;778700
TFC;17.3575;32.59;32.59;32.00;32.01;2003-03-05;1163000
TFC;17.2883;32.46;32.63;32.27;32.45;2003-03-06;1364500
TFC;17.4960;32.85;32.89;32.10;32.46;2003-03-07;1181300
TFC;16.9687;31.86;32.67;31.80;32.60;2003-03-10;1239100
TFC;16.6918;31.34;31.97;31.30;31.84;2003-03-11;1645000
TFC;16.5906;31.15;31.39;30.66;31.34;2003-03-12;1327300
TFC;17.1285;32.16;32.20;31.38;31.70;2003-03-13;1379400
TFC;17.0912;32.09;32.34;31.79;32.33;2003-03-14;1317100
TFC;17.5333;32.92;32.92;31.94;32.01;2003-03-17;1747900
TFC;17.5279;32.91;33.16;32.64;32.99;2003-03-18;1323300
TFC;17.5120;32.88;33.02;32.56;32.91;2003-03-19;1810600
TFC;17.4161;32.70;32.88;32.19;32.88;2003-03-20;1644900
TFC;17.7570;33.34;33.34;32.55;32.80;2003-03-21;2337500
TFC;17.1605;32.22;33.05;32.20;33.05;2003-03-24;1278900
TFC;17.3522;32.58;32.79;32.11;32.31;2003-03-25;1224000
TFC;17.1445;32.19;32.89;32.00;32.55;2003-03-26;1505000
TFC;17.1019;32.11;32.28;31.82;32.19;2003-03-27;1057000
TFC;17.0912;32.09;32.17;31.86;31.91;2003-03-28;915500
TFC;16.7397;31.43;31.86;31.13;31.13;2003-03-31;1003400
TFC;17.0486;32.01;32.07;31.42;31.47;2003-04-01;1136800
TFC;17.3309;32.54;32.75;32.32;32.41;2003-04-02;801000
TFC;17.1019;32.11;32.64;32.05;32.64;2003-04-03;1250100
TFC;17.4001;32.67;32.68;32.17;32.35;2003-04-04;1392500
TFC;17.3096;32.50;33.55;32.47;33.13;2003-04-07;1445300
TFC;17.3522;32.58;32.84;32.30;32.72;2003-04-08;1060800
TFC;17.0620;31.75;32.67;31.72;32.23;2003-04-09;1402800
TFC;17.3038;32.20;32.49;31.74;31.75;2003-04-10;1156500
TFC;17.2770;32.15;32.67;32.12;32.50;2003-04-11;898600
TFC;17.3791;32.34;32.37;31.70;31.95;2003-04-14;1909700
TFC;17.4919;32.55;32.68;32.16;32.33;2003-04-15;970300
TFC;17.2017;32.01;32.80;31.86;32.70;2003-04-16;938200
TFC;17.3038;32.20;32.23;31.80;32.01;2003-04-17;1058300
TFC;17.2178;32.04;32.31;31.95;32.05;2003-04-21;709400
TFC;17.6209;32.79;32.79;31.85;31.92;2003-04-22;1275200
TFC;17.5564;32.67;32.73;32.46;32.73;2003-04-23;1345400
TFC;17.4865;32.54;32.72;32.29;32.62;2003-04-24;921900
TFC;17.3576;32.30;32.75;32.26;32.54;2003-04-25;936000
TFC;17.6209;32.79;32.98;32.43;32.45;2003-04-28;777800
TFC;17.6155;32.78;33.01;32.60;32.87;2003-04-29;1048000
TFC;17.5188;32.60;32.88;32.41;32.78;2003-04-30;1228600
TFC;17.6531;32.85;33.10;32.37;32.76;2003-05-01;1994800
TFC;18.0508;33.59;33.59;32.77;32.98;2003-05-02;1287500
TFC;17.8573;33.23;33.70;33.05;33.65;2003-05-05;1015000
TFC;17.9111;33.33;33.47;33.11;33.23;2003-05-06;911600
TFC;17.7767;33.08;33.28;32.85;33.18;2003-05-07;1349300
TFC;17.4973;32.56;33.08;32.55;33.00;2003-05-08;1167300
TFC;17.7821;33.09;33.17;32.69;32.81;2003-05-09;1350400
TFC;17.9756;33.45;33.46;32.85;33.09;2003-05-12;887300
TFC;17.9218;33.35;33.47;33.06;33.45;2003-05-13;711900
TFC;17.8036;33.13;33.46;33.01;33.45;2003-05-14;806300
TFC;17.7660;33.06;33.40;32.95;33.21;2003-05-15;916300
TFC;17.7230;32.98;33.15;32.75;33.06;2003-05-16;1032500
TFC;17.3791;32.34;32.89;32.26;32.89;2003-05-19;1034200
TFC;17.4059;32.39;32.70;32.21;32.38;2003-05-20;1322600
TFC;17.5188;32.60;32.71;32.29;32.40;2003-05-21;886300
TFC;17.4919;32.55;32.74;32.43;32.60;2003-05-22;948100
TFC;17.5403;32.64;32.70;32.44;32.59;2003-05-23;667300
TFC;17.8305;33.18;33.18;32.52;32.61;2003-05-27;1041500
TFC;17.9057;33.32;33.67;33.16;33.18;2003-05-28;1343300
TFC;17.8681;33.25;33.74;33.06;33.41;2003-05-29;1186100
TFC;18.3732;34.19;34.43;33.58;33.60;2003-05-30;1641500
TFC;18.4915;34.41;34.75;34.22;34.35;2003-06-02;1596300
TFC;18.6473;34.70;34.75;34.30;34.41;2003-06-03;1198400
TFC;19.0181;35.39;35.45;34.71;34.71;2003-06-04;1409900
TFC;19.0503;35.45;35.60;35.14;35.39;2003-06-05;940500
TFC;18.8569;35.09;35.88;35.03;35.60;2003-06-06;1037200
TFC;18.6312;34.67;35.10;34.50;35.10;2003-06-09;1018800
TFC;18.7763;34.94;34.98;34.57;34.68;2003-06-10;737400
TFC;19.0073;35.37;35.37;34.82;35.03;2003-06-11;935800
TFC;19.1094;35.56;35.66;35.28;35.52;2003-06-12;968500
TFC;18.9644;35.29;35.75;34.93;35.61;2003-06-13;770600
TFC;19.2922;35.90;35.90;35.34;35.45;2003-06-16;1082500
TFC;19.1471;35.63;35.93;35.46;35.90;2003-06-17;934400
TFC;19.0772;35.50;35.56;35.21;35.47;2003-06-18;939800
TFC;18.7494;34.89;35.40;34.84;35.40;2003-06-19;1286300
TFC;18.7709;34.93;35.20;34.91;34.98;2003-06-20;1636400
TFC;18.5344;34.49;34.97;34.35;34.94;2003-06-23;957600
TFC;18.4861;34.40;34.76;34.36;34.50;2003-06-24;1020400
TFC;18.3571;34.16;34.75;34.16;34.41;2003-06-25;1064700
TFC;18.5129;34.45;34.58;33.98;33.98;2003-06-26;1001200
TFC;18.3625;34.17;34.54;34.09;34.46;2003-06-27;752600
TFC;18.4323;34.30;34.75;34.29;34.55;2003-06-30;1397400
TFC;18.8139;35.01;35.16;34.01;34.30;2003-07-01;7419400
TFC;18.8569;35.09;35.14;34.69;34.91;2003-07-02;2517600
TFC;18.7978;34.98;35.16;34.86;34.90;2003-07-03;1021800
TFC;18.8999;35.17;35.40;35.11;35.20;2003-07-07;1301200
TFC;18.8730;35.12;35.24;34.96;35.00;2003-07-08;1094600
