Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
TFX;31.1800;41.23;41.35;40.60;40.68;2003-02-04;112600
TFX;30.8624;40.81;41.87;40.73;41.38;2003-02-05;103500
TFX;30.9682;40.95;41.10;40.75;40.75;2003-02-06;85400
TFX;30.4162;40.22;41.19;40.21;41.15;2003-02-07;79900
TFX;30.4464;40.26;40.41;39.95;40.12;2003-02-10;229600
TFX;30.4162;40.22;40.70;39.85;40.36;2003-02-11;119600
TFX;29.8339;39.45;40.28;39.43;40.22;2003-02-12;164800
TFX;28.1248;37.19;38.11;36.58;38.10;2003-02-13;553200
TFX;28.5104;37.70;37.70;37.00;37.44;2003-02-14;360600
TFX;28.8054;38.09;38.55;37.70;37.70;2003-02-18;144200
TFX;28.4197;37.58;38.10;37.21;38.10;2003-02-19;99400
TFX;28.3592;37.50;37.69;37.35;37.60;2003-02-20;141100
TFX;28.7771;37.87;38.12;37.15;37.50;2003-02-21;145300
TFX;28.1464;37.04;38.07;36.99;38.07;2003-02-24;137800
TFX;28.4200;37.40;37.49;36.64;36.90;2003-02-25;190100
TFX;28.0932;36.97;37.50;36.87;37.50;2003-02-26;110500
TFX;28.4960;37.50;37.56;36.90;37.00;2003-02-27;183100
TFX;28.2680;37.20;37.88;37.02;37.53;2003-02-28;98100
TFX;28.2832;37.22;37.91;37.08;37.25;2003-03-03;101900
TFX;27.8425;36.64;37.37;36.55;37.25;2003-03-04;88200
TFX;27.5689;36.28;36.70;36.10;36.49;2003-03-05;120700
TFX;27.0674;35.62;36.20;35.50;36.20;2003-03-06;141400
TFX;26.9762;35.50;36.45;35.12;35.62;2003-03-07;302800
TFX;26.5203;34.90;35.47;34.80;35.40;2003-03-10;154000
TFX;26.1023;34.35;35.42;34.24;35.00;2003-03-11;218600
TFX;26.0187;34.24;34.42;33.82;34.35;2003-03-12;148400
TFX;26.5886;34.99;35.00;34.42;34.42;2003-03-13;128000
TFX;26.5431;34.93;35.43;34.85;35.05;2003-03-14;152300
TFX;27.4245;36.09;36.20;34.77;34.80;2003-03-17;139700
TFX;28.0780;36.95;37.17;36.21;36.34;2003-03-18;166900
TFX;27.8349;36.63;37.05;36.31;36.95;2003-03-19;145500
TFX;28.0021;36.85;37.00;36.15;36.83;2003-03-20;149200
TFX;29.0811;38.27;38.48;37.25;37.25;2003-03-21;175100
TFX;27.8045;36.59;37.89;36.22;37.89;2003-03-24;186200
TFX;28.2680;37.20;37.22;35.70;35.70;2003-03-25;158400
TFX;27.8805;36.69;37.55;36.40;37.55;2003-03-26;124000
TFX;27.6525;36.39;36.84;36.20;36.49;2003-03-27;171200
TFX;27.3561;36.00;36.40;35.73;36.40;2003-03-28;112100
TFX;27.1282;35.70;35.85;35.25;35.80;2003-03-31;184200
TFX;27.1206;35.69;35.92;35.50;35.80;2003-04-01;218700
TFX;27.7361;36.50;36.80;36.10;36.10;2003-04-02;167000
TFX;27.7817;36.56;36.90;36.23;36.58;2003-04-03;190800
TFX;27.7209;36.48;36.72;36.32;36.57;2003-04-04;168800
TFX;28.2300;37.15;37.50;36.73;36.73;2003-04-07;212700
TFX;27.6601;36.40;37.13;36.31;37.10;2003-04-08;159900
TFX;27.4321;36.10;36.60;35.98;36.60;2003-04-09;134300
TFX;27.3561;36.00;36.25;35.75;36.10;2003-04-10;116200
TFX;27.0674;35.62;36.35;35.57;36.25;2003-04-11;144200
TFX;27.2422;35.85;35.96;35.40;35.40;2003-04-14;274000
TFX;27.4169;36.08;36.14;35.46;35.80;2003-04-15;111100
TFX;27.2802;35.90;36.10;35.56;36.09;2003-04-16;150400
TFX;27.4169;36.08;36.36;35.90;36.00;2003-04-17;658600
TFX;27.3105;35.94;36.23;35.52;36.18;2003-04-21;321000
TFX;28.1312;37.02;37.25;35.70;35.99;2003-04-22;232000
TFX;28.4960;37.50;37.58;36.92;37.02;2003-04-23;199000
TFX;28.4884;37.49;37.69;36.80;37.00;2003-04-24;243500
TFX;28.2072;37.12;37.58;37.02;37.29;2003-04-25;198200
TFX;28.9671;38.12;38.27;37.12;37.12;2003-04-28;223700
TFX;29.2635;38.51;39.00;38.04;38.10;2003-04-29;372500
TFX;29.1723;38.39;38.68;38.00;38.51;2003-04-30;290400
TFX;29.2559;38.50;38.59;37.80;38.29;2003-05-01;152500
