Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
TGT;19.1801;27.78;28.53;27.65;28.53;2003-02-04;3371900
TGT;19.2422;27.87;28.50;27.51;28.05;2003-02-05;2851400
TGT;18.7796;27.20;28.17;26.90;28.17;2003-02-06;4219400
TGT;18.5035;26.80;27.74;26.58;27.54;2003-02-07;3649000
TGT;18.4828;26.77;26.82;25.92;26.60;2003-02-10;4916700
TGT;18.6208;26.97;27.10;26.60;26.80;2003-02-11;4426900
TGT;18.8280;27.27;27.50;26.97;26.97;2003-02-12;3607800
TGT;18.6485;27.01;27.27;26.71;27.27;2003-02-13;4894600
TGT;19.1180;27.69;27.69;26.50;26.90;2003-02-14;5497000
TGT;19.3878;28.02;28.19;27.30;27.30;2003-02-18;3526800
TGT;19.2840;27.87;28.10;27.41;27.90;2003-02-19;3930300
TGT;18.5229;26.77;27.99;26.50;27.68;2003-02-20;8076200
TGT;19.7061;28.48;28.57;27.25;27.45;2003-02-21;9069500
TGT;19.5331;28.23;28.44;27.94;28.10;2003-02-24;6667200
TGT;19.7269;28.51;28.65;27.62;28.24;2003-02-25;5646000
TGT;19.4570;28.12;28.46;28.00;28.20;2003-02-26;3514600
TGT;19.3048;27.90;28.39;27.68;28.26;2003-02-27;4934200
TGT;19.8237;28.65;28.75;28.03;28.25;2003-02-28;4117100
TGT;19.0695;27.56;28.89;27.51;28.80;2003-03-03;4328600
TGT;18.3361;26.50;27.48;26.45;27.31;2003-03-04;6347100
TGT;18.2254;26.34;26.80;25.90;26.69;2003-03-05;6802200
TGT;18.0316;26.06;27.00;25.91;25.91;2003-03-06;6424200
TGT;18.5091;26.75;26.88;25.60;26.06;2003-03-07;6113500
TGT;18.4537;26.67;26.97;26.00;26.55;2003-03-10;4328900
TGT;18.1769;26.27;27.05;26.19;26.68;2003-03-11;3957800
TGT;18.5575;26.82;26.85;25.94;26.30;2003-03-12;4410300
TGT;19.5608;28.27;28.39;27.19;27.45;2003-03-13;6019100
TGT;18.8758;27.28;28.39;27.15;28.30;2003-03-14;6017300
TGT;20.3427;29.40;29.50;27.05;27.36;2003-03-17;6731100
TGT;20.2389;29.25;29.85;28.93;29.80;2003-03-18;4608100
TGT;20.4810;29.60;29.74;28.78;29.46;2003-03-19;3979700
TGT;20.7094;29.93;30.00;28.76;29.60;2003-03-20;4564800
TGT;21.2629;30.73;30.88;29.41;30.10;2003-03-21;7427300
TGT;20.4119;29.50;30.50;28.80;29.78;2003-03-24;5199600
TGT;20.5918;29.76;30.03;28.64;29.50;2003-03-25;4193300
TGT;20.6886;29.90;30.60;29.67;29.80;2003-03-26;3894300
TGT;20.4188;29.51;29.77;29.34;29.70;2003-03-27;3085300
TGT;20.4534;29.56;29.90;29.14;29.51;2003-03-28;3333800
TGT;20.2458;29.26;29.72;28.54;28.67;2003-03-31;2973400
TGT;20.1697;29.15;29.26;28.50;29.15;2003-04-01;3315700
TGT;21.0692;30.45;30.67;29.51;29.92;2003-04-02;3404600
TGT;20.9723;30.31;30.90;30.25;30.45;2003-04-03;2960700
TGT;21.4082;30.94;30.99;30.44;30.80;2003-04-04;2957200
TGT;21.9895;31.78;32.49;31.65;31.65;2003-04-07;6635500
TGT;21.9410;31.71;32.05;31.35;31.78;2003-04-08;4337300
TGT;21.3044;30.79;31.87;30.75;31.12;2003-04-09;3683800
TGT;22.0379;31.85;32.18;29.75;29.80;2003-04-10;10786300
TGT;21.3667;30.88;32.10;30.80;31.85;2003-04-11;7724600
TGT;21.7334;31.41;31.43;30.43;30.90;2003-04-14;7081100
TGT;22.2385;32.14;32.31;31.38;31.55;2003-04-15;6563900
TGT;21.9272;31.69;32.40;31.61;32.35;2003-04-16;4139000
TGT;22.3493;32.30;32.51;31.27;31.69;2003-04-17;3365400
TGT;22.4600;32.46;32.53;31.65;31.65;2003-04-21;3557500
TGT;22.8405;33.01;33.32;32.04;32.46;2003-04-22;3532600
TGT;22.9927;33.23;33.66;32.96;33.01;2003-04-23;3634300
TGT;22.6883;32.79;32.99;32.52;32.70;2003-04-24;2524100
TGT;22.3839;32.35;33.14;31.99;32.89;2003-04-25;3468800
TGT;22.9166;33.12;33.36;31.72;32.35;2003-04-28;4550700
TGT;23.0758;33.35;33.89;32.76;33.17;2003-04-29;4375100
TGT;23.1381;33.44;33.83;32.90;33.40;2003-04-30;7097000
TGT;22.7644;32.90;33.18;32.31;33.10;2003-05-01;4171700
TGT;23.0550;33.32;33.75;32.68;32.90;2003-05-02;3439300
TGT;23.2972;33.67;33.81;33.18;33.64;2003-05-05;4412300
TGT;23.7539;34.33;34.70;33.79;33.88;2003-05-06;5599100
TGT;23.6432;34.17;34.69;34.02;34.33;2003-05-07;3937900
TGT;24.0652;34.78;35.25;34.09;34.17;2003-05-08;6156700
TGT;24.4043;35.27;35.27;34.63;34.78;2003-05-09;4457700
TGT;24.9993;36.13;36.60;35.15;35.15;2003-05-12;5199200
TGT;25.1931;36.41;37.02;34.32;34.32;2003-05-13;4949400
TGT;24.8610;35.93;36.64;35.66;36.53;2003-05-14;5942400
TGT;23.8438;34.46;35.93;33.50;34.80;2003-05-15;16115700
TGT;23.6012;34.05;35.29;33.99;33.99;2003-05-16;7430100
TGT;23.0121;33.20;34.05;33.20;34.05;2003-05-19;3603400
TGT;23.1507;33.40;33.75;32.99;33.30;2003-05-20;3278500
TGT;22.9150;33.06;33.64;33.00;33.09;2003-05-21;3353100
TGT;23.3517;33.69;33.78;32.56;32.75;2003-05-22;4189000
TGT;22.9150;33.06;33.59;33.00;33.40;2003-05-23;2777500
TGT;23.5666;34.00;34.19;32.70;32.75;2003-05-27;3488500
TGT;24.4330;35.25;35.79;34.85;34.85;2003-05-28;5346800
TGT;24.5092;35.36;36.03;35.12;35.70;2003-05-29;5730700
TGT;25.3895;36.63;36.63;35.62;35.66;2003-05-30;6212700
TGT;25.7569;37.16;38.00;36.70;37.10;2003-06-02;5695500
TGT;25.7014;37.08;37.60;36.51;37.17;2003-06-03;3242800
TGT;26.1312;37.70;37.90;36.14;37.28;2003-06-04;3201700
TGT;26.0272;37.55;38.26;36.95;37.05;2003-06-05;5012300
TGT;26.1935;37.79;38.59;37.65;38.15;2003-06-06;5112800
TGT;25.6390;36.99;37.83;36.81;37.31;2003-06-09;3986500
TGT;25.9787;37.48;37.74;37.12;37.25;2003-06-10;3553000
TGT;26.1866;37.78;37.90;37.05;37.27;2003-06-11;3264900
TGT;26.2837;37.92;38.72;37.40;38.09;2003-06-12;4256500
TGT;25.6460;37.00;38.25;36.99;38.20;2003-06-13;2710500
TGT;26.3391;38.00;38.13;37.21;37.45;2003-06-16;2492600
TGT;26.0618;37.60;38.45;37.56;38.45;2003-06-17;2587000
TGT;25.9995;37.51;37.78;37.21;37.61;2003-06-18;1882000
TGT;25.8539;37.30;37.77;37.18;37.70;2003-06-19;2358600
TGT;25.9579;37.45;37.85;36.93;37.43;2003-06-20;4118300
TGT;25.6598;37.02;37.72;36.81;37.39;2003-06-23;2808700
TGT;25.9302;37.41;37.70;37.19;37.19;2003-06-24;2384100
TGT;25.7153;37.10;37.95;37.00;37.70;2003-06-25;3174000
TGT;26.0272;37.55;37.60;36.80;36.87;2003-06-26;2954400
TGT;25.8054;37.23;38.25;37.12;37.72;2003-06-27;2407400
TGT;26.2282;37.84;38.20;37.48;37.48;2003-06-30;3013000
TGT;26.0757;37.62;37.84;36.91;37.84;2003-07-01;3671600
TGT;26.3114;37.96;38.11;37.50;37.98;2003-07-02;2312000
TGT;25.9163;37.39;37.95;37.34;37.95;2003-07-03;1825700
TGT;26.7827;38.64;38.73;37.70;37.75;2003-07-07;3613400
TGT;27.6006;39.82;39.94;38.49;38.55;2003-07-08;4443600
TGT;26.9976;38.95;39.91;38.65;39.50;2003-07-09;4160200
TGT;26.1589;37.74;38.95;37.28;38.95;2003-07-10;5073000
TGT;26.6372;38.43;38.49;37.25;37.50;2003-07-11;3074400
TGT;26.9213;38.84;39.55;37.89;38.93;2003-07-14;3069400
TGT;26.9560;38.89;39.10;38.43;38.90;2003-07-15;2413200
TGT;27.1293;39.14;39.85;38.76;39.47;2003-07-16;3311600
TGT;26.6857;38.50;39.17;38.20;38.85;2003-07-17;2055800
TGT;26.6302;38.42;38.70;38.10;38.43;2003-07-18;2603700
TGT;26.5540;38.31;38.45;38.08;38.42;2003-07-21;2024300
TGT;26.7827;38.64;39.19;37.66;37.66;2003-07-22;2520600
TGT;26.7134;38.54;38.83;38.05;38.75;2003-07-23;1420800
TGT;26.6718;38.48;39.52;38.40;38.95;2003-07-24;2375000
TGT;27.1015;39.10;39.30;38.16;38.26;2003-07-25;1605100
TGT;27.3372;39.44;39.85;39.00;39.55;2003-07-28;2513500
TGT;26.4777;38.20;39.39;37.97;39.25;2003-07-29;4404800
TGT;26.4985;38.23;38.63;38.23;38.34;2003-07-30;2616100
TGT;26.5609;38.32;39.19;38.08;38.65;2003-07-31;2444000
TGT;26.3460;38.01;38.46;37.84;38.22;2003-08-01;2182400
TGT;26.7273;38.56;38.65;37.44;38.01;2003-08-04;2838900
TGT;26.0965;37.65;38.44;37.40;37.40;2003-08-05;3897700
TGT;26.1242;37.69;37.95;37.15;37.45;2003-08-06;3764200
TGT;26.3391;38.00;38.98;38.00;38.70;2003-08-07;4967900
TGT;26.9699;38.91;38.94;38.05;38.20;2003-08-08;2201900
TGT;27.1362;39.15;39.43;38.70;38.70;2003-08-11;3102600
TGT;27.7254;40.00;40.16;39.36;39.39;2003-08-12;4633300
TGT;27.6838;39.94;40.33;39.32;40.00;2003-08-13;3763200
TGT;26.1312;37.70;39.27;37.69;38.50;2003-08-14;11205900
TGT;26.2629;37.89;38.03;37.35;37.45;2003-08-15;3156200
TGT;26.8878;38.72;38.82;38.25;38.35;2003-08-18;3412700
TGT;27.0059;38.89;39.28;37.83;37.83;2003-08-19;3387300
TGT;26.9434;38.80;39.35;38.73;38.75;2003-08-20;2670100
TGT;27.0892;39.01;39.39;38.80;38.86;2003-08-21;2782500
TGT;26.6656;38.40;39.41;38.29;39.35;2003-08-22;2628100
TGT;26.8809;38.71;38.85;38.20;38.50;2003-08-25;2729200
TGT;27.1517;39.10;39.50;38.71;38.71;2003-08-26;3375400
TGT;27.1656;39.12;39.35;38.97;38.98;2003-08-27;2730100
TGT;27.9295;40.22;40.42;39.20;39.20;2003-08-28;5154700
TGT;28.1933;40.60;40.70;39.89;40.40;2003-08-29;3390200
TGT;28.8253;41.51;41.51;40.76;40.80;2003-09-02;5226400
TGT;28.8461;41.54;41.80;41.15;41.75;2003-09-03;3332100
TGT;28.2975;40.75;41.18;40.47;41.00;2003-09-04;3736400
TGT;27.7836;40.01;40.75;39.75;40.75;2003-09-05;3615400
TGT;27.8809;40.15;40.15;38.80;39.05;2003-09-08;9386500
TGT;27.0962;39.02;39.70;39.01;39.35;2003-09-09;6605300
TGT;26.7767;38.56;39.32;38.47;39.03;2003-09-10;4867000
TGT;27.1448;39.09;39.37;38.70;38.70;2003-09-11;2735800
TGT;27.1031;39.03;39.21;38.15;38.84;2003-09-12;3818000
TGT;27.2142;39.19;39.45;39.02;39.15;2003-09-15;3592300
TGT;27.3947;39.45;39.57;38.77;39.30;2003-09-16;3833100
TGT;27.2836;39.29;39.89;39.25;39.45;2003-09-17;2939800
TGT;27.4989;39.60;39.84;39.36;39.48;2003-09-18;2723100
TGT;27.2489;39.24;39.65;39.02;39.52;2003-09-19;2938200
TGT;26.4573;38.10;38.83;38.01;38.70;2003-09-22;4701200
TGT;27.4225;39.49;39.59;38.46;38.50;2003-09-23;4269300
TGT;27.0059;38.89;39.52;38.80;39.40;2003-09-24;3868400
TGT;27.1587;39.11;39.60;39.03;39.50;2003-09-25;3978700
TGT;26.5614;38.25;39.11;38.24;39.00;2003-09-26;3895900
TGT;26.0754;37.55;38.55;36.85;38.35;2003-09-29;6599200
TGT;26.1309;37.63;38.10;36.75;37.50;2003-09-30;5634900
TGT;26.8184;38.62;38.69;37.61;37.63;2003-10-01;3803900
TGT;26.5545;38.24;38.55;37.89;38.45;2003-10-02;2837600
TGT;27.3253;39.35;39.95;38.24;38.24;2003-10-03;3681200
TGT;27.1864;39.15;39.40;39.02;39.13;2003-10-06;2321800
TGT;27.5614;39.69;39.70;38.62;38.70;2003-10-07;2299500
TGT;27.2906;39.30;40.00;39.05;39.98;2003-10-08;1723600
TGT;28.0544;40.40;40.78;39.81;40.00;2003-10-09;5951700
TGT;27.4781;39.57;40.47;39.44;40.29;2003-10-10;3490300
TGT;27.8531;40.11;40.29;39.57;39.85;2003-10-13;2180500
TGT;28.2419;40.67;40.67;39.78;40.20;2003-10-14;2110300
TGT;28.0128;40.34;40.91;40.06;40.90;2003-10-15;2991600
TGT;27.9503;40.25;40.77;40.00;40.43;2003-10-16;2396300
TGT;27.5545;39.68;40.52;39.50;40.40;2003-10-17;2543900
TGT;27.3670;39.41;39.90;39.20;39.85;2003-10-20;2862200
TGT;27.7003;39.89;40.05;39.21;39.25;2003-10-21;2306900
TGT;27.1587;39.11;39.89;39.05;39.89;2003-10-22;2418100
TGT;27.1031;39.03;39.18;38.65;39.11;2003-10-23;3050100
TGT;26.6517;38.38;38.98;37.85;38.98;2003-10-24;3776500
TGT;26.9434;38.80;39.10;38.76;38.85;2003-10-27;4132200
TGT;27.5614;39.69;39.71;38.67;38.75;2003-10-28;4833800
TGT;27.4295;39.50;39.76;39.35;39.67;2003-10-29;2995300
TGT;27.2767;39.28;40.24;39.08;39.50;2003-10-30;3518100
TGT;27.5961;39.74;40.13;39.28;39.28;2003-10-31;2755200
TGT;27.6795;39.86;40.50;39.75;40.00;2003-11-03;3281800
TGT;27.3878;39.44;39.97;39.25;39.93;2003-11-04;2786700
TGT;26.9712;38.84;39.45;38.67;39.44;2003-11-05;3292100
TGT;27.1864;39.15;39.57;38.54;38.83;2003-11-06;4670800
TGT;26.9851;38.86;39.32;38.75;39.15;2003-11-07;2980800
TGT;27.1170;39.05;39.28;38.56;38.94;2003-11-10;3952400
TGT;27.3739;39.42;39.82;39.03;39.70;2003-11-11;3836400
TGT;27.7281;39.93;40.00;39.10;39.42;2003-11-12;3413900
TGT;27.0823;39.00;39.94;38.23;39.94;2003-11-13;11547600
TGT;26.8323;38.64;39.25;38.35;38.60;2003-11-14;4146800
TGT;26.6239;38.34;38.65;37.20;38.65;2003-11-17;3234300
TGT;26.4361;38.00;39.10;37.96;39.00;2003-11-18;3144500
TGT;26.7700;38.48;38.48;37.50;37.80;2003-11-19;4130900
TGT;26.3318;37.85;38.70;37.79;38.26;2003-11-20;3826900
TGT;26.2622;37.75;38.33;37.61;37.99;2003-11-21;3766300
TGT;26.9509;38.74;38.90;37.97;38.00;2003-11-24;3255800
TGT;27.1179;38.98;39.15;38.65;39.15;2003-11-25;3370200
TGT;26.9370;38.72;38.99;38.00;38.92;2003-11-26;3406400
TGT;26.9370;38.72;38.85;38.51;38.72;2003-11-28;1188700
TGT;27.5353;39.58;39.68;38.52;39.00;2003-12-01;5338100
TGT;27.1388;39.01;39.65;38.89;39.40;2003-12-02;4054500
TGT;27.2918;39.23;39.47;38.84;38.90;2003-12-03;3992000
TGT;27.9319;40.15;40.25;39.32;39.35;2003-12-04;7709600
TGT;27.2640;39.19;40.25;39.13;39.98;2003-12-05;3564400
TGT;27.2988;39.24;39.54;38.82;39.19;2003-12-08;3035900
TGT;27.2153;39.12;39.68;38.91;39.55;2003-12-09;2362500
TGT;27.2014;39.10;39.91;38.92;39.12;2003-12-10;5164200
TGT;27.1388;39.01;39.54;39.00;39.25;2003-12-11;2774600
