Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
TJX;3.6780;4.5450;4.6625;4.5300;4.6625;2003-02-04;6613200
TJX;3.6800;4.5475;4.6425;4.5300;4.6375;2003-02-05;5873600
TJX;3.6335;4.4900;4.5600;4.4750;4.5375;2003-02-06;10202800
TJX;3.4797;4.3000;4.5400;4.2675;4.5250;2003-02-07;20378800
TJX;3.4595;4.2750;4.3250;4.2025;4.2625;2003-02-10;15020800
TJX;3.4069;4.2100;4.2750;4.1875;4.2375;2003-02-11;14006400
TJX;3.3988;4.2000;4.2650;4.1850;4.1850;2003-02-12;8159200
TJX;3.4190;4.2250;4.2450;4.1750;4.2125;2003-02-13;11283600
TJX;3.4797;4.3000;4.3000;4.1900;4.2350;2003-02-14;7732000
TJX;3.4878;4.3100;4.3750;4.2825;4.3000;2003-02-18;8424000
TJX;3.4089;4.2125;4.3500;4.1950;4.3100;2003-02-19;9778400
TJX;3.3523;4.1425;4.2625;4.1200;4.2625;2003-02-20;13656800
TJX;3.3563;4.1475;4.2100;4.1225;4.1300;2003-02-21;13997600
TJX;3.2713;4.0425;4.1650;4.0375;4.1625;2003-02-24;10955200
TJX;3.2552;4.0225;4.0375;3.9275;4.0000;2003-02-25;20879200
TJX;3.2471;4.0125;4.1100;3.9475;4.0225;2003-02-26;20042000
TJX;3.2369;4.0000;4.0500;3.9750;4.0375;2003-02-27;14677200
TJX;3.2511;4.0175;4.0625;4.0000;4.0000;2003-02-28;14811200
TJX;3.2228;3.9825;4.0925;3.9800;4.0600;2003-03-03;9698800
TJX;3.2309;3.9925;3.9925;3.8850;3.9750;2003-03-04;19230800
TJX;3.2976;4.0750;4.0750;3.9500;3.9750;2003-03-05;17556000
TJX;3.3017;4.0800;4.1700;4.0125;4.0750;2003-03-06;13713600
TJX;3.3644;4.1575;4.1825;3.9450;4.0800;2003-03-07;11872000
TJX;3.2997;4.0775;4.1375;4.0600;4.1250;2003-03-10;10325600
TJX;3.2976;4.0750;4.1400;4.0550;4.0725;2003-03-11;7780800
TJX;3.2916;4.0675;4.0900;3.9975;4.0500;2003-03-12;9481200
TJX;3.4494;4.2625;4.2750;4.1050;4.1100;2003-03-13;9988000
TJX;3.4372;4.2475;4.2825;4.2250;4.2500;2003-03-14;12726400
TJX;3.5971;4.4450;4.4450;4.1800;4.2250;2003-03-17;12123200
TJX;3.5222;4.3525;4.4700;4.3050;4.4500;2003-03-18;12835200
TJX;3.5364;4.3700;4.3825;4.2775;4.3450;2003-03-19;10431600
TJX;3.5809;4.4250;4.4525;4.2950;4.3675;2003-03-20;7524800
TJX;3.7893;4.6825;4.6900;4.4675;4.5625;2003-03-21;15075200
TJX;3.6234;4.4775;4.5800;4.4300;4.5625;2003-03-24;11470000
TJX;3.6315;4.4875;4.5075;4.3875;4.4525;2003-03-25;10742400
TJX;3.6213;4.4750;4.5450;4.4675;4.4850;2003-03-26;8595200
TJX;3.6355;4.4925;4.5250;4.4100;4.4300;2003-03-27;6372400
TJX;3.6173;4.4700;4.5750;4.4550;4.4925;2003-03-28;11401200
TJX;3.5606;4.4000;4.4550;4.3625;4.3800;2003-03-31;14291600
TJX;3.4757;4.2950;4.3850;4.2500;4.3800;2003-04-01;11886000
TJX;3.5910;4.4375;4.4475;4.2950;4.3750;2003-04-02;11578400
TJX;3.6213;4.4750;4.5000;4.4250;4.4375;2003-04-03;6503600
TJX;3.6719;4.5375;4.5475;4.4675;4.4875;2003-04-04;10379200
TJX;3.8216;4.7225;4.7600;4.7000;4.7375;2003-04-07;14655600
TJX;3.7994;4.6950;4.7225;4.6650;4.7125;2003-04-08;8399200
TJX;3.6921;4.5625;4.6875;4.5500;4.6750;2003-04-09;11180800
TJX;3.8196;4.7200;4.7200;4.5625;4.5625;2003-04-10;9511200
TJX;3.8257;4.7275;4.8250;4.7000;4.7375;2003-04-11;7033200
TJX;3.7346;4.6150;4.6625;4.5475;4.5900;2003-04-14;14437200
TJX;3.8176;4.7175;4.7450;4.5975;4.6500;2003-04-15;15192400
TJX;3.7184;4.5950;4.7675;4.5950;4.7625;2003-04-16;8433200
TJX;3.8216;4.7225;4.7525;4.5750;4.5750;2003-04-17;6632800
TJX;3.7893;4.6825;4.7425;4.6750;4.7225;2003-04-21;5131200
TJX;3.8277;4.7300;4.7750;4.6050;4.6250;2003-04-22;9065200
TJX;3.8075;4.7050;4.7250;4.6350;4.6925;2003-04-23;5628000
TJX;3.7245;4.6025;4.6775;4.5975;4.6750;2003-04-24;6546000
TJX;3.7144;4.5900;4.6625;4.5725;4.6075;2003-04-25;13545200
TJX;3.7994;4.6950;4.7275;4.6150;4.6150;2003-04-28;8072000
TJX;3.8702;4.7825;4.8350;4.7425;4.7500;2003-04-29;8240800
TJX;3.8945;4.8125;4.8375;4.7725;4.7800;2003-04-30;12394800
TJX;3.7589;4.6450;4.8000;4.6050;4.8000;2003-05-01;17163600
TJX;3.8095;4.7075;4.7450;4.6350;4.6450;2003-05-02;14777600
TJX;3.7812;4.6725;4.7100;4.6425;4.7050;2003-05-05;8430400
TJX;3.8065;4.6950;4.7200;4.6325;4.6650;2003-05-06;13596000
TJX;3.6889;4.5500;4.6625;4.5450;4.6500;2003-05-07;16254000
TJX;3.8470;4.7450;4.8450;4.5950;4.6000;2003-05-08;13468800
TJX;3.8754;4.7800;4.8125;4.7225;4.7450;2003-05-09;7168000
TJX;4.0538;5.0000;5.0600;4.7475;4.7500;2003-05-12;15764400
TJX;4.0132;4.9500;5.0375;4.8650;5.0025;2003-05-13;14248000
TJX;3.9220;4.8375;4.9975;4.7975;4.9750;2003-05-14;17132000
TJX;3.6849;4.5450;4.7850;4.5200;4.7500;2003-05-15;30879200
TJX;3.6687;4.5250;4.5825;4.5225;4.5450;2003-05-16;16246000
TJX;3.5815;4.4175;4.5250;4.4025;4.5250;2003-05-19;10078000
TJX;3.6079;4.4500;4.5425;4.4200;4.4550;2003-05-20;13321600
TJX;3.5835;4.4200;4.5450;4.4150;4.4500;2003-05-21;11980400
TJX;3.6362;4.4850;4.4850;4.3625;4.4250;2003-05-22;20051200
TJX;3.5754;4.4100;4.4800;4.4100;4.4800;2003-05-23;8229200
TJX;3.5977;4.4375;4.4750;4.3475;4.3475;2003-05-27;17510000
TJX;3.6322;4.4800;4.5600;4.4525;4.4625;2003-05-28;12809600
TJX;3.6079;4.4500;4.5300;4.4250;4.5000;2003-05-29;15716000
TJX;3.6889;4.5500;4.5675;4.4950;4.5000;2003-05-30;9232800
TJX;3.8105;4.7000;4.7750;4.6000;4.6125;2003-06-02;13604400
TJX;3.8105;4.7000;4.7250;4.6275;4.6500;2003-06-03;7849200
TJX;3.8592;4.7600;4.7750;4.7000;4.7000;2003-06-04;7789600
TJX;3.9241;4.8400;5.0250;4.7350;4.7600;2003-06-05;13890000
TJX;3.9403;4.8600;4.9575;4.8300;4.8850;2003-06-06;11480400
TJX;3.9018;4.8125;4.8875;4.7850;4.8500;2003-06-09;10298400
TJX;3.8795;4.7850;4.8775;4.7450;4.8125;2003-06-10;5546400
TJX;3.9241;4.8400;4.8525;4.7575;4.7700;2003-06-11;6953200
TJX;3.8653;4.7675;4.8575;4.7275;4.8425;2003-06-12;8560000
TJX;3.8653;4.7675;4.8075;4.6800;4.7725;2003-06-13;7779600
TJX;3.9119;4.8250;4.8250;4.7250;4.7750;2003-06-16;7536400
TJX;3.8389;4.7350;4.8275;4.6925;4.8175;2003-06-17;6672400
TJX;3.9058;4.8175;4.8250;4.7000;4.7350;2003-06-18;10112800
TJX;3.8511;4.7500;4.8175;4.7325;4.8175;2003-06-19;13665200
TJX;3.8673;4.7700;4.7850;4.7475;4.7500;2003-06-20;11608400
TJX;3.8815;4.7875;4.7975;4.7450;4.7875;2003-06-23;11258000
TJX;3.8673;4.7700;4.8675;4.7625;4.8250;2003-06-24;7621600
TJX;3.8146;4.7050;4.8000;4.6875;4.7575;2003-06-25;14306400
TJX;3.7964;4.6825;4.7125;4.6450;4.6750;2003-06-26;12184000
TJX;3.7497;4.6250;4.6950;4.5800;4.6825;2003-06-27;10409200
TJX;3.8187;4.7100;4.7375;4.6550;4.6550;2003-06-30;8943600
TJX;3.7801;4.6625;4.6850;4.5550;4.6625;2003-07-01;9844000
TJX;3.7700;4.6500;4.7050;4.5875;4.6700;2003-07-02;12434000
TJX;3.6687;4.5250;4.6250;4.5250;4.6250;2003-07-03;7418000
TJX;3.7943;4.6800;4.6800;4.5475;4.5500;2003-07-07;9838400
TJX;3.9119;4.8250;4.8675;4.6875;4.6875;2003-07-08;13954400
TJX;3.8105;4.7000;4.8200;4.6975;4.8125;2003-07-09;12614800
TJX;3.6687;4.5250;4.6600;4.5100;4.5625;2003-07-10;16223600
TJX;3.7193;4.5875;4.6300;4.5250;4.5250;2003-07-11;12714000
TJX;3.7335;4.6050;4.6750;4.5800;4.6125;2003-07-14;11096800
TJX;3.6484;4.5000;4.6475;4.4850;4.6250;2003-07-15;13797600
TJX;3.6970;4.5600;4.6375;4.5250;4.5625;2003-07-16;12635600
TJX;3.6950;4.5575;4.5575;4.4950;4.5250;2003-07-17;14395600
TJX;3.9018;4.8125;4.8250;4.5575;4.5875;2003-07-18;26659600
TJX;3.8612;4.7625;4.8125;4.3875;4.8125;2003-07-21;18182400
