Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
TMO;16.9166;17.63;18.08;17.56;18.05;2003-02-04;567700
TMO;17.0702;17.79;18.08;17.55;17.73;2003-02-05;929300
TMO;17.0318;17.75;18.41;17.69;17.79;2003-02-06;1063600
TMO;16.8878;17.60;17.83;17.56;17.78;2003-02-07;341200
TMO;17.2141;17.94;17.98;17.60;17.60;2003-02-10;519100
TMO;17.1565;17.88;18.24;17.77;17.95;2003-02-11;692000
TMO;16.8015;17.51;17.90;17.51;17.90;2003-02-12;504600
TMO;16.7919;17.50;17.60;17.21;17.51;2003-02-13;284200
TMO;16.7919;17.50;17.64;17.27;17.60;2003-02-14;808200
TMO;17.2621;17.99;17.99;17.40;17.40;2003-02-18;372800
TMO;17.0318;17.75;18.00;17.68;17.99;2003-02-19;436100
TMO;17.0318;17.75;17.85;17.60;17.77;2003-02-20;346800
TMO;17.1565;17.88;18.12;17.62;17.76;2003-02-21;641700
TMO;16.7151;17.42;17.88;17.37;17.88;2003-02-24;299700
TMO;16.7535;17.46;17.46;17.06;17.32;2003-02-25;400000
TMO;16.5424;17.24;17.50;17.07;17.48;2003-02-26;792100
TMO;16.6863;17.39;17.70;17.24;17.25;2003-02-27;484300
TMO;16.8878;17.60;17.67;17.43;17.48;2003-02-28;393200
TMO;16.9358;17.65;17.87;17.57;17.85;2003-03-03;519000
TMO;16.9742;17.69;17.78;17.62;17.69;2003-03-04;540800
TMO;17.2045;17.93;17.93;17.66;17.70;2003-03-05;533900
TMO;17.0798;17.80;17.90;17.68;17.80;2003-03-06;422300
TMO;17.4156;18.15;18.15;17.64;17.70;2003-03-07;437500
TMO;17.0414;17.76;18.03;17.69;17.95;2003-03-10;632900
TMO;16.6096;17.31;17.88;17.27;17.76;2003-03-11;298300
TMO;16.3313;17.02;17.31;16.89;17.31;2003-03-12;600700
TMO;16.9070;17.62;17.66;17.00;17.25;2003-03-13;516100
TMO;17.2717;18.00;18.01;17.65;17.72;2003-03-14;491700
TMO;18.0585;18.82;18.85;17.83;18.00;2003-03-17;581600
TMO;18.1544;18.92;19.00;18.62;18.82;2003-03-18;429700
TMO;17.8474;18.60;18.83;18.25;18.80;2003-03-19;757000
TMO;17.8474;18.60;18.65;18.04;18.30;2003-03-20;477000
TMO;18.1256;18.89;18.92;18.60;18.90;2003-03-21;526800
TMO;17.4348;18.17;18.49;18.09;18.40;2003-03-24;691700
TMO;17.5979;18.34;18.41;18.11;18.18;2003-03-25;630400
