Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
TRMB;2.7783;2.7783;2.7983;2.7083;2.7900;2003-02-04;2273400
TRMB;2.6767;2.6767;2.7883;2.6267;2.7883;2003-02-05;937800
TRMB;2.6733;2.6733;2.6850;2.6250;2.6683;2003-02-06;1057800
TRMB;2.5717;2.5717;2.6750;2.5417;2.6350;2003-02-07;738600
TRMB;2.6467;2.6467;2.6667;2.5217;2.5217;2003-02-10;641400
TRMB;2.6600;2.6600;2.6833;2.6283;2.6650;2003-02-11;684000
TRMB;2.7250;2.7250;2.7617;2.6533;2.6583;2003-02-12;1354800
TRMB;2.7350;2.7350;2.7817;2.6667;2.7300;2003-02-13;2115000
TRMB;2.7250;2.7250;2.7333;2.6467;2.7333;2003-02-14;1273800
TRMB;2.8383;2.8383;2.8417;2.7050;2.7050;2003-02-18;1624200
TRMB;2.7917;2.7917;2.8517;2.7800;2.8367;2003-02-19;3477000
TRMB;2.7433;2.7433;2.7917;2.7433;2.7833;2003-02-20;1401600
TRMB;2.8033;2.8033;2.8967;2.7433;2.7467;2003-02-21;2817600
TRMB;2.7833;2.7833;2.8333;2.7717;2.7850;2003-02-24;1139400
TRMB;2.7783;2.7783;2.7900;2.7100;2.7667;2003-02-25;827400
TRMB;2.7800;2.7800;2.7917;2.7500;2.7783;2003-02-26;307800
TRMB;2.7833;2.7833;2.7900;2.7500;2.7667;2003-02-27;535200
TRMB;2.7917;2.7917;2.8233;2.7583;2.7750;2003-02-28;1274400
TRMB;2.9217;2.9217;2.9433;2.7917;2.8133;2003-03-03;956400
TRMB;2.8583;2.8583;2.9250;2.7933;2.9250;2003-03-04;1138800
TRMB;2.9000;2.9000;2.9050;2.8167;2.8633;2003-03-05;1294200
TRMB;2.8100;2.8100;2.8967;2.8017;2.8633;2003-03-06;1054200
TRMB;2.7683;2.7683;2.7917;2.7383;2.7833;2003-03-07;1167600
TRMB;2.5750;2.5750;2.7500;2.5417;2.7417;2003-03-10;2100000
TRMB;2.5817;2.5817;2.6250;2.5483;2.5667;2003-03-11;998400
TRMB;2.6300;2.6300;2.6500;2.5833;2.6183;2003-03-12;614400
TRMB;2.7317;2.7317;2.7483;2.6500;2.6667;2003-03-13;2414400
TRMB;2.7650;2.7650;2.8200;2.7300;2.7300;2003-03-14;1913400
TRMB;2.7817;2.7817;2.8083;2.7150;2.7617;2003-03-17;1553400
TRMB;2.8733;2.8733;2.8750;2.7667;2.7883;2003-03-18;1266600
TRMB;3.0000;3.0000;3.0233;2.8350;2.8733;2003-03-19;3904800
TRMB;3.0383;3.0383;3.0467;2.9583;3.0000;2003-03-20;2242800
TRMB;3.1417;3.1417;3.1667;3.0033;3.0617;2003-03-21;2781600
TRMB;2.9717;2.9717;3.1083;2.9700;3.0833;2003-03-24;1261200
TRMB;3.1267;3.1267;3.1500;2.9717;2.9833;2003-03-25;1309800
TRMB;3.0833;3.0833;3.2233;3.0667;3.1450;2003-03-26;2631000
TRMB;3.1633;3.1633;3.1967;3.0417;3.0600;2003-03-27;2353800
TRMB;3.2083;3.2083;3.2250;3.1583;3.1667;2003-03-28;1322400
TRMB;3.1617;3.1617;3.2500;3.1100;3.2083;2003-03-31;1402800
TRMB;3.2217;3.2217;3.2383;3.1000;3.1833;2003-04-01;1182600
TRMB;3.3750;3.3750;3.5417;3.2400;3.2667;2003-04-02;5460000
TRMB;3.4083;3.4083;3.4733;3.3633;3.3967;2003-04-03;1553400
TRMB;3.3483;3.3483;3.4167;3.3483;3.4167;2003-04-04;1262400
TRMB;3.4033;3.4033;3.4817;3.3617;3.3767;2003-04-07;1399800
TRMB;3.3400;3.3400;3.4150;3.3283;3.3833;2003-04-08;2378400
TRMB;3.1917;3.1917;3.3917;3.1067;3.3333;2003-04-09;4701000
TRMB;3.3383;3.3383;3.3433;3.1750;3.1850;2003-04-10;2059800
TRMB;3.4450;3.4450;3.4600;3.2750;3.3467;2003-04-11;1596600
TRMB;3.4283;3.4283;3.4533;3.4083;3.4233;2003-04-14;1780200
TRMB;3.4917;3.4917;3.5067;3.4150;3.4150;2003-04-15;1650600
TRMB;3.4983;3.4983;3.5800;3.4500;3.5250;2003-04-16;1189800
TRMB;3.5350;3.5350;3.5417;3.4633;3.5250;2003-04-17;1000200
TRMB;3.5883;3.5883;3.6083;3.5017;3.5300;2003-04-21;1534200
TRMB;3.5467;3.5467;3.6050;3.5417;3.5783;2003-04-22;1356600
TRMB;3.5883;3.5883;3.6333;3.5400;3.5783;2003-04-23;2296800
TRMB;3.6550;3.6550;3.6833;3.5617;3.5800;2003-04-24;1581000
TRMB;3.6017;3.6017;3.6383;3.5867;3.6383;2003-04-25;1084800
TRMB;3.9167;3.9167;3.9417;3.5767;3.6067;2003-04-28;5329800
TRMB;4.0333;4.0333;4.0333;3.8750;3.9267;2003-04-29;3810000
TRMB;4.1967;4.1967;4.2200;3.7767;3.9700;2003-04-30;5894400
TRMB;4.0467;4.0467;4.1833;3.9133;4.1667;2003-05-01;3870000
TRMB;4.0583;4.0583;4.0900;3.9833;4.0083;2003-05-02;2530200
TRMB;4.0617;4.0617;4.0833;4.0000;4.0600;2003-05-05;1507800
TRMB;4.0350;4.0350;4.0700;3.9833;4.0167;2003-05-06;1561800
TRMB;3.9217;3.9217;4.0417;3.8333;4.0283;2003-05-07;2393400
TRMB;3.9950;3.9950;4.0667;3.8033;3.8717;2003-05-08;1207800
TRMB;3.9783;3.9783;4.0667;3.9250;3.9617;2003-05-09;907200
TRMB;4.0517;4.0517;4.0533;3.9167;3.9167;2003-05-12;978000
TRMB;3.9900;3.9900;4.0417;3.9700;4.0350;2003-05-13;955200
TRMB;3.9983;3.9983;4.0417;3.9333;3.9333;2003-05-14;739800
TRMB;4.0333;4.0333;4.0700;3.9983;4.0017;2003-05-15;1183200
TRMB;4.0117;4.0117;4.0333;3.9917;3.9967;2003-05-16;1726800
TRMB;3.8833;3.8833;4.0250;3.8500;3.9917;2003-05-19;1375200
TRMB;3.9267;3.9267;3.9533;3.8417;3.8750;2003-05-20;1648800
