Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
TSCO;3.9649;4.4675;4.5900;4.425;4.53125;2003-02-04;2366400
TSCO;3.9949;4.5012;4.6000;4.40625;4.47;2003-02-05;2380000
TSCO;3.9139;4.4100;4.5475;4.3837;4.5338;2003-02-06;1517600
TSCO;3.7075;4.1775;4.4125;4.0963;4.3762;2003-02-07;5256800
TSCO;3.5478;3.9975;4.1838;3.975;4.155;2003-02-10;4905600
TSCO;3.5300;3.9775;4.0600;3.9562;3.9913;2003-02-11;3421600
TSCO;3.4757;3.9162;4.0200;3.8;3.9875;2003-02-12;4481600
TSCO;3.6044;4.0613;4.1175;3.805;3.9125;2003-02-13;4044000
TSCO;3.7941;4.2750;4.3212;4.0613;4.0613;2003-02-14;4894400
TSCO;3.9849;4.4900;4.4975;4.2638;4.325;2003-02-18;3933600
TSCO;3.8440;4.3313;4.5000;4.3125;4.4988;2003-02-19;3303200
TSCO;3.7941;4.2750;4.3513;4.15625;4.3513;2003-02-20;2259200
TSCO;3.7874;4.2675;4.3375;4.21875;4.2975;2003-02-21;1376800
TSCO;3.8318;4.3175;4.3187;4.2562;4.285;2003-02-24;2724000
TSCO;3.7941;4.2750;4.3175;4.2362;4.2625;2003-02-25;2134400
TSCO;3.7297;4.2025;4.2700;4.125;4.2625;2003-02-26;1906400
TSCO;3.7120;4.1825;4.2025;4.075;4.075;2003-02-27;2856800
TSCO;3.6687;4.1337;4.2562;4.1262;4.13;2003-02-28;2354400
TSCO;3.5644;4.0163;4.1537;3.9813;4.0862;2003-03-03;2192800
TSCO;3.6521;4.1150;4.1250;3.935;3.9462;2003-03-04;1737600
TSCO;3.4812;3.9225;4.0900;3.86;4.025;2003-03-05;2637600
TSCO;3.4868;3.9288;3.9562;3.6725;3.9225;2003-03-06;4188000
TSCO;3.4779;3.9188;3.9375;3.78125;3.8812;2003-03-07;4478400
TSCO;3.2993;3.7175;3.9125;3.7;3.8563;2003-03-10;3670400
TSCO;3.5389;3.9875;4.0313;3.8525;3.8812;2003-03-11;7784800
TSCO;3.4890;3.9313;4.0300;3.8312;4.025;2003-03-12;17486400
TSCO;3.7841;4.2638;4.2737;3.8812;3.9288;2003-03-13;5102400
TSCO;3.6609;4.1250;4.3412;4.075;4.255;2003-03-14;4941600
TSCO;3.8617;4.3513;4.3750;4.03125;4.0825;2003-03-17;3885600
TSCO;3.8462;4.3337;4.3750;4.23;4.3738;2003-03-18;3183200
TSCO;3.8118;4.2950;4.4163;4.265;4.3375;2003-03-19;2609600
TSCO;3.8606;4.3500;4.3950;4.15625;4.26;2003-03-20;2488000
TSCO;3.9250;4.4225;4.4375;4.28125;4.4;2003-03-21;2503200
TSCO;3.7552;4.2312;4.3450;4.2125;4.345;2003-03-24;1377600
TSCO;3.7386;4.2125;4.3000;4.1863;4.25;2003-03-25;1640000
TSCO;3.7774;4.2562;4.2750;4.1988;4.2488;2003-03-26;3756000
TSCO;3.7841;4.2638;4.3125;4.2;4.2325;2003-03-27;1631200
TSCO;3.7552;4.2312;4.2775;4.225;4.2613;2003-03-28;629600
TSCO;3.6632;4.1275;4.2238;4.035;4.21875;2003-03-31;3148800
TSCO;3.6787;4.1450;4.2087;4.075;4.2063;2003-04-01;1593600
TSCO;3.8773;4.3688;4.4437;4.0837;4.1275;2003-04-02;3696800
TSCO;4.0514;4.5650;4.6512;4.375;4.385;2003-04-03;5720800
TSCO;4.1269;4.6500;4.6900;4.4825;4.585;2003-04-04;3747200
TSCO;4.1391;4.6638;4.8412;4.6375;4.7913;2003-04-07;3525600
TSCO;4.1191;4.6413;4.7013;4.5875;4.65625;2003-04-08;1907200
TSCO;4.1435;4.6687;4.7250;4.6125;4.64;2003-04-09;1600000
TSCO;4.1624;4.6900;4.8650;4.5975;4.6875;2003-04-10;1216000
TSCO;4.1746;4.7038;4.7800;4.6712;4.7175;2003-04-11;1528800
TSCO;4.2811;4.8238;4.8525;4.7413;4.7425;2003-04-14;2148000
TSCO;4.3155;4.8625;4.9325;4.7375;4.8625;2003-04-15;3830400
TSCO;4.7148;5.3125;5.4313;4.9525;4.9875;2003-04-16;9504800
TSCO;4.7603;5.3637;5.4187;5.25;5.2987;2003-04-17;1647200
TSCO;4.7037;5.3000;5.4125;5.255;5.395;2003-04-21;1693600
TSCO;4.6483;5.2375;5.2888;5.165;5.25;2003-04-22;4202400
TSCO;4.5917;5.1737;5.2625;5.125;5.1663;2003-04-23;2315200
TSCO;4.5673;5.1462;5.2125;5.1062;5.1388;2003-04-24;1386400
TSCO;4.6405;5.2288;5.2688;5.125;5.1275;2003-04-25;1368000
