Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
TSN;7.8213;9.86;10.10;9.85;10.00;2003-02-04;1712300
TSN;7.6151;9.60;10.05;9.60;9.85;2003-02-05;1555800
TSN;7.5199;9.48;9.66;9.35;9.65;2003-02-06;1316200
TSN;7.3771;9.30;9.57;9.28;9.50;2003-02-07;1154300
TSN;7.4564;9.40;9.50;9.22;9.40;2003-02-10;1233100
TSN;7.4009;9.33;9.43;9.22;9.35;2003-02-11;793100
TSN;7.3216;9.23;9.40;9.22;9.38;2003-02-12;729700
TSN;7.2026;9.08;9.23;9.02;9.20;2003-02-13;1005500
TSN;7.1391;9.00;9.26;8.95;9.18;2003-02-14;1214500
TSN;7.4168;9.35;9.44;9.07;9.07;2003-02-18;771500
TSN;7.4564;9.40;9.41;9.28;9.40;2003-02-19;1192300
TSN;7.4644;9.41;9.46;9.38;9.40;2003-02-20;816400
TSN;7.6468;9.64;9.65;9.40;9.51;2003-02-21;765200
TSN;7.4088;9.34;9.54;9.32;9.54;2003-02-24;795400
TSN;7.4961;9.45;9.59;9.24;9.24;2003-02-25;1109600
TSN;7.2890;9.15;9.45;9.09;9.45;2003-02-26;764000
TSN;7.2651;9.12;9.30;9.04;9.15;2003-02-27;1049500
TSN;7.3288;9.20;9.25;9.00;9.22;2003-02-28;774500
TSN;7.2571;9.11;9.28;9.01;9.10;2003-03-03;735800
TSN;7.1217;8.94;9.20;8.81;9.08;2003-03-04;884000
TSN;6.7951;8.53;8.85;8.38;8.84;2003-03-05;1761600
TSN;6.1339;7.70;8.53;7.40;8.53;2003-03-06;6416100
TSN;5.9666;7.49;7.88;7.25;7.73;2003-03-07;2897600
TSN;5.8551;7.35;7.57;7.28;7.53;2003-03-10;941000
TSN;5.8790;7.38;7.54;7.30;7.45;2003-03-11;1591900
TSN;5.7993;7.28;7.60;7.25;7.30;2003-03-12;2033400
TSN;6.0702;7.62;7.80;7.31;7.50;2003-03-13;2158000
TSN;5.8949;7.40;7.75;7.39;7.62;2003-03-14;1448400
TSN;6.0941;7.65;7.74;7.40;7.40;2003-03-17;1627700
TSN;6.2295;7.82;7.98;7.65;7.74;2003-03-18;1290300
TSN;6.3729;8.00;8.15;7.82;7.87;2003-03-19;1011100
TSN;6.4924;8.15;8.35;7.96;8.00;2003-03-20;1295000
TSN;7.0500;8.85;8.85;8.44;8.65;2003-03-21;2209200
TSN;6.4844;8.14;8.52;8.10;8.40;2003-03-24;1594700
TSN;6.4924;8.15;8.30;8.00;8.11;2003-03-25;1337600
TSN;6.3490;7.97;8.15;7.84;8.10;2003-03-26;2306000
TSN;6.5322;8.20;8.30;7.90;8.10;2003-03-27;1910000
TSN;6.3171;7.93;8.24;7.92;8.02;2003-03-28;1308200
TSN;6.1737;7.75;8.05;7.75;7.90;2003-03-31;887900
TSN;6.3012;7.91;8.04;7.75;7.76;2003-04-01;1075400
TSN;6.4127;8.05;8.16;8.01;8.01;2003-04-02;717800
TSN;6.4605;8.11;8.24;8.09;8.10;2003-04-03;942800
TSN;6.5402;8.21;8.21;8.05;8.20;2003-04-04;1030100
TSN;6.7712;8.50;8.76;8.50;8.75;2003-04-07;1978700
TSN;6.5800;8.26;8.69;8.21;8.50;2003-04-08;1043600
TSN;6.6596;8.36;8.48;8.26;8.27;2003-04-09;797200
TSN;6.7473;8.47;8.55;8.30;8.45;2003-04-10;802700
TSN;6.8588;8.61;8.83;8.51;8.57;2003-04-11;814400
TSN;6.9305;8.70;8.75;8.61;8.61;2003-04-14;821100
TSN;6.8269;8.57;8.78;8.50;8.58;2003-04-15;976100
TSN;6.9225;8.69;8.75;8.49;8.56;2003-04-16;1598800
TSN;7.1137;8.93;8.95;8.72;8.72;2003-04-17;1431400
TSN;7.0818;8.89;9.10;8.88;8.97;2003-04-21;660600
TSN;7.2491;9.10;9.17;8.77;8.93;2003-04-22;806900
TSN;7.4244;9.32;9.37;9.03;9.20;2003-04-23;1286300
TSN;7.5040;9.42;9.50;9.20;9.22;2003-04-24;953000
TSN;7.4642;9.37;9.60;9.24;9.42;2003-04-25;1427200
TSN;7.6315;9.58;9.64;9.33;9.35;2003-04-28;1400100
TSN;7.6395;9.59;9.75;9.54;9.68;2003-04-29;949500
TSN;7.6713;9.63;9.70;9.47;9.59;2003-04-30;1487800
TSN;7.6474;9.60;9.69;9.45;9.65;2003-05-01;640100
TSN;7.7590;9.74;9.75;9.60;9.60;2003-05-02;575300
TSN;7.8068;9.80;9.87;9.75;9.79;2003-05-05;513600
TSN;7.8785;9.89;9.95;9.66;9.82;2003-05-06;578800
TSN;7.7112;9.68;9.93;9.57;9.70;2003-05-07;837700
TSN;7.5757;9.51;9.60;9.41;9.50;2003-05-08;828800
TSN;7.7191;9.69;9.71;9.45;9.58;2003-05-09;1098800
TSN;7.6873;9.65;9.70;9.45;9.69;2003-05-12;854800
TSN;7.6315;9.58;9.63;9.42;9.42;2003-05-13;944900
TSN;7.5678;9.50;9.63;9.46;9.58;2003-05-14;1212300
TSN;7.4244;9.32;9.53;9.30;9.50;2003-05-15;1141600
TSN;7.2491;9.10;9.50;9.10;9.35;2003-05-16;1310800
TSN;7.5439;9.47;9.67;9.11;9.15;2003-05-19;2770000
TSN;7.1774;9.01;9.57;8.66;9.48;2003-05-20;4622100
TSN;7.1695;9.00;9.07;8.75;9.01;2003-05-21;2571600
TSN;7.0898;8.90;9.12;8.90;8.90;2003-05-22;1687500
TSN;7.3527;9.23;9.23;8.95;9.00;2003-05-23;1678400
TSN;7.4164;9.31;9.35;9.22;9.29;2003-05-27;937800
TSN;7.4084;9.26;9.34;9.16;9.27;2003-05-28;741400
TSN;7.3604;9.20;9.29;9.19;9.22;2003-05-29;896300
TSN;7.6004;9.50;9.50;9.20;9.30;2003-05-30;1381900
TSN;7.7604;9.70;9.80;9.40;9.45;2003-06-02;2537800
TSN;7.8084;9.76;9.77;9.67;9.71;2003-06-03;814200
TSN;8.0965;10.12;10.17;9.72;9.72;2003-06-04;1837300
TSN;8.1365;10.17;10.24;9.80;10.12;2003-06-05;1796600
TSN;8.0885;10.11;10.37;10.08;10.18;2003-06-06;1104100
TSN;7.8644;9.83;10.08;9.81;10.05;2003-06-09;861100
TSN;8.0965;10.12;10.13;9.83;9.83;2003-06-10;968600
TSN;8.2885;10.36;10.39;10.07;10.15;2003-06-11;1214800
TSN;8.4565;10.57;10.63;10.39;10.39;2003-06-12;1419400
TSN;8.5685;10.71;10.76;10.55;10.57;2003-06-13;1621000
TSN;8.6805;10.85;10.92;10.61;10.61;2003-06-16;1547500
TSN;8.6645;10.83;10.94;10.76;10.90;2003-06-17;1063100
TSN;8.6005;10.75;10.83;10.55;10.83;2003-06-18;836800
TSN;8.6405;10.80;10.83;10.62;10.65;2003-06-19;1231700
TSN;8.7205;10.90;10.92;10.80;10.83;2003-06-20;1088800
TSN;8.7205;10.90;11.00;10.77;10.85;2003-06-23;1054100
TSN;8.5765;10.72;10.89;10.72;10.80;2003-06-24;770100
TSN;8.4805;10.60;10.78;10.57;10.59;2003-06-25;6350500
TSN;8.6165;10.77;10.83;10.50;10.50;2003-06-26;956500
TSN;8.5765;10.72;10.77;10.62;10.62;2003-06-27;971100
TSN;8.4965;10.62;10.74;10.47;10.70;2003-06-30;1142500
TSN;8.6885;10.86;10.88;10.40;10.60;2003-07-01;1885600
TSN;8.8965;11.12;11.12;10.80;10.85;2003-07-02;1120800
TSN;8.8005;11.00;11.10;10.95;10.95;2003-07-03;833800
TSN;8.7125;10.89;11.15;10.79;11.00;2003-07-07;946800
TSN;8.9125;11.14;11.20;10.85;10.89;2003-07-08;1240900
TSN;8.9605;11.20;11.33;11.00;11.05;2003-07-09;932900
TSN;9.4405;11.80;12.19;11.20;12.19;2003-07-10;4295600
TSN;9.3685;11.71;11.84;11.56;11.70;2003-07-11;1398400
TSN;9.1765;11.47;11.77;11.41;11.71;2003-07-14;1134000
TSN;9.2965;11.62;11.67;11.40;11.61;2003-07-15;1131600
TSN;9.2245;11.53;11.70;11.53;11.58;2003-07-16;756900
TSN;9.0405;11.30;11.69;11.21;11.54;2003-07-17;881200
TSN;9.0885;11.36;11.47;11.21;11.30;2003-07-18;960400
TSN;8.9765;11.22;11.31;11.19;11.26;2003-07-21;955200
TSN;9.1285;11.41;11.45;11.16;11.17;2003-07-22;1310900
TSN;9.1925;11.49;11.50;11.35;11.37;2003-07-23;1125200
TSN;9.1845;11.48;11.59;11.28;11.50;2003-07-24;1073800
TSN;9.2405;11.55;11.58;11.36;11.40;2003-07-25;1460600
