Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
TXN;10.9733;15.49;15.86;15.35;15.70;2003-02-04;9523700
TXN;10.9733;15.49;16.05;15.45;15.59;2003-02-05;9358400
TXN;10.6686;15.06;15.60;14.94;15.25;2003-02-06;9651500
TXN;10.6191;14.99;15.38;14.83;15.25;2003-02-07;7215700
TXN;10.6616;15.05;15.19;14.60;14.95;2003-02-10;8913600
TXN;10.9378;15.44;15.69;15.15;15.19;2003-02-11;9837600
TXN;10.8032;15.25;15.64;15.13;15.36;2003-02-12;5579200
TXN;10.5624;14.91;15.10;14.35;14.78;2003-02-13;12293900
TXN;10.9662;15.48;15.48;14.70;14.80;2003-02-14;9892900
TXN;11.5046;16.24;16.40;15.68;15.75;2003-02-18;11627400
TXN;11.6250;16.41;16.85;16.06;16.85;2003-02-19;12357600
TXN;11.3275;15.99;16.54;15.95;16.40;2003-02-20;9911500
TXN;11.2566;15.89;16.24;15.60;16.10;2003-02-21;11009400
TXN;11.2850;15.93;16.13;15.70;15.73;2003-02-24;9224600
TXN;11.3558;16.03;16.09;15.35;15.94;2003-02-25;8748400
TXN;11.1575;15.75;16.25;15.70;16.03;2003-02-26;10589700
TXN;11.5471;16.30;16.37;15.75;15.85;2003-02-27;10147300
TXN;11.8659;16.75;16.79;16.32;16.56;2003-02-28;12849200
TXN;11.4762;16.20;16.99;16.04;16.90;2003-03-03;10410400
TXN;11.3346;16.00;16.38;15.95;16.30;2003-03-04;8361500
TXN;11.4762;16.20;16.49;16.00;16.08;2003-03-05;8033400
TXN;11.6533;16.45;16.45;15.35;16.20;2003-03-06;8531300
TXN;11.5471;16.30;16.50;15.71;15.71;2003-03-07;11521400
TXN;11.3487;16.02;16.26;15.96;16.03;2003-03-10;7360800
TXN;11.5967;16.37;16.65;16.01;16.10;2003-03-11;10125200
TXN;11.8234;16.69;16.70;16.29;16.37;2003-03-12;10475400
TXN;12.6876;17.91;18.10;17.00;17.04;2003-03-13;17636700
TXN;12.3334;17.41;18.14;17.15;17.65;2003-03-14;12800700
TXN;12.9356;18.26;18.42;17.09;17.10;2003-03-17;16667400
TXN;13.0772;18.46;18.48;17.85;18.35;2003-03-18;12886100
TXN;12.9356;18.26;18.50;17.77;18.25;2003-03-19;14292600
TXN;12.9497;18.28;18.48;17.81;18.12;2003-03-20;9707100
TXN;13.2260;18.67;18.75;18.19;18.64;2003-03-21;10443000
TXN;12.5601;17.73;18.05;17.58;17.91;2003-03-24;10375600
TXN;12.6805;17.90;18.08;17.53;17.73;2003-03-25;9408000
TXN;12.5743;17.75;18.00;17.60;17.90;2003-03-26;7331100
TXN;12.5743;17.75;17.91;17.33;17.52;2003-03-27;8743400
TXN;12.3122;17.38;17.75;17.31;17.52;2003-03-28;6248200
TXN;11.5967;16.37;17.24;16.26;16.85;2003-03-31;14520200
TXN;11.6463;16.44;16.80;16.37;16.42;2003-04-01;7570100
TXN;12.4538;17.58;17.69;16.91;16.91;2003-04-02;10420400
TXN;12.5743;17.75;18.00;17.17;17.17;2003-04-03;8294000
TXN;11.9721;16.90;17.50;16.70;17.50;2003-04-04;11932000
