Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
TXT;16.3452;19.3700;19.4000;18.9900;19.1000;2003-02-04;1280800
TXT;16.2059;19.2050;19.6600;19.1950;19.3750;2003-02-05;1171600
TXT;16.2312;19.2350;19.4750;19.1150;19.2250;2003-02-06;1042200
TXT;16.1595;19.1500;19.3600;18.9700;19.3600;2003-02-07;849400
TXT;16.1975;19.1950;19.3750;19.0000;19.1550;2003-02-10;1411800
TXT;16.0709;19.0450;19.4500;18.9900;19.4000;2003-02-11;847000
TXT;15.9907;18.9500;19.1150;18.9500;19.0500;2003-02-12;1007000
TXT;15.6954;18.6000;18.9250;18.4900;18.9250;2003-02-13;1571200
TXT;15.7713;18.6900;18.8700;18.4000;18.7250;2003-02-14;1667000
TXT;16.0751;19.0500;19.1300;18.7400;18.7400;2003-02-18;910000
TXT;15.9317;18.8800;19.0550;18.7500;19.0550;2003-02-19;976200
TXT;15.5266;18.4000;19.0150;18.3600;18.9750;2003-02-20;1408800
TXT;15.7756;18.6950;18.9050;18.1700;18.5250;2003-02-21;1209000
TXT;15.1933;18.0050;18.6950;17.8500;18.6900;2003-02-24;1681200
TXT;15.3325;18.1700;18.1800;17.7500;17.9550;2003-02-25;1400600
TXT;15.0245;17.8050;18.1700;17.7150;18.1700;2003-02-26;1025200
TXT;15.2819;18.1100;18.1700;17.8500;17.9300;2003-02-27;953000
TXT;15.2439;18.0650;18.4000;17.9750;18.1100;2003-02-28;885400
TXT;15.2397;18.0600;18.5000;17.9750;18.4200;2003-03-03;994000
TXT;14.9444;17.7100;18.0600;17.6850;18.0600;2003-03-04;781600
TXT;14.8094;17.5500;17.6150;17.3400;17.5850;2003-03-05;1480400
TXT;14.3874;17.0500;17.5250;17.0050;17.5100;2003-03-06;2022600
TXT;14.3537;17.0100;17.1250;16.6200;16.7500;2003-03-07;1735400
TXT;13.8896;16.4600;16.8750;16.4500;16.7250;2003-03-10;1494800
TXT;13.6913;16.2250;16.6100;16.2150;16.4500;2003-03-11;1040400
TXT;13.2544;15.5500;16.1900;15.2250;15.9350;2003-03-12;3432200
TXT;14.1324;16.5800;16.6000;15.8200;15.8500;2003-03-13;1795800
TXT;14.0386;16.4700;17.0000;16.3750;16.6250;2003-03-14;1508400
TXT;14.8015;17.3650;17.3800;16.2950;16.4750;2003-03-17;1564200
TXT;14.6523;17.1900;17.7350;17.1800;17.4750;2003-03-18;2370400
TXT;14.2347;16.7000;18.0000;16.5650;17.2600;2003-03-19;2788200
TXT;12.0014;14.0800;16.7000;13.9050;16.7000;2003-03-20;14566800
TXT;12.1677;14.2750;14.4500;13.7550;14.2500;2003-03-21;7336600
TXT;11.4431;13.4250;13.7350;13.0000;13.5000;2003-03-24;4624600
TXT;12.1293;14.2300;14.3300;13.4250;13.4750;2003-03-25;4278600
TXT;12.1464;14.2500;14.4050;13.9250;14.0750;2003-03-26;2891200
TXT;12.1762;14.2850;14.3850;14.0250;14.0500;2003-03-27;2339400
TXT;12.0526;14.1400;14.2650;13.7800;14.1850;2003-03-28;3125400
TXT;11.7031;13.7300;14.0300;13.4250;13.6250;2003-03-31;3413200
TXT;11.9077;13.9700;14.0900;13.7200;13.8550;2003-04-01;3715200
TXT;12.5299;14.7000;14.7450;14.2250;14.3500;2003-04-02;1910200
TXT;12.6748;14.8700;14.9350;14.6650;14.8250;2003-04-03;2329000
TXT;12.6706;14.8650;14.9700;14.6100;14.8700;2003-04-04;2545600
TXT;12.7004;14.9000;15.4250;14.9000;15.2450;2003-04-07;2110200
TXT;12.4830;14.6450;15.0000;14.6450;14.8800;2003-04-08;2016400
TXT;12.3296;14.4650;14.9400;14.4500;14.8750;2003-04-09;2369000
TXT;12.1975;14.3100;14.5000;14.1400;14.5000;2003-04-10;3823400
TXT;12.2018;14.3150;14.6750;14.2100;14.5000;2003-04-11;1629600
TXT;12.4660;14.6250;14.6750;14.3400;14.4400;2003-04-14;1532600
TXT;12.6109;14.7950;14.8300;14.4000;14.6250;2003-04-15;1264600
TXT;12.2998;14.4300;14.9900;14.4050;14.9200;2003-04-16;1894400
TXT;12.5129;14.6800;14.8300;14.4950;14.5000;2003-04-17;1516600
TXT;12.5171;14.6850;14.9000;14.6250;14.8200;2003-04-21;1667000
TXT;12.7686;14.9800;15.0000;14.5000;14.6850;2003-04-22;3021800
TXT;12.7132;14.9150;15.1000;14.7700;14.9250;2003-04-23;1581000
TXT;12.5342;14.7050;14.9000;14.6000;14.8200;2003-04-24;1333600
TXT;12.3594;14.5000;14.8250;14.4700;14.7100;2003-04-25;865000
TXT;12.6152;14.8000;14.8850;14.4500;14.5000;2003-04-28;1037600
TXT;12.6365;14.8250;15.1000;14.6350;14.8000;2003-04-29;1735600
TXT;12.5683;14.7450;14.8900;14.5950;14.7750;2003-04-30;2338600
TXT;12.6492;14.8400;14.9700;14.5850;14.7500;2003-05-01;1939200
TXT;13.0584;15.3200;15.4900;14.8250;14.8600;2003-05-02;2465200
TXT;13.1564;15.4350;15.5400;15.2250;15.4050;2003-05-05;2212200
TXT;13.4121;15.7350;15.8950;15.4850;15.5600;2003-05-06;1485800
TXT;13.3525;15.6650;15.9450;15.6250;15.7000;2003-05-07;1172200
TXT;13.2161;15.5050;15.6200;15.2500;15.3000;2003-05-08;791400
TXT;13.5059;15.8450;16.0200;15.5450;15.6300;2003-05-09;1106400
TXT;13.9576;16.3750;16.4800;15.8300;15.9700;2003-05-12;1438200
TXT;13.8554;16.2550;16.4900;16.1700;16.2750;2003-05-13;1241000
TXT;13.7616;16.1450;16.3500;16.0000;16.3500;2003-05-14;1174600
TXT;13.9278;16.3400;16.4500;16.2050;16.3650;2003-05-15;1109400
TXT;13.9747;16.3950;16.4200;16.2050;16.3000;2003-05-16;1185000
TXT;13.5613;15.9100;16.3000;15.8800;16.3000;2003-05-19;1070600
TXT;13.5485;15.8950;16.0450;15.6150;15.9350;2003-05-20;1467800
TXT;13.6508;16.0150;16.0600;15.7150;15.8500;2003-05-21;1353200
TXT;13.7744;16.1600;16.2750;15.9800;15.9850;2003-05-22;1216000
TXT;14.4946;17.0050;17.0700;16.1550;16.3000;2003-05-23;2889800
TXT;14.8697;17.4450;17.4750;17.0000;17.0050;2003-05-27;1805200
TXT;14.6395;17.1750;17.2950;17.1000;17.2500;2003-05-28;1663800
TXT;14.6225;17.1550;17.2800;17.0950;17.1750;2003-05-29;2058800
TXT;14.8526;17.4250;17.4600;17.1850;17.1850;2003-05-30;1612200
TXT;15.4493;18.1250;18.4000;17.4600;17.5000;2003-06-02;2053400
TXT;15.5729;18.2700;18.4000;18.0600;18.1750;2003-06-03;2028800
TXT;15.4962;18.1800;18.2750;17.6350;18.2750;2003-06-04;2754400
TXT;15.4451;18.1200;18.1850;17.9650;18.1800;2003-06-05;2948400
TXT;15.4237;18.0950;18.3900;18.0650;18.2500;2003-06-06;1913000
TXT;15.2959;17.9450;18.0500;17.7550;18.0000;2003-06-09;1655800
TXT;15.4621;18.1400;18.2000;17.9750;17.9750;2003-06-10;997000
TXT;16.0448;18.6550;18.6550;18.0000;18.1000;2003-06-11;1501800
TXT;16.3415;19.0000;19.1750;18.5850;18.6650;2003-06-12;1930600
TXT;16.1351;18.7600;19.1500;18.6250;19.0500;2003-06-13;1602200
TXT;16.2985;18.9500;19.0500;18.7600;18.7600;2003-06-16;2348800
TXT;16.3974;19.0650;19.0700;18.8400;19.0500;2003-06-17;1647000
TXT;16.6081;19.3100;19.3750;18.9200;19.0650;2003-06-18;1634200
TXT;16.5006;19.1850;19.5000;19.0950;19.3250;2003-06-19;1885600
TXT;16.6383;19.3450;19.4500;19.2450;19.3500;2003-06-20;1212600
TXT;16.5135;19.2000;19.3750;19.0500;19.3750;2003-06-23;1922400
