Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
UA;41.2075;41.2075;41.4061;41.2075;41.4061;2016-03-23;201
UA;40.5819;40.5819;40.5819;40.5819;40.5819;2016-03-24;100
UA;40.5819;40.5819;40.5819;40.5819;40.5819;2016-03-28;0
UA;40.5819;40.5819;40.5819;40.5819;40.5819;2016-03-29;0
UA;41.7040;41.7040;41.7040;41.1777;41.1876;2016-03-30;3751
UA;41.4260;41.4260;41.7040;41.4260;41.7040;2016-03-31;604
UA;40.8004;40.8004;40.8004;40.8004;40.8004;2016-04-01;100
UA;40.4628;40.4628;41.8629;40.4628;40.4827;2016-04-04;956
UA;40.8004;40.8004;41.7338;40.2146;40.2146;2016-04-05;1712
UA;41.5054;41.5054;41.7040;40.7706;41.0586;2016-04-06;721
UA;41.2671;41.2671;41.8331;41.2671;41.7934;2016-04-07;5958
UA;43.7097;43.7097;44.0374;41.0302;41.3167;2016-04-08;3627837
UA;41.1678;41.1678;43.3721;40.6812;43.3324;2016-04-11;4123776
UA;41.3564;41.3564;41.3664;39.9465;40.9593;2016-04-12;3638832
UA;41.5054;41.5054;42.3792;41.0387;41.0387;2016-04-13;4456798
UA;41.9324;41.9324;42.5579;41.6146;41.6941;2016-04-14;2543924
UA;41.7040;41.7040;41.7536;40.8998;41.5253;2016-04-15;2360721
UA;42.1210;42.1210;42.2402;41.0983;41.0983;2016-04-18;2559765
UA;42.6969;42.6969;43.0544;41.9522;42.2501;2016-04-19;1656225
UA;42.4586;42.4586;43.2629;42.4487;42.5579;2016-04-20;2283437
UA;45.4077;45.4077;46.2021;43.6800;46.0233;2016-04-21;3294175
UA;44.7424;44.7424;45.8545;43.7793;45.1595;2016-04-22;2415549
UA;43.9481;43.9481;44.5835;43.7991;44.5736;2016-04-25;2122494
UA;43.6402;43.6402;44.5736;43.5409;43.8984;2016-04-26;2196556
UA;41.8629;41.8629;43.8984;41.4557;43.8786;2016-04-27;1289967
UA;41.5948;41.5948;42.7863;41.5451;41.8132;2016-04-28;1456095
UA;40.5124;40.5124;41.5948;40.1848;41.4160;2016-04-29;1978337
UA;39.9862;39.9862;40.5323;39.5989;40.2841;2016-05-02;1464117
UA;39.8372;39.8372;40.1848;39.1422;39.1422;2016-05-03;1550133
UA;37.1265;37.1265;38.6258;36.7789;38.5762;2016-05-04;4548211
UA;37.2258;37.2258;37.9010;36.8188;37.1364;2016-05-05;1129592
UA;36.1236;36.1236;37.0868;36.0144;36.7392;2016-05-06;1356498
UA;36.0541;36.0541;36.4612;35.7113;36.0541;2016-05-09;1717732
UA;36.2924;36.2924;37.0173;36.1435;36.3321;2016-05-10;1291895
UA;34.9817;34.9817;35.8643;34.5597;35.7463;2016-05-11;1955208
UA;34.9420;34.9420;35.4087;34.5647;35.3193;2016-05-12;1646057
UA;34.4654;34.4654;34.9817;34.2370;34.7235;2016-05-13;1921686
UA;34.2966;34.2966;34.6590;34.2072;34.3363;2016-05-16;1707830
UA;34.2271;34.2271;34.4952;33.8547;34.2072;2016-05-17;1908909
UA;33.9788;33.9788;34.1576;33.4625;34.0880;2016-05-18;987918
UA;34.6044;34.6044;34.7533;33.5419;33.5419;2016-05-19;1064906
UA;35.3292;35.3292;35.3987;34.4852;34.6441;2016-05-20;1060326
UA;34.5845;34.5845;35.7463;34.5051;35.2796;2016-05-23;688688
UA;35.3292;35.3292;35.8356;34.7434;34.7632;2016-05-24;1151210
UA;35.2299;35.2299;35.7463;35.1009;35.6569;2016-05-25;1332346
UA;34.6739;34.6739;35.2597;34.6640;35.2597;2016-05-26;881217
UA;34.8129;34.8129;34.9618;34.5944;34.7235;2016-05-27;1113360
UA;34.7235;34.7235;35.1505;34.4058;34.9916;2016-05-31;6356162
UA;33.4823;33.4823;33.5171;32.3960;33.1547;2016-06-01;3102853
UA;33.9788;33.9788;34.0781;33.4228;33.4327;2016-06-02;2805181
