Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
UDR;6.6625;15.85;15.88;15.70;15.75;2003-02-04;209500
UDR;6.6373;15.79;15.91;15.71;15.88;2003-02-05;371700
UDR;6.6625;15.85;15.88;15.70;15.70;2003-02-06;230200
UDR;6.5995;15.70;15.96;15.66;15.84;2003-02-07;227800
UDR;6.6625;15.85;15.85;15.56;15.60;2003-02-10;227100
UDR;6.4902;15.44;15.85;15.35;15.85;2003-02-11;695300
UDR;6.4481;15.34;15.44;15.27;15.44;2003-02-12;295600
UDR;6.4691;15.39;15.39;15.21;15.35;2003-02-13;179900
UDR;6.3977;15.22;15.40;15.16;15.40;2003-02-14;402100
UDR;6.4103;15.25;15.47;15.13;15.23;2003-02-18;304300
UDR;6.4902;15.44;15.44;15.17;15.25;2003-02-19;452900
UDR;6.5448;15.57;15.57;15.30;15.49;2003-02-20;381100
UDR;6.6121;15.73;15.80;15.50;15.60;2003-02-21;543800
UDR;6.4733;15.40;15.75;15.40;15.67;2003-02-24;181600
UDR;6.5784;15.65;15.65;15.36;15.41;2003-02-25;264300
UDR;6.5280;15.53;15.65;15.43;15.65;2003-02-26;216600
UDR;6.5910;15.68;15.70;15.50;15.58;2003-02-27;305600
UDR;6.5448;15.57;15.85;15.57;15.70;2003-02-28;239600
UDR;6.6079;15.72;15.73;15.57;15.58;2003-03-03;270600
UDR;6.5574;15.60;15.77;15.60;15.73;2003-03-04;380200
UDR;6.5868;15.67;15.74;15.57;15.57;2003-03-05;200600
UDR;6.5868;15.67;15.72;15.61;15.70;2003-03-06;202700
UDR;6.6205;15.75;15.84;15.66;15.67;2003-03-07;438000
UDR;6.5112;15.49;15.77;15.47;15.75;2003-03-10;258100
UDR;6.4481;15.34;15.68;15.32;15.52;2003-03-11;216200
UDR;6.4313;15.30;15.43;15.21;15.34;2003-03-12;276000
UDR;6.5070;15.48;15.50;15.36;15.36;2003-03-13;193400
UDR;6.5868;15.67;15.70;15.44;15.50;2003-03-14;253000
UDR;6.6373;15.79;15.79;15.55;15.67;2003-03-17;293000
UDR;6.6373;15.79;15.80;15.65;15.73;2003-03-18;206100
UDR;6.7676;16.10;16.10;15.70;15.81;2003-03-19;207800
UDR;6.8517;16.30;16.30;15.92;16.10;2003-03-20;310400
UDR;7.0324;16.73;16.76;16.30;16.47;2003-03-21;431100
UDR;6.7466;16.05;16.70;16.01;16.70;2003-03-24;404600
UDR;6.7718;16.11;16.15;15.90;15.90;2003-03-25;433300
UDR;6.8222;16.23;16.23;16.05;16.08;2003-03-26;403700
UDR;6.7886;16.15;16.34;16.05;16.20;2003-03-27;298500
UDR;6.7508;16.06;16.25;16.05;16.16;2003-03-28;126800
UDR;6.7172;15.98;16.05;15.93;16.02;2003-03-31;492200
UDR;6.8517;16.30;16.30;15.98;15.98;2003-04-01;321400
UDR;6.9820;16.61;16.67;16.30;16.30;2003-04-02;275300
UDR;6.9357;16.50;16.59;16.40;16.58;2003-04-03;200300
UDR;6.8727;16.35;16.57;16.35;16.49;2003-04-04;231200
UDR;6.9988;16.65;16.75;16.35;16.36;2003-04-07;336000
UDR;6.9567;16.55;16.69;16.55;16.65;2003-04-08;259900
UDR;7.0273;16.43;16.48;16.22;16.22;2003-04-09;271000
UDR;6.9803;16.32;16.45;16.27;16.43;2003-04-10;279600
UDR;6.8905;16.11;16.32;16.10;16.25;2003-04-11;218400
UDR;7.0573;16.50;16.50;16.11;16.14;2003-04-14;207400
UDR;7.0829;16.56;16.58;16.40;16.45;2003-04-15;258800
UDR;7.1642;16.75;16.75;16.62;16.70;2003-04-16;472200
UDR;7.2070;16.85;16.85;16.72;16.72;2003-04-17;355000
UDR;7.2283;16.90;16.90;16.60;16.60;2003-04-21;231600
UDR;7.2711;17.00;17.15;16.65;16.90;2003-04-22;402300
UDR;7.2583;16.97;17.02;16.80;17.00;2003-04-23;500400
UDR;7.2583;16.97;17.12;16.88;16.97;2003-04-24;1376400
UDR;7.1770;16.78;17.02;16.77;16.97;2003-04-25;672500
UDR;7.1642;16.75;16.85;16.60;16.80;2003-04-28;354000
UDR;7.1129;16.63;16.90;16.55;16.90;2003-04-29;427700
UDR;7.1385;16.69;16.71;16.56;16.68;2003-04-30;658100
UDR;7.2155;16.87;16.87;16.40;16.70;2003-05-01;791800
UDR;7.2540;16.96;16.96;16.80;16.88;2003-05-02;383800
UDR;7.3011;17.07;17.07;16.79;16.80;2003-05-05;311300
UDR;7.3481;17.18;17.21;16.88;17.07;2003-05-06;509600
