Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
UHS;20.5042;22.3800;22.8650;22.3250;22.8000;2003-02-04;1357800
UHS;20.3576;22.2200;22.6800;22.1550;22.5050;2003-02-05;746600
UHS;20.0461;21.8800;22.2950;21.8500;22.2200;2003-02-06;1622800
UHS;20.1057;21.9450;22.2450;21.9050;22.0650;2003-02-07;706200
UHS;20.1927;22.0400;22.1400;21.9300;22.0000;2003-02-10;611600
UHS;19.8125;21.6250;22.1700;21.6100;22.1000;2003-02-11;883600
UHS;19.5743;21.3650;21.6550;21.3000;21.6250;2003-02-12;2011800
UHS;19.2170;20.9750;21.4850;20.8250;21.3650;2003-02-13;1160000
UHS;16.0286;17.4950;17.5650;16.0250;16.5750;2003-02-14;35134000
UHS;16.9494;18.5000;18.9800;17.8750;17.8950;2003-02-18;11208600
UHS;17.3067;18.8900;19.2250;18.6800;18.6800;2003-02-19;5066600
UHS;17.6823;19.3000;19.3650;18.9000;18.9000;2003-02-20;3351200
UHS;17.8885;19.5250;19.5300;18.0500;18.0600;2003-02-21;5772600
UHS;17.6457;19.2600;20.0700;19.1550;19.5250;2003-02-24;2059800
UHS;17.9297;19.5700;19.5800;19.0750;19.2500;2003-02-25;1602200
UHS;17.6961;19.3150;19.5250;19.3100;19.4900;2003-02-26;1898600
UHS;17.9022;19.5400;19.6350;19.3500;19.3750;2003-02-27;1042400
UHS;17.7923;19.4200;19.9300;19.4000;19.5600;2003-02-28;818200
UHS;17.6823;19.3000;19.7750;19.1000;19.6000;2003-03-03;1898800
UHS;17.4258;19.0200;19.4650;19.0050;19.3050;2003-03-04;1007800
UHS;17.6915;19.3100;19.3500;19.0100;19.0200;2003-03-05;811000
UHS;17.4304;19.0250;19.2850;18.9650;19.2850;2003-03-06;1466600
UHS;17.4121;19.0050;19.2150;18.8550;19.0000;2003-03-07;1758600
UHS;17.1326;18.7000;19.0500;18.6100;19.0000;2003-03-10;1264600
UHS;16.9677;18.5200;18.9100;18.4500;18.7450;2003-03-11;2024600
UHS;16.9952;18.5500;18.6900;18.2000;18.5000;2003-03-12;1813400
UHS;17.2334;18.8100;18.8200;18.4750;18.7250;2003-03-13;1460000
UHS;17.0548;18.6150;19.1900;18.5050;18.8100;2003-03-14;1233600
UHS;17.6778;19.2950;19.3750;18.5000;18.5000;2003-03-17;1801600
UHS;17.6136;19.2250;19.7400;19.2000;19.3100;2003-03-18;1849800
UHS;17.6365;19.2500;19.2900;18.9550;19.2750;2003-03-19;1956800
UHS;17.7053;19.3250;19.5000;18.8000;19.2500;2003-03-20;1470200
UHS;17.7740;19.4000;19.5300;19.2600;19.4500;2003-03-21;1052600
UHS;17.5816;19.1900;19.3450;19.0850;19.2500;2003-03-24;877200
UHS;17.8977;19.5350;19.5550;19.2200;19.2250;2003-03-25;1338400
UHS;17.8106;19.4400;19.7150;19.4000;19.4500;2003-03-26;1160200
UHS;17.9022;19.5400;19.6950;19.1250;19.3900;2003-03-27;1407600
UHS;18.4703;20.1600;20.3500;19.4750;19.5500;2003-03-28;1508600
UHS;18.6764;20.3850;20.5500;19.9350;20.1250;2003-03-31;1478400
