Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
ULTA;29.4900;29.82;35.00;28.89;33.00;2007-10-25;7486900
ULTA;31.6459;32.00;32.98;29.25;29.69;2007-10-26;1625600
ULTA;34.3160;34.70;35.00;32.65;34.00;2007-10-29;667900
ULTA;35.0379;35.43;35.60;33.00;35.22;2007-10-30;455600
ULTA;33.8216;34.20;35.63;32.95;34.93;2007-10-31;393200
ULTA;32.3678;32.73;33.50;32.14;33.50;2007-11-01;453900
ULTA;32.0613;32.42;32.97;31.52;32.74;2007-11-02;276000
ULTA;31.1514;31.50;32.25;31.11;31.61;2007-11-05;342300
ULTA;31.0822;31.43;31.90;31.35;31.51;2007-11-06;223100
ULTA;29.0252;29.35;31.30;29.25;31.30;2007-11-07;525600
ULTA;29.6680;30.00;30.15;29.25;29.25;2007-11-08;411100
ULTA;29.5691;29.90;30.08;29.06;29.65;2007-11-09;213400
ULTA;28.7187;29.04;31.16;29.04;29.67;2007-11-12;112900
ULTA;28.8077;29.13;30.00;28.41;29.30;2007-11-13;236700
ULTA;29.6186;29.95;30.25;29.10;29.16;2007-11-14;244500
ULTA;29.8658;30.20;30.69;29.71;29.71;2007-11-15;76800
ULTA;30.3504;30.69;30.70;30.00;30.20;2007-11-16;88900
ULTA;28.8670;29.19;30.69;28.75;30.05;2007-11-19;238300
ULTA;26.7012;27.00;29.72;25.26;29.71;2007-11-20;742900
ULTA;24.0806;24.35;26.41;23.26;26.33;2007-11-21;810400
ULTA;23.9025;24.17;24.24;22.85;23.74;2007-11-23;100200
ULTA;23.9322;24.20;25.33;24.00;24.77;2007-11-26;233800
ULTA;23.6059;23.87;25.00;23.80;24.44;2007-11-27;211200
ULTA;24.5750;24.85;25.31;24.20;24.47;2007-11-28;417400
ULTA;24.5157;24.79;25.02;24.19;24.49;2007-11-29;341700
ULTA;25.4552;25.74;26.23;24.76;25.00;2007-11-30;199100
ULTA;26.0090;26.30;26.75;25.55;25.98;2007-12-03;319200
ULTA;25.5640;25.85;26.66;25.73;26.29;2007-12-04;180500
ULTA;26.2463;26.54;26.75;26.01;26.08;2007-12-05;168500
ULTA;27.1858;27.49;27.50;26.55;26.55;2007-12-06;102100
ULTA;27.6704;27.98;28.85;27.66;27.67;2007-12-07;103200
ULTA;27.1957;27.50;28.53;26.53;28.23;2007-12-10;281500
ULTA;20.6786;20.91;26.79;19.35;26.50;2007-12-11;3591000
ULTA;19.3337;19.55;21.85;18.41;21.12;2007-12-12;1121400
ULTA;18.3546;18.56;19.76;17.53;19.55;2007-12-13;1190300
ULTA;18.3447;18.55;18.70;18.10;18.70;2007-12-14;173500
ULTA;17.6624;17.86;18.60;17.41;18.60;2007-12-17;161500
ULTA;17.5041;17.70;18.00;17.12;18.00;2007-12-18;220900
ULTA;17.5536;17.75;17.92;17.10;17.81;2007-12-19;143400
ULTA;16.5647;16.75;17.75;16.50;17.75;2007-12-20;252700
ULTA;16.3965;16.58;17.15;15.60;17.00;2007-12-21;1079900
ULTA;16.6141;16.80;16.83;16.23;16.74;2007-12-24;189600
ULTA;17.1580;17.35;17.95;16.41;16.70;2007-12-26;270700
ULTA;17.0789;17.27;17.45;17.00;17.25;2007-12-27;123400
ULTA;16.9108;17.10;17.48;16.90;17.26;2007-12-28;234400
ULTA;16.9602;17.15;17.35;16.88;17.00;2007-12-31;515300
ULTA;16.3669;16.55;17.10;16.23;17.00;2008-01-02;213100
ULTA;15.3285;15.50;16.86;15.05;16.24;2008-01-03;296500
ULTA;14.3297;14.49;15.75;14.49;15.75;2008-01-04;334400
ULTA;12.3815;12.52;14.75;11.83;14.56;2008-01-07;993300
ULTA;13.4001;13.55;13.75;12.35;12.80;2008-01-08;704000
ULTA;14.3395;14.50;14.50;13.39;13.49;2008-01-09;1019800
ULTA;15.8922;16.07;16.26;14.35;14.35;2008-01-10;1232700
ULTA;15.6252;15.80;16.00;15.21;15.70;2008-01-11;417800
ULTA;15.8724;16.05;16.41;15.58;15.77;2008-01-14;237900
ULTA;15.4373;15.61;16.06;15.58;15.65;2008-01-15;291600
ULTA;15.7339;15.91;16.33;15.59;15.60;2008-01-16;297100
ULTA;14.5967;14.76;15.92;14.39;15.83;2008-01-17;188900
ULTA;12.3617;12.50;14.74;12.00;14.66;2008-01-18;951100
ULTA;12.4408;12.58;12.86;11.78;12.00;2008-01-22;1503700
ULTA;14.0923;14.25;14.50;12.27;12.28;2008-01-23;391700
ULTA;14.1418;14.30;14.55;13.99;14.30;2008-01-24;579400
ULTA;15.0219;15.19;15.68;14.25;14.53;2008-01-25;340200
ULTA;15.3285;15.50;15.76;14.83;15.11;2008-01-28;212400
ULTA;16.1691;16.35;16.60;15.14;15.50;2008-01-29;233900
ULTA;15.3779;15.55;16.53;15.49;16.11;2008-01-30;330100
ULTA;15.0714;15.24;15.77;15.21;15.40;2008-01-31;281700
ULTA;14.5868;14.75;15.68;14.10;15.55;2008-02-01;375000
ULTA;13.8747;14.03;14.88;13.88;14.63;2008-02-04;189300
ULTA;13.8451;14.00;14.19;13.69;13.71;2008-02-05;166000
ULTA;14.0429;14.20;14.75;14.00;14.04;2008-02-06;92200
ULTA;15.7438;15.92;16.25;13.93;14.15;2008-02-07;243500
ULTA;15.3779;15.55;15.78;15.12;15.75;2008-02-08;395700
ULTA;14.9230;15.09;15.60;14.79;15.55;2008-02-11;125200
ULTA;14.7450;14.91;15.86;14.80;15.14;2008-02-12;123600
ULTA;14.7648;14.93;15.08;14.50;15.02;2008-02-13;147500
ULTA;14.6263;14.79;15.09;14.33;14.99;2008-02-14;174500
ULTA;14.6263;14.79;14.79;14.44;14.74;2008-02-15;67100
ULTA;14.6165;14.78;16.04;14.75;15.05;2008-02-19;119400
ULTA;14.7549;14.92;15.00;14.40;14.74;2008-02-20;72300
ULTA;14.6165;14.78;15.53;14.76;15.06;2008-02-21;123600
ULTA;13.8451;14.00;14.88;13.49;14.79;2008-02-22;155300
ULTA;13.9934;14.15;14.30;13.90;14.28;2008-02-25;275300
ULTA;15.0021;15.17;15.48;14.08;14.08;2008-02-26;141400
ULTA;14.6560;14.82;14.96;14.64;14.96;2008-02-27;106500
ULTA;14.4582;14.62;15.05;14.58;15.04;2008-02-28;192500
ULTA;13.8550;14.01;14.68;13.79;14.50;2008-02-29;155900
ULTA;14.5868;14.75;15.10;14.25;14.25;2008-03-03;269600
ULTA;14.1615;14.32;14.94;14.03;14.57;2008-03-04;65800
ULTA;14.2802;14.44;14.79;14.08;14.42;2008-03-05;110300
ULTA;14.1418;14.30;14.45;14.00;14.34;2008-03-06;121400
ULTA;13.3308;13.48;14.31;13.42;14.09;2008-03-07;118000
ULTA;12.5496;12.69;13.66;12.50;13.50;2008-03-10;228700
ULTA;12.6781;12.82;13.35;12.73;13.04;2008-03-11;137900
ULTA;12.0848;12.22;13.15;12.14;12.86;2008-03-12;176800
ULTA;10.3739;10.49;12.00;10.44;12.00;2008-03-13;271200
ULTA;10.5816;10.70;11.00;10.08;10.80;2008-03-14;691500
ULTA;11.1552;11.28;11.51;10.14;10.15;2008-03-17;175300
ULTA;11.6694;11.80;11.93;11.00;11.70;2008-03-18;255000
ULTA;11.3727;11.50;12.26;11.46;12.00;2008-03-19;240100
ULTA;12.6386;12.78;13.35;10.35;10.71;2008-03-20;745900
ULTA;13.8352;13.99;14.96;12.51;13.03;2008-03-24;205600
ULTA;14.8538;15.02;17.12;13.88;13.88;2008-03-25;390100
ULTA;14.4879;14.65;14.89;14.29;14.89;2008-03-26;131500
ULTA;14.3099;14.47;14.73;13.90;14.73;2008-03-27;113700
ULTA;13.8649;14.02;14.66;14.02;14.40;2008-03-28;147100
ULTA;13.8846;14.04;14.46;13.63;14.16;2008-03-31;163600
ULTA;14.1615;14.32;14.84;14.00;14.00;2008-04-01;266200
ULTA;13.8253;13.98;14.48;13.98;14.35;2008-04-02;142900
ULTA;13.9143;14.07;14.15;13.81;13.81;2008-04-03;100800
ULTA;13.6671;13.82;14.11;13.50;14.11;2008-04-04;133300
ULTA;13.3704;13.52;14.03;13.49;13.89;2008-04-07;95000
ULTA;14.0231;14.18;14.90;13.32;13.32;2008-04-08;194600
ULTA;13.5781;13.73;14.27;13.55;14.25;2008-04-09;198900
ULTA;14.7450;14.91;14.99;13.73;13.76;2008-04-10;129400
ULTA;14.1418;14.30;14.88;14.24;14.85;2008-04-11;120900
ULTA;14.2505;14.41;14.85;14.06;14.36;2008-04-14;116100
ULTA;14.0626;14.22;14.53;14.10;14.42;2008-04-15;48200
ULTA;13.9638;14.12;14.62;14.03;14.28;2008-04-16;125600
ULTA;13.8451;14.00;14.15;13.80;14.00;2008-04-17;77100
ULTA;13.9440;14.10;14.19;13.82;14.18;2008-04-18;141600
ULTA;13.8846;14.04;14.39;14.02;14.06;2008-04-21;118700
ULTA;13.1232;13.27;14.04;13.21;13.89;2008-04-22;159300
ULTA;13.1429;13.29;13.48;12.98;13.40;2008-04-23;237300
ULTA;13.2517;13.40;13.61;12.95;13.21;2008-04-24;512700
ULTA;13.7264;13.88;14.00;13.37;13.40;2008-04-25;761500
ULTA;13.6572;13.81;14.00;13.76;13.91;2008-04-28;194000
ULTA;14.0132;14.17;14.27;13.74;13.74;2008-04-29;398000
ULTA;13.9934;14.15;14.26;14.00;14.24;2008-04-30;728200
ULTA;14.7945;14.96;15.00;14.10;14.15;2008-05-01;837600
ULTA;14.6857;14.85;15.31;14.72;15.04;2008-05-02;421300
ULTA;14.3890;14.55;14.76;14.41;14.74;2008-05-05;501000
ULTA;14.2110;14.37;14.60;14.15;14.43;2008-05-06;81000
ULTA;14.3395;14.50;15.00;14.40;14.41;2008-05-07;149100
ULTA;14.1912;14.35;14.53;13.95;14.53;2008-05-08;132000
ULTA;14.0528;14.21;14.24;13.95;14.07;2008-05-09;167400
ULTA;14.1121;14.27;14.76;13.75;14.28;2008-05-12;295500
ULTA;14.4384;14.60;14.75;14.28;14.28;2008-05-13;132200
ULTA;14.5274;14.69;15.00;14.59;14.59;2008-05-14;147000
ULTA;14.7549;14.92;15.06;14.61;14.67;2008-05-15;447600
ULTA;14.4582;14.62;15.07;14.52;14.91;2008-05-16;217700
ULTA;14.0033;14.16;14.66;14.11;14.59;2008-05-19;192100
ULTA;13.7660;13.92;14.19;13.76;14.05;2008-05-20;214000
ULTA;14.1813;14.34;14.35;13.83;13.95;2008-05-21;290100
ULTA;14.1319;14.29;14.32;14.04;14.32;2008-05-22;266800
ULTA;13.6077;13.76;14.19;13.29;14.19;2008-05-23;159600
ULTA;14.2110;14.37;14.50;13.50;13.75;2008-05-27;154900
ULTA;14.8241;14.99;15.00;14.30;14.38;2008-05-28;310000
ULTA;14.7351;14.90;15.00;14.56;15.00;2008-05-29;370300
ULTA;14.1022;14.26;15.08;14.26;14.98;2008-05-30;544800
ULTA;14.1319;14.29;14.41;13.89;14.39;2008-06-02;228500
ULTA;13.8253;13.98;14.55;13.94;14.30;2008-06-03;317700
ULTA;13.1825;13.33;14.00;13.32;13.77;2008-06-04;257000
ULTA;14.1517;14.31;14.97;13.80;14.83;2008-06-05;600800
ULTA;13.6869;13.84;14.26;13.68;14.18;2008-06-06;305700
ULTA;13.2023;13.35;13.85;13.25;13.85;2008-06-09;231200
ULTA;13.8649;14.02;14.17;13.27;13.29;2008-06-10;255900
ULTA;12.9353;13.08;14.05;13.03;13.97;2008-06-11;242100
ULTA;12.4408;12.58;13.58;12.40;13.18;2008-06-12;235500
