Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
UPS;36.9077;59.95;60.10;59.62;60.05;2003-02-04;2191000
UPS;36.9939;60.09;60.78;59.83;60.40;2003-02-05;2035500
UPS;36.7661;59.72;60.28;59.55;59.75;2003-02-06;1929400
UPS;36.4152;59.15;60.22;59.02;59.73;2003-02-07;1857400
UPS;36.4152;59.15;59.42;58.52;59.20;2003-02-10;2395900
UPS;36.1997;58.80;59.68;58.56;59.53;2003-02-11;1742900
UPS;35.8549;58.24;59.00;57.90;58.81;2003-02-12;1798100
UPS;35.4486;57.58;58.15;57.12;57.75;2003-02-13;2170200
UPS;36.3228;59.00;59.00;57.60;57.60;2003-02-14;2181700
UPS;36.6245;59.49;59.62;58.90;59.00;2003-02-18;1698900
UPS;36.3105;58.98;59.49;58.61;59.49;2003-02-19;1699400
UPS;35.9398;58.17;59.10;58.02;59.00;2003-02-20;1708100
UPS;36.0881;58.41;58.80;58.00;58.78;2003-02-21;2123600
UPS;35.3219;57.17;58.26;56.93;58.25;2003-02-24;2979500
UPS;35.4331;57.35;57.36;56.00;56.52;2003-02-25;3009700
UPS;35.3899;57.28;57.81;57.12;57.36;2003-02-26;2538000
UPS;35.3837;57.27;57.83;56.76;57.35;2003-02-27;2181200
UPS;35.5505;57.54;58.16;57.37;57.52;2003-02-28;2312100
UPS;35.7421;57.85;58.34;57.65;58.05;2003-03-03;1992100
UPS;35.1119;56.83;57.80;56.80;57.75;2003-03-04;2392800
UPS;34.6300;56.05;56.83;55.50;56.83;2003-03-05;4017500
UPS;34.2716;55.47;56.00;55.21;55.40;2003-03-06;2483300
UPS;34.0060;55.04;55.37;54.70;55.00;2003-03-07;4493200
UPS;33.2028;53.74;55.04;53.61;55.04;2003-03-10;3229000
UPS;32.8568;53.18;54.14;53.18;53.80;2003-03-11;2964600
UPS;33.7094;54.56;54.60;53.00;53.00;2003-03-12;4068600
UPS;34.2160;55.38;55.40;54.06;54.29;2003-03-13;4983900
UPS;34.5991;56.00;56.15;55.00;55.48;2003-03-14;3234900
UPS;35.4517;57.38;57.68;55.41;55.65;2003-03-17;4192300
UPS;35.6988;57.78;57.83;57.05;57.63;2003-03-18;2868400
UPS;36.2240;58.63;58.70;57.56;57.95;2003-03-19;3937300
UPS;36.4279;58.96;59.22;58.10;58.50;2003-03-20;2852500
