Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
V;12.9280;14.1250;17.2500;13.7500;14.8750;2008-03-19;708486000
V;14.7241;16.0875;16.2500;14.3750;14.6000;2008-03-20;198985200
V;13.6670;14.9325;16.9250;14.7500;16.8100;2008-03-24;149566400
V;14.4725;15.8125;16.0625;14.9550;15.1450;2008-03-25;87092000
V;14.6349;15.9900;16.1200;15.3925;15.6825;2008-03-26;43111600
V;14.3947;15.7275;16.1850;15.6625;16.0125;2008-03-27;39829600
V;14.3603;15.6900;15.8600;15.5400;15.8425;2008-03-28;24675200
V;14.2688;15.5900;15.8700;15.5125;15.6500;2008-03-31;22157200
V;14.0972;15.4025;15.9200;15.0775;15.7650;2008-04-01;60410800
V;14.2597;15.5800;15.5800;15.1250;15.4300;2008-04-02;43836400
V;14.9873;16.3750;16.5725;15.4550;15.4875;2008-04-03;100868000
V;14.7539;16.1200;16.3300;15.9375;16.2250;2008-04-04;36394400
V;14.8820;16.2600;16.4500;16.0050;16.2750;2008-04-07;28301600
V;15.5799;17.0225;17.0600;16.2025;16.2250;2008-04-08;53925600
V;15.0536;16.4475;17.1800;16.4025;17.1100;2008-04-09;48324400
V;15.1269;16.5275;16.6825;16.2775;16.5400;2008-04-10;22372000
V;15.1269;16.5275;16.6925;16.3125;16.3125;2008-04-11;26421600
V;15.0285;16.4200;16.8100;16.3825;16.6750;2008-04-14;28443600
V;14.7241;16.0875;16.6375;16.0000;16.5725;2008-04-15;23888000
V;15.1337;16.5350;16.7375;16.1400;16.1400;2008-04-16;25136800
V;15.3397;16.7600;16.9375;16.5025;16.5650;2008-04-17;22459600
V;15.7881;17.2500;17.6125;16.8000;17.0025;2008-04-18;104099600
V;16.2389;17.7425;18.1250;17.2125;17.3700;2008-04-21;58848000
V;16.0810;17.5700;18.1000;17.5000;17.9800;2008-04-22;47357600
V;16.0353;17.5200;17.9250;17.4225;17.7375;2008-04-23;37319600
V;16.5432;18.0750;18.2475;17.5100;17.8000;2008-04-24;38086800
V;17.1839;18.7750;19.0200;18.4775;19.0000;2008-04-25;101460000
