Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
VFC;5.1204;8.0461;8.1403;7.9190;8.1403;2003-02-04;2122726
VFC;5.2013;8.1733;8.2156;8.0767;8.1050;2003-02-05;1757398
VFC;5.1698;8.1238;8.2392;8.0744;8.1685;2003-02-06;2041589
VFC;5.1114;8.0320;8.1921;8.0014;8.1827;2003-02-07;1313482
VFC;5.0485;7.9331;8.0744;7.9308;8.0391;2003-02-10;1876342
VFC;5.3151;8.3522;8.4346;7.9567;7.9802;2003-02-11;4130330
VFC;5.2747;8.2886;8.4204;8.2486;8.3522;2003-02-12;1910326
VFC;5.1773;8.1356;8.2604;8.0556;8.2392;2003-02-13;2098937
VFC;5.1518;8.0956;8.2321;8.0391;8.1379;2003-02-14;3231454
VFC;5.1683;8.1215;8.1615;8.0626;8.0626;2003-02-18;1715767
VFC;5.1249;8.0532;8.1638;8.0320;8.1215;2003-02-19;1134641
VFC;5.1129;8.0344;8.0932;7.9967;8.0414;2003-02-20;1419257
VFC;5.1743;8.1309;8.1309;7.9567;8.0438;2003-02-21;1831313
VFC;4.9781;7.8225;8.0720;7.8013;8.0720;2003-02-24;2782865
VFC;4.9825;7.8296;7.8366;7.6789;7.8037;2003-02-25;2387801
VFC;4.9211;7.7331;7.8296;7.7072;7.8296;2003-02-26;2040314
VFC;5.0185;7.8861;7.8908;7.7331;7.7684;2003-02-27;1395468
VFC;5.0709;7.9685;8.0391;7.8602;7.8861;2003-02-28;1475755
VFC;5.0964;8.0085;8.0815;7.9755;8.0038;2003-03-03;1401840
VFC;4.9975;7.8531;8.0273;7.8437;8.0061;2003-03-04;1207282
VFC;5.0320;7.9072;7.9143;7.7895;7.8296;2003-03-05;1191139
VFC;5.0244;7.8366;7.9237;7.7378;7.8508;2003-03-06;1272276
VFC;5.2071;8.1215;8.1262;7.7731;7.8390;2003-03-07;1996135
VFC;5.0591;7.8908;8.0744;7.8696;8.0414;2003-03-10;1395468
VFC;5.0908;7.9402;8.0603;7.8602;7.8625;2003-03-11;1341518
VFC;5.0486;7.8743;7.9167;7.7801;7.9143;2003-03-12;1287569
VFC;5.3519;8.3475;8.3522;7.9072;7.9072;2003-03-13;2434529
