Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
VMC;25.2872;33.11;33.90;33.05;33.85;2003-02-04;458500
VMC;24.9053;32.61;33.25;32.57;33.19;2003-02-05;428100
VMC;24.3554;31.89;32.61;31.83;32.61;2003-02-06;446600
VMC;24.2332;31.73;32.08;31.55;31.98;2003-02-07;287600
VMC;24.3631;31.90;32.03;31.50;31.83;2003-02-10;308000
VMC;24.3249;31.85;32.15;31.66;31.90;2003-02-11;278400
VMC;24.1950;31.68;32.01;31.60;31.70;2003-02-12;251200
VMC;24.0117;31.44;31.90;31.03;31.60;2003-02-13;196100
VMC;24.5922;32.20;32.20;31.34;31.44;2003-02-14;203900
VMC;24.8060;32.48;32.49;32.05;32.10;2003-02-18;240300
VMC;24.6533;32.28;32.54;32.10;32.45;2003-02-19;189300
VMC;24.5998;32.21;32.45;32.00;32.45;2003-02-20;158200
VMC;25.0504;32.80;33.01;32.23;32.30;2003-02-21;246300
VMC;24.4700;32.04;32.73;31.90;32.73;2003-02-24;203100
VMC;24.7373;32.39;32.40;31.53;31.91;2003-02-25;248300
VMC;24.6257;32.00;32.35;31.90;32.32;2003-02-26;164400
VMC;24.5026;31.84;32.20;31.57;32.20;2003-02-27;364200
VMC;24.3948;31.70;32.06;31.68;31.98;2003-02-28;181600
VMC;24.4949;31.83;32.20;31.67;31.95;2003-03-03;197300
VMC;23.5560;30.61;31.75;30.61;31.75;2003-03-04;307700
VMC;23.3867;30.39;30.68;29.94;30.55;2003-03-05;338100
VMC;23.0327;29.93;30.30;29.63;30.30;2003-03-06;322700
VMC;23.2790;30.25;30.50;29.70;29.72;2003-03-07;224000
VMC;22.8173;29.65;30.20;29.53;30.12;2003-03-10;248300
VMC;22.5941;29.36;29.97;29.34;29.45;2003-03-11;254200
VMC;22.3632;29.06;29.34;28.75;29.34;2003-03-12;223200
VMC;22.8942;29.75;29.75;29.03;29.31;2003-03-13;293300
VMC;22.9481;29.82;30.28;29.66;29.98;2003-03-14;273600
VMC;23.5329;30.58;30.65;29.40;29.92;2003-03-17;526300
VMC;23.5252;30.57;30.83;30.29;30.59;2003-03-18;362100
VMC;23.8485;30.99;30.99;30.48;30.67;2003-03-19;335100
VMC;23.7176;30.82;30.99;30.32;30.90;2003-03-20;293200
VMC;24.8566;32.30;32.30;30.80;30.83;2003-03-21;841200
VMC;24.1409;31.37;32.00;31.21;32.00;2003-03-24;459800
VMC;24.1255;31.35;31.75;31.00;31.30;2003-03-25;320700
VMC;23.7561;30.87;31.25;30.38;31.25;2003-03-26;366000
VMC;23.6176;30.69;30.82;30.32;30.72;2003-03-27;236200
VMC;23.5252;30.57;30.75;30.30;30.61;2003-03-28;244300
VMC;23.2636;30.23;30.62;29.90;30.00;2003-03-31;310000
VMC;23.6792;30.77;30.78;29.90;30.45;2003-04-01;280200
VMC;24.3487;31.64;31.96;30.77;31.02;2003-04-02;250100
VMC;24.2871;31.56;31.87;31.45;31.74;2003-04-03;218700
VMC;24.2178;31.47;31.91;31.29;31.80;2003-04-04;239900
VMC;24.4025;31.71;32.20;31.60;31.85;2003-04-07;364800
VMC;24.3256;31.61;31.80;31.47;31.70;2003-04-08;294500
VMC;24.0639;31.27;31.96;31.11;31.95;2003-04-09;242300
VMC;24.1871;31.43;31.43;31.13;31.27;2003-04-10;193700
VMC;24.1409;31.37;31.87;31.28;31.70;2003-04-11;155000
VMC;24.5103;31.85;31.94;31.50;31.62;2003-04-14;178900
VMC;24.7104;32.11;32.14;31.70;32.00;2003-04-15;295000
VMC;24.1871;31.43;32.01;31.33;31.90;2003-04-16;296000
VMC;24.5026;31.84;31.89;31.43;31.60;2003-04-17;219700
