Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
VRSK;26.8604;27.22;28.97;26.41;27.00;2009-10-07;63739500
VRSK;26.2486;26.60;27.44;26.50;27.33;2009-10-08;6906700
VRSK;26.0513;26.40;27.49;26.38;26.83;2009-10-09;3361300
VRSK;25.9032;26.25;27.90;26.10;27.29;2009-10-12;7177000
VRSK;26.8308;27.19;27.26;26.54;26.67;2009-10-13;3296000
VRSK;27.6202;27.99;28.24;27.00;27.25;2009-10-14;3222400
VRSK;27.9360;28.31;28.80;27.75;28.28;2009-10-15;3181300
VRSK;28.1926;28.57;28.60;27.55;28.45;2009-10-16;3974100
VRSK;27.1367;27.50;28.89;27.50;28.52;2009-10-19;1892100
VRSK;27.6893;28.06;28.10;27.35;27.50;2009-10-20;3387000
VRSK;27.6301;28.00;28.35;27.86;28.00;2009-10-21;1079000
VRSK;27.5216;27.89;28.48;27.32;27.76;2009-10-22;1172500
VRSK;27.9952;28.37;28.39;27.51;28.00;2009-10-23;2385700
VRSK;28.0742;28.45;28.60;27.76;27.83;2009-10-26;834400
VRSK;28.1827;28.56;29.25;27.93;28.54;2009-10-27;1578700
VRSK;27.3242;27.69;28.55;27.56;28.21;2009-10-28;1153500
VRSK;27.5216;27.89;28.00;27.75;27.88;2009-10-29;563500
VRSK;27.0676;27.43;28.07;27.30;28.00;2009-10-30;819600
VRSK;27.0084;27.37;27.65;26.60;27.38;2009-11-02;978000
VRSK;26.9986;27.36;27.49;26.85;27.43;2009-11-03;696500
VRSK;26.6039;26.96;27.48;26.95;27.33;2009-11-04;461200
VRSK;26.9394;27.30;27.60;26.97;27.02;2009-11-05;470400
VRSK;26.7420;27.10;27.34;26.95;27.15;2009-11-06;310800
VRSK;27.2157;27.58;27.69;27.05;27.25;2009-11-09;615600
VRSK;27.3045;27.67;28.26;27.25;27.25;2009-11-10;287300
VRSK;28.5972;28.98;29.12;27.63;27.93;2009-11-11;1174600
VRSK;28.5182;28.90;30.00;28.43;28.78;2009-11-12;1211600
VRSK;28.5182;28.90;29.08;28.51;28.78;2009-11-13;414900
VRSK;28.4689;28.85;29.01;28.25;28.75;2009-11-16;1424300
VRSK;27.4821;27.85;28.96;27.40;28.55;2009-11-17;2496000
VRSK;28.1235;28.50;29.00;28.16;28.39;2009-11-18;730900
VRSK;28.1630;28.54;28.89;27.94;28.81;2009-11-19;1223600
VRSK;28.1729;28.55;28.64;28.42;28.50;2009-11-20;875700
VRSK;28.0248;28.40;28.68;27.67;28.68;2009-11-23;447600
VRSK;27.4130;27.78;28.18;27.65;28.18;2009-11-24;685400
