Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
VTR;5.2355;12.8811;12.9496;12.7898;12.8469;2003-02-04;281800
VTR;5.2726;12.9725;12.9953;12.8469;12.9611;2003-02-05;178993
VTR;5.3469;13.1552;13.2237;13.0067;13.0867;2003-02-06;175140
VTR;5.2355;12.8811;13.2009;12.8811;13.1894;2003-02-07;83367
VTR;5.3004;13.0410;13.0981;12.8469;13.0753;2003-02-10;106573
VTR;5.2587;12.9382;13.0296;12.8583;13.0182;2003-02-11;126714
VTR;5.2308;12.8697;13.0182;12.8126;12.9611;2003-02-12;104646
VTR;5.2355;12.8811;12.9040;12.7327;12.9040;2003-02-13;183634
VTR;5.1983;12.7898;12.9725;12.7327;12.8811;2003-02-14;182496
VTR;5.2262;12.8583;12.9040;12.7441;12.8012;2003-02-18;140287
VTR;5.2169;12.8354;13.0410;12.7441;13.0410;2003-02-19;135296
VTR;5.2215;12.8469;12.8469;12.6527;12.7441;2003-02-20;138185
VTR;5.2540;12.9268;12.9953;12.7898;12.9611;2003-02-21;121460
VTR;5.3236;13.0981;13.3379;12.8583;12.9382;2003-02-24;208154
VTR;5.4258;13.3493;13.4064;13.0296;13.2808;2003-02-25;227594
VTR;5.5047;13.5435;13.6234;13.3493;13.4178;2003-02-26;232236
VTR;5.6068;13.7947;13.8175;13.6234;13.7033;2003-02-27;316040
VTR;5.6960;13.7033;13.8061;13.4178;13.5320;2003-02-28;588908
VTR;5.7340;13.7947;13.9317;13.6691;13.7604;2003-03-03;306933
VTR;5.7909;13.9317;13.9317;13.7147;13.7604;2003-03-04;137485
VTR;5.8004;13.9546;13.9774;13.8175;13.9317;2003-03-05;204388
VTR;5.6675;13.6348;13.9774;13.5891;13.9774;2003-03-06;104821
VTR;5.7008;13.7147;13.8175;13.5092;13.5092;2003-03-07;203951
VTR;5.6485;13.5891;13.7947;13.5663;13.7947;2003-03-10;207366
VTR;5.6628;13.6234;13.7604;13.5663;13.5891;2003-03-11;229959
VTR;5.6248;13.5320;13.6691;13.4749;13.5092;2003-03-12;111126
VTR;5.6628;13.6234;13.6462;13.2922;13.6462;2003-03-13;310523
VTR;5.5536;13.3607;13.7033;13.3036;13.7033;2003-03-14;197645
VTR;5.7102;13.7376;13.7604;13.3607;13.3607;2003-03-17;197996
VTR;5.6818;13.6691;13.9089;13.4864;13.9089;2003-03-18;159202
VTR;5.7387;13.8061;13.8061;13.5891;13.6919;2003-03-19;128290
VTR;5.6960;13.7033;13.7604;13.5663;13.7033;2003-03-20;241956
VTR;5.7387;13.8061;13.8061;13.6462;13.7033;2003-03-21;449234
VTR;5.6485;13.5891;13.7033;13.4749;13.7033;2003-03-24;262885
VTR;5.4349;13.0753;13.1666;12.9839;13.1324;2003-03-25;896542
VTR;5.6485;13.5891;13.6462;13.0753;13.0753;2003-03-26;463683
VTR;5.6011;13.4749;13.6348;13.3036;13.5891;2003-03-27;116381
VTR;5.5536;13.3607;13.5891;13.3379;13.4749;2003-03-28;183021
VTR;5.5061;13.2465;13.5206;13.1552;13.4749;2003-03-31;534177
VTR;5.5916;13.4521;13.4635;13.3265;13.3607;2003-04-01;339246
VTR;5.6913;13.6919;13.7033;13.4293;13.5320;2003-04-02;688388
VTR;5.6343;13.5549;13.6919;13.5549;13.6919;2003-04-03;129428
VTR;5.6011;13.4749;13.6576;13.4749;13.6462;2003-04-04;393189
VTR;5.7197;13.7604;13.8175;13.5549;13.5663;2003-04-07;168134
VTR;5.7387;13.8061;13.8518;13.6919;13.7033;2003-04-08;633569
VTR;5.7909;13.9317;13.9317;13.7262;13.7947;2003-04-09;268227
VTR;5.8526;14.0802;14.1601;13.8746;13.8746;2003-04-10;224705
VTR;5.8099;13.9774;14.1944;13.7147;14.1944;2003-04-11;290032
VTR;5.8811;14.1487;14.1601;14.0231;14.0345;2003-04-14;122160
VTR;5.9238;14.2515;14.3314;14.0231;14.2629;2003-04-15;613515
VTR;5.9856;14.3999;14.4684;14.1030;14.3086;2003-04-16;392576
VTR;6.0188;14.4798;14.6626;14.4227;14.5141;2003-04-17;560623
VTR;6.1137;14.7082;14.8224;14.4456;14.7311;2003-04-21;229784
VTR;6.1944;14.9024;14.9024;14.5712;14.6511;2003-04-22;428830
VTR;6.1849;14.8795;14.9024;14.7197;14.9024;2003-04-23;1141650
VTR;6.2181;14.9595;15.1308;14.8795;14.9024;2003-04-24;501951
VTR;6.1707;14.8453;15.0051;14.7425;14.9595;2003-04-25;309648
VTR;6.0995;14.6740;15.0166;14.6740;14.9595;2003-04-28;470951
VTR;6.0520;14.5598;14.9138;14.5598;14.6169;2003-04-29;321119
VTR;6.1707;14.8453;14.9366;14.6169;14.6169;2003-04-30;381280
VTR;6.1517;14.7996;14.8453;14.5141;14.7882;2003-05-01;518064
VTR;6.2134;14.9480;15.1308;14.8110;14.8453;2003-05-02;318930
VTR;6.2941;15.1422;15.2449;14.9024;14.9480;2003-05-05;202549
VTR;6.3036;15.1650;15.3020;14.9595;14.9823;2003-05-06;265950
VTR;6.3795;15.3477;15.4848;15.0737;15.1422;2003-05-07;330927
VTR;6.3653;15.3135;15.3591;15.1536;15.1878;2003-05-08;313413
VTR;6.4934;15.6218;15.6218;15.1993;15.1993;2003-05-09;206052
VTR;6.4745;15.5761;15.6218;15.4619;15.5076;2003-05-12;197295
VTR;6.5409;15.7360;15.7588;15.3591;15.4162;2003-05-13;359562
VTR;6.5741;15.8159;15.8273;15.5304;15.7017;2003-05-14;399407
VTR;6.5267;15.7017;16.0557;15.1308;15.9986;2003-05-15;2059909
VTR;6.5599;15.7817;15.7817;15.5304;15.5875;2003-05-16;917558
VTR;6.5267;15.7017;15.8045;15.6218;15.7817;2003-05-19;300015
VTR;6.5979;15.8730;15.9301;15.6446;15.6446;2003-05-20;188013
VTR;6.6501;15.9986;16.0557;15.8045;15.9872;2003-05-21;335743
VTR;6.7260;16.1813;16.2384;16.0443;16.2156;2003-05-22;292221
VTR;6.8305;16.4326;16.4440;16.1014;16.1585;2003-05-23;463508
VTR;6.8922;16.5810;16.7295;16.1242;16.3526;2003-05-27;400282
VTR;6.8827;16.5582;16.7295;16.3869;16.6724;2003-05-28;372348
VTR;6.7705;15.9872;16.5011;15.7588;16.3641;2003-05-29;1204350
VTR;6.8430;16.1585;16.2156;15.8159;15.9872;2003-05-30;536366
VTR;6.8382;16.1471;16.5011;16.0443;16.2156;2003-06-02;298526
VTR;6.8914;16.2727;16.2841;16.0671;16.1813;2003-06-03;273656
VTR;7.0268;16.5924;16.6381;16.3412;16.3755;2003-06-04;275057
VTR;6.8914;16.2727;16.6610;16.2727;16.6610;2003-06-05;276283
VTR;6.9156;16.3298;16.6495;16.2613;16.4440;2003-06-06;282413
VTR;6.9156;16.3298;16.6724;16.3298;16.4211;2003-06-09;309560
VTR;7.1138;16.7980;16.8893;16.4097;16.4211;2003-06-10;219801
VTR;7.1815;16.9579;17.0606;16.7866;16.8437;2003-06-11;231360
VTR;7.1332;16.8437;17.0949;16.8208;17.0378;2003-06-12;194931
VTR;7.1525;16.8893;17.0035;16.7523;16.9008;2003-06-13;135909
VTR;7.1283;16.8322;17.0264;16.6381;16.9464;2003-06-16;255442
VTR;7.1380;16.8551;17.0264;16.6724;17.0150;2003-06-17;202374
VTR;7.1235;16.8208;17.0035;16.3526;17.0035;2003-06-18;291083
VTR;7.0413;16.6267;17.0150;16.6153;16.7295;2003-06-19;162530
VTR;7.1574;16.9008;17.0035;16.5353;16.6267;2003-06-20;342311
VTR;6.9881;16.5011;16.9008;16.3298;16.8893;2003-06-23;387760
VTR;7.1090;16.7866;16.7866;16.3298;16.3298;2003-06-24;200360
VTR;7.1380;16.8551;16.9122;16.6153;16.8437;2003-06-25;249925
VTR;7.3024;17.2433;17.3575;16.9008;16.9122;2003-06-26;390650
VTR;7.3170;17.2776;17.5060;17.1520;17.3004;2003-06-27;267614
VTR;7.3266;17.3004;17.4146;17.1748;17.3004;2003-06-30;739791
VTR;7.3411;17.3347;17.4146;16.9350;17.3004;2003-07-01;576211
VTR;7.4959;17.7001;17.7344;17.3347;17.3918;2003-07-02;603007
VTR;7.5201;17.7572;17.8143;17.5403;17.6430;2003-07-03;206840
VTR;7.7135;18.2140;18.4995;18.0884;18.2711;2003-07-07;372873
VTR;7.8441;18.5223;18.6594;17.9970;18.1912;2003-07-08;481898
VTR;7.9601;18.7964;18.8992;18.0655;18.4995;2003-07-09;707128
VTR;7.7715;18.3510;18.8307;18.0199;18.7964;2003-07-10;364554
VTR;7.8924;18.6365;18.7621;18.3625;18.3853;2003-07-11;499937
