Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
VTRS;16.6520;17.3133;17.6000;17.2400;17.5867;2003-02-04;2534700
VTRS;16.6328;17.2933;17.5733;17.0600;17.4667;2003-02-05;2030550
VTRS;16.7353;17.4000;17.5200;17.0133;17.1933;2003-02-06;2579550
VTRS;16.7482;17.4133;17.7267;17.2133;17.7200;2003-02-07;2072550
VTRS;17.3830;18.0733;18.0733;17.3400;17.4133;2003-02-10;2583000
VTRS;17.7933;18.5000;18.5933;18.2000;18.2000;2003-02-11;4626150
VTRS;17.6010;18.3000;18.5600;18.0667;18.5000;2003-02-12;3807000
VTRS;17.0880;17.7667;18.3667;17.6333;18.3333;2003-02-13;3631950
VTRS;17.0688;17.7467;17.8667;17.6133;17.7667;2003-02-14;2425950
VTRS;18.0049;18.7200;18.7200;17.8333;17.8333;2003-02-18;2698050
VTRS;17.7100;18.4133;18.7000;18.3333;18.7000;2003-02-19;1788450
VTRS;17.6394;18.3400;18.5867;18.3267;18.4133;2003-02-20;2410050
VTRS;17.7292;18.4333;18.5533;18.1933;18.4000;2003-02-21;2036850
VTRS;17.7228;18.4267;18.5067;18.2800;18.4333;2003-02-24;1432500
VTRS;17.5689;18.2667;18.3933;17.8600;18.3000;2003-02-25;1931550
VTRS;17.3701;18.0600;18.2133;17.9000;18.1467;2003-02-26;2125500
VTRS;17.9087;18.6200;18.6667;18.0600;18.0600;2003-02-27;2530950
VTRS;18.3063;19.0333;19.1067;18.5333;18.6533;2003-02-28;2933700
VTRS;18.0690;18.7867;19.1667;18.6733;18.9333;2003-03-03;2374350
VTRS;17.9665;18.6800;18.8667;18.5867;18.7467;2003-03-04;2466750
VTRS;17.9216;18.6333;18.9200;18.5733;18.7333;2003-03-05;2471850
VTRS;17.9472;18.6600;18.6667;18.3000;18.4333;2003-03-06;2269200
VTRS;17.8895;18.6000;18.7400;18.3400;18.3467;2003-03-07;1959000
VTRS;17.5689;18.2667;18.6533;18.2267;18.6333;2003-03-10;1716450
VTRS;17.1650;17.8467;18.3600;17.8200;18.3267;2003-03-11;2692950
VTRS;17.1842;17.8667;18.0067;17.7867;17.8467;2003-03-12;2104050
VTRS;17.6651;18.3667;18.3667;17.8867;17.9933;2003-03-13;3217650
VTRS;17.7292;18.4333;18.5667;18.1533;18.3667;2003-03-14;1857600
VTRS;18.2999;19.0267;19.1133;18.2867;18.3000;2003-03-17;2124450
VTRS;18.4986;19.2333;19.3467;19.0133;19.0933;2003-03-18;1964100
VTRS;18.4986;19.2333;19.5333;19.1467;19.2333;2003-03-19;3152400
VTRS;18.5307;19.2667;19.3333;19.0067;19.1867;2003-03-20;1483050
VTRS;18.5051;19.2400;19.4000;19.1200;19.3333;2003-03-21;2072700
VTRS;17.8126;18.5200;19.0067;18.5000;19.0000;2003-03-24;1640100
VTRS;18.6141;19.3533;19.5000;18.5533;18.5533;2003-03-25;1824300
VTRS;18.5435;19.2800;19.7400;19.2067;19.2333;2003-03-26;2808300
VTRS;18.4877;19.2000;19.3467;18.9600;19.1467;2003-03-27;2424450
VTRS;18.6417;19.3600;19.5667;18.9800;19.2000;2003-03-28;2297100
VTRS;18.4556;19.1667;19.5800;18.9667;19.1933;2003-03-31;1505550
VTRS;18.9370;19.6667;19.6867;19.1133;19.2133;2003-04-01;1745700
VTRS;19.1296;19.8667;20.1333;19.7200;19.8667;2003-04-02;1815750
VTRS;19.1425;19.8800;20.0333;19.7333;19.9333;2003-04-03;1361250
VTRS;19.1681;19.9067;20.1667;19.8400;19.9467;2003-04-04;1491600
VTRS;18.6161;19.3333;20.3133;19.2867;20.1667;2003-04-07;2070900
VTRS;18.6803;19.4000;19.5000;19.2867;19.3800;2003-04-08;1379850
VTRS;18.2887;18.9933;19.5000;18.8000;19.3667;2003-04-09;1523700
VTRS;18.2823;18.9867;19.1267;18.8000;19.0933;2003-04-10;1406700
VTRS;17.2488;17.9133;18.9800;17.4933;18.6667;2003-04-11;5886150
VTRS;17.3322;18.0000;18.1200;17.8067;17.9800;2003-04-14;2871300
VTRS;17.5119;18.1867;18.1867;17.9933;18.0667;2003-04-15;1897500
VTRS;16.8829;17.5333;18.3267;17.0667;18.2667;2003-04-16;4453050
VTRS;16.8315;17.4800;17.5333;17.2600;17.4000;2003-04-17;3904350
VTRS;16.8058;17.4533;17.6400;17.2800;17.4067;2003-04-21;1075050
VTRS;16.9599;17.6133;17.7267;17.2333;17.2667;2003-04-22;1987200
VTRS;17.0305;17.6867;17.8933;17.5733;17.8000;2003-04-23;2125200
VTRS;17.0754;17.7333;17.8333;17.6333;17.6667;2003-04-24;3185550
VTRS;17.2423;17.9067;18.0067;17.6933;17.7867;2003-04-25;2733450
VTRS;17.9420;18.6333;18.7800;17.8600;18.0667;2003-04-28;3522000
VTRS;17.8586;18.5467;18.8667;18.4333;18.6667;2003-04-29;2265600
VTRS;18.1475;18.8467;19.0667;18.4600;18.5467;2003-04-30;2097900
VTRS;18.2694;18.9733;19.2733;18.8067;19.0667;2003-05-01;1555050
VTRS;18.5904;19.3067;19.4667;19.0000;19.0000;2003-05-02;1693200
VTRS;18.4684;19.1800;19.7267;19.0667;19.3667;2003-05-05;2075550
VTRS;18.7701;19.4933;19.6933;19.2467;19.3333;2003-05-06;1843950
VTRS;18.7894;19.5133;19.6933;19.2733;19.3333;2003-05-07;2185500
VTRS;17.6275;18.3067;19.9133;18.0000;19.8333;2003-05-08;6711300
VTRS;17.7045;18.3867;18.8333;18.1467;18.5000;2003-05-09;3647850
VTRS;17.8457;18.5333;18.6933;18.3267;18.3867;2003-05-12;2411550
VTRS;17.9870;18.6800;18.8467;18.4467;18.5333;2003-05-13;1923450
VTRS;18.1667;18.8667;18.9733;18.7000;18.7467;2003-05-14;1695300
VTRS;18.2437;18.9467;19.0867;18.7733;18.8667;2003-05-15;1596600
VTRS;17.9741;18.6667;19.0200;18.6667;18.9533;2003-05-16;1266450
VTRS;18.0512;18.7467;19.1000;18.6133;18.8800;2003-05-19;1768800
VTRS;18.0062;18.7000;18.8400;18.5000;18.7667;2003-05-20;2126250
VTRS;18.2887;18.9933;19.1867;18.6933;18.7067;2003-05-21;1247700
VTRS;18.6803;19.4000;19.5600;19.0733;19.1467;2003-05-22;2265600
VTRS;18.5904;19.3067;19.4667;19.0133;19.4000;2003-05-23;2121750
VTRS;19.0012;19.7333;19.7333;19.1733;19.2000;2003-05-27;1014900
VTRS;18.6803;19.4000;19.6333;19.3333;19.6000;2003-05-28;2185950
VTRS;18.3465;19.0533;19.5333;19.0000;19.5000;2003-05-29;3121350
VTRS;18.5390;19.2533;19.5000;18.7467;19.0667;2003-05-30;2555850
VTRS;18.8407;19.5667;20.0467;19.5600;20.0067;2003-06-02;2552700
VTRS;18.4235;19.1333;19.5333;18.9067;19.4000;2003-06-03;1366050
VTRS;18.7059;19.4267;19.4667;19.2267;19.3000;2003-06-04;1442250
VTRS;19.8807;20.6467;20.8733;19.1933;19.4200;2003-06-05;3991350
VTRS;19.6367;20.3933;21.4667;20.3733;21.4667;2003-06-06;2097750
VTRS;19.1810;19.9200;20.6200;19.8867;20.4000;2003-06-09;1401300
VTRS;19.3543;20.1000;20.1333;19.9400;19.9400;2003-06-10;1133250
VTRS;20.4135;21.2000;21.2000;20.1400;20.2667;2003-06-11;2610300
