Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
WAB;5.7435;6.0600;6.1800;6.0350;6.1250;2003-02-04;471600
WAB;5.6629;5.9750;6.1650;5.9750;6.1100;2003-02-05;232800
WAB;5.6724;5.9850;6.0600;5.9250;6.0000;2003-02-06;273800
WAB;5.5350;5.8400;6.0400;5.8350;5.9500;2003-02-07;143800
WAB;5.5208;5.8250;5.9250;5.8150;5.8650;2003-02-10;84200
WAB;5.6629;5.9750;5.9800;5.7750;5.8500;2003-02-11;142000
WAB;5.4023;5.7000;5.9300;5.7000;5.9250;2003-02-12;148600
WAB;5.2601;5.5500;5.7050;5.4700;5.7000;2003-02-13;219800
WAB;5.2743;5.5650;5.6100;5.5000;5.6000;2003-02-14;263000
WAB;5.4023;5.7000;5.7000;5.5500;5.5800;2003-02-18;217600
WAB;5.3976;5.6950;5.9000;5.5500;5.6500;2003-02-19;338200
WAB;5.2270;5.5150;5.6750;5.5000;5.6750;2003-02-20;271200
WAB;5.1606;5.4450;5.5500;5.4000;5.5150;2003-02-21;192800
WAB;5.0184;5.2950;5.4800;5.2900;5.4500;2003-02-24;101600
WAB;5.1748;5.4600;5.4750;5.2150;5.2500;2003-02-25;94600
WAB;5.1796;5.4600;5.5250;5.3500;5.4250;2003-02-26;1167600
WAB;5.1938;5.4750;5.6200;5.4200;5.5000;2003-02-27;122000
WAB;5.2175;5.5000;5.5500;5.4150;5.5250;2003-02-28;143200
WAB;5.1227;5.4000;5.5000;5.3800;5.4900;2003-03-03;1042000
WAB;5.2033;5.4850;5.5500;5.3500;5.4500;2003-03-04;162600
WAB;5.1938;5.4750;5.5650;5.3450;5.4850;2003-03-05;114800
WAB;5.1416;5.4200;5.5000;5.3700;5.4250;2003-03-06;99800
WAB;5.1606;5.4400;5.5250;5.3950;5.4700;2003-03-07;92400
WAB;4.9661;5.2350;5.4900;5.2350;5.4900;2003-03-10;146400
WAB;5.0041;5.2750;5.3350;5.1550;5.2350;2003-03-11;102600
WAB;4.9851;5.2550;5.3050;5.1600;5.2500;2003-03-12;65000
WAB;5.0183;5.2900;5.3200;5.2000;5.3050;2003-03-13;319400
WAB;4.9329;5.2000;5.3000;5.0800;5.3000;2003-03-14;178000
WAB;5.1132;5.3900;5.3900;5.1900;5.1950;2003-03-17;150000
WAB;5.0752;5.3500;5.3550;5.2000;5.3400;2003-03-18;125600
WAB;5.2697;5.5550;5.5750;5.3650;5.4000;2003-03-19;167600
WAB;5.4025;5.6950;5.7000;5.4150;5.5050;2003-03-20;170400
WAB;5.4499;5.7450;5.7450;5.3750;5.6450;2003-03-21;239800
WAB;5.4784;5.7750;5.7900;5.5600;5.7000;2003-03-24;322200
WAB;5.4499;5.7450;5.8950;5.6950;5.8250;2003-03-25;440600
WAB;5.4879;5.7850;5.8400;5.7100;5.7150;2003-03-26;620000
WAB;5.4547;5.7500;5.8150;5.7000;5.7600;2003-03-27;213800
WAB;5.4926;5.7900;5.8500;5.7200;5.7800;2003-03-28;269800
WAB;5.5068;5.8050;5.8750;5.7000;5.7650;2003-03-31;221400
WAB;5.5211;5.8200;5.8450;5.7050;5.8000;2003-04-01;169800
WAB;5.4974;5.7950;5.8700;5.7850;5.8200;2003-04-02;257800
WAB;5.6586;5.9650;6.0250;5.7450;5.8100;2003-04-03;160800
WAB;5.6871;5.9950;6.1050;5.8000;5.9650;2003-04-04;103600
WAB;5.8199;6.1350;6.1900;6.0450;6.0450;2003-04-07;98600
WAB;5.7203;6.0300;6.1000;5.9750;6.0850;2003-04-08;164800
WAB;5.5875;5.8900;6.0500;5.8500;6.0250;2003-04-09;116200
WAB;5.6112;5.9150;5.9200;5.8600;5.8900;2003-04-10;51200
WAB;5.4974;5.7950;5.9600;5.7700;5.9200;2003-04-11;90400
WAB;5.4499;5.7450;5.8200;5.6950;5.7950;2003-04-14;220200
WAB;5.4072;5.7000;5.7100;5.5750;5.6950;2003-04-15;279000
WAB;5.3456;5.6350;5.8050;5.6250;5.7500;2003-04-16;164000
WAB;5.8104;6.1250;6.1250;5.7450;5.7500;2003-04-17;555800
WAB;5.6918;6.0000;6.1750;5.9700;6.1250;2003-04-21;559200
WAB;5.6918;6.0000;6.0600;5.9650;5.9750;2003-04-22;688600
WAB;5.7345;6.0450;6.1150;5.9750;5.9750;2003-04-23;356800
WAB;5.7582;6.0700;6.1200;5.9950;6.0450;2003-04-24;108400
WAB;5.7013;6.0100;6.0600;6.0000;6.0600;2003-04-25;66800
WAB;5.8721;6.1900;6.2100;6.0050;6.0050;2003-04-28;141000
WAB;5.8484;6.1650;6.2400;6.1450;6.2400;2003-04-29;96600
WAB;5.8152;6.1300;6.2450;6.0900;6.1900;2003-04-30;142400
WAB;5.8104;6.1250;6.1800;6.0950;6.1800;2003-05-01;180400
