Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
WDC;6.3260;7.88;7.89;7.54;7.72;2003-02-04;2284900
WDC;6.2859;7.83;8.00;7.76;7.92;2003-02-05;1860400
WDC;6.2217;7.75;8.18;7.75;7.85;2003-02-06;2544800
WDC;5.9487;7.41;7.89;7.40;7.83;2003-02-07;3066600
WDC;5.9407;7.40;7.42;6.87;7.35;2003-02-10;3721700
WDC;6.0611;7.55;7.73;7.39;7.50;2003-02-11;1613700
WDC;5.8203;7.25;7.67;7.25;7.56;2003-02-12;1637600
WDC;5.6356;7.02;7.15;6.96;7.15;2003-02-13;3407000
WDC;5.6999;7.10;7.16;6.95;7.05;2003-02-14;3195800
WDC;5.9808;7.45;7.58;7.22;7.28;2003-02-18;2085800
WDC;5.8604;7.30;7.47;7.30;7.46;2003-02-19;3718400
WDC;5.8765;7.32;7.40;7.22;7.38;2003-02-20;3548000
WDC;6.0290;7.51;7.55;7.25;7.38;2003-02-21;3108100
WDC;6.1655;7.68;7.75;7.35;7.40;2003-02-24;3500900
WDC;6.3020;7.85;7.87;7.41;7.41;2003-02-25;3521800
WDC;6.3822;7.95;8.05;7.68;7.75;2003-02-26;4828000
WDC;6.4304;8.01;8.10;7.86;8.10;2003-02-27;2798500
WDC;6.5267;8.13;8.15;7.98;8.09;2003-02-28;2078900
WDC;6.3020;7.85;8.20;7.79;8.13;2003-03-03;3390500
WDC;6.1414;7.65;7.85;7.57;7.85;2003-03-04;2253100
WDC;6.2137;7.74;7.88;7.60;7.82;2003-03-05;2412900
WDC;6.3742;7.94;7.98;7.60;7.71;2003-03-06;2273700
WDC;6.2538;7.79;7.95;7.68;7.75;2003-03-07;2355700
WDC;6.2458;7.78;7.90;7.65;7.65;2003-03-10;1115600
WDC;6.2137;7.74;7.80;7.61;7.78;2003-03-11;1416300
WDC;5.7480;7.16;7.74;7.00;7.68;2003-03-12;4481400
WDC;5.9648;7.43;7.45;6.97;7.12;2003-03-13;6466800
WDC;5.7320;7.14;7.47;7.10;7.43;2003-03-14;3175100
WDC;6.1093;7.61;7.64;7.03;7.11;2003-03-17;3589500
WDC;6.3903;7.96;8.01;7.64;7.74;2003-03-18;3862500
WDC;6.2217;7.75;7.99;7.71;7.99;2003-03-19;3324100
WDC;6.2297;7.76;7.88;7.55;7.75;2003-03-20;2939400
WDC;6.5428;8.15;8.18;7.80;7.90;2003-03-21;3876700
WDC;6.3983;7.97;8.05;7.83;7.90;2003-03-24;3721000
WDC;6.6632;8.30;8.50;7.96;7.96;2003-03-25;5433100
WDC;6.8800;8.57;8.62;8.08;8.25;2003-03-26;5215500
WDC;7.4179;9.24;9.31;8.39;8.51;2003-03-27;10184800
WDC;7.3697;9.18;9.58;9.12;9.20;2003-03-28;10645500
WDC;7.2734;9.06;9.27;8.80;9.00;2003-03-31;4619500
WDC;7.5704;9.43;9.54;8.95;9.14;2003-04-01;5783900
WDC;7.9718;9.93;9.97;9.65;9.70;2003-04-02;7944600
WDC;7.9959;9.96;10.16;9.76;10.00;2003-04-03;8455100
WDC;7.4981;9.34;10.27;9.12;10.27;2003-04-04;8711700
WDC;7.2332;9.01;9.43;8.90;9.35;2003-04-07;8276600
WDC;6.8880;8.58;9.14;8.51;9.14;2003-04-08;4922400
WDC;6.9041;8.60;8.89;8.51;8.71;2003-04-09;4532700
WDC;7.0084;8.73;8.98;8.36;8.50;2003-04-10;3670100
WDC;7.1449;8.90;8.99;8.75;8.95;2003-04-11;2210700
WDC;7.3456;9.15;9.26;8.87;8.94;2003-04-14;5072500
WDC;7.4419;9.27;9.37;9.08;9.18;2003-04-15;3276100
WDC;7.4981;9.34;9.52;9.08;9.50;2003-04-16;5046700
WDC;7.6266;9.50;9.50;9.21;9.40;2003-04-17;2179000
WDC;7.7550;9.66;9.70;9.41;9.50;2003-04-21;2212000
WDC;7.8273;9.75;9.75;9.49;9.60;2003-04-22;2145600
WDC;7.5784;9.44;9.75;9.17;9.75;2003-04-23;7560700
