Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
WMB;1.3901;2.6494;2.7309;2.4048;2.4538;2003-02-04;6033734
WMB;1.3259;2.5271;2.6902;2.4701;2.6657;2003-02-05;5010918
WMB;1.2832;2.4456;2.5923;2.3641;2.5353;2003-02-06;6637267
WMB;1.2489;2.3804;2.4456;2.3315;2.4456;2003-02-07;6544529
WMB;1.2404;2.3641;2.3804;2.2418;2.3396;2003-02-10;4693940
WMB;1.2960;2.4701;2.5108;2.3233;2.4130;2003-02-11;4351079
WMB;1.1976;2.2826;2.5108;2.2500;2.3396;2003-02-12;3962831
WMB;1.1121;2.1195;2.2581;2.0788;2.2336;2003-02-13;4774779
WMB;1.1121;2.1195;2.2255;2.0462;2.2255;2003-02-14;4050049
WMB;1.2746;2.4293;2.4293;2.1766;2.2418;2003-02-18;3989573
WMB;1.2404;2.3641;2.5842;2.3396;2.4293;2003-02-19;4884323
WMB;1.5697;2.9918;3.0570;2.5434;2.7309;2003-02-20;21570167
WMB;1.5312;2.9184;3.1793;2.8777;3.0570;2003-02-21;9149657
WMB;1.5141;2.8858;2.9266;2.7717;2.7717;2003-02-24;6263248
WMB;1.6168;3.0815;3.1548;2.9021;2.9021;2003-02-25;8840162
WMB;1.5911;3.0325;3.1385;2.9836;3.0978;2003-02-26;3642910
WMB;1.6467;3.1385;3.1956;3.0325;3.0733;2003-02-27;4856968
WMB;1.6296;3.1059;3.2282;3.0815;3.1793;2003-02-28;4818572
WMB;1.6553;3.1548;3.1956;3.0978;3.1385;2003-03-03;4058513
WMB;1.6168;3.0815;3.1630;2.9755;3.1222;2003-03-04;4169774
WMB;1.6681;3.1793;3.2282;3.0081;3.0815;2003-03-05;4529318
WMB;1.8135;3.4564;3.4646;3.1141;3.1793;2003-03-06;10134814
WMB;1.8264;3.4809;3.4891;3.3016;3.4238;2003-03-07;5954367
WMB;1.7109;3.2608;3.5787;3.2200;3.4809;2003-03-10;6840407
WMB;1.5826;3.0162;3.3342;2.9592;3.2853;2003-03-11;6319921
WMB;1.5783;2.9999;3.1467;2.9266;2.9918;2003-03-12;4919529
