Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
WMT;32.7116;47.15;49.21;47.00;48.08;2003-02-04;8018400
WMT;32.4272;46.74;47.77;46.65;47.60;2003-02-05;7409600
WMT;32.4619;46.79;48.50;46.44;48.50;2003-02-06;8363600
WMT;32.4619;46.79;47.60;46.75;47.50;2003-02-07;8193100
WMT;32.6214;47.02;47.10;46.25;46.80;2003-02-10;7758300
WMT;32.7810;47.25;47.62;47.02;47.15;2003-02-11;7643300
WMT;33.1973;47.85;48.11;47.34;47.42;2003-02-12;7739000
WMT;33.0516;47.64;47.95;47.16;47.65;2003-02-13;8022300
WMT;34.0992;49.15;49.16;47.32;47.64;2003-02-14;8735900
WMT;34.0506;49.08;49.79;48.77;49.65;2003-02-18;9132900
WMT;33.8356;48.77;49.32;48.31;49.07;2003-02-19;5523200
WMT;33.3569;48.08;48.88;47.97;48.77;2003-02-20;6124100
WMT;33.9258;48.90;49.13;47.90;48.45;2003-02-21;7836800
WMT;33.0516;47.64;48.94;47.64;48.70;2003-02-24;6894800
WMT;33.5997;48.43;48.51;46.76;47.28;2003-02-25;10072500
WMT;33.1834;47.83;48.56;47.80;48.43;2003-02-26;6941600
WMT;33.4124;48.16;48.50;47.65;48.05;2003-02-27;7377800
WMT;33.3430;48.06;48.75;47.72;48.30;2003-02-28;7850500
WMT;33.1557;47.79;48.68;47.77;48.60;2003-03-03;6663400
WMT;32.5382;46.90;48.00;46.90;48.00;2003-03-04;6468100
WMT;33.2181;47.88;47.88;46.80;46.91;2003-03-05;7945100
WMT;32.8851;47.40;48.52;47.10;47.45;2003-03-06;9160400
WMT;33.3846;48.12;48.20;46.60;46.90;2003-03-07;9182800
WMT;32.6978;47.13;48.24;47.05;47.79;2003-03-10;6350800
WMT;32.4688;46.80;47.91;46.80;47.40;2003-03-11;6988800
WMT;32.9545;47.50;47.50;46.50;46.81;2003-03-12;8465800
WMT;34.3767;49.55;49.57;48.21;48.50;2003-03-13;10811900
WMT;34.2449;49.36;50.21;49.04;49.50;2003-03-14;8820000
WMT;36.0557;51.97;51.98;49.36;49.50;2003-03-17;12380400
WMT;36.2499;52.25;52.42;51.49;51.71;2003-03-18;10765100
WMT;36.8684;53.05;53.09;52.03;52.56;2003-03-19;8942800
WMT;36.9102;53.11;53.34;52.20;52.72;2003-03-20;7912700
WMT;37.9943;54.67;54.86;52.90;53.32;2003-03-21;12771200
WMT;36.5001;52.52;54.36;52.52;54.36;2003-03-24;8444700
WMT;37.1603;53.47;53.75;52.57;52.62;2003-03-25;7462100
WMT;37.0630;53.33;53.97;53.17;53.31;2003-03-26;6638100
WMT;37.2090;53.54;53.90;52.87;53.00;2003-03-27;6972600
WMT;36.9241;53.13;53.52;52.68;53.03;2003-03-28;6132000
WMT;36.1596;52.03;52.96;51.67;51.67;2003-03-31;8518000
WMT;36.4306;52.42;52.60;51.52;52.10;2003-04-01;8706200
WMT;37.5773;54.07;54.37;52.80;53.03;2003-04-02;8333000
WMT;37.5634;54.05;54.57;53.80;53.80;2003-04-03;7014500
WMT;37.9456;54.60;54.71;53.80;53.80;2003-04-04;6139400
WMT;37.7511;54.32;55.71;54.28;55.71;2003-04-07;8551000
WMT;37.9179;54.56;54.85;54.19;54.40;2003-04-08;6622900
WMT;37.3202;53.70;55.06;53.51;54.55;2003-04-09;7519100
WMT;37.9318;54.58;54.58;53.23;53.54;2003-04-10;8751900
WMT;36.8198;52.98;54.45;52.97;54.10;2003-04-11;10802600
WMT;36.5905;52.65;54.20;52.61;52.98;2003-04-14;7625500
WMT;38.4252;55.29;55.48;54.07;54.30;2003-04-15;8849200
WMT;37.9040;54.54;55.49;54.48;55.29;2003-04-16;7462100
WMT;38.5086;55.41;55.50;54.37;54.54;2003-04-17;7225800
WMT;38.2097;54.98;55.45;54.77;55.42;2003-04-21;6671600
WMT;38.9117;55.99;56.00;54.40;54.48;2003-04-22;8804800
WMT;38.9047;55.98;55.98;55.40;55.40;2003-04-23;6521300
WMT;38.3001;55.11;55.98;54.78;55.98;2003-04-24;6492900
WMT;38.2237;55.00;55.48;54.26;55.11;2003-04-25;7411300
WMT;38.9812;56.09;56.41;54.50;55.00;2003-04-28;9186800
WMT;39.3217;56.58;57.02;56.04;56.09;2003-04-29;8434500
WMT;39.1410;56.32;57.51;55.89;57.51;2003-04-30;12546800
WMT;38.8769;55.94;56.32;55.13;56.32;2003-05-01;8090500
WMT;39.0229;56.15;56.41;55.14;55.15;2003-05-02;7184600
WMT;38.6267;55.58;56.15;55.50;56.15;2003-05-05;7315700
WMT;38.8561;55.91;56.24;55.55;55.58;2003-05-06;7562200
WMT;38.2793;55.08;55.96;54.98;55.91;2003-05-07;8209100
WMT;38.2306;55.01;55.45;54.63;54.63;2003-05-08;9161400
WMT;38.7796;55.80;55.81;54.45;55.45;2003-05-09;6498600
WMT;39.4051;56.70;56.95;55.43;55.71;2003-05-12;7552500
