Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
WRB;5.8651;7.6207;7.6207;7.3442;7.3679;2003-02-04;2271544
WRB;5.8377;7.5852;7.6919;7.5457;7.6365;2003-02-05;1728338
WRB;5.6629;7.3580;7.5773;7.3086;7.5753;2003-02-06;2369756
WRB;5.6735;7.3719;7.4193;7.3422;7.3778;2003-02-07;1423575
WRB;5.7571;7.4805;7.4884;7.2612;7.3877;2003-02-10;862144
WRB;5.8529;7.6049;7.7314;7.5121;7.6444;2003-02-11;3461738
WRB;5.8894;7.6523;7.6543;7.5378;7.6148;2003-02-12;2183963
WRB;5.9244;7.6978;7.7827;7.6148;7.6444;2003-02-13;2259900
WRB;6.1585;8.0020;8.0099;7.7235;7.7235;2003-02-14;2172319
WRB;6.1600;8.0040;8.1778;7.9565;8.0000;2003-02-18;3779663
WRB;6.1646;8.0099;8.0533;7.8736;8.0198;2003-02-19;2195100
WRB;6.1904;8.0435;8.1146;7.9486;7.9802;2003-02-20;2713500
WRB;6.2588;8.1323;8.1442;8.0099;8.0435;2003-02-21;1496475
WRB;6.2117;8.0711;8.1778;8.0553;8.1719;2003-02-24;1367888
WRB;6.1478;7.9881;8.0988;7.9684;8.0593;2003-02-25;1273725
WRB;6.0627;7.8775;8.0000;7.8736;7.9802;2003-02-26;1759219
WRB;6.1722;8.0198;8.0474;7.8321;7.8973;2003-02-27;1696950
WRB;6.1722;8.0198;8.0731;7.9960;8.0395;2003-02-28;1499513
WRB;6.1950;8.0494;8.1067;8.0138;8.0988;2003-03-03;1483819
WRB;6.1570;8.0000;8.0770;8.0000;8.0514;2003-03-04;983138
WRB;6.1813;8.0316;8.0336;7.9802;8.0000;2003-03-05;1151719
WRB;6.1843;8.0356;8.0573;8.0020;8.0395;2003-03-06;927450
WRB;6.1950;8.0494;8.0988;8.0079;8.0198;2003-03-07;657619
WRB;5.9897;7.7827;8.0415;7.6069;8.0395;2003-03-10;6587831
WRB;5.8864;7.6484;7.8617;7.5951;7.8025;2003-03-11;2889675
WRB;5.8240;7.5674;7.6998;7.5378;7.6286;2003-03-12;1117800
WRB;5.9852;7.7768;7.7965;7.5674;7.5674;2003-03-13;1489894
WRB;6.1022;7.9289;7.9704;7.7669;7.7827;2003-03-14;1437244
WRB;6.1843;8.0356;8.1086;7.9289;7.9585;2003-03-17;1695431
WRB;6.1174;7.9486;8.0593;7.9269;8.0435;2003-03-18;1278788
WRB;6.2619;8.1363;8.1402;7.9486;7.9486;2003-03-19;2090306
WRB;6.3652;8.2706;8.2864;8.0909;8.1481;2003-03-20;1296000
WRB;6.5710;8.5175;8.5333;8.2568;8.3002;2003-03-21;2694769
WRB;6.4826;8.4030;8.4425;8.3457;8.4385;2003-03-24;2839556
WRB;6.4384;8.3457;8.4010;8.2923;8.3832;2003-03-25;1853888
WRB;6.4094;8.3081;8.3496;8.2489;8.3496;2003-03-26;1434713
WRB;6.5070;8.4346;8.4425;8.2667;8.3081;2003-03-27;1648350
