Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
YUM;6.1678;8.3285;8.5011;8.2674;8.4004;2003-02-04;2753067
YUM;5.9761;8.0697;8.4112;8.0158;8.4112;2003-02-05;4294573
YUM;5.9308;8.0086;8.1524;7.9655;8.0877;2003-02-06;3029598
YUM;5.8723;7.9295;8.1416;7.8433;8.0338;2003-02-07;3465537
YUM;5.9708;8.0625;8.0841;7.7426;7.8936;2003-02-10;2939739
YUM;6.3355;8.5550;8.7886;8.3573;8.4112;2003-02-11;6806998
YUM;6.1518;8.3070;8.6089;8.2854;8.5658;2003-02-12;3675578
YUM;6.0506;8.1704;8.3357;8.0158;8.3357;2003-02-13;3732888
YUM;6.2769;8.4759;8.5334;8.1776;8.2135;2003-02-14;3862807
YUM;6.1811;8.3465;8.5191;8.2674;8.5191;2003-02-18;3511719
YUM;6.1411;8.2926;8.3537;8.2171;8.3214;2003-02-19;2588095
YUM;6.1411;8.2926;8.4436;8.2854;8.2998;2003-02-20;2734706
YUM;6.2875;8.4903;8.5406;8.2926;8.3501;2003-02-21;3011237
YUM;6.1331;8.2818;8.4508;8.2710;8.4472;2003-02-24;2665434
YUM;6.1039;8.2423;8.2962;8.0949;8.1919;2003-02-25;4241159
YUM;6.0187;8.1272;8.2926;8.1021;8.2315;2003-02-26;4152413
YUM;6.2556;8.4472;8.4939;8.1812;8.2495;2003-02-27;4029449
YUM;6.3381;8.5586;8.6772;8.4292;8.4472;2003-02-28;4336025
YUM;6.2103;8.3861;8.6916;8.3861;8.5730;2003-03-03;3202082
YUM;6.1624;8.3214;8.4831;8.2459;8.4184;2003-03-04;4072013
YUM;6.1331;8.2818;8.3429;8.1955;8.2495;2003-03-05;3177879
YUM;6.0213;8.1308;8.3106;8.1165;8.2818;2003-03-06;3378739
YUM;6.1225;8.2674;8.2710;8.0446;8.0913;2003-03-07;4440628
YUM;5.9441;8.0266;8.1812;7.9439;8.1596;2003-03-10;5495841
YUM;5.9708;8.0625;8.1740;8.0266;8.0805;2003-03-11;4726896
YUM;5.9149;7.9871;8.0590;7.8792;8.0518;2003-03-12;5982691
YUM;6.2689;8.4651;8.4651;8.0518;8.0697;2003-03-13;5262709
YUM;6.3168;8.5298;8.5730;8.3573;8.4831;2003-03-14;3737895
YUM;6.5883;8.8965;8.8965;8.3645;8.4400;2003-03-17;4604210
YUM;6.5750;8.8785;8.9576;8.7383;8.9144;2003-03-18;2914701
YUM;6.6070;8.9216;8.9468;8.7707;8.8426;2003-03-19;2694367
YUM;6.6389;8.9648;8.9827;8.6808;8.9073;2003-03-20;3518395
YUM;6.8545;9.2559;9.2703;8.9216;9.0043;2003-03-21;4434508
YUM;6.5005;8.7779;9.2559;8.7203;9.2559;2003-03-24;3010124
YUM;6.5298;8.8174;8.9504;8.5478;8.7347;2003-03-25;4282611
YUM;6.5085;8.7886;8.8246;8.7203;8.7958;2003-03-26;2924160
YUM;6.5378;8.8282;8.9109;8.6449;8.6628;2003-03-27;3779625
YUM;6.5537;8.8497;8.9324;8.7347;8.7886;2003-03-28;3095810
YUM;6.4765;8.7455;8.8102;8.6449;8.7527;2003-03-31;3962124
YUM;6.3754;8.6089;8.7455;8.5298;8.7455;2003-04-01;2987312
YUM;6.5458;8.8390;8.9109;8.7168;8.7168;2003-04-02;4873786
YUM;6.4286;8.6808;8.8569;8.6808;8.8569;2003-04-03;3239639
YUM;6.4233;8.6736;8.7275;8.5981;8.7168;2003-04-04;2546643
YUM;6.4739;8.7419;8.9001;8.6916;8.7886;2003-04-07;4698520
YUM;6.5458;8.8390;8.9073;8.6628;8.7347;2003-04-08;4794221
YUM;6.4579;8.7203;8.9288;8.7203;8.9144;2003-04-09;4771408
YUM;6.5830;8.8893;8.9109;8.6736;8.6880;2003-04-10;3113893
YUM;6.6043;8.9180;9.0762;8.8246;8.9684;2003-04-11;2544139
YUM;6.5484;8.8426;8.9180;8.7347;8.8965;2003-04-14;4487644
YUM;6.6709;9.0079;9.0223;8.7527;8.8246;2003-04-15;2902461
YUM;6.4765;8.7455;9.0115;8.6952;9.0115;2003-04-16;4799506
YUM;6.6017;8.9144;8.9684;8.7383;8.8318;2003-04-17;2958657
YUM;6.5511;8.8462;8.8893;8.7707;8.8533;2003-04-21;2719127
YUM;6.4153;8.6628;8.8426;8.6089;8.8426;2003-04-22;6346855
YUM;6.2290;8.4112;8.6413;8.2459;8.6089;2003-04-23;11176407
YUM;6.6283;8.9504;9.0618;8.6736;8.7347;2003-04-24;11020337
YUM;6.5245;8.8102;9.0223;8.7347;8.9073;2003-04-25;3197353
YUM;6.6549;8.9863;9.0906;8.8533;8.8893;2003-04-28;5103301
YUM;6.5937;8.9037;9.0043;8.8138;8.9756;2003-04-29;5022901
YUM;6.5750;8.8785;8.8893;8.7275;8.7707;2003-04-30;8211908
YUM;6.5138;8.7958;8.8354;8.6485;8.8246;2003-05-01;2482379
YUM;6.6522;8.9827;9.0079;8.7096;8.7275;2003-05-02;4196091
YUM;6.6363;8.9612;9.0834;8.9288;8.9827;2003-05-05;4540502
YUM;6.8599;9.2631;9.3494;8.9827;9.0151;2003-05-06;5126113
YUM;6.8279;9.2200;9.3206;9.1661;9.2631;2003-05-07;4003298
YUM;6.6868;9.0295;9.2128;8.9863;9.2128;2003-05-08;3186503
YUM;6.7294;9.0870;9.1050;8.9612;9.0726;2003-05-09;2705495
YUM;6.9024;9.3206;9.3458;9.0043;9.0079;2003-05-12;4213061
YUM;6.8838;9.2955;9.3458;9.2092;9.3098;2003-05-13;2619253
YUM;6.9211;9.3458;9.5219;9.2847;9.3242;2003-05-14;3953500
YUM;7.0222;9.4824;9.5075;9.3314;9.3961;2003-05-15;4121255
YUM;6.9930;9.4428;9.5219;9.3817;9.5075;2003-05-16;1936272
YUM;7.0329;9.4968;9.4968;9.3494;9.4464;2003-05-19;4589744
YUM;7.0009;9.4536;9.7592;9.3458;9.4968;2003-05-20;8094229
YUM;7.0702;9.5471;9.8814;9.4177;9.7196;2003-05-21;7701689
YUM;7.0009;9.4536;9.6370;9.4177;9.4824;2003-05-22;5249912
YUM;7.0542;9.5255;9.5615;9.4249;9.5183;2003-05-23;2693811
YUM;7.1420;9.6441;9.7088;9.5255;9.5255;2003-05-27;4773077
YUM;7.1287;9.6262;9.7628;9.5866;9.6405;2003-05-28;3407115
YUM;7.2938;9.8490;9.9569;9.6585;9.6693;2003-05-29;6908819
YUM;7.4428;10.0503;10.0647;9.8239;9.8347;2003-05-30;3522012
YUM;7.4135;10.0108;10.1797;9.9856;10.1006;2003-06-02;3661947
YUM;7.3576;9.9353;10.0431;9.8382;9.9856;2003-06-03;3099983
YUM;7.4694;10.0863;10.1761;9.8922;9.9569;2003-06-04;2852106
YUM;7.5600;10.2085;10.2408;9.8311;9.8311;2003-06-05;3544268
YUM;7.5786;10.2336;10.5104;10.1689;10.2085;2003-06-06;5266326
YUM;7.5520;10.1977;10.3882;10.1186;10.2444;2003-06-09;3674744
YUM;7.5706;10.2229;10.2372;10.0683;10.2229;2003-06-10;2001927
YUM;7.5972;10.2588;10.2624;10.0180;10.1438;2003-06-11;1983566
YUM;7.5280;10.1653;10.3630;10.0395;10.3163;2003-06-12;2065913
YUM;7.5413;10.1833;10.3055;10.0863;10.2408;2003-06-13;1806074
YUM;7.5999;10.2624;10.2624;10.0395;10.1294;2003-06-16;3737617
YUM;7.6531;10.3343;10.4098;10.2121;10.2732;2003-06-17;2311842
YUM;7.6691;10.3559;10.5140;10.1725;10.3451;2003-06-18;5584865
YUM;7.7915;10.5212;10.7477;10.4170;10.4242;2003-06-19;6396374
YUM;7.8395;10.5859;10.6290;10.4960;10.5679;2003-06-20;3826085
YUM;7.7383;10.4493;10.5500;10.3523;10.5320;2003-06-23;2605065
YUM;7.7889;10.5176;10.6075;10.4206;10.4421;2003-06-24;2922769
YUM;7.6664;10.3523;10.6003;10.2804;10.4781;2003-06-25;2613133
YUM;7.6904;10.3846;10.3990;10.2013;10.2732;2003-06-26;4359394
YUM;7.7889;10.5176;10.5284;10.3163;10.3451;2003-06-27;3689210
YUM;7.8687;10.6254;10.6866;10.5176;10.5715;2003-06-30;5063796
YUM;7.9539;10.7405;10.7764;10.5679;10.5859;2003-07-01;6721312
YUM;8.0285;10.8411;10.8411;10.6758;10.7297;2003-07-02;3478335
YUM;7.9859;10.7836;10.8519;10.7117;10.7656;2003-07-03;1822766
YUM;8.1057;10.9454;10.9490;10.7656;10.8016;2003-07-07;2695480
YUM;8.2041;11.0784;11.1035;10.8663;10.8843;2003-07-08;2541635
YUM;8.0338;10.8483;11.1251;10.7692;11.0891;2003-07-09;4974494
YUM;7.9912;10.7908;10.8519;10.6039;10.8519;2003-07-10;3746798
YUM;8.0072;10.8124;10.8555;10.7225;10.7908;2003-07-11;4460937
YUM;8.0790;10.9094;11.0208;10.7549;10.8375;2003-07-14;4203880
YUM;7.8927;10.6578;10.9166;10.4960;10.8914;2003-07-15;4111518
YUM;7.8847;10.6470;10.7692;10.4242;10.6614;2003-07-16;5858057
YUM;7.6984;10.3954;10.5500;10.3343;10.5500;2003-07-17;4426718
YUM;7.7862;10.5140;10.5607;10.3918;10.4960;2003-07-18;2916092
YUM;7.6984;10.3954;10.5859;10.3163;10.5859;2003-07-21;2219201
YUM;7.6744;10.3630;10.4242;10.2013;10.4062;2003-07-22;4643436
YUM;7.6744;10.3630;10.4529;10.2624;10.3990;2003-07-23;1998311
YUM;7.6025;10.2660;10.4637;10.2049;10.3882;2003-07-24;2190547
YUM;7.7330;10.4421;10.6758;10.2624;10.2624;2003-07-25;3545381
YUM;7.7782;10.5032;10.6075;10.4062;10.4601;2003-07-28;3665563
YUM;7.8075;10.5428;10.6758;10.4349;10.5679;2003-07-29;3455800
YUM;7.8927;10.6578;10.7045;10.5607;10.5787;2003-07-30;2155772
YUM;7.9672;10.7584;10.7944;10.6578;10.7297;2003-07-31;3019861
YUM;7.9646;10.7549;10.7836;10.6039;10.7584;2003-08-01;2676562
YUM;7.9326;10.7117;10.7836;10.4421;10.7117;2003-08-04;3170089
YUM;7.8634;10.6183;10.6973;10.5500;10.6866;2003-08-05;3308911
YUM;7.7383;10.4493;10.6183;10.4493;10.6183;2003-08-06;4786709
YUM;7.6664;10.3523;10.5104;10.3343;10.5032;2003-08-07;3479169
YUM;7.7436;10.4565;10.4781;10.2732;10.3882;2003-08-08;3608532
YUM;7.7117;10.4134;10.4601;10.3235;10.4134;2003-08-11;1394060
YUM;7.8714;10.6290;10.6326;10.4709;10.4853;2003-08-12;2526612
YUM;7.8315;10.5751;10.6902;10.5500;10.6290;2003-08-13;2074816
YUM;7.8395;10.5859;10.6758;10.2948;10.4960;2003-08-14;5406817
