Symbol;Adjclose;Close;High;Low;Open;Timestamp;Volume
ZTS;29.2807;31.01;31.74;30.47;31.50;2013-02-01;66789100
ZTS;29.2902;31.02;31.99;30.76;31.09;2013-02-04;7695400
ZTS;29.3091;31.04;31.98;30.85;31.25;2013-02-05;5013200
ZTS;29.2996;31.03;31.43;30.75;30.98;2013-02-06;2126100
ZTS;30.2155;32.00;32.73;31.00;31.00;2013-02-07;3800800
ZTS;31.2070;33.05;33.48;32.30;32.31;2013-02-08;2599300
ZTS;31.4053;33.26;33.50;32.88;33.06;2013-02-11;1487200
ZTS;31.8585;33.74;34.00;33.15;33.40;2013-02-12;1637300
ZTS;31.6791;33.55;33.80;33.00;33.80;2013-02-13;1269700
ZTS;31.4147;33.27;33.45;32.77;33.39;2013-02-14;2954500
ZTS;32.0851;33.98;34.09;33.00;33.31;2013-02-15;5415400
ZTS;31.9529;33.84;34.07;33.57;34.02;2013-02-19;1206900
ZTS;30.8954;32.72;33.88;32.60;33.84;2013-02-20;1842900
ZTS;30.7443;32.56;32.80;31.86;32.50;2013-02-21;3242300
ZTS;30.7726;32.59;32.93;32.50;32.78;2013-02-22;954500
ZTS;30.2816;32.07;32.69;32.00;32.68;2013-02-25;818900
ZTS;30.2533;32.04;32.40;31.99;32.05;2013-02-26;1048700
ZTS;30.5177;32.32;33.05;32.00;32.00;2013-02-27;1343600
ZTS;31.5847;33.45;33.55;32.56;32.56;2013-02-28;2991400
ZTS;32.6705;34.60;34.70;33.15;33.36;2013-03-01;2334000
ZTS;32.4345;34.35;34.89;34.24;34.80;2013-03-04;865400
ZTS;32.3778;34.29;34.48;33.75;34.41;2013-03-05;1413400
ZTS;31.9624;33.85;34.38;33.85;34.34;2013-03-06;802000
ZTS;32.6328;34.56;34.68;33.56;33.95;2013-03-07;1320000
ZTS;32.1890;34.09;34.69;33.80;34.03;2013-03-08;1541100
ZTS;32.2740;34.18;34.26;33.25;33.97;2013-03-11;1729400
ZTS;31.9340;33.82;34.24;33.60;34.12;2013-03-12;1557600
ZTS;32.1040;34.00;34.06;33.08;33.90;2013-03-13;2240800
ZTS;32.7083;34.64;35.42;34.30;34.33;2013-03-14;1865200
ZTS;31.5752;33.44;34.84;33.31;34.70;2013-03-15;2692100
ZTS;31.0087;32.84;32.94;32.64;32.75;2013-03-18;2372000
ZTS;30.9709;32.80;33.42;32.33;32.80;2013-03-19;1336200
ZTS;31.6413;33.51;33.54;32.50;32.90;2013-03-20;1944000
ZTS;31.6035;33.47;34.00;33.29;33.90;2013-03-21;514500
ZTS;31.2731;33.12;33.75;32.74;33.55;2013-03-22;763300
ZTS;30.6499;32.46;33.48;32.25;33.48;2013-03-25;1324600
ZTS;30.6971;32.51;32.79;32.00;32.73;2013-03-26;1396500
ZTS;30.9142;32.74;32.89;32.06;32.38;2013-03-27;1896800
ZTS;31.5375;33.40;33.50;32.63;32.85;2013-03-28;7434900
ZTS;30.7726;32.59;33.59;32.43;33.42;2013-04-01;1466300
ZTS;30.7349;32.55;33.13;32.46;32.66;2013-04-02;712200
ZTS;30.7160;32.53;32.98;32.36;32.67;2013-04-03;1409700
ZTS;30.0644;31.84;32.50;31.71;32.41;2013-04-04;1946400
ZTS;30.1777;31.96;32.07;30.57;31.73;2013-04-05;3963500
ZTS;31.0842;32.92;32.98;31.77;31.95;2013-04-08;1965200
ZTS;31.5752;33.44;33.59;32.56;33.05;2013-04-09;2004400
ZTS;31.3014;33.15;33.76;32.98;33.76;2013-04-10;969500
ZTS;31.3108;33.16;33.24;32.87;33.22;2013-04-11;1826600
ZTS;31.3769;33.23;33.35;32.60;32.97;2013-04-12;723500
ZTS;30.4421;32.24;33.23;32.17;33.07;2013-04-15;839500
ZTS;31.3580;33.21;33.37;32.29;32.36;2013-04-16;2271200
ZTS;31.0559;32.89;33.23;32.17;32.98;2013-04-17;3140500
ZTS;30.6593;32.47;33.10;32.38;33.10;2013-04-18;799900
ZTS;30.8859;32.71;32.79;31.81;32.71;2013-04-19;2159300
ZTS;30.8387;32.66;32.90;32.22;32.90;2013-04-22;922100
ZTS;29.9323;31.70;32.96;31.50;32.78;2013-04-23;2731700
ZTS;28.9125;30.62;31.69;30.42;31.63;2013-04-24;4149300
ZTS;29.7906;31.55;31.99;30.75;30.93;2013-04-25;1520600
ZTS;30.8198;32.64;32.68;31.61;31.61;2013-04-26;1421800
ZTS;30.9003;32.66;32.95;32.17;32.95;2013-04-29;1711600
ZTS;31.2409;33.02;34.74;32.93;33.68;2013-04-30;3390300
ZTS;31.5909;33.39;33.51;32.66;32.97;2013-05-01;1393100
ZTS;31.4868;33.28;33.87;33.11;33.38;2013-05-02;696300
ZTS;31.4206;33.21;33.64;33.00;33.62;2013-05-03;998400
ZTS;31.1652;32.94;33.49;32.75;33.35;2013-05-06;503700
ZTS;31.1084;32.88;33.08;32.29;33.08;2013-05-07;700700
ZTS;31.4679;33.26;33.44;32.72;33.00;2013-05-08;1034100
ZTS;31.7423;33.55;33.67;33.28;33.31;2013-05-09;977200
ZTS;31.3922;33.18;33.61;32.97;33.54;2013-05-10;534100
ZTS;31.2598;33.04;33.49;32.75;33.06;2013-05-13;438700
ZTS;31.2976;33.08;33.75;32.85;33.13;2013-05-14;872300
ZTS;31.0232;32.79;33.06;32.56;32.94;2013-05-15;563200
ZTS;31.5909;33.39;33.80;33.16;33.48;2013-05-16;1278700
ZTS;32.0734;33.90;33.90;33.19;33.35;2013-05-17;962200
ZTS;31.8937;33.71;34.00;33.60;33.90;2013-05-20;735700
ZTS;31.2598;33.04;33.74;32.99;33.57;2013-05-21;1692400
ZTS;31.7423;33.55;33.99;31.75;32.55;2013-05-22;26006000
ZTS;31.0706;32.84;33.80;32.71;33.25;2013-05-23;9008500
ZTS;31.6572;33.46;33.62;32.53;33.20;2013-05-24;5911600
ZTS;32.4140;34.26;34.28;33.59;33.80;2013-05-28;4960300
ZTS;31.1746;32.95;34.25;32.88;34.25;2013-05-29;3095700
ZTS;30.5029;32.24;33.10;32.10;32.77;2013-05-30;3934100
ZTS;30.2758;32.00;32.34;31.80;32.30;2013-05-31;6512400
ZTS;30.9854;32.75;32.84;31.31;32.01;2013-06-03;3398000
ZTS;30.6543;32.40;32.99;31.84;32.83;2013-06-04;4513400
ZTS;30.4366;32.17;32.42;31.75;32.42;2013-06-05;3522300
ZTS;30.3515;32.08;32.31;31.54;32.17;2013-06-06;2918200
ZTS;29.8027;31.50;32.34;31.21;32.26;2013-06-07;5134200
ZTS;30.2853;32.01;32.11;31.47;31.83;2013-06-10;4992100
ZTS;29.9920;31.70;32.02;31.40;31.70;2013-06-11;6367500
ZTS;29.8311;31.53;32.03;31.40;31.95;2013-06-12;7648500
ZTS;29.4905;31.17;31.55;30.87;31.47;2013-06-13;5849800
ZTS;29.1405;30.80;31.26;30.61;31.00;2013-06-14;10665000
ZTS;29.2918;30.96;31.76;30.71;31.40;2013-06-17;26785600
ZTS;29.5000;31.18;31.39;30.95;31.33;2013-06-18;24286200
ZTS;29.3297;31.00;31.24;30.82;31.06;2013-06-19;23483400
ZTS;28.5633;30.19;31.04;30.05;30.89;2013-06-20;14938500
ZTS;28.9512;30.60;31.09;30.34;30.55;2013-06-21;33694200
